,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,99900.0
61,101769.3526837146
62,100453.45978251338
63,99752.86735784152
64,100373.20098446029
65,100078.9102373267
66,101045.368418155
67,100490.24506495439
68,100817.96000273235
69,100406.6336627102
70,101664.0130112699
71,101269.42422938658
72,100677.52408135051
73,100302.96604855827
74,100117.37606566603
75,100388.2410214897
76,99774.60411564757
77,99965.21027341814
78,99719.41770438051
79,105641.83120217119
80,103788.96536970275
81,103788.96536970275
82,103788.96536970275
83,103788.96536970275
84,103685.17640433306
85,103455.65356260563
86,102109.58851405811
87,102648.00927742945
88,104475.56333298839
89,104185.63974343796
90,103143.29540957809
91,102385.6974583124
92,103286.53146870121
93,102755.00488785877
94,102597.9541834395
95,102698.05561133994
96,103153.6498234906
97,102453.98874258103
98,102453.98874258103
99,102453.98874258103
100,102453.98874258103
101,102453.98874258103
102,102453.98874258103
103,102453.98874258103
104,102453.98874258103
105,102453.98874258103
106,102453.98874258103
107,102453.98874258103
108,102453.98874258103
109,102453.98874258103
110,102453.98874258103
111,102453.98874258103
112,102453.98874258103
113,102453.98874258103
114,102453.98874258103
115,102453.98874258103
116,102453.98874258103
117,102453.98874258103
118,102453.98874258103
119,102453.98874258103
120,102453.98874258103
121,102351.53475383847
122,102608.25773541979
123,102705.67791709804
124,106663.10393063616
125,106107.9109468317
126,104532.05119416135
127,102779.91664861547
128,100355.04904027491
129,98288.97187541582
130,99023.54045562223
131,100667.44518289267
132,99352.93214161899
133,101783.99350687688
134,102280.39682584745
135,102254.12242229571
136,102683.3164528419
137,102683.3164528419
138,102683.3164528419
139,102683.3164528419
140,102683.3164528419
141,102683.3164528419
142,102683.3164528419
143,102683.3164528419
144,102683.3164528419
145,102683.3164528419
146,102683.3164528419
147,102683.3164528419
148,102683.3164528419
149,102683.3164528419
150,102683.3164528419
151,102683.3164528419
152,102683.3164528419
153,102683.3164528419
154,102683.3164528419
155,102683.3164528419
156,102683.3164528419
157,102683.3164528419
158,102683.3164528419
159,102683.3164528419
160,102683.3164528419
161,102683.3164528419
162,102683.3164528419
163,102683.3164528419
164,102580.63313638906
165,102166.33894803919
166,102128.98286603965
167,102167.96169294634
168,102146.84953458584
169,101968.14166270493
170,103347.46659649552
171,101068.08661182041
172,98723.71445802152
173,98465.38500100114
174,101004.71718760378
175,103285.71991718603
176,106679.62911085413
177,106572.40438772559
178,107038.77111746852
179,107038.77111746852
180,107038.77111746852
181,107038.77111746852
182,107038.77111746852
183,107038.77111746852
184,107038.77111746852
185,107038.77111746852
186,107038.77111746852
187,107038.77111746852
188,107038.77111746852
189,107038.77111746852
190,107038.77111746852
191,107038.77111746852
192,107038.77111746852
193,107038.77111746852
194,107038.77111746852
195,107038.77111746852
196,106931.73234635105
197,106250.02260318089
198,105808.98362650463
199,105959.98366868676
200,103342.22007409963
201,100595.90822815127
202,101021.9843975755
203,100873.98601277523
204,98084.28657376174
205,98861.70825572181
206,97918.361624042
207,94339.30209302691
208,94098.60858670436
209,93197.12597957009
210,93014.74497385026
211,94252.59512638258
212,95568.20033301383
213,95611.55002636454
214,95770.03147217269
215,96776.16277075652
216,94923.85212831642
217,96169.21400424629
218,96528.00302069371
219,96838.9550176034
220,96167.69801566958
221,93989.48014901065
222,97611.87421349068
223,97260.55144078349
224,97649.2509118492
225,97427.99237907994
226,97224.6755711159
227,96492.11199114035
228,96792.6112468137
229,91764.90335167626
230,93264.39797266111
231,94922.35887956836
232,90565.9231462505
233,85870.11063020985
234,81870.97066459137
235,80982.93487613242
236,81429.93926785799
237,85961.29734309831
238,87093.0207153188
239,87667.11042942907
240,88588.03559005952
241,89316.09668396226
242,90956.11586606427
243,93784.66251235569
244,91068.24596113984
245,91229.68358467254
246,90202.63164373027
247,90458.28037736197
248,91104.12183080743
249,90430.55155158465
250,90430.55155158465
251,90430.55155158465
252,90430.55155158465
253,90430.55155158465
254,90430.55155158465
255,90430.55155158465
256,90430.55155158465
257,90430.55155158465
258,90340.12100003306
259,88965.1136900902
260,88153.633731995
261,86801.17665907928
262,85135.96629879145
263,84280.82159601871
264,86867.3987837162
265,88987.64964125291
266,89160.93717697628
267,88208.57716665222
268,88069.11141500346
269,88708.71813795538
270,91508.03327604238
271,91212.17302337699
272,90164.01914901393
273,87370.3469273829
274,86685.64687330888
275,84986.62901481088
276,84676.6900427345
277,86961.7783471751
278,86040.41866269767
279,85654.40746244925
280,86332.0502994872
281,84525.93845817383
282,85937.58186748707
283,87349.21099093584
284,85850.23094933532
285,87626.7424795177
286,89437.06865084248
287,86975.87849538276
288,79965.62623869223
289,80024.79114629308
290,79875.46100524474
291,80133.27085795965
292,80574.21834993307
293,80372.78051831992
294,81952.05426103613
295,81342.03356335073
296,79385.19156627337
297,77335.37716338498
298,76222.4154649651
299,76140.22888681041
300,76762.2568535622
301,75401.99969865927
302,74683.61357622288
303,75413.33553209674
304,75308.48442999933
305,73119.33284824218
306,75400.57825514695
307,75900.77636990791
308,75560.70136678383
309,78163.60729754248
310,78240.11524458011
311,79941.84741732276
312,77188.0040143353
313,77188.0040143353
314,77110.81601032097
315,79341.00447998491
316,79831.66368345474
317,79074.44717368024
318,79074.44717368024
319,79074.44717368024
320,79074.44717368024
321,79074.44717368024
322,79074.44717368024
323,79074.44717368024
324,79074.44717368024
325,79074.44717368024
326,79074.44717368024
327,79074.44717368024
328,79074.44717368024
329,79074.44717368024
330,79074.44717368024
331,79074.44717368024
332,79074.44717368024
333,79074.44717368024
334,79074.44717368024
335,79074.44717368024
336,79074.44717368024
337,79074.44717368024
338,79074.44717368024
339,79074.44717368024
340,79074.44717368024
341,79074.44717368024
342,79074.44717368024
343,79074.44717368024
344,79074.44717368024
345,79074.44717368024
346,79074.44717368024
347,79074.44717368024
348,79074.44717368024
349,79074.44717368024
350,78995.37272650655
351,79519.006487725
352,79134.22853839242
353,78217.55951025148
354,78681.19128337927
355,79819.07574798843
356,81112.2832038151
357,80747.50196252538
358,80600.41849295472
359,79904.97676524404
360,80025.00446934941
361,81197.00968882731
362,81001.68141756202
363,80774.5636599717
364,80539.22417667761
365,80933.42211188146
366,79908.50036197422
367,78194.02734151637
368,78045.75747574026
369,79856.72603156838
370,78982.42914390509
371,80863.99420593852
372,79904.97676524404
373,80831.3386207236
374,80831.3386207236
375,80831.3386207236
376,80831.3386207236
377,80750.50728210287
378,79795.01780033574
379,80636.96949021364
380,80424.36243920689
381,80780.71095320884
382,79192.25360992781
383,79693.55538743908
384,78473.5097582529
385,77526.48461173523
386,76958.74084724067
387,77251.0770647374
388,77933.5643321855
389,77617.07735670364
390,75881.24314888503
391,74709.52948291822
392,75416.17968725109
393,74528.33790353156
394,73526.94005957333
395,73767.32109120797
396,75112.31507559186
397,75112.31507559186
398,75112.31507559186
399,75112.31507559186
400,75112.31507559186
401,75112.31507559186
402,75112.31507559186
403,75112.31507559186
404,75112.31507559186
405,75112.31507559186
406,75112.31507559186
407,75112.31507559186
408,75112.31507559186
409,75112.31507559186
410,75112.31507559186
411,75112.31507559186
412,75112.31507559186
413,75112.31507559186
414,75112.31507559186
415,75112.31507559186
416,75112.31507559186
417,75112.31507559186
418,75112.31507559186
419,75112.31507559186
420,75112.31507559186
421,75112.31507559186
422,75112.31507559186
423,75112.31507559186
424,75112.31507559186
425,75112.31507559186
426,75037.20276051627
427,74268.76567271944
428,73906.38660700544
429,72142.8881087474
430,72734.26231791088
431,72762.59927110402
432,72467.49447338177
433,72913.68413351585
434,72190.108441527
435,72146.43542706493
436,73481.4511472429
437,73743.48923401529
438,73541.64266241305
439,72898.33618843346
440,71938.68260017355
441,71490.13994497458
442,71221.00722156711
443,70925.91430765833
444,70313.28589812331
445,70449.02875735948
446,69887.17394082833
447,69416.20058772537
448,68838.98594229837
449,68678.45344818658
450,68841.34487927
451,69428.00715639695
452,69530.68924659
453,67663.31433488628
454,65813.65818905002
455,65734.56546857322
456,66351.91175205148
457,65511.476580412906
458,64275.60157401719
459,65303.723753521524
460,64286.80176516512
461,64286.80176516512
462,64286.80176516512
463,64286.80176516512
464,64286.80176516512
465,64286.80176516512
466,64286.80176516512
467,64286.80176516512
468,64286.80176516512
469,64286.80176516512
470,64286.80176516512
471,64286.80176516512
472,64286.80176516512
473,64286.80176516512
474,64286.80176516512
475,64286.80176516512
476,64286.80176516512
477,64286.80176516512
478,64286.80176516512
479,64286.80176516512
480,64286.80176516512
481,64286.80176516512
482,64286.80176516512
483,64286.80176516512
484,64286.80176516512
485,64286.80176516512
486,64286.80176516512
487,64286.80176516512
488,64286.80176516512
489,64222.51496339995
490,66135.90496869765
491,67676.20632441268
492,66960.4431888828
493,66785.00539132691
494,66409.58534244116
495,66427.12382356198
496,65443.532362034166
497,65459.90514350344
498,65582.70394820899
499,65131.25437760652
500,64804.9526731286
501,64597.9350122857
502,64956.99405444613
503,65693.81631953931
504,65725.39029545436
505,64941.78697262838
506,64414.32554242512
507,65185.05907010839
508,65723.04712140733
509,66503.14745790673
510,66705.36934207263
511,66705.36934207263
512,66705.36934207263
513,66705.36934207263
514,66705.36934207263
515,66705.36934207263
516,66705.36934207263
517,66705.36934207263
518,66705.36934207263
519,66638.66397273056
520,67331.57389489507
521,68553.1018911161
522,69244.87226345747
523,69394.2516270777
524,69747.04352638975
525,69898.71355869003
526,72159.03666324625
527,71960.24017201575
528,71980.91981982176
529,72121.12493968806
530,71071.9697616408
531,71453.47600268964
532,70888.1031084487
533,70898.44582461014
534,71718.93326631634
535,71279.96363469271
536,71786.7162349851
537,71898.189659564
538,72105.02662924214
539,72265.90561239758
540,73381.69842477357
541,74479.11382705733
542,74399.8254543365
543,73537.97871701828
544,73836.74901329249
545,74113.69432742066
546,73825.26096279103
547,73583.50286477584
548,73912.01714678948
549,75487.54600634813
550,75657.58766422377
551,76216.31414858243
552,76736.85703709006
553,76571.43720819261
554,76779.66246191927
555,76719.50927100048
556,75145.14309933248
557,76293.80932107392
558,76535.57898812284
559,76948.54721642115
560,77463.3171570937
561,77782.58778115097
562,77705.08103962574
563,77450.58543546544
564,78068.30242285227
565,78646.69048004803
566,77358.05051911504
567,77345.31879748678
568,78488.21207139315
569,78816.73792244053
570,78627.02890721093
571,79348.84984468578
572,80057.95641408299
573,81285.2920652403
574,81313.05196169372
575,81575.65167398725
576,81383.61149845952
577,81985.13762313053
578,78669.82854752328
579,78035.92069742065
580,77952.62943902661
581,78445.40664656393
582,78136.55972190427
583,77340.69118399173
584,77802.2435694712
585,77188.00307672254
586,77264.352914874
587,77341.84808736549
588,77458.68375908179
589,77064.22598476367
590,74910.30906800927
591,73694.54823510646
592,74093.62783840274
593,73895.82049955681
594,73645.9640779253
595,73190.2019938315
596,73623.98869834068
597,73563.83550742189
598,73311.65371000911
599,74625.74554516487
600,75405.41165132786
601,75414.66687831795
602,76016.19300298898
603,76224.4066876819
604,75331.38140444078
605,75411.20195271354
606,74855.94617847615
607,74572.53377448866
608,74618.80412492229
609,75105.80260010768
610,74913.7913471643
611,75407.72545807538
612,75348.73495504723
613,75832.25693559444
614,74964.68931109298
615,73955.9736904756
616,74179.23868806117
617,74365.47699316949
618,75056.07310858648
619,75765.17389346682
620,76884.9348844148
621,76180.45592851266
622,76388.67539772246
623,73347.51193007888
624,73132.35682514338
625,73266.5460474661
626,73337.10558423187
627,74178.07600017055
628,73935.1609987816
629,72941.49090654001
630,72911.41141882219
631,73198.2887484141
632,73087.23759356662
633,72848.94442115587
634,71998.71877822709
635,72033.42587943998
636,71637.79963271436
637,71761.5825091901
638,71855.27432891427
639,71072.13751263
640,70813.03164852524
641,68487.90460148771
642,68368.76090754075
643,68645.23189128569
644,69306.90542235861
645,67892.1803472361
646,68374.54542440957
647,69014.2030842798
648,70206.60025354948
649,70230.15936443857
650,70230.15936443857
651,70230.15936443857
652,70230.15936443857
653,70230.15936443857
654,70230.15936443857
655,70230.15936443857
656,70230.15936443857
657,70159.92920507414
658,70001.30151281842
659,69995.71968275029
660,69771.19182291706
661,70066.0920058869
662,70338.66486858425
663,70338.66486858425
664,69703.04442505236
665,70898.31443014996
666,71370.83502586707
667,72079.0582940613
668,72666.6393109829
669,72649.88266827089
670,72207.52402943539
671,72229.86807846934
672,72045.54500863727
673,72467.79567621836
674,72416.4160735733
675,74037.2880747944
676,74442.78209966348
677,74457.61499614833
678,74457.61499614833
679,74457.61499614833
680,74383.15738115218
681,75319.25998742467
682,75713.19477190067
683,75713.19477190067
684,75713.19477190067
685,75713.19477190067
686,75637.48157712877
687,75241.60191199712
688,75383.22369275833
689,74839.03110341691
690,73564.40167651555
691,72875.24730136372
692,73306.809353771
693,73336.91949928955
694,73104.9672819727
695,73017.98241714133
696,73530.95709262289
697,72313.20795170941
698,70563.52960666017
699,70608.14094076735
700,68129.15579319981
701,66896.90546369772
702,65776.18346946355
703,66375.01854140988
704,65885.47400134848
705,65969.10772778047
706,65333.46580019194
707,65488.469867850275
708,65065.83119559946
709,65369.14818746757
710,66488.76798003551
711,65339.0436086241
712,65830.8203853934
713,65878.78285789992
714,66209.4945210815
715,66209.4945210815
716,66209.4945210815
717,66209.4945210815
718,66209.4945210815
719,66209.4945210815
720,66209.4945210815
721,66209.4945210815
722,66209.4945210815
723,66209.4945210815
724,66209.4945210815
725,66143.28502656042
726,66795.4039432033
727,67028.55506592838
728,67028.55506592838
729,66759.8971966095
730,66923.2341388855
731,67946.96867408023
732,68096.09110182968
733,68079.51931743772
734,67700.79053367805
735,68460.61718695181
736,67875.95518089263
737,67377.69686350806
738,66634.44790257077
739,66866.41152844638
740,66777.64466196187
741,67259.34301084356
742,66623.79587859263
743,66998.97398769291
744,67383.61662392186
745,67957.62069805838
746,68033.36645481031
747,67918.56918474972
748,69077.22935700089
749,68252.30897095334
750,68454.69742653801
751,67629.78885637951
752,68567.1315187887
753,67567.05830141561
754,67327.9815103322
755,66987.12855892077
756,66459.28325535619
757,66479.41162235205
758,67267.63776495632
759,68049.93823920225
760,67880.69335240149
761,67731.57092465206
762,67322.07356580744
763,67891.33946843511
764,68073.60546496844
765,70428.80754976353
766,69348.25040412968
767,69405.05529073522
768,68951.78597090668
769,67301.95110675611
770,64149.05835222809
771,65596.49885284947
772,68152.90189637976
773,67842.81752005326
774,66601.3102417314
775,66609.5931799551
776,66511.35587839741
777,67503.1520654913
778,68306.76249563805
779,68732.82573093008
780,68046.38165659834
781,67988.39518108785
782,68909.16605910507
783,68578.96783160244
784,68578.96783160244
785,68578.96783160244
786,68510.38886377083
787,68300.05888307518
788,70788.13644500509
789,69426.98088640081
790,69974.31726562842
791,70209.73198081908
792,70042.01920422149
793,70122.85707274514
794,70224.21610337649
795,70504.14503706938
796,70429.33824264191
797,69782.59353627401
798,70356.94149167128
799,69762.09027052861
800,69887.5735975447
801,68980.21013240909
802,69098.46332905468
803,69520.76379032378
804,70394.34488888501
805,70653.7645913784
806,70600.67801533295
807,70599.47299360453
808,70825.09839861534
809,70849.23462590828
810,69938.25013013333
811,70103.55286327408
812,72310.43084978758
813,72928.20731104066
814,72375.58553947949
815,71346.35381251306
816,71779.52333115431
817,70744.26053009169
818,71094.17617129837
819,70810.62620696613
820,69912.91484656605
821,70291.78680197935
822,70016.67795520014
823,71193.11322756468
824,71302.91337574903
825,72517.96303250983
826,74434.04899341239
827,74793.6167393546
828,74970.98162068773
829,74650.02825914176
830,74851.53533322192
831,74844.29327194321
832,72526.41011551695
833,73375.86691769343
834,73679.92014777106
835,72964.40568652598
836,73019.91423693647
837,73558.05188594022
838,74237.37393715409
839,74886.52272152471
840,76053.30588915372
841,76899.13569523675
842,76128.11268358119
843,76531.12683174152
844,76406.83659554565
845,75424.66633598258
846,75191.79886969307
847,75456.03865910013
848,76038.82773205041
849,76132.94470140306
850,77986.28005061642
851,78145.5576751151
852,79001.03362047956
853,79171.16837144218
854,79516.25199482699
855,81263.41419194944
856,81644.70215627368
857,81036.57779975612
858,80499.63920702667
859,79944.59546110049
860,79023.95886058999
861,79487.30164607448
862,79803.42298979858
863,79091.53552464694
864,78390.48728959697
865,78302.40735979461
866,79081.87745445731
867,79895.12991569439
868,80337.95153907117
869,79089.11355028191
870,75999.00832592575
871,74145.67297671238
872,73898.32138786546
873,74520.92390148633
874,74298.91356166077
875,73822.30957170959
876,73293.80613107907
877,73340.86759848244
878,74015.35763187443
879,74377.34138672758
880,73743.86981573456
881,72206.6617756994
882,73583.38716950748
883,72561.40346927384
884,72147.53219464955
885,71720.39375010447
886,71382.55218799837
887,72368.3054484309
888,72368.3054484309
889,72368.3054484309
890,72368.3054484309
891,72368.3054484309
892,72368.3054484309
893,72368.3054484309
894,72368.3054484309
895,72368.3054484309
896,72368.3054484309
897,72368.3054484309
898,72368.3054484309
899,72368.3054484309
900,72368.3054484309
901,72368.3054484309
902,72368.3054484309
903,72368.3054484309
904,72368.3054484309
905,72368.3054484309
906,72368.3054484309
907,72368.3054484309
908,72368.3054484309
909,72368.3054484309
910,72368.3054484309
911,72368.3054484309
912,72368.3054484309
913,72368.3054484309
914,72368.3054484309
915,72368.3054484309
916,72368.3054484309
917,72368.3054484309
918,72368.3054484309
919,72368.3054484309
920,72368.3054484309
921,72368.3054484309
922,72368.3054484309
923,72368.3054484309
924,72368.3054484309
925,72368.3054484309
926,72368.3054484309
927,72368.3054484309
928,72368.3054484309
929,72368.3054484309
930,72368.3054484309
931,72368.3054484309
932,72368.3054484309
933,72368.3054484309
934,72368.3054484309
935,72368.3054484309
936,72368.3054484309
937,72368.3054484309
938,72368.3054484309
939,72368.3054484309
940,72368.3054484309
941,72368.3054484309
942,72368.3054484309
943,72368.3054484309
944,72368.3054484309
945,72368.3054484309
946,72368.3054484309
947,72368.3054484309
948,72368.3054484309
949,72368.3054484309
950,72368.3054484309
951,72368.3054484309
952,72368.3054484309
953,72368.3054484309
954,72368.3054484309
955,72368.3054484309
956,72368.3054484309
957,72368.3054484309
958,72368.3054484309
959,72368.3054484309
960,72368.3054484309
961,72368.3054484309
962,72368.3054484309
963,72368.3054484309
964,72368.3054484309
965,72368.3054484309
966,72368.3054484309
967,72368.3054484309
968,72368.3054484309
969,72368.3054484309
970,72368.3054484309
971,72368.3054484309
972,72368.3054484309
973,72368.3054484309
974,72368.3054484309
975,72368.3054484309
976,72368.3054484309
977,72368.3054484309
978,72368.3054484309
979,72368.3054484309
980,72368.3054484309
981,72368.3054484309
982,72368.3054484309
983,72368.3054484309
984,72368.3054484309
985,72368.3054484309
986,72368.3054484309
987,72368.3054484309
988,72368.3054484309
989,72368.3054484309
