,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,99900.0
30,95386.53667399319
31,95676.51720393916
32,94820.21842510915
33,94322.13921809803
34,94847.51237606943
35,95212.54502444783
36,95035.1468366227
37,94148.14756855267
38,95519.58323262591
39,95782.27814055607
40,95789.09954606002
41,95028.32543111875
42,93697.82652901369
43,94683.75699925223
44,94100.38940108052
45,94482.47972769104
46,93885.46098956697
47,94588.24066430793
48,96055.20099226992
49,97085.48309170084
50,95843.67911903613
51,95062.44078758298
52,96392.93968968804
53,98811.71513142432
54,98467.15502850225
55,95997.19822312516
56,95997.19822312516
57,94052.62290466393
58,93953.69170249545
59,91279.05108727742
60,90784.37841854605
61,92241.10247377987
62,92237.68760655567
63,89477.75860017707
64,85690.95403264729
65,82422.70121758497
66,82842.3217678839
67,81945.0862270857
68,82763.85478222728
69,83674.73313403339
70,82971.96178823688
71,81914.38573784567
72,82387.98892567205
73,82387.98892567205
74,82387.98892567205
75,82387.98892567205
76,82387.98892567205
77,82387.98892567205
78,82387.98892567205
79,82387.98892567205
80,82387.98892567205
81,82387.98892567205
82,82387.98892567205
83,82387.98892567205
84,82387.98892567205
85,82387.98892567205
86,82387.98892567205
87,82387.98892567205
88,82387.98892567205
89,82387.98892567205
90,82387.98892567205
91,82387.98892567205
92,82387.98892567205
93,82387.98892567205
94,82305.60093674637
95,81401.47313675216
96,82175.90995456954
97,82935.52856446241
98,83821.13812781348
99,81001.28201101579
100,81349.59131596643
101,78603.85337836621
102,82161.09174664503
103,84121.27468722202
104,81794.24611200129
105,80230.54522191705
106,82476.05556050305
107,80371.35438329975
108,80938.29105754918
109,81008.69111497805
110,84573.33858721913
111,84099.04737533527
112,87474.71294065155
113,87167.15823075577
114,89697.13638463982
115,89697.13638463982
116,89697.13638463982
117,89697.13638463982
118,89697.13638463982
119,89697.13638463982
120,89697.13638463982
121,89697.13638463982
122,89697.13638463982
123,89697.13638463982
124,89697.13638463982
125,89697.13638463982
