,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,99900.0
28,100039.56638278457
29,99830.20397688389
30,98727.5825032317
31,96487.42015816287
32,95608.104896966
33,98992.76290776367
34,99327.74788989431
35,100046.54684054444
36,98525.20055509087
37,102014.54832332142
38,103445.18287582693
39,102105.26005626949
40,102600.74423998175
41,104729.25347882291
42,103263.72519200061
43,104778.10812865941
44,104003.46551593035
45,102865.94175347882
46,104771.12767089956
47,103570.77978860923
48,104833.9261272907
49,104170.95372975439
50,102831.03946467949
51,103877.85149418295
52,103068.33225610219
53,102761.26910501103
54,104806.02995969888
55,104652.47699794693
56,103089.2565204167
57,102768.24100828834
58,103221.85099992396
59,103193.9291688845
60,102216.93027146225
61,103166.02444681013
62,106264.56923427877
63,106411.1160748232
64,104952.56824576078
65,104443.12314652879
66,104184.92319975667
67,104771.12767089956
68,106124.98574252908
69,105845.84442247737
70,106480.90354345678
71,105294.52513116873
72,104310.52011253897
73,105182.86347045851
74,107576.5616683142
75,107478.85236864116
76,108051.11303322941
77,107632.39677591057
78,105406.18679187895
79,104087.22245456619
80,104226.78883735077
81,105434.10862291841
82,105559.71409018326
83,102126.20142954908
84,100897.95737966694
85,100109.35385141814
86,98943.9168124097
87,100653.69268496693
88,103089.2565204167
89,105210.77674701544
90,104582.69808379591
91,103403.30012926774
92,105448.0609839556
93,106292.47395635313
94,106081.61350657744
95,106081.61350657744
96,106081.61350657744
97,106081.61350657744
98,106081.61350657744
99,106081.61350657744
100,106081.61350657744
101,106081.61350657744
102,105975.53189307086
103,104938.99121779799
104,105975.53189307086
105,106834.59893988808
106,111328.62492135171
107,111676.50560707164
108,113437.21318133202
109,113976.77025928143
110,113309.40571271535
111,113706.97866629591
112,111868.19940464888
113,112840.83634561342
114,112194.77594470808
115,111939.1784128225
116,112798.2454596397
117,112372.25827583761
118,113962.5674955076
119,114637.02472128673
120,113004.12461564301
121,112933.12820212165
122,111939.1784128225
123,115318.6007343005
124,113316.51579727614
125,113160.32020645958
126,112059.88449955225
127,111058.84203104007
128,108843.76785345159
129,109070.9685604634
130,110611.57680959889
131,111122.72836000065
132,110604.46672503809
133,110341.78521661335
134,111030.43650349241
135,111768.80616625375
136,113188.71703133335
137,112826.63358183959
138,113884.46970009932
139,115481.88030165622
140,113713.84837430142
141,113713.84837430142
142,113713.84837430142
143,113713.84837430142
144,113713.84837430142
145,113713.84837430142
146,113713.84837430142
147,113600.13452592713
148,111150.91548452512
149,112701.3423378288
150,113225.63395539206
151,112439.18275726841
152,112791.22614723156
153,112506.6002049134
154,111607.79883562923
155,112251.94165318672
156,110559.21560050272
157,110259.60596288883
158,109840.18185002406
159,108776.60573841598
160,106709.3791151969
161,105810.57774591274
162,102822.09257283759
163,102709.75158286291
164,102634.84228757006
165,101848.4094518181
166,99030.40944322562
167,99030.40944322562
168,99030.40944322562
169,99030.40944322562
170,99030.40944322562
171,99030.40944322562
172,99030.40944322562
173,99030.40944322562
174,99030.40944322562
175,99030.40944322562
176,99030.40944322562
177,99030.40944322562
178,99030.40944322562
179,99030.40944322562
180,99030.40944322562
181,99030.40944322562
182,99030.40944322562
183,99030.40944322562
184,99030.40944322562
185,98931.3790337824
186,97284.46051296452
187,97962.1830718106
188,98443.13651867223
189,97721.69741569813
190,97481.22069226732
191,98894.94262522127
192,101489.18990326526
193,103354.7358081316
194,105941.69401792702
195,106437.22560128575
196,106374.46120326837
197,106374.46120326837
198,106374.46120326837
199,106374.46120326837
200,106374.46120326837
201,106374.46120326837
202,106374.46120326837
203,106268.08674206509
204,106912.83857285247
205,106810.27319504262
206,104407.07298841042
207,103249.44038133498
208,110224.56864409654
209,113397.0720527479
210,112056.26773985528
211,113279.8493459901
212,114576.69963445175
213,117829.78242749105
214,117163.0535844882
215,117016.51621983446
216,115705.01758363128
217,117016.51621983446
218,117793.15706753408
219,118665.04360977604
220,117785.82840306009
221,113323.79438921457
222,116782.06182511235
223,116796.71017285385
224,114708.57967015753
225,115382.63717763437
226,115595.114560141
227,114173.71290044753
228,113887.9758168205
229,107015.42191307526
230,111081.79785739054
231,108788.50067424864
232,109938.82257926304
233,108092.46615455633
234,104773.4074188383
235,97820.27413070515
236,98237.9002312444
237,98794.73503196343
238,101835.35840490903
239,101234.56059855259
240,104048.05824125007
241,102304.28515676614
242,106070.2487260935
243,108326.92054927842
244,106370.66110108142
245,107069.43101784503
246,107069.43101784503
247,107069.43101784503
248,107069.43101784503
249,107069.43101784503
250,107069.43101784503
251,107069.43101784503
252,107069.43101784503
253,107069.43101784503
254,107069.43101784503
255,107069.43101784503
256,107069.43101784503
257,106962.36158682716
258,107340.468149801
259,106145.38325599047
260,107819.84453666778
261,107090.6372488504
262,107873.8479365453
263,107732.06521726534
264,107313.45403528756
265,108272.19853263797
266,105409.43071592787
267,105422.9460495677
268,104653.23414274641
269,103424.40643494345
270,105301.40736340659
271,98387.5403648042
272,98218.75180739391
273,95497.76670996376
274,94842.83168429212
275,90933.54005082916
276,89623.68655225211
277,89090.28193635846
278,90791.74077878296
279,87726.42503790389
280,85876.42167118796
281,86281.53407229211
282,88442.1087156983
283,89049.76904097141
284,87800.68902366649
285,90893.02715544212
286,91196.85317988713
287,89581.2737551845
288,89581.2737551845
289,89581.2737551845
290,89581.2737551845
291,89581.2737551845
292,89581.2737551845
293,89581.2737551845
294,89581.2737551845
295,89581.2737551845
296,89581.2737551845
297,89581.2737551845
298,89581.2737551845
299,89491.69248142932
300,89410.50068258391
301,87820.4137535358
302,88063.99744425926
303,88030.15716033963
304,85919.06256592496
305,85959.66261244129
306,85025.9113076893
307,86135.5906178872
308,84822.91936929493
309,85167.99073502835
310,85797.27901475047
311,86216.77412254536
312,86927.24590692567
313,84653.75112644571
314,86176.17407602904
315,87143.77395888789
316,88551.15653151894
317,87671.75002713103
318,87671.75002713103
319,87671.75002713103
320,87671.75002713103
321,87671.75002713103
322,87671.75002713103
323,87671.75002713103
324,87671.75002713103
325,87584.0782771039
326,90533.528125218
327,92662.93899970481
328,93337.48770988428
329,94640.26297292965
330,96650.65916960081
331,96200.95463345842
332,93436.68009812088
333,95089.9513210038
334,96009.18268286767
335,95857.07959353743
336,96657.27199548326
337,96610.98221430618
338,96617.5869461545
339,95440.44728084136
340,96353.06581682278
341,98608.1365711442
342,97741.81591037399
343,100367.22110218028
344,100592.07337025148
345,101134.34937471391
346,102119.69280733392
347,101187.25198177343
348,100188.67480335441
349,98118.76317374129
350,98806.52944165152
351,99216.54083443103
352,98317.15604424861
353,98522.16983467249
354,96379.51712035254
355,99395.09522729102
356,98422.96935240176
357,99223.15366031347
358,100003.49949057784
359,99196.70235678372
360,99910.92802225782
361,103131.51182558607
362,103806.04434769729
363,105942.07614210068
364,106543.86757950507
365,106213.21819134896
366,104487.19778972508
367,104394.60203930267
368,105558.51605285093
369,107496.154976747
370,106676.13219118798
371,104381.38448157192
372,101656.77880749489
373,98217.95556197788
374,97543.42303986667
375,94759.3019328477
376,95096.58033495449
377,96974.69573187448
378,95592.5503701716
379,98244.41495954177
380,99871.23487889493
381,99950.60497755246
382,102747.9436423022
383,103898.62391005145
384,106960.49989220114
385,106074.3407537836
386,105875.94788327628
387,107681.33028952357
388,107864.33041966266
389,107864.33041966266
390,107864.33041966266
391,107864.33041966266
392,107864.33041966266
393,107756.466089243
394,109224.49090606035
395,107780.3353425994
396,108132.42143747272
397,104044.63650579238
398,103065.9459906477
399,103125.62642797185
400,103608.99341630543
401,104187.85932986396
402,104277.36902995053
403,100696.8276438933
404,101532.29533496639
405,101568.09191106791
406,102481.13467554936
407,102093.23739670833
408,102427.42155156432
409,102546.77512227949
410,103841.73324439666
411,103841.73324439666
412,104396.7152967326
413,104856.22033564287
414,105954.25711756962
415,106425.70408709119
416,106420.62126544211
417,106420.62126544211
418,106420.62126544211
419,106420.62126544211
420,106420.62126544211
421,106420.62126544211
422,106420.62126544211
423,106314.20064417667
424,105674.74926788607
425,106234.97915418477
426,106908.389523781
427,106659.40077192592
428,106178.39237561914
429,105833.19224786988
430,107089.48106752361
431,107491.26104767223
432,105516.29936173602
433,104073.2672466494
434,102607.60042013651
435,105108.85377756455
436,105504.9820060229
437,104656.1456967069
438,105770.94679144767
439,105680.40794574266
440,106568.8550000546
441,108911.65845133258
442,108362.73899458077
443,107468.62633624594
444,106376.45995293143
445,108509.86461885141
446,107762.89143711985
447,107491.26104767223
448,105884.13420091153
449,105725.67736859516
450,103348.93570251037
451,103863.88923979027
452,104576.91035438243
453,105108.85377756455
454,105318.23178442371
455,105561.56878458853
456,103015.05293047425
457,100994.80796935297
458,98889.68976654952
459,98674.65308183382
460,98646.36661871728
461,97022.24988605433
462,98289.85606142119
463,99891.33115649161
464,99896.98983434816
465,99495.20292803328
466,98663.34265228697
467,98204.96896740644
468,98154.0339405311
469,97231.62096674718
470,98550.15524282312
471,98272.87310168521
472,97871.08619537033
473,96756.29202679584
474,95833.87905301193
475,95528.29659642492
476,94317.28412578997
477,95562.24173739801
478,96360.16379833751
479,96694.03271804105
480,95533.95527428148
481,97916.36947055541
482,95686.74650257498
483,96501.6307447516
484,97276.90424193226
485,97343.57181311297
486,97343.57181311297
487,97343.57181311297
488,97343.57181311297
489,97343.57181311297
490,97246.22824129986
491,98013.29671810385
492,98821.67415962393
493,98839.37490656783
494,100969.45145098114
495,100267.29293481844
496,100166.98148028934
497,99116.70105238292
498,98343.72510475066
499,98237.52062308724
500,99435.32171922014
501,101311.68033559054
502,102031.53959869714
503,101547.70473853653
504,100438.18011282057
505,100438.18011282057
506,100337.74193270775
507,100073.17349494237
508,101637.08915473644
509,101660.61290556751
510,101519.50638062214
511,102701.26363252834
512,102154.4821448722
513,101619.4517386193
514,103747.79349819488
515,103283.31275641055
516,104376.89012373921
517,103641.9761975002
518,101125.58249931461
519,102377.90380770579
520,101107.94508319747
521,101825.22878932754
522,101748.79998615324
523,103295.08542583839
524,104447.4397882078
525,104641.46575751281
526,105352.87032493718
527,107081.4162605077
528,107686.98913522097
529,107814.24690639053
530,107814.24690639053
531,107814.24690639053
532,107814.24690639053
533,107814.24690639053
534,107706.43265948414
535,107888.64921769228
536,108282.48649067647
537,108976.12097535307
538,109311.1787134314
539,110210.54876483597
540,107553.59147961391
541,108123.78174643069
542,108876.1885714556
543,111785.90505133032
544,113825.6412472534
545,114830.82165604601
546,113108.49494861449
547,114595.68912730759
548,114531.02444435364
549,115900.64516412
550,114942.50277236711
551,114877.84528397069
552,115395.11958025717
553,113525.85842467607
554,114607.43783973124
555,113567.00409911016
556,113637.53234643965
557,112673.51919575369
558,112926.27839040638
559,114419.34332803253
560,115001.28230727297
561,116088.75406493375
562,115459.7770686536
563,114119.55331089767
564,113625.78363401601
565,115324.59133292767
566,114942.11426626125
567,113453.40203593227
568,112176.5407462199
569,111799.94882760158
570,112994.44682287061
571,112629.61800579098
572,113547.55001558685
573,113406.34243522002
574,113482.82777617278
575,115083.33623574312
576,114306.6190008716
577,114330.15239850649
578,113157.7274208095
579,113157.7274208095
580,113157.7274208095
581,113157.7274208095
582,113044.5696933887
583,113755.61405108868
584,112019.47301646821
585,110869.95227084112
586,112849.02959705757
587,112274.26922424402
588,112926.0574704993
589,112582.38796292008
590,111367.67752530384
591,111065.48512226318
592,111391.38286784536
593,110573.67171361764
594,110988.45724882145
595,111758.7577179661
596,112890.49945668704
597,113304.4457706015
598,113304.4457706015
599,113304.4457706015
600,113304.4457706015
601,113304.4457706015
602,113304.4457706015
603,113304.4457706015
604,113304.4457706015
605,113304.4457706015
606,113304.4457706015
607,113304.4457706015
608,113304.4457706015
609,113304.4457706015
610,113304.4457706015
611,113191.1413248309
612,113247.71638971267
613,114666.06515681557
614,114666.06515681557
615,114666.06515681557
616,114666.06515681557
617,114666.06515681557
618,114666.06515681557
619,114666.06515681557
620,114551.39909165876
621,114011.7744486016
622,115254.0121499447
623,115894.8181317747
624,116546.86801186799
625,117035.8951127403
626,111920.73926595275
627,112786.38197625813
628,112527.81355299284
629,111999.43968099744
630,113798.16787279263
631,114568.25806625528
632,114495.1864731407
633,111752.108283197
634,112960.63490814553
635,113326.00661931529
636,111617.20899523115
637,111454.19996160705
638,110211.94164186862
639,108407.5846281433
640,107412.6577062053
641,109278.84241478187
642,112730.16935774006
643,111206.87543660507
644,110380.57262462437
645,109141.4956683058
646,109141.4956683058
647,109141.4956683058
648,109141.4956683058
649,109141.4956683058
650,109141.4956683058
651,109141.4956683058
652,109141.4956683058
653,109141.4956683058
654,109141.4956683058
655,109141.4956683058
656,109141.4956683058
657,109141.4956683058
658,109141.4956683058
659,109032.3541726375
660,109136.13532091703
661,110168.45722173757
662,111550.34261318842
663,115810.70567318118
664,117350.98086474434
665,120671.88411315894
666,122837.47830871126
667,122837.47830871126
668,122837.47830871126
669,122837.47830871126
670,122837.47830871126
671,122837.47830871126
672,122837.47830871126
673,122837.47830871126
674,122837.47830871126
675,122837.47830871126
676,122714.64083040255
677,123697.38240279474
678,122593.18703549329
679,120953.45279728636
680,120169.48448216953
681,120826.46364711778
682,122162.54989718508
683,122328.16502637048
684,121715.34719569837
685,121207.40409589054
686,120716.05356099417
687,121306.79747496147
688,124045.20522607701
689,125541.3712500704
690,123890.62030481079
691,123165.54384937578
692,123165.54384937578
693,123165.54384937578
694,123165.54384937578
695,123165.54384937578
696,123165.54384937578
697,123165.54384937578
698,123165.54384937578
699,123042.37830552639
700,120033.9442428452
701,116716.97184202501
702,114854.61238975322
703,116948.38570103796
704,116160.46024849889
705,117664.68401677861
706,119482.94346552498
707,117587.5460637743
708,116975.92630818918
709,115598.43735370725
710,115598.43735370725
711,115598.43735370725
712,115598.43735370725
713,115598.43735370725
714,115598.43735370725
715,115598.43735370725
716,115598.43735370725
717,115598.43735370725
718,115598.43735370725
719,115598.43735370725
720,115598.43735370725
721,115598.43735370725
722,115598.43735370725
723,115598.43735370725
724,115598.43735370725
725,115598.43735370725
726,115598.43735370725
727,115598.43735370725
728,115598.43735370725
729,115598.43735370725
730,115598.43735370725
731,115598.43735370725
732,115598.43735370725
733,115598.43735370725
734,115598.43735370725
735,115598.43735370725
736,115482.83891635355
737,117132.74527465823
738,115968.44204478392
739,114197.11803706092
740,114290.92727230833
741,114037.10798073704
742,114837.22573159929
743,116194.67990988142
744,115571.1156736879
745,116222.2613363552
746,115571.1156736879
747,117342.43968141089
748,117192.01645124707
749,117192.01645124707
750,117192.01645124707
751,117192.01645124707
752,117192.01645124707
753,117192.01645124707
754,117192.01645124707
755,117192.01645124707
756,117192.01645124707
757,117192.01645124707
758,117192.01645124707
759,117192.01645124707
760,117192.01645124707
761,117192.01645124707
762,117192.01645124707
763,117192.01645124707
764,117192.01645124707
765,117192.01645124707
766,117192.01645124707
767,117192.01645124707
768,117192.01645124707
769,117192.01645124707
770,117192.01645124707
771,117192.01645124707
772,117192.01645124707
773,117192.01645124707
774,117192.01645124707
775,117074.82443479582
776,117285.46645890374
777,116905.25540662042
778,115708.10761663964
779,119741.44063691753
780,120640.58618843771
781,121854.49351977377
782,121854.49351977377
783,121854.49351977377
784,121854.49351977377
785,121854.49351977377
786,121854.49351977377
787,121854.49351977377
788,121854.49351977377
789,121854.49351977377
790,121854.49351977377
791,121732.639026254
792,121184.84140022814
793,120384.67769327835
794,120384.67769327835
795,120384.67769327835
796,120384.67769327835
797,120384.67769327835
798,120384.67769327835
799,120384.67769327835
800,120384.67769327835
801,120384.67769327835
802,120384.67769327835
803,120384.67769327835
804,120384.67769327835
805,120384.67769327835
806,120384.67769327835
807,120384.67769327835
808,120384.67769327835
809,120384.67769327835
810,120384.67769327835
811,120384.67769327835
812,120384.67769327835
813,120384.67769327835
814,120384.67769327835
815,120384.67769327835
816,120384.67769327835
817,120384.67769327835
818,120384.67769327835
819,120384.67769327835
820,120384.67769327835
821,120384.67769327835
822,120264.29301558506
823,120412.58747252081
824,119665.99210667056
825,119660.88152081896
826,119262.005917996
827,119896.11841383147
828,118725.0695252604
829,115927.86720560786
830,115171.03817273448
831,116265.3782922519
832,116403.45157748446
833,116873.90037286961
834,118958.84693991438
835,118958.84693991438
836,118958.84693991438
837,118958.84693991438
838,118958.84693991438
839,118958.84693991438
840,118958.84693991438
841,118958.84693991438
842,118958.84693991438
843,118958.84693991438
844,118958.84693991438
845,118958.84693991438
846,118958.84693991438
847,118958.84693991438
848,118958.84693991438
849,118958.84693991438
850,118958.84693991438
851,118958.84693991438
852,118958.84693991438
853,118958.84693991438
854,118958.84693991438
855,118958.84693991438
856,118958.84693991438
857,118958.84693991438
858,118958.84693991438
859,118958.84693991438
860,118958.84693991438
861,118958.84693991438
862,118958.84693991438
863,118958.84693991438
864,118958.84693991438
865,118958.84693991438
866,118958.84693991438
867,118958.84693991438
868,118958.84693991438
869,118958.84693991438
870,118958.84693991438
871,118958.84693991438
872,118839.88809297446
873,119628.22460253556
874,121376.01836190566
875,122838.56019635237
876,121614.58371295116
877,120774.39012947357
878,119685.26484928487
879,119617.83291128151
880,117403.27479548602
881,124145.51813625534
882,123342.65084877696
883,123342.65084877696
884,123342.65084877696
885,123342.65084877696
886,123342.65084877696
887,123342.65084877696
888,123342.65084877696
889,123342.65084877696
890,123342.65084877696
891,123342.65084877696
892,123342.65084877696
893,123342.65084877696
894,123342.65084877696
895,123342.65084877696
896,123342.65084877696
897,123342.65084877696
898,123342.65084877696
899,123342.65084877696
900,123342.65084877696
901,123342.65084877696
902,123342.65084877696
903,123342.65084877696
904,123342.65084877696
905,123342.65084877696
906,123342.65084877696
907,123342.65084877696
908,123342.65084877696
909,123342.65084877696
910,123342.65084877696
911,123342.65084877696
912,123342.65084877696
913,123342.65084877696
914,123342.65084877696
915,123342.65084877696
916,123342.65084877696
917,123342.65084877696
918,123342.65084877696
919,123342.65084877696
920,123342.65084877696
921,123342.65084877696
922,123342.65084877696
923,123342.65084877696
924,123219.30819792819
925,124058.51889902203
926,124029.78255830075
927,123776.85781552995
928,123863.08088282614
929,123000.8923452611
930,122397.34491932004
931,123213.5777839427
932,124914.96297746927
933,124594.8194673993
934,124594.8194673993
935,124594.8194673993
936,124594.8194673993
937,124594.8194673993
938,124594.8194673993
939,124594.8194673993
940,124594.8194673993
941,124594.8194673993
942,124594.8194673993
943,124594.8194673993
944,124594.8194673993
945,124594.8194673993
946,124594.8194673993
947,124594.8194673993
948,124594.8194673993
949,124594.8194673993
950,124594.8194673993
951,124594.8194673993
952,124594.8194673993
953,124594.8194673993
954,124594.8194673993
955,124594.8194673993
956,124594.8194673993
957,124594.8194673993
958,124594.8194673993
959,124594.8194673993
960,124594.8194673993
961,124594.8194673993
962,124594.8194673993
963,124594.8194673993
964,124594.8194673993
965,124594.8194673993
966,124594.8194673993
967,124594.8194673993
968,124594.8194673993
969,124470.2246479319
970,124605.91973343542
971,124488.71824672264
972,125426.30753211354
973,125284.43284147212
974,124260.49487843493
975,123588.15383943229
976,125148.73775596861
977,127572.86873779855
978,128010.83694779089
979,127788.76304022578
