,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,99900.0
31,100111.39988785106
32,99649.44171896121
33,100698.63241834975
34,100596.85118108933
35,95491.83731459477
36,95891.15352376964
37,96290.47929076565
38,96353.1116926595
39,96556.68372500148
40,95914.64664811804
41,96016.43744319961
42,96165.19537133569
43,96462.73034325015
44,97558.89773351436
45,99391.06514023447
46,99682.77094040635
47,99682.77094040635
48,99682.77094040635
49,99682.77094040635
50,99682.77094040635
51,99682.77094040635
52,99682.77094040635
53,99682.77094040635
54,99682.77094040635
55,99682.77094040635
56,99682.77094040635
57,99682.77094040635
58,99682.77094040635
59,99682.77094040635
60,99682.77094040635
61,99682.77094040635
62,99682.77094040635
63,99682.77094040635
64,99583.08816946595
65,102895.4746552903
66,103297.6153571574
67,103297.6153571574
68,103297.6153571574
69,103297.6153571574
70,103297.6153571574
71,103297.6153571574
72,103297.6153571574
73,103194.31774180025
74,102479.33539926758
75,101924.07367197888
76,101338.39427607378
77,103316.02555627636
78,103232.34911257337
79,104738.39510919024
80,103186.71332464615
81,104076.65297173889
82,105476.19998818784
83,105439.11365426742
84,105439.11365426742
85,105439.11365426742
86,105439.11365426742
87,105439.11365426742
88,105439.11365426742
89,105439.11365426742
90,105439.11365426742
91,105333.67454061315
92,107492.17692048191
93,102676.41746320801
94,100934.88806328154
95,97893.35472387876
96,99316.00129769684
97,100411.61082728667
98,102463.8289124691
99,98686.43976701565
100,98432.98031884595
101,95710.30984418526
102,97517.24266068413
103,99921.04028991958
104,98539.26461353227
105,94949.93149967614
106,97549.9493593119
107,97942.40978147884
108,101716.10110379277
109,101716.10110379277
110,101716.10110379277
111,101716.10110379277
112,101716.10110379277
113,101716.10110379277
114,101716.10110379277
115,101716.10110379277
116,101716.10110379277
117,101716.10110379277
118,101716.10110379277
119,101716.10110379277
120,101716.10110379277
121,101716.10110379277
122,101716.10110379277
123,101716.10110379277
124,101716.10110379277
125,101614.38500268897
