,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,99900.0
84,100717.20145169653
85,100038.11855521632
86,100015.0987960136
87,99347.52577913474
88,103209.09038539087
89,103939.96774007719
90,104924.06244599343
91,104406.11786393226
92,104561.50123855061
93,108578.44921942508
94,107997.20029955643
95,106397.32703496746
96,104895.28774699004
97,103583.16147243505
98,103876.66340226971
99,104423.38268333429
100,104555.74629874993
101,104452.1573823377
102,103260.88484359698
103,104216.20485050982
104,103410.51327841466
105,101735.82579641684
106,101776.1103750216
107,100058.81331873956
108,100058.81331873956
109,100058.81331873956
110,100058.81331873956
111,100058.81331873956
112,100058.81331873956
113,100058.81331873956
114,100058.81331873956
115,100058.81331873956
116,100058.81331873956
117,100058.81331873956
118,100058.81331873956
119,100058.81331873956
120,100058.81331873956
121,100058.81331873956
122,100058.81331873956
123,100058.81331873956
124,100058.81331873956
125,99958.7545054208
126,100167.99995637691
127,99749.50905446471
128,99490.70547038745
129,98268.27152006498
130,97932.3775066881
131,98262.7650608293
132,96374.04954298877
133,96038.15552961187
134,96049.16844808325
135,96508.71551005672
136,96508.71551005672
137,96508.71551005672
138,96508.71551005672
139,96508.71551005672
140,96508.71551005672
141,96508.71551005672
142,96508.71551005672
143,96508.71551005672
144,96508.71551005672
145,96508.71551005672
146,96508.71551005672
147,96508.71551005672
148,96508.71551005672
149,96508.71551005672
150,96508.71551005672
151,96412.20679454666
152,95510.21597648089
153,96406.90096620508
154,96661.58072660012
155,95780.81322190062
156,95091.05553749739
157,95409.40523799119
158,95976.56114690591
159,95976.56114690591
160,95976.56114690591
161,95976.56114690591
162,95976.56114690591
163,95976.56114690591
164,95976.56114690591
165,95976.56114690591
166,95976.56114690591
167,95976.56114690591
168,95976.56114690591
169,95976.56114690591
170,95976.56114690591
171,95976.56114690591
172,95880.584585759
173,95323.83919503819
174,95273.6819526309
175,96913.823779349
176,98202.86490921614
177,97911.9529032539
178,95925.72610392557
179,95208.47753750144
180,95840.45879183318
181,96096.26072811031
182,96096.26072811031
183,95188.41464053853
184,94591.54345589188
185,92088.69705976854
186,92078.66561128708
187,93994.67227124523
188,94431.04028018858
189,95218.50898598289
190,94537.03758056788
191,94537.03758056788
192,94537.03758056788
193,94537.03758056788
194,94537.03758056788
195,94537.03758056788
196,94537.03758056788
197,94537.03758056788
198,94537.03758056788
199,94537.03758056788
200,94442.50054298731
201,94160.21129165562
202,93394.68111855273
203,92796.6106708161
204,94031.02807494451
205,95499.88909458568
206,93098.03817647535
207,93844.43009525067
208,94786.9891208836
209,94054.95089285397
210,96619.47697274866
211,96743.87562587787
212,95428.12064085728
213,93547.78715317331
214,92365.99994844572
215,93820.50727734121
216,93930.55223972476
217,89787.12017780535
218,91959.31204398481
219,89256.03362021522
220,87672.34307460861
221,84841.07757502339
222,84841.07757502339
223,84841.07757502339
224,84841.07757502339
225,84841.07757502339
226,84841.07757502339
227,84841.07757502339
228,84841.07757502339
229,84841.07757502339
230,84841.07757502339
231,84841.07757502339
232,84841.07757502339
233,84841.07757502339
234,84841.07757502339
235,84841.07757502339
236,84841.07757502339
237,84841.07757502339
238,84841.07757502339
239,84841.07757502339
240,84841.07757502339
241,84841.07757502339
242,84841.07757502339
243,84841.07757502339
244,84756.23649744838
245,83103.17398636774
246,82657.45294280411
247,82878.1497701997
248,83622.46063906323
249,82181.44017783325
250,82596.86949998964
251,86495.84678397825
