,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,99900.0
26,98965.37890044576
27,99894.50222882615
28,100158.39524517088
29,99245.76523031204
30,98531.05497771174
31,98860.92124814265
32,99448.59450222884
33,99448.59450222884
34,99448.59450222884
35,99448.59450222884
36,99448.59450222884
37,99448.59450222884
38,99448.59450222884
39,99448.59450222884
40,99448.59450222884
41,99448.59450222884
42,99448.59450222884
43,99448.59450222884
44,99448.59450222884
45,99448.59450222884
46,99349.1459077266
47,98772.25978114376
48,98720.28805802818
49,100419.76340390737
50,101755.43668797756
51,101454.00069390725
52,99395.92045853061
53,98652.72481797794
54,99307.56852923414
55,99572.62431712355
56,99572.62431712355
57,98631.93612873172
58,98013.4726236564
59,95420.08364018939
60,95409.68929556628
61,97395.0091185811
62,97847.16310968657
63,98663.11916260105
64,97956.99495214672
65,97956.99495214672
66,97956.99495214672
67,97956.99495214672
68,97956.99495214672
69,97956.99495214672
70,97956.99495214672
71,97956.99495214672
72,97956.99495214672
73,97956.99495214672
74,97859.03795719457
75,97566.53665320376
76,96773.31277797447
77,96153.60662545158
78,97432.68012425881
79,98954.67843485503
80,96465.93852632311
81,97239.33180467167
82,98215.98870104775
83,97457.46837035973
84,100114.76835237788
85,100243.66723210264
86,98880.31369655229
87,96931.95755302031
88,95707.4181956351
89,97214.54355857076
90,97328.56949063497
91,93035.24526595639
92,95286.01801191953
93,92484.94620251606
94,90843.96431063545
95,87910.2753845921
96,87910.2753845921
97,87910.2753845921
98,87910.2753845921
99,87910.2753845921
100,87910.2753845921
101,87910.2753845921
102,87910.2753845921
103,87910.2753845921
104,87910.2753845921
105,87910.2753845921
106,87910.2753845921
107,87910.2753845921
108,87910.2753845921
109,87910.2753845921
110,87910.2753845921
111,87910.2753845921
112,87910.2753845921
113,87910.2753845921
114,87910.2753845921
115,87910.2753845921
116,87910.2753845921
117,87910.2753845921
118,87822.3651092075
119,86109.50166227004
120,85647.65628259841
121,85876.33700457175
122,86647.5739492661
123,85154.42335285203
124,85584.88118244888
125,89624.90727064433
