,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,99900.0
33,100981.98163268798
34,100525.36642016082
35,99105.88237220552
36,99224.99516946537
37,99294.48167362472
38,100088.59930141919
39,100038.96694968203
40,100396.32351737155
41,100325.67561496983
42,100325.67561496983
43,100325.67561496983
44,100325.67561496983
45,100325.67561496983
46,100325.67561496983
47,100325.67561496983
48,100325.67561496983
49,100325.67561496983
50,100325.67561496983
51,100325.67561496983
52,100325.67561496983
53,100325.67561496983
54,100325.67561496983
55,100325.67561496983
56,100325.67561496983
57,100325.67561496983
58,100325.67561496983
59,100325.67561496983
60,100325.67561496983
61,100325.67561496983
62,100325.67561496983
63,100325.67561496983
64,100325.67561496983
65,100325.67561496983
66,100325.67561496983
67,100325.67561496983
68,100325.67561496983
69,100325.67561496983
70,100325.67561496983
71,100325.67561496983
72,100325.67561496983
73,100325.67561496983
74,100225.34993935487
75,103343.9738025475
76,105997.13716543015
77,104755.89232914308
78,104900.70675202899
79,105898.87068656454
80,105200.67046615307
81,106560.86414460569
82,106643.61885099632
83,105873.0114191419
84,105614.41874491543
85,104776.58100574075
86,103012.98023017574
87,101187.3134248178
88,97758.37203925573
89,99547.83839554105
90,98285.90488265634
91,97029.14196059662
92,97210.15683255515
93,92436.53985431313
94,89276.5323246275
95,88443.8651762778
96,90833.26527410901
97,89845.43620792573
98,90943.92754685813
99,90943.92754685813
100,90943.92754685813
101,90943.92754685813
102,90943.92754685813
103,90943.92754685813
104,90943.92754685813
105,90943.92754685813
106,90943.92754685813
107,90943.92754685813
108,90943.92754685813
109,90943.92754685813
110,90943.92754685813
111,90943.92754685813
112,90852.98361931127
113,88337.3444507726
114,89732.74058237507
115,89020.30302903912
116,89251.22866446596
117,90184.7675274579
118,92258.20407668462
119,91855.31075596978
120,90243.72547759674
121,90558.1818731033
122,90582.7486852873
123,90764.546694103
124,91388.54132447382
125,92076.41206562577
