,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,99900.0
36,100043.72750341709
37,100115.59125512562
38,99855.0829333249
39,100376.09957692635
40,100061.68899762967
41,100915.0777147404
42,102549.98250982421
43,104705.9039485095
44,104104.03836237866
45,105119.12496454814
46,103187.77997180933
47,104023.19830727838
48,104104.03836237866
49,103690.82623376911
50,105711.99647242905
51,104903.53370942253
52,105676.06459657478
53,105604.20084486624
54,103457.2645970018
55,103807.60705215276
56,103942.349364749
57,103960.31085896157
58,104337.59999914595
59,103044.04358096315
60,102073.88293289788
61,102558.96770064507
62,102756.588574129
63,101921.17023865995
64,100501.85669870174
65,101049.82002733664
66,100975.6899456577
67,100975.6899456577
68,100975.6899456577
69,100975.6899456577
70,100975.6899456577
71,100975.6899456577
72,100975.6899456577
73,100975.6899456577
74,100975.6899456577
75,100975.6899456577
76,100975.6899456577
77,100975.6899456577
78,100975.6899456577
79,100975.6899456577
80,100975.6899456577
81,100975.6899456577
82,100975.6899456577
83,100975.6899456577
84,100975.6899456577
85,100975.6899456577
86,100975.6899456577
87,100975.6899456577
88,100975.6899456577
89,100975.6899456577
90,100975.6899456577
91,100975.6899456577
92,100975.6899456577
93,100975.6899456577
94,100975.6899456577
95,100975.6899456577
96,100874.71425571205
97,100018.14775897677
98,99457.77715363594
99,99305.67656075771
100,97624.56474473521
101,97672.59651090729
102,97176.26826046254
103,96968.13060705023
104,95006.83348835733
105,95591.2199767842
106,95319.03996847579
107,94790.690540583
108,94926.78054473721
109,95919.43704562668
110,95527.1776218881
111,95847.509475784
112,95847.509475784
113,95847.509475784
114,95847.509475784
115,95847.509475784
116,95847.509475784
117,95847.509475784
118,95847.509475784
119,95847.509475784
120,95847.509475784
121,95847.509475784
122,95847.509475784
123,95847.509475784
124,95847.509475784
125,95847.509475784
126,95847.509475784
127,95847.509475784
128,95847.509475784
129,95847.509475784
130,95847.509475784
131,95847.509475784
132,95847.509475784
133,95847.509475784
134,95847.509475784
135,95847.509475784
136,95847.509475784
137,95847.509475784
138,95847.509475784
139,95847.509475784
140,95847.509475784
141,95751.66196630822
142,96317.3181885407
143,95407.34948321019
144,95308.97448803933
145,95349.96406936052
146,96098.15509513253
147,96098.15509513253
148,96098.15509513253
149,96098.15509513253
150,96098.15509513253
151,96098.15509513253
152,96098.15509513253
153,96098.15509513253
154,96098.15509513253
155,96098.15509513253
156,96002.05694003741
157,95096.53108004895
158,95398.37303337843
159,96516.00404976058
160,98514.6872542396
161,98971.5291295491
162,99461.0025673807
163,98555.47670739224
164,99575.21303620806
165,99248.897410987
166,98889.95022324382
167,98384.16100415117
168,98424.95045730381
169,98571.7924886533
170,98106.79272271327
171,98400.47678541223
172,98049.68748829959
173,97641.79295677325
174,98327.05576973749
175,100007.58123962599
176,100913.10709961444
177,98441.26623856487
178,97527.58248794588
179,96972.84592507007
180,96556.79350291322
181,96369.16201841111
182,96369.16201841111
183,96238.63576832268
184,96875.87307914499
185,96875.87307914499
186,96875.87307914499
187,96875.87307914499
188,96875.87307914499
189,96875.87307914499
190,96875.87307914499
191,96875.87307914499
192,96875.87307914499
193,96875.87307914499
194,96875.87307914499
195,96875.87307914499
196,96875.87307914499
197,96875.87307914499
198,96875.87307914499
199,96875.87307914499
200,96875.87307914499
201,96875.87307914499
202,96875.87307914499
203,96875.87307914499
204,96875.87307914499
205,96875.87307914499
206,96778.99720606585
207,96620.5638800348
208,97000.80386250932
209,97634.53716663351
210,97563.24216991954
211,97230.53218525433
212,95099.60395013673
213,94410.41898190168
214,93309.3073659859
215,94473.7923123141
216,94790.65896437618
217,93317.22903228745
218,94553.00897532962
219,93816.29400928524
220,91685.36577416764
221,92025.9974251344
222,92556.7490673384
223,92802.32072268653
224,93238.01236927192
225,89887.14752371525
226,88926.74846631393
227,88926.74846631393
228,88926.74846631393
229,88926.74846631393
230,88926.74846631393
231,88926.74846631393
232,88926.74846631393
233,88926.74846631393
234,88926.74846631393
235,88926.74846631393
236,88926.74846631393
237,88926.74846631393
238,88926.74846631393
239,88926.74846631393
240,88926.74846631393
241,88926.74846631393
242,88926.74846631393
243,88926.74846631393
244,88926.74846631393
245,88926.74846631393
246,88926.74846631393
247,88926.74846631393
248,88926.74846631393
249,88926.74846631393
250,88926.74846631393
251,88926.74846631393
