,portfolio
0,100000.0
1,100000.0
2,100000.0
3,99899.99999999999
4,99507.86756549194
5,99135.84470517961
6,99135.84470517961
7,99135.84470517961
8,99135.84470517961
9,99135.84470517961
10,99135.84470517961
11,99135.84470517961
12,99135.84470517961
13,99135.84470517961
14,99036.70886047445
15,99198.0755930316
16,99784.0916217918
17,98841.37018422104
18,98739.45435313231
19,98781.91928275261
20,99656.69683293089
21,99786.12144542766
22,99786.12144542766
23,99786.12144542766
24,99786.12144542766
25,99786.12144542766
26,99786.12144542766
27,99786.12144542766
28,99786.12144542766
29,99786.12144542766
30,99686.33532398223
31,98746.05802784338
32,99059.483793223
33,100220.00622179077
34,102295.39304660175
35,102769.76717798712
36,103278.02517590001
37,102337.74787976115
38,103396.61870874636
39,103057.7800434711
40,102685.0575116683
41,102159.85758049165
42,102202.21241365105
43,102354.68981302492
44,101871.84471500767
45,102176.79951375541
46,101812.5479485845
47,101388.99961699042
48,102100.56081406848
49,103845.57994023607
50,104785.85723637493
51,102219.15434691482
52,101270.40608414408
53,100694.38035317614
54,100262.36105495018
55,100067.5288224169
56,100067.5288224169
57,99931.99335630679
58,100694.38035317614
59,99586.64898865826
60,99586.64898865826
61,99586.64898865826
62,99586.64898865826
63,99586.64898865826
64,99586.64898865826
65,99586.64898865826
66,99586.64898865826
67,99586.64898865826
68,99586.64898865826
69,99586.64898865826
70,99586.64898865826
71,99586.64898865826
72,99586.64898865826
73,99586.64898865826
74,99586.64898865826
75,99586.64898865826
76,99586.64898865826
77,99586.64898865826
78,99487.06233966962
79,99980.81474408909
80,98888.0840129968
81,98726.1979787609
82,99114.72446092706
83,99762.26859787063
84,99689.41988246448
85,99349.4592105691
86,97172.09205009631
87,96467.88780117016
88,95342.77986323068
89,96532.64221486452
90,96856.41428333631
91,95350.87416494248
92,96613.58523198246
93,95860.81517278554
94,93683.44801231276
95,94031.50298591993
96,94573.82120061018
97,94824.74455367582
98,95269.93114782454
99,91846.04152373534
100,90955.66833543792
101,88875.43279550665
102,89255.86497596101
103,91325.6264894772
104,91325.6264894772
105,91325.6264894772
106,91325.6264894772
107,91325.6264894772
108,91325.6264894772
109,91325.6264894772
110,91325.6264894772
111,91325.6264894772
112,91325.6264894772
113,91325.6264894772
114,91325.6264894772
115,91325.6264894772
116,91325.6264894772
117,91325.6264894772
118,91325.6264894772
119,91325.6264894772
120,91325.6264894772
121,91325.6264894772
122,91325.6264894772
123,91325.6264894772
124,91325.6264894772
125,91325.6264894772
