,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,99886.62891257378
10,101294.50206658208
11,100904.14906639494
12,100593.90281718064
13,106362.15508962527
14,108517.31741394999
15,107409.69485910935
16,107423.04416952022
17,106232.04831140391
18,107119.46168700368
19,107880.11105623865
20,104533.93109678225
21,105232.85351600157
22,104272.01893314206
23,105800.00321532508
24,106165.32353636494
25,101916.42783016455
26,101916.42783016455
27,101916.42783016455
28,101916.42783016455
29,101916.42783016455
30,101916.42783016455
31,101916.42783016455
32,101916.42783016455
33,101916.42783016455
34,101814.51140233438
35,102978.06090050943
36,103093.36850520887
37,102654.80729578376
38,102654.80729578376
39,102654.80729578376
40,102654.80729578376
41,102654.80729578376
42,102552.15248848798
43,102904.2511662301
44,102059.24213213095
45,102193.51188807735
46,102537.41178365158
47,100984.97719039845
48,101160.19809951982
49,98641.60062980655
50,96923.74732201871
51,96070.59295283229
52,95851.80243254082
53,95851.80243254082
54,95851.80243254082
55,95851.80243254082
56,95851.80243254082
57,95755.95063010827
58,94007.73355980605
59,96753.30458771544
60,97247.96909607467
61,97491.25206815447
62,97500.92827473064
63,97667.42869652814
64,97667.42869652814
65,97667.42869652814
66,97569.7612678316
67,98821.53517147836
68,99632.08415853203
69,101365.07195444377
70,101775.92945997074
71,101777.53653258386
72,101582.46504974584
73,101040.51633534864
74,100755.94969192545
75,100907.8389249382
76,100332.30865424866
77,98190.07042542308
78,97927.38268770116
79,97927.38268770116
80,97927.38268770116
81,97927.38268770116
82,97927.38268770116
83,97927.38268770116
84,97927.38268770116
85,97927.38268770116
86,97927.38268770116
87,97829.45530501346
88,97264.98527167269
89,100144.43783059169
90,100859.35110301094
91,100859.35110301094
92,100758.49175190793
93,103809.52919406565
94,102346.57780378361
95,102809.88140048135
96,105022.19181219215
97,106108.22219817125
98,108050.87266536914
99,107154.02239336602
100,107727.58219096124
101,106762.24237733516
102,106905.23119176421
103,106897.74333899555
104,107441.55593968256
105,110160.63839208576
106,108373.38518104785
107,107751.67418220369
108,107751.67418220369
109,107751.67418220369
110,107751.67418220369
111,107751.67418220369
112,107751.67418220369
113,107751.67418220369
114,107751.67418220369
115,107643.92250802148
116,108497.26653317238
117,110191.12886675686
118,111198.28639915741
119,111275.19315278225
120,109859.68096597251
121,110269.86616753133
122,110280.83756375941
123,110123.37484888027
124,110042.79511428635
125,110757.8003764772
126,110757.8003764772
127,110757.8003764772
128,110757.8003764772
129,110647.04257610072
130,111029.22872479905
131,110668.88617255657
132,111096.56701565807
133,112501.58636129933
134,112468.82687348317
135,112752.76999993874
136,113677.30110596273
137,114041.30591612912
138,114252.41736483978
139,116057.83963891702
140,116234.34865711434
141,114206.92267043662
142,114942.16229673529
143,114274.23733382516
144,114663.73618463607
145,114925.80027343007
146,114942.16229673529
147,114652.69331924942
148,114652.69331924942
149,114652.69331924942
150,114652.69331924942
151,114652.69331924942
152,114652.69331924942
153,114652.69331924942
154,114652.69331924942
155,114652.69331924942
156,114652.69331924942
157,114652.69331924942
158,114652.69331924942
159,114652.69331924942
160,114652.69331924942
161,114652.69331924942
162,114652.69331924942
163,114652.69331924942
164,114538.04062593017
165,115295.91758727505
166,115796.13151830605
167,117104.990865442
168,116189.16895672023
169,120377.13312983693
170,121945.49874764953
171,124923.34409220988
172,124923.34409220988
173,124923.34409220988
174,124798.42074811767
175,124857.7587120623
176,117867.30683488605
177,118898.74647778063
178,119371.4254691948
179,125630.85400199045
180,125340.81399671815
181,125340.81399671815
182,125340.81399671815
183,125340.81399671815
184,125340.81399671815
185,125340.81399671815
186,125340.81399671815
187,125340.81399671815
188,125340.81399671815
189,125340.81399671815
190,125340.81399671815
191,125340.81399671815
192,125340.81399671815
193,125340.81399671815
194,125340.81399671815
195,125340.81399671815
196,125340.81399671815
197,125340.81399671815
198,125340.81399671815
199,125340.81399671815
200,125340.81399671815
201,125340.81399671815
202,125340.81399671815
203,125215.47318272143
204,123492.7232018783
205,123492.7232018783
206,123492.7232018783
207,123492.7232018783
208,123492.7232018783
209,123492.7232018783
210,123492.7232018783
211,123369.23047867641
212,125391.66391021285
213,126821.20045551662
214,126684.8536153218
215,126443.13566278918
216,127393.40662829329
217,126938.94844959123
218,127719.81838911372
219,129447.37711883124
220,129447.37711883124
221,129447.37711883124
222,129317.9297417124
223,129343.42828456062
224,127900.12521229153
225,126677.89229885054
226,126913.82280976063
227,126415.30303379678
228,126415.30303379678
229,126415.30303379678
230,126415.30303379678
231,126415.30303379678
232,126288.887730763
233,127263.64957380998
234,127189.33382242949
235,128144.97566043757
236,128219.31898212094
237,127471.79157531139
238,131411.3485311241
239,131411.3485311241
240,131411.3485311241
241,131279.93718259298
242,129153.37601834594
243,129481.0365024808
244,127465.83625369787
245,127076.1078020749
246,125983.92008929259
247,124570.03266921637
248,124570.03266921637
249,124570.03266921637
250,124570.03266921637
251,124570.03266921637
252,124570.03266921637
253,124570.03266921637
254,124445.46263654715
255,124138.3900082435
256,127333.3675380072
257,125033.49661169978
258,125059.65030454827
259,124401.53236349234
260,124401.53236349234
261,124401.53236349234
262,124401.53236349234
263,124401.53236349234
264,124401.53236349234
265,124401.53236349234
266,124401.53236349234
267,124401.53236349234
268,124401.53236349234
269,124401.53236349234
270,124401.53236349234
271,124277.13083112884
272,124142.50660523892
273,124312.55745217549
274,124461.90259649235
275,124461.90259649235
276,124461.90259649235
277,124461.90259649235
278,124461.90259649235
279,124461.90259649235
280,124461.90259649235
281,124461.90259649235
282,124337.44069389586
283,123971.85443925559
284,124762.00086925617
285,124578.0365308937
286,125535.61255512963
287,123988.38918338271
288,122872.4364368357
289,122872.4364368357
290,122872.4364368357
291,122872.4364368357
292,122872.4364368357
293,122872.4364368357
294,122872.4364368357
295,122749.56400039887
296,121970.31947037476
297,122581.90039325727
298,123073.07344797677
299,122931.38287025431
300,122813.32016202118
301,121899.47418151353
302,122924.28607909406
303,122383.82779472214
304,122383.82779472214
305,122383.82779472214
306,122383.82779472214
307,122383.82779472214
308,122383.82779472214
309,122261.44396692741
310,120063.80433270933
311,118717.56959207477
312,115834.13804826656
313,111733.39057489569
314,111010.11970911124
315,111010.11970911124
316,111010.11970911124
317,111010.11970911124
318,111010.11970911124
319,111010.11970911124
320,111010.11970911124
321,111010.11970911124
322,111010.11970911124
323,111010.11970911124
324,111010.11970911124
325,111010.11970911124
326,110899.10958940213
327,112697.68729272467
328,114014.9396440107
329,113259.2084149256
330,112197.36297694052
331,112982.66489752752
332,113447.08096628632
333,111274.87524635771
334,111616.85659381475
335,112013.71774639923
336,111956.70715233365
337,111946.16968163625
338,113462.27738986845
339,113462.27738986845
340,113462.27738986845
341,113462.27738986845
342,113462.27738986845
343,113462.27738986845
344,113462.27738986845
345,113462.27738986845
346,113462.27738986845
347,113462.27738986845
348,113462.27738986845
349,113462.27738986845
350,113462.27738986845
351,113462.27738986845
352,113462.27738986845
353,113348.81511247858
354,110636.71484194705
355,110460.26445113454
356,111083.9212129984
357,107406.75961977908
358,107406.75961977908
359,107406.75961977908
360,107406.75961977908
361,107406.75961977908
362,107406.75961977908
363,107406.75961977908
364,107299.3528601593
365,101888.0704715081
366,99588.39938887217
367,94536.89336201813
368,97779.78309974447
369,97337.34588686393
370,97492.92527744868
371,97784.64642409526
372,96362.53520209374
373,93887.83143146984
374,96370.60219632987
375,96370.60219632987
376,96370.60219632987
377,96370.60219632987
378,96370.60219632987
379,96370.60219632987
380,96274.23159413354
381,105642.49853283945
382,104572.99817607687
383,105242.3250838586
384,104658.74360012934
385,105995.01090890197
386,103019.95010576116
387,102877.03594990353
388,103174.7814482622
389,105632.97552664211
390,107347.98376521014
391,105339.98002089918
392,106809.65382664267
393,106785.83480066639
394,110270.64885012737
395,118457.46447525117
396,117085.43793289302
397,115156.06613419381
398,112940.82765550294
399,109794.26833060192
400,113162.3507360065
401,110829.05111411442
402,110829.05111411442
403,110829.05111411442
404,110829.05111411442
405,110829.05111411442
406,110829.05111411442
407,110829.05111411442
408,110829.05111411442
409,110829.05111411442
410,110829.05111411442
411,110829.05111411442
412,110829.05111411442
413,110829.05111411442
414,110829.05111411442
415,110829.05111411442
416,110829.05111411442
417,110829.05111411442
418,110829.05111411442
419,110829.05111411442
420,110829.05111411442
421,110829.05111411442
422,110829.05111411442
423,110829.05111411442
424,110829.05111411442
425,110829.05111411442
426,110829.05111411442
427,110829.05111411442
428,110829.05111411442
429,110829.05111411442
430,110829.05111411442
431,110829.05111411442
432,110829.05111411442
433,110829.05111411442
434,110829.05111411442
435,110829.05111411442
436,110718.22206300031
437,109168.99930360762
438,106653.2609999236
439,106135.31641221873
440,106123.75538188523
441,105943.3899002713
442,105186.04007000255
443,105186.04007000255
444,105186.04007000255
445,105186.04007000255
446,105080.85402993254
447,104645.66024798661
448,104462.54253341797
449,103944.10994430997
450,104298.45520973665
451,107316.2584358392
452,107523.15647782902
453,109898.86787999586
454,112793.00421008271
455,113796.7995333864
456,113796.7995333864
457,113683.002733853
458,113477.9191744755
459,112558.70397575868
460,113890.48797669326
461,115820.58651250701
462,117253.67647542623
463,116491.29353855735
464,116006.35556248359
465,116250.02927847103
466,112862.6995860965
467,116327.24068144445
468,119347.84341322967
469,119502.2584467381
470,118595.09829996529
471,116933.96689890978
472,116933.96689890978
473,116933.96689890978
474,116933.96689890978
475,116933.96689890978
476,116933.96689890978
477,116933.96689890978
478,116933.96689890978
479,116933.96689890978
480,116933.96689890978
481,116933.96689890978
482,116933.96689890978
483,116933.96689890978
484,116933.96689890978
485,116933.96689890978
486,116933.96689890978
487,116933.96689890978
488,116933.96689890978
489,116933.96689890978
490,116933.96689890978
491,116817.03293201087
492,117532.27349321294
493,118092.13578551813
494,116969.73598494785
495,117639.43746672927
496,118590.36455399872
497,115292.84158344999
498,115801.0697396266
499,115801.0697396266
500,115801.0697396266
501,115685.26866988698
502,117113.28153931293
503,119366.06410772359
504,119432.79207377814
505,119125.84342992725
506,116419.28489545162
507,116187.06125482419
508,114753.70842832093
509,114422.74287606923
510,113702.0550457861
511,114689.6461413227
512,116340.19934003202
513,116340.19934003202
514,116340.19934003202
515,116340.19934003202
516,116340.19934003202
517,116340.19934003202
518,116340.19934003202
519,116340.19934003202
520,116340.19934003202
521,116340.19934003202
522,116340.19934003202
523,116340.19934003202
524,116340.19934003202
525,116340.19934003202
526,116340.19934003202
527,116340.19934003202
528,116340.19934003202
529,116340.19934003202
530,116340.19934003202
531,116340.19934003202
532,116340.19934003202
533,116340.19934003202
534,116340.19934003202
535,116340.19934003202
536,116340.19934003202
537,116340.19934003202
538,116340.19934003202
539,116340.19934003202
540,116340.19934003202
541,116223.85914069199
542,113965.76068999033
543,115112.64715003794
544,115776.62893060638
545,116118.6024231013
546,116118.6024231013
547,116118.6024231013
548,116118.6024231013
549,116118.6024231013
550,116118.6024231013
551,116118.6024231013
552,116118.6024231013
553,116118.6024231013
554,116118.6024231013
555,116118.6024231013
556,116002.48382067822
557,116287.03543130701
558,111068.18934652829
559,117906.37782975272
560,114664.7538601586
561,115756.06584945582
562,115456.83727674569
563,116906.34570462997
564,116906.34570462997
565,116906.34570462997
566,116906.34570462997
567,116906.34570462997
568,116906.34570462997
569,116906.34570462997
570,116789.43935892535
571,117057.50988236725
572,122892.65938584886
573,124101.98984787954
574,130503.08520372215
575,134414.0495159947
576,135194.43451452392
577,139987.0683461923
578,142131.68051313102
579,142557.63206185176
580,141053.4201856827
581,137994.36856673236
582,139176.86894630519
583,136430.57586725106
584,135060.39925280295
585,136648.02811996144
586,136627.41248338376
587,136627.41248338376
588,136627.41248338376
589,136627.41248338376
590,136627.41248338376
591,136627.41248338376
592,136627.41248338376
593,136627.41248338376
594,136627.41248338376
595,136627.41248338376
596,136627.41248338376
597,136627.41248338376
598,136627.41248338376
599,136627.41248338376
600,136627.41248338376
601,136627.41248338376
602,136627.41248338376
603,136627.41248338376
604,136627.41248338376
605,136627.41248338376
606,136490.78507090037
607,133319.7006409307
608,132295.74358986111
609,136173.99343997383
610,139239.47725305325
611,142576.949338456
612,145835.6244162529
613,145835.6244162529
614,145835.6244162529
615,145689.78879183665
616,145183.72655735494
617,143665.50877155166
618,145436.75767459578
619,147827.6126665906
620,152693.6698099226
621,153387.883919316
622,154464.91871296673
623,156424.29876935043
624,159840.3017383904
625,158792.45327908034
626,158510.21510592668
627,156654.63976511237
628,154666.03193124378
629,154271.55689606143
630,154271.55689606143
631,154271.55689606143
632,154271.55689606143
633,154271.55689606143
634,154271.55689606143
635,154271.55689606143
636,154271.55689606143
637,154271.55689606143
638,154271.55689606143
639,154271.55689606143
640,154271.55689606143
641,154271.55689606143
642,154271.55689606143
643,154271.55689606143
644,154271.55689606143
645,154271.55689606143
646,154271.55689606143
647,154271.55689606143
648,154271.55689606143
649,154271.55689606143
650,154271.55689606143
651,154271.55689606143
652,154271.55689606143
653,154271.55689606143
654,154271.55689606143
655,154271.55689606143
656,154271.55689606143
657,154117.28533916536
658,161434.79104904813
659,161859.29819540854
660,161157.12181645245
661,161157.12181645245
662,161157.12181645245
663,160995.964694636
664,158428.48739911828
665,155577.90811474883
666,156492.29428153118
667,164848.80192683556
668,168841.53768590488
669,165467.0638289941
670,160205.22259398323
671,157709.32104726217
672,157556.3794588649
673,159346.07887488703
674,159346.07887488703
675,159346.07887488703
676,159346.07887488703
677,159346.07887488703
678,159346.07887488703
679,159346.07887488703
680,159346.07887488703
681,159346.07887488703
682,159346.07887488703
683,159346.07887488703
684,159346.07887488703
685,159346.07887488703
686,159346.07887488703
687,159186.73279601213
688,164323.20283051493
689,168463.27120329157
690,165102.95289810837
691,167340.07850234988
692,165335.0111352759
693,163450.60772680066
694,166628.40820631964
695,166498.4350381386
696,168088.88681282845
697,160056.22482986562
698,160706.00172927804
699,160387.30459571123
700,161553.02187473117
701,161553.02187473117
702,161553.02187473117
703,161553.02187473117
704,161553.02187473117
705,161553.02187473117
706,161553.02187473117
707,161553.02187473117
708,161553.02187473117
709,161553.02187473117
710,161553.02187473117
711,161553.02187473117
712,161553.02187473117
713,161553.02187473117
714,161553.02187473117
715,161553.02187473117
716,161553.02187473117
717,161553.02187473117
718,161553.02187473117
719,161553.02187473117
720,161553.02187473117
721,161553.02187473117
722,161553.02187473117
723,161553.02187473117
724,161553.02187473117
725,161553.02187473117
726,161553.02187473117
727,161391.46885285643
728,161630.36551801136
729,158748.4324348398
730,161270.50900509412
731,161207.0253673313
732,164557.68268970377
733,168818.5908753951
734,165428.58586699713
735,170645.11934628422
736,168724.84795920373
737,170666.2902171158
738,167515.19153211676
739,158021.72965090376
740,158021.72965090376
741,158021.72965090376
742,158021.72965090376
743,158021.72965090376
744,158021.72965090376
745,158021.72965090376
746,158021.72965090376
747,158021.72965090376
748,158021.72965090376
749,157863.70792125285
750,157810.07720340756
751,156900.8780144577
752,157756.4369647531
753,158239.34192478
754,160597.35120190174
755,159828.2602401508
756,155911.1518218623
757,156572.94326468612
758,158999.50236756433
759,158343.6804720668
760,157869.68698938828
761,158525.5279265041
762,159154.5297026744
763,161494.64937943555
764,163891.2918150242
765,163891.2918150242
766,163727.40052320916
767,163809.77792110184
768,162791.29543836802
769,159974.1426177616
770,164542.82582268733
771,164775.3478273303
772,162800.1142011189
773,163162.19116387202
774,162161.3274033079
775,162711.81375361743
776,162099.5020473912
777,162625.55497191445
778,162625.55497191445
779,162625.55497191445
780,162625.55497191445
781,162625.55497191445
782,162625.55497191445
783,162625.55497191445
784,162625.55497191445
785,162625.55497191445
786,162625.55497191445
787,162625.55497191445
788,162462.92941694253
789,161695.97915951916
790,161006.530424742
791,161734.74760717788
792,162944.70519897857
793,160621.65807551707
794,160627.17621222764
795,159287.047190332
796,155053.31661435319
797,155053.31661435319
798,155053.31661435319
799,155053.31661435319
800,155053.31661435319
801,155053.31661435319
802,155053.31661435319
803,155053.31661435319
804,155053.31661435319
805,154898.26329773883
806,154555.2197570477
807,154203.41998912417
808,151807.770074259
809,154229.5772448119
810,155738.4989775137
811,158398.73923700844
812,154827.6301740068
813,154827.6301740068
814,154827.6301740068
815,154827.6301740068
816,154827.6301740068
817,154827.6301740068
818,154672.8025438328
819,153292.3521093512
820,152635.0024848738
821,154852.06756852404
822,152437.79664323185
823,153271.44342321338
824,152479.61401550742
825,150049.58491679135
826,150049.58491679135
827,150049.58491679135
828,150049.58491679135
829,150049.58491679135
830,150049.58491679135
831,150049.58491679135
832,150049.58491679135
833,150049.58491679135
834,149899.53533187456
835,149596.94829690325
836,149778.52076520878
837,148960.10557353476
838,152902.17648041152
839,151493.08246120866
840,152596.4971270586
841,155436.3405974641
842,154843.97756081668
843,154219.6697708879
844,151757.31002292247
845,152881.04563813724
846,150955.88417569024
847,150938.4714781367
848,153981.34224389572
849,153981.34224389572
850,153981.34224389572
851,153981.34224389572
852,153981.34224389572
853,153981.34224389572
854,153981.34224389572
855,153981.34224389572
856,153981.34224389572
857,153981.34224389572
858,153981.34224389572
859,153981.34224389572
860,153981.34224389572
861,153827.36090165182
862,152639.3403026048
863,153652.84123173126
864,156282.7289807016
865,156282.7289807016
866,156282.7289807016
867,156282.7289807016
868,156282.7289807016
869,156126.4462517209
870,154368.97695036148
871,155333.72992175326
872,157158.80243633388
873,155640.97298961988
874,159936.32846130108
875,164837.00633727768
876,168370.38926235904
877,168938.81328363874
878,169663.92640038513
879,170035.69538164904
880,167854.20143176196
881,167470.12325120223
882,168253.6466348603
883,168597.73939428976
884,167915.6500453353
885,174383.29678230343
886,170047.96562778254
887,171154.0796252647
888,170252.40855406612
889,170252.40855406612
890,170252.40855406612
891,170252.40855406612
892,170252.40855406612
893,170252.40855406612
894,170252.40855406612
895,170252.40855406612
896,170252.40855406612
897,170252.40855406612
898,170082.15614551204
899,170114.22935884562
900,172215.040080947
901,173292.7203806265
902,174957.39639640917
903,174793.80775965375
904,180123.8544709429
905,180123.8544709429
906,180123.8544709429
907,179943.73061647196
908,179341.7409569204
909,180429.7952817551
910,177687.16214416563
911,179187.22871319563
912,177474.69760617538
913,180127.21900732946
914,181279.63302797874
915,184305.55901813437
916,184843.16857613393
917,181691.68608364888
918,181282.8775402281
919,177896.38216990654
920,175846.8269448681
921,175846.8269448681
922,175846.8269448681
923,175846.8269448681
924,175846.8269448681
925,175846.8269448681
926,175846.8269448681
927,175846.8269448681
928,175846.8269448681
929,175846.8269448681
930,175846.8269448681
931,175670.98011792323
932,173129.8222875006
933,172324.9608425832
934,173500.60008188293
935,173123.78405914435
936,174281.3086133753
937,175363.48907137613
938,174510.59227784406
939,174510.59227784406
940,174510.59227784406
941,174510.59227784406
942,174510.59227784406
943,174510.59227784406
944,174510.59227784406
945,174510.59227784406
946,174510.59227784406
947,174510.59227784406
948,174510.59227784406
949,174510.59227784406
950,174510.59227784406
951,174510.59227784406
952,174510.59227784406
953,174510.59227784406
954,174336.0816855662
955,175492.28690331898
956,175185.0044449935
957,175510.5518096731
958,176304.66056291407
959,177719.46753821315
960,178480.1324185733
961,179800.62535789376
962,179201.3639254415
963,179201.3639254415
964,179201.3639254415
965,179201.3639254415
966,179201.3639254415
967,179201.3639254415
968,179201.3639254415
969,179201.3639254415
970,179022.16256151604
971,188314.61752590394
972,188338.25802009073
973,185922.8658654222
974,186312.6064592127
