,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,99344.71768430577
10,100405.54799128314
11,101905.62060154718
12,102344.87302166146
13,103264.80627085331
14,103132.20501168803
15,103082.4808041045
16,103612.8858407656
17,103480.28458160032
18,102987.67571941126
19,102987.67571941126
20,102987.67571941126
21,102987.67571941126
22,102987.67571941126
23,102987.67571941126
24,102987.67571941126
25,102987.67571941126
26,102884.68804369184
27,102635.65233410943
28,102442.84701471192
29,101743.93876419262
30,100113.13977099965
31,100482.68738588068
32,102203.97561009324
33,102203.97561009324
34,102203.97561009324
35,102203.97561009324
36,102203.97561009324
37,102203.97561009324
38,102203.97561009324
39,102203.97561009324
40,102203.97561009324
41,102203.97561009324
42,102203.97561009324
43,102203.97561009324
44,102203.97561009324
45,102203.97561009324
46,102203.97561009324
47,102203.97561009324
48,102203.97561009324
49,102203.97561009324
50,102101.77163448313
51,99152.41860070007
52,99415.30938840187
53,99858.94636770932
54,97870.80846053247
55,97476.46225033904
56,97476.46225033904
57,96572.76137823307
58,95890.87398146046
59,95849.79666909201
60,95069.3277340914
61,100023.25561718312
62,101510.25231919298
63,101855.30776027242
64,100434.02874086765
65,99316.72785017388
66,100072.54638629712
67,97050.69590764002
68,97050.69590764002
69,97050.69590764002
70,97050.69590764002
71,97050.69590764002
72,97050.69590764002
73,97050.69590764002
74,96953.64521173238
75,97304.73108420246
76,96785.72809580402
77,96884.95226961731
78,98060.33481382049
79,97716.879420069
80,97869.52626173633
81,97724.50989878761
82,99785.24226129653
83,99235.70804119985
84,99716.54931918146
85,100693.49283258189
86,98174.819945071
87,98793.0377904589
88,98548.79725369687
89,100150.56245175209
90,100150.56245175209
91,100150.56245175209
92,100150.56245175209
93,100150.56245175209
94,100150.56245175209
95,100150.56245175209
96,100150.56245175209
97,100150.56245175209
98,100150.56245175209
99,100150.56245175209
100,100150.56245175209
101,100150.56245175209
102,100150.56245175209
103,100150.56245175209
104,100050.41188930033
105,97958.39050140012
106,94422.2363962873
107,95023.30960281608
108,95062.33995925708
109,93368.41677238031
110,93001.53523339317
111,94601.77984747416
112,96186.40660164137
113,96475.23695664214
114,95062.33995925708
115,95343.35661985315
116,96459.61909672836
117,96217.63279257329
118,95280.9042379893
119,94904.88768981583
120,94904.88768981583
121,94904.88768981583
122,94904.88768981583
123,94904.88768981583
124,94904.88768981583
125,94904.88768981583
