,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,99900.0
38,99783.56045612301
39,101297.28934920137
40,99160.60037334156
41,98496.90016117993
42,99969.8666908617
43,100377.40880010054
44,100330.82853574646
45,100639.39962665844
46,100039.73338172342
47,100057.20190727354
48,99667.12832358484
49,100482.1977193849
50,99579.793107173
51,99445.8850377459
52,97460.58006820212
53,96860.9064119283
54,95286.73245538026
55,95286.73245538026
56,95286.73245538026
57,95286.73245538026
58,95286.73245538026
59,95286.73245538026
60,95286.73245538026
61,95286.73245538026
62,95286.73245538026
63,95286.73245538026
64,95286.73245538026
65,95286.73245538026
66,95286.73245538026
67,95286.73245538026
68,95286.73245538026
69,95286.73245538026
70,95286.73245538026
71,95286.73245538026
72,95286.73245538026
73,95286.73245538026
74,95286.73245538026
75,95286.73245538026
76,95286.73245538026
77,95286.73245538026
78,95286.73245538026
79,95286.73245538026
80,95286.73245538026
81,95286.73245538026
82,95286.73245538026
83,95286.73245538026
84,95286.73245538026
85,95286.73245538026
86,95286.73245538026
87,95286.73245538026
88,95286.73245538026
89,95286.73245538026
90,95286.73245538026
91,95286.73245538026
92,95286.73245538026
93,95286.73245538026
94,95286.73245538026
95,95286.73245538026
96,95286.73245538026
97,95286.73245538026
98,95286.73245538026
99,95286.73245538026
100,95286.73245538026
101,95286.73245538026
102,95286.73245538026
103,95286.73245538026
104,95191.44572292488
105,96023.64986430953
106,94791.98975327912
107,92894.55287434853
108,92276.21963037936
109,92276.21963037936
110,92276.21963037936
111,92276.21963037936
112,92276.21963037936
113,92276.21963037936
114,92276.21963037936
115,92276.21963037936
116,92276.21963037936
117,92276.21963037936
118,92276.21963037936
119,92276.21963037936
120,92276.21963037936
121,92276.21963037936
122,92276.21963037936
123,92276.21963037936
124,92183.94341074898
125,92177.89442645291
126,92764.66864371493
127,92075.05411323876
128,94204.37996744725
129,93750.69098487977
130,93248.61012794364
131,93369.5898138652
132,92498.50575450668
133,92335.17559833176
134,91488.28747615755
135,93188.12028498287
136,94972.63129377244
137,96424.44058609691
138,96696.66003978207
139,96460.73449187339
140,97174.54495953387
141,96497.02839764986
142,100574.20299700368
143,99533.73979717416
144,97271.32870827113
145,97416.51949173864
146,96853.9336314801
147,97870.20847430613
148,98541.66089153243
149,98251.30206513987
150,99382.50760959138
151,98934.86761131998
152,99237.33198648551
153,100090.26151277497
154,101808.24127448852
155,102146.99955543054
156,100271.73862183814
157,100779.86846307034
158,101167.0261985618
159,101215.4104927496
160,101868.73111744931
161,99914.83338800789
162,100114.45744995929
163,100501.60760526992
164,99352.26268811099
165,101039.99752834416
166,101519.09446594816
167,101519.09446594816
168,101519.09446594816
169,101519.09446594816
170,101519.09446594816
171,101519.09446594816
172,101519.09446594816
173,101519.09446594816
174,101519.09446594816
175,101519.09446594816
176,101519.09446594816
177,101519.09446594816
178,101519.09446594816
179,101519.09446594816
180,101519.09446594816
181,101519.09446594816
182,101519.09446594816
183,101519.09446594816
184,101417.5753714822
185,99674.90599494733
186,99391.34484034374
187,100608.26049929656
188,100838.65026281688
189,101618.42139040616
190,102173.7115033944
191,101701.1218277054
192,100165.20721901374
193,99054.62699303727
194,100147.49567063632
195,95805.5794032169
196,95108.50871292688
197,94145.61046398127
198,94635.91903723788
199,92928.69480502846
200,91658.60775499236
201,87198.55325513845
202,85877.94743807838
203,85877.94743807838
204,85877.94743807838
205,85877.94743807838
206,85877.94743807838
207,85877.94743807838
208,85877.94743807838
209,85877.94743807838
210,85877.94743807838
211,85877.94743807838
212,85877.94743807838
213,85877.94743807838
214,85877.94743807838
215,85877.94743807838
216,85877.94743807838
217,85877.94743807838
218,85877.94743807838
219,85877.94743807838
220,85877.94743807838
221,85877.94743807838
222,85877.94743807838
223,85877.94743807838
224,85877.94743807838
225,85877.94743807838
226,85877.94743807838
227,85877.94743807838
228,85877.94743807838
229,85877.94743807838
230,85877.94743807838
231,85877.94743807838
232,85877.94743807838
233,85877.94743807838
234,85792.06949064031
235,88133.57099937231
236,89319.61313317926
237,89558.03848145794
238,88720.4770356513
239,87387.71980141384
240,88726.59206627579
241,88659.34194092551
242,88176.36860798416
243,87320.46967606359
244,88109.11848263389
245,78578.02943812346
246,78107.27856067158
247,74967.03540253507
248,76524.69494469013
249,74518.43249669821
250,74780.11625747646
251,74636.86917801476
