,portfolio
0,100000.0
1,99900.0
2,102210.28539580129
3,101718.03991416679
4,101173.29000235864
5,101304.55107779281
6,100359.4384371541
7,100182.2277609398
8,99263.36733538791
9,101107.65946464155
10,103043.82612232096
11,104514.39758158002
12,104514.39758158002
13,104514.39758158002
14,104409.88318399845
15,103681.92067991887
16,108062.67001933251
17,106944.73691044388
18,104513.87317339303
19,104669.87444664365
20,104065.40005497014
21,105157.34381108951
22,105878.79065167317
23,105566.81253891005
24,106782.24440743547
25,106301.27441732679
26,106626.2594233436
27,107542.69563862149
28,109279.2026603381
29,109279.2026603381
30,109169.92345767774
31,109723.14509955121
32,110144.65948566404
33,110197.33743625745
34,110908.63419416822
35,108781.34620156934
36,108998.68504363066
37,109420.19117689207
38,108168.85258082044
39,109896.35184341976
40,109896.35184341976
41,109896.35184341976
42,109896.35184341976
43,109896.35184341976
44,109896.35184341976
45,109896.35184341976
46,109896.35184341976
47,109896.35184341976
48,109896.35184341976
49,109896.35184341976
50,109896.35184341976
51,109896.35184341976
52,109896.35184341976
53,109896.35184341976
54,109896.35184341976
55,109896.35184341976
56,109896.35184341976
57,109896.35184341976
58,109896.35184341976
59,109786.45549157634
60,109474.12839411608
61,110814.49441197215
62,111068.25613129316
63,111927.13136511616
64,112538.75304327041
65,112018.2213720548
66,110326.49546428684
67,109103.25210797838
68,110306.98716279193
69,105524.60395126068
70,104756.81872437631
71,103696.2389857193
72,104236.28705316072
73,102355.87296786322
74,100956.9415718679
75,95948.39112538543
76,95948.39112538543
77,95948.39112538543
78,95948.39112538543
79,95948.39112538543
80,95948.39112538543
81,95948.39112538543
82,95948.39112538543
83,95948.39112538543
84,95948.39112538543
85,95948.39112538543
86,95948.39112538543
87,95948.39112538543
88,95948.39112538543
89,95948.39112538543
90,95948.39112538543
91,95948.39112538543
92,95948.39112538543
93,95948.39112538543
94,95948.39112538543
95,95948.39112538543
96,95948.39112538543
97,95948.39112538543
98,95948.39112538543
99,95948.39112538543
100,95948.39112538543
101,95948.39112538543
102,95948.39112538543
103,95948.39112538543
104,95948.39112538543
105,95948.39112538543
106,95948.39112538543
107,95948.39112538543
108,95948.39112538543
109,95948.39112538543
110,95852.44273426004
111,96108.30649408403
112,95209.48586886592
113,93779.25087352464
114,95216.04815235763
115,95143.87935803698
116,94625.58139285313
117,93707.08207920399
118,94553.41259853248
119,84325.2204379609
120,83820.03887771636
121,80450.11857770199
122,82121.70521837933
123,79968.70489000456
124,80169.27865263987
125,80169.27865263987
