,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,99900.0
10,103468.4214981782
11,101639.28049719117
12,101004.89372634374
13,102231.37612475715
14,102278.95202581334
15,102490.41428276249
16,101232.21679715886
17,101861.31881023158
18,101496.54625348076
19,102220.79352812406
20,102569.71181155069
21,101834.8884808161
22,101686.86293878916
23,101898.31865519652
24,102818.18699454836
25,102141.50253987766
26,101643.26334703944
27,101643.26334703944
28,101643.26334703944
29,101643.26334703944
30,101643.26334703944
31,101643.26334703944
32,101643.26334703944
33,101643.26334703944
34,101643.26334703944
35,101643.26334703944
36,101541.6200836924
37,101767.90086727691
38,101841.5742861698
39,103388.69004070855
40,102530.93118018167
41,103188.72491275903
42,104204.35166488324
43,106393.4795712821
44,107196.82322898936
45,106377.43374674613
46,106377.43374674613
47,106377.43374674613
48,106377.43374674613
49,106377.43374674613
50,106377.43374674613
51,106377.43374674613
52,106377.43374674613
53,106377.43374674613
54,106377.43374674613
55,106377.43374674613
56,106377.43374674613
57,106377.43374674613
58,106377.43374674613
59,106377.43374674613
60,106271.05631299938
61,106621.66323648722
62,107535.36829492985
63,106998.82587322018
64,106647.10287518715
65,106647.10287518715
66,106647.10287518715
67,106647.10287518715
68,106647.10287518715
69,106647.10287518715
70,106647.10287518715
71,106647.10287518715
72,106647.10287518715
73,106647.10287518715
74,106647.10287518715
75,106647.10287518715
76,106540.45577231197
77,107102.93271397652
78,107687.03805172187
79,108363.0904811085
80,107687.03805172187
81,107530.19256768929
82,107692.44515074207
83,106253.80690142223
84,106226.76480424676
85,105291.11220322037
86,103603.68137822665
87,102933.03604786024
88,102824.86765915838
89,102165.04312890682
90,103241.31991690522
91,103976.86363966297
92,104209.42831620177
93,104490.66348599682
94,104398.72299643002
95,104479.84928795641
96,104685.36526524526
97,104526.64978982344
98,104526.64978982344
99,104526.64978982344
100,104526.64978982344
101,104526.64978982344
102,104526.64978982344
103,104526.64978982344
104,104526.64978982344
105,104526.64978982344
106,104526.64978982344
107,104526.64978982344
108,104422.12314003361
109,104499.0428094234
110,106064.88020167816
111,106053.8945517993
112,106965.92481435991
113,107852.40720367846
114,107852.40720367846
115,107852.40720367846
116,107852.40720367846
117,107852.40720367846
118,107852.40720367846
119,107852.40720367846
120,107852.40720367846
121,107852.40720367846
122,107852.40720367846
123,107852.40720367846
124,107852.40720367846
125,107852.40720367846
126,107852.40720367846
127,107852.40720367846
128,107852.40720367846
129,107852.40720367846
130,107852.40720367846
131,107852.40720367846
132,107852.40720367846
133,107744.55479647478
134,107487.40388679414
135,107728.13849291416
136,108515.99416806879
137,108275.25956194877
138,107963.40322408863
139,108286.19931183988
140,109046.69893354276
141,108598.06232842398
142,108833.32038087449
143,110392.61542762311
144,109101.6244189989
145,109101.6244189989
146,109101.6244189989
147,109101.6244189989
148,109101.6244189989
149,109101.6244189989
150,109101.6244189989
151,109101.6244189989
152,109101.6244189989
153,109101.6244189989
154,109101.6244189989
155,109101.6244189989
156,109101.6244189989
157,109101.6244189989
158,109101.6244189989
159,109101.6244189989
160,108992.5227945799
161,108795.56946121623
162,107668.55241290371
163,107198.05092808449
164,107832.68130377703
165,108073.40501274225
166,109047.232424871
167,109112.88798827333
168,108554.84575225103
169,108402.57097301605
170,108402.57097301605
171,108402.57097301605
172,108402.57097301605
173,108402.57097301605
174,108402.57097301605
175,108402.57097301605
176,108402.57097301605
177,108402.57097301605
178,108294.16840204303
179,108057.74484158095
180,108103.87231922732
181,106731.4584341012
182,106731.4584341012
183,107383.06448907527
184,107014.01651134857
185,107394.60163784107
186,106143.27502121376
187,105952.98597753698
188,105653.12569671037
189,106841.02263211209
190,107567.59551707756
191,107890.51601715788
192,107062.53847881882
193,107062.53847881882
194,107062.53847881882
195,107062.53847881882
196,107062.53847881882
197,107062.53847881882
198,107062.53847881882
199,107062.53847881882
200,107062.53847881882
201,107062.53847881882
202,106955.47594034001
203,109546.82558410766
204,109534.99580638054
205,109416.6691407632
206,108339.89215039359
207,107896.1671543286
208,109286.50547533223
209,107736.4290445798
210,107393.27882545494
211,106328.33883489895
212,105044.49740178553
213,104056.47263271542
214,102784.46097732912
215,103861.2307456122
216,101411.86732291616
217,99477.22922890741
218,100512.58755305906
219,98678.52423599042
220,98536.53079283232
221,96672.88580935936
222,99465.39222909376
223,100027.44389077608
224,99755.29400427353
225,94448.34594017084
226,92348.04762546322
227,88052.79110797141
228,90508.06941953104
229,92566.94906802067
230,89478.62598424294
231,86561.87078794112
232,87827.96755446387
233,88851.4961008884
234,91229.85919096213
235,91348.18585657947
236,96566.38892146916
237,94294.79342475481
238,94294.79342475481
239,94294.79342475481
240,94294.79342475481
241,94294.79342475481
242,94294.79342475481
243,94294.79342475481
244,94294.79342475481
245,94294.79342475481
246,94294.79342475481
247,94294.79342475481
248,94294.79342475481
249,94294.79342475481
250,94294.79342475481
251,94200.49863133006
