,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,100123.74144580438
10,100855.9833560364
11,100632.24191023203
12,100342.39912842069
13,100642.40943660817
14,101349.2263236188
15,100932.25842570055
16,101150.90990103582
17,102600.13622465462
18,101400.27468648416
19,101400.27468648416
20,101400.27468648416
21,101400.27468648416
22,101400.27468648416
23,101400.27468648416
24,101400.27468648416
25,101400.27468648416
26,101400.27468648416
27,101400.27468648416
28,101400.27468648416
29,101400.27468648416
30,101400.27468648416
31,101400.27468648416
32,101400.27468648416
33,101400.27468648416
34,101400.27468648416
35,101400.27468648416
36,101400.27468648416
37,101298.87441179767
38,101898.58067668414
39,102126.05720775248
40,103046.2942817099
41,103108.33677794883
42,102581.00395898531
43,102437.10895712418
44,102437.10895712418
45,102437.10895712418
46,102437.10895712418
47,102437.10895712418
48,102437.10895712418
49,102437.10895712418
50,102437.10895712418
51,102437.10895712418
52,102334.67184816705
53,102111.25882571103
54,102154.84787909938
55,100857.95879775158
56,100857.95879775158
57,101473.7065595562
58,101124.96752536664
59,101484.6088117313
60,100302.14348994194
61,100122.32617264494
62,99838.96739265257
63,100961.49360867628
64,101648.08272842166
65,101953.23270922287
66,101170.81929829002
67,101170.81929829002
68,101170.81929829002
69,101170.81929829002
70,101170.81929829002
71,101170.81929829002
72,101170.81929829002
73,101170.81929829002
74,101170.81929829002
75,101170.81929829002
76,101170.81929829002
77,101069.64847899173
78,101058.73413738402
79,100949.56406845809
80,99956.11244330472
81,99546.72468483246
82,100829.47299471224
83,99399.34775706731
84,99082.75189189722
85,98100.22127156376
86,96915.72868900221
87,96004.16127875549
88,94830.58303780165
89,95824.02799974282
90,93564.20624033344
91,91779.27827867922
92,92734.51638178118
93,91042.38031342914
94,90911.37489807556
95,89191.94631249203
96,91768.35727385929
97,92286.9151012575
98,92035.8252753703
99,87139.55034932682
100,85201.78162589141
101,81238.90945652228
102,83504.1883867355
103,85403.74358811951
104,82554.40745443739
105,79863.36259012812
106,81031.4836602781
107,81975.80742177236
108,84170.12314189885
109,84279.29321082478
110,89004.59689458863
111,89004.59689458863
112,89004.59689458863
113,89004.59689458863
114,89004.59689458863
115,89004.59689458863
116,89004.59689458863
117,89004.59689458863
118,89004.59689458863
119,89004.59689458863
120,89004.59689458863
121,89004.59689458863
122,89004.59689458863
123,89004.59689458863
124,89004.59689458863
125,89004.59689458863
