,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,99900.0
12,106583.712440498
13,112698.6014883585
14,112911.900143711
15,118244.64401926933
16,115329.40823403747
17,119168.99214919185
18,118742.3717141747
19,120733.24780732795
20,119311.19510681221
21,115898.25475098715
22,115187.20527641712
23,121159.8682423451
24,122297.5265897762
25,123719.59085244802
26,129834.46833815244
27,118386.85853904576
28,120022.24458138224
29,125141.6666772759
30,125070.5478552316
31,123221.87471969872
32,126705.91077325592
33,120733.24780732795
34,126492.61211790342
35,124146.23441177733
36,124715.02311794659
37,131114.32964320388
38,130829.9121658071
39,136944.81277582367
40,138011.3407390544
41,144766.14887728455
42,144766.14887728455
43,143770.70504962985
44,139931.14425878768
45,146685.92927270563
46,144695.03005524023
47,137798.05364585796
48,137015.8969113997
49,140286.6574339166
50,137798.05364585796
51,129621.14655848777
52,128625.7142929892
53,130687.72077034281
54,130403.28016863386
55,127772.48498511096
56,130261.08877316958
57,132820.7998211164
58,126990.3398128088
59,127701.36616306668
60,126579.20486248267
61,126579.20486248267
62,126579.20486248267
63,126579.20486248267
64,126579.20486248267
65,126579.20486248267
66,126579.20486248267
67,126579.20486248267
68,126579.20486248267
69,126579.20486248267
70,126579.20486248267
71,126579.20486248267
72,126579.20486248267
73,126579.20486248267
74,126452.62565762018
75,129588.78823236078
76,129411.26886985342
77,131245.62920098478
78,136452.86704192334
79,135742.7607253923
80,136807.8865226037
81,136985.40588511107
82,140890.8126159388
83,140594.95984131613
84,143257.75027892666
85,146157.21716293503
86,144618.7096064264
87,146630.5893000651
88,138819.7854605768
89,141778.40942847563
90,139707.36302877928
91,141955.91916881586
92,145387.9730068479
93,147636.52914688448
94,149056.69366911062
95,146334.73652544242
96,151127.740068807
97,150121.80984415484
98,152725.41433137332
99,160062.85565589875
100,160713.78564420494
101,160713.78564420494
102,162607.31268139396
103,162429.8029410538
104,163317.3516427547
105,160832.1094341531
106,158465.2006376668
107,160950.46209060278
108,160003.69857200826
109,155802.41982222346
110,158346.85760338433
111,158879.38682440482
112,158050.98558442722
113,161660.5106741307
114,160358.7180526886
115,160595.42336558807
116,162252.27395637924
117,170063.08741803473
118,176512.9415521905
119,173495.1220117324
120,172548.32000446913
121,168347.08936552025
122,173199.2596149425
123,183021.9912589055
124,184560.47957107978
125,182666.95253389076
126,188110.8475768928
127,184678.8322275295
128,184087.08818961534
129,185803.12473079856
130,182548.59987744104
131,184027.9118613905
132,187341.59379863844
133,192608.01758996907
134,188465.9055462419
135,186394.83028004394
136,186098.94863891968
137,188778.8184232943
138,190208.01816051282
139,192887.8109675499
140,184431.50404205118
141,167757.05807336612
142,170615.53452514068
143,173354.8885470903
144,169900.8769235283
145,171449.23757924055
146,173414.46900633717
147,178119.03521104896
148,184133.77494482623
149,183771.13620878864
150,183771.13620878864
151,183771.13620878864
152,183771.13620878864
153,183771.13620878864
154,183771.13620878864
155,183771.13620878864
156,183587.36507257985
157,187157.96122035722
158,188467.19198736272
159,188050.63429576304
160,191323.67275173846
161,184658.5381476823
162,184003.98045648713
163,179302.67277217004
164,181326.0381533464
165,179719.26892530813
166,184777.57660901843
167,180730.9612312809
168,179540.74969484232
169,179124.17277247342
170,178767.09585000342
171,176505.78816153918
172,177934.42562064945
173,177934.42562064945
174,177934.42562064945
175,177934.42562064945
176,177934.42562064945
177,177934.42562064945
178,177934.42562064945
179,177934.42562064945
180,177934.42562064945
181,177756.49119502876
182,173062.39711978388
183,167955.63616624792
184,173629.80574275
185,170586.39585003752
186,162333.02494547996
187,171824.37981554252
188,179200.80859967932
189,186164.5871748932
190,186216.1621999955
191,184307.55288384712
192,180954.6595017845
193,181315.75135497327
194,176776.39902440342
195,174094.04764614336
196,180026.1590256296
197,180954.6595017845
198,180593.56764859572
199,184874.99484554958
200,187866.8130437916
201,187712.07129911653
202,182553.73532047827
203,181573.67648858926
204,181676.8098694257
205,175589.99008400072
206,174506.7145244344
207,172443.38013297913
208,174145.63934061382
209,166356.54367818596
210,164344.7676424648
211,156141.46575227333
212,156141.46575227333
213,156141.46575227333
214,156141.46575227333
215,156141.46575227333
216,156141.46575227333
217,156141.46575227333
218,156141.46575227333
219,156141.46575227333
220,156141.46575227333
221,156141.46575227333
222,156141.46575227333
223,156141.46575227333
224,156141.46575227333
225,156141.46575227333
226,156141.46575227333
227,156141.46575227333
228,155985.32428652106
229,155192.16534413077
230,151270.4983037615
231,160127.28794097458
232,164930.22687363738
233,168102.8341645463
234,168102.8341645463
235,168763.80944275562
236,167397.78817205928
237,175241.15073145003
238,170350.08460955787
239,168984.09181751375
240,167530.00031489247
241,163828.65836725963
242,166560.5869940435
243,161889.86020421385
244,160435.75446226646
245,163035.49942486934
246,165018.33982354065
247,162550.80700377095
248,165459.00424833962
249,161845.77525061002
250,161537.33720797033
251,160788.26321918386
252,158673.2249170055
253,160319.3169011941
254,160319.3169011941
255,160319.3169011941
256,160319.3169011941
257,160319.3169011941
258,160319.3169011941
259,160319.3169011941
260,160319.3169011941
261,160319.3169011941
262,160319.3169011941
263,160319.3169011941
264,160319.3169011941
265,160158.9975842929
266,166788.572751054
267,164648.66692862115
268,164648.66692862115
269,166410.95906155766
270,162298.9034067257
271,162550.67298504335
272,163557.7106203338
273,158354.72577586785
274,159109.9938328406
275,161333.8454469238
276,159697.42454381945
277,163683.58185016588
278,162466.76787137307
279,166160.68625663736
280,166160.68625663736
281,166160.68625663736
282,166160.68625663736
283,166160.68625663736
284,166160.68625663736
285,166160.68625663736
286,166160.68625663736
287,166160.68625663736
288,166160.68625663736
289,166160.68625663736
290,166160.68625663736
291,166160.68625663736
292,166160.68625663736
293,166160.68625663736
294,166160.68625663736
295,166160.68625663736
296,166160.68625663736
297,166160.68625663736
298,165994.52557038073
299,160258.69335334052
300,158878.6418200333
301,160776.1848052589
302,161379.99916068857
303,167029.578156897
304,164786.99441527284
305,171169.74669335468
306,169318.2862717509
307,169318.2862717509
308,169318.2862717509
309,169318.2862717509
310,169148.96798547916
311,170704.86266574296
312,166303.89029302268
313,169415.69401914696
314,176395.04678184932
315,178928.95128449172
316,180618.1874331944
317,178439.9463733024
318,175372.6041689211
319,175194.7724475459
320,175239.23396928888
321,173772.23360131765
322,175328.14264717815
323,176439.5083035923
324,179729.11501989843
325,178351.0520610099
326,178351.0520610099
327,177950.9414621131
328,174794.70494543924
329,173594.4306111358
330,178394.75760759282
331,178394.75760759282
332,178394.75760759282
333,178394.75760759282
334,178394.75760759282
335,178394.75760759282
336,178394.75760759282
337,178394.75760759282
338,178394.75760759282
339,178394.75760759282
340,178394.75760759282
341,178394.75760759282
342,178394.75760759282
343,178394.75760759282
344,178394.75760759282
345,178394.75760759282
346,178394.75760759282
347,178394.75760759282
348,178394.75760759282
349,178216.36284998522
350,176725.22688671335
351,181880.43657734318
352,182050.81474589946
353,182817.71613942855
354,182689.8946511961
355,187632.07311741612
356,188782.41143977694
357,188526.79599917767
358,183925.45647766712
359,187163.4126844742
360,192361.22035922628
361,194448.86577953814
362,188271.13925477993
363,191935.17167833945
364,193980.21911452903
365,200157.94563928724
366,204034.96798345813
367,202799.41992491993
368,188313.76477476783
369,195258.35138925668
370,199050.19153311587
371,196238.28400719565
372,196025.2527827858
373,191636.9307177523
374,195045.3201648469
375,196749.5148883942
376,198538.9468839845
377,199007.57978106078
378,193681.97815394183
379,201393.47992989264
380,202799.41992491993
381,207698.98663908488
382,206591.27383671186
383,207062.0682992398
384,210400.40650418372
385,213952.69838503594
386,213610.33119978424
387,214038.3211591977
388,214808.70583972838
389,212283.55681842958
390,211598.76737619503
391,212112.35257390456
392,213567.52669666984
393,210999.5731722565
394,208945.21861348563
395,209330.4040697846
396,197646.23412041357
397,196105.49229521782
398,200813.3956166981
399,200000.22020098576
400,204108.9155505947
401,205949.2888975918
402,206805.2825843514
403,207062.0682992398
404,206077.67487106958
405,214765.91510454673
406,213567.52669666984
407,215750.2672289185
408,213567.52669666984
409,226364.4760476888
410,228204.8631626186
411,232313.57228016047
412,236679.02580879224
413,235651.85541337318
414,234453.46700549626
415,232741.53470370825
416,230130.79044411337
417,228333.207832298
418,233597.5146225351
419,231157.9470715996
420,233854.28656949062
421,228889.59753312194
422,235651.85541337318
423,231799.97331451814
424,230173.5536434294
425,233640.360429448
426,228461.62134164138
427,225166.12894361033
428,225380.08261951862
429,226022.06755863872
430,223325.71429281487
431,223411.3232990438
432,215579.0905202591
433,217800.6119047936
434,217800.6119047936
435,217800.6119047936
436,217800.6119047936
437,217800.6119047936
438,217800.6119047936
439,217800.6119047936
440,217800.6119047936
441,217800.6119047936
442,217800.6119047936
443,217800.6119047936
444,217800.6119047936
445,217800.6119047936
446,217800.6119047936
447,217800.6119047936
448,217800.6119047936
449,217800.6119047936
450,217800.6119047936
451,217800.6119047936
452,217800.6119047936
453,217800.6119047936
454,217800.6119047936
455,217800.6119047936
456,217800.6119047936
457,217800.6119047936
458,217800.6119047936
459,217800.6119047936
460,217800.6119047936
461,217800.6119047936
462,217800.6119047936
463,217582.8112928888
464,215673.85638600442
465,216270.3951992246
466,219929.22970194463
467,222554.087476423
468,219849.70483999522
469,219650.8415108219
470,215952.21898997718
471,213804.61273579486
472,212969.4481624267
473,213844.4135474945
474,212134.27079548358
475,207242.54506104873
476,208992.45024403432
477,201953.0926682672
478,205214.27727409033
479,202704.7008939318
480,202704.7008939318
481,202704.7008939318
482,202704.7008939318
483,202704.7008939318
484,202704.7008939318
485,202704.7008939318
486,202704.7008939318
487,202704.7008939318
488,202704.7008939318
489,202704.7008939318
490,202704.7008939318
491,202704.7008939318
492,202704.7008939318
493,202704.7008939318
494,202704.7008939318
495,202704.7008939318
496,202704.7008939318
497,202704.7008939318
498,202704.7008939318
499,202704.7008939318
500,202704.7008939318
501,202704.7008939318
502,202704.7008939318
503,202704.7008939318
504,202704.7008939318
505,202704.7008939318
506,202704.7008939318
507,202704.7008939318
508,202704.7008939318
509,202704.7008939318
510,202704.7008939318
511,202704.7008939318
512,202704.7008939318
513,202704.7008939318
514,202704.7008939318
515,202704.7008939318
516,202704.7008939318
517,202704.7008939318
518,202704.7008939318
519,202704.7008939318
520,202704.7008939318
521,202704.7008939318
522,202704.7008939318
523,202704.7008939318
524,202704.7008939318
525,202704.7008939318
526,202704.7008939318
527,202704.7008939318
528,202704.7008939318
529,202704.7008939318
530,202704.7008939318
531,202704.7008939318
532,202704.7008939318
533,202704.7008939318
534,202501.99619303786
535,202459.7060402552
536,205335.0691621469
537,223898.1338098099
538,221656.98695472145
539,216160.00162763402
540,200218.61359514136
541,196243.8697308246
542,197892.95444695593
543,198696.35852987706
544,199288.35265636593
545,192861.06558302208
546,195820.9954079854
547,195651.87560433577
548,201148.87453391682
549,201867.6983112727
550,201402.57464313175
551,203862.47486967372
552,203862.47486967372
553,203862.47486967372
554,203862.47486967372
555,203862.47486967372
556,203862.47486967372
557,203862.47486967372
558,203862.47486967372
559,203862.47486967372
560,203862.47486967372
561,203862.47486967372
562,203862.47486967372
563,203862.47486967372
564,203862.47486967372
565,203862.47486967372
566,203862.47486967372
567,203862.47486967372
568,203862.47486967372
569,203658.61239480405
570,208749.03192364177
571,209169.71265340314
572,203742.73500751748
573,205888.28116211435
574,202480.6386852778
575,206140.7031332101
576,205930.3424684711
577,199746.1395090148
578,194361.25023596364
579,189986.02178081748
580,190322.5798978655
581,187041.1484065767
582,186601.9377090455
583,186601.9377090455
584,186601.9377090455
585,186601.9377090455
586,186601.9377090455
587,186601.9377090455
588,186601.9377090455
589,186601.9377090455
590,186601.9377090455
591,186601.9377090455
592,186601.9377090455
593,186601.9377090455
594,186601.9377090455
595,186601.9377090455
596,186601.9377090455
597,186601.9377090455
598,186601.9377090455
599,186601.9377090455
600,186601.9377090455
601,186601.9377090455
602,186601.9377090455
603,186601.9377090455
604,186601.9377090455
605,186601.9377090455
606,186601.9377090455
607,186601.9377090455
608,186601.9377090455
609,186601.9377090455
610,186601.9377090455
611,186601.9377090455
612,186601.9377090455
613,186601.9377090455
614,186601.9377090455
615,186601.9377090455
616,186601.9377090455
617,186415.33577133645
618,185536.42320494578
619,185369.001670585
620,180890.70787585006
621,183904.133929533
622,189721.75960795127
623,189512.49278780102
624,185034.17206559776
625,185913.12502319092
626,192735.25298030517
627,200059.5782218308
628,198259.88087579154
629,201105.91232258212
630,199180.63872797176
631,200394.40782681806
632,196794.99967100538
633,200854.8002166423
634,197046.12524067942
635,203031.18591719258
636,197297.23734661925
637,193865.29111636983
638,200175.98566743458
639,206528.76785150377
640,203078.9148548129
641,197020.6114644338
642,198282.7826876088
643,202279.55949361218
644,201858.85819211084
645,204509.35582760104
646,208632.3686051498
647,205224.57631399512
648,193234.20550478238
649,204383.1198560557
650,213512.6356471605
651,211913.9383884933
652,202826.48330292472
653,187260.06391667825
654,188690.46449826393
655,190920.27429598695
656,182169.41256458152
657,190751.97761890534
658,195001.19944053114
659,193991.47323297852
660,191635.49478238102
661,191004.40917079354
662,188291.64045880095
663,188291.64045880095
664,188291.64045880095
665,188291.64045880095
666,188291.64045880095
667,188291.64045880095
668,188291.64045880095
669,188291.64045880095
670,188291.64045880095
671,188291.64045880095
672,188291.64045880095
673,188291.64045880095
674,188103.34881834214
675,184056.88288212515
676,176696.131421639
677,178468.8767489837
678,176888.82086302622
679,180048.94496785474
680,177235.6593909404
681,180704.081668823
682,171069.60959946454
683,171994.50411862668
684,168102.19960185027
685,168641.72757115163
686,169489.55371350705
687,166522.14371589283
688,173035.03203528284
689,174170.98477294337
690,174170.98477294337
691,174170.98477294337
692,174170.98477294337
693,174170.98477294337
694,174170.98477294337
695,174170.98477294337
696,174170.98477294337
697,174170.98477294337
698,174170.98477294337
699,174170.98477294337
700,174170.98477294337
701,174170.98477294337
702,174170.98477294337
703,174170.98477294337
704,174170.98477294337
705,174170.98477294337
706,174170.98477294337
707,174170.98477294337
708,174170.98477294337
709,174170.98477294337
710,174170.98477294337
711,174170.98477294337
712,174170.98477294337
713,174170.98477294337
714,174170.98477294337
715,174170.98477294337
716,174170.98477294337
717,174170.98477294337
718,174170.98477294337
719,174170.98477294337
720,174170.98477294337
721,174170.98477294337
722,174170.98477294337
723,174170.98477294337
724,174170.98477294337
725,174170.98477294337
726,174170.98477294337
727,174170.98477294337
728,174170.98477294337
729,174170.98477294337
730,174170.98477294337
731,174170.98477294337
732,174170.98477294337
733,174170.98477294337
734,174170.98477294337
735,174170.98477294337
736,174170.98477294337
737,174170.98477294337
738,174170.98477294337
739,174170.98477294337
740,174170.98477294337
741,173996.81378817043
742,169323.60169172453
743,167463.4119144693
744,169278.2425417031
745,174955.95184726137
746,174955.95184726137
747,174955.95184726137
748,174955.95184726137
749,174955.95184726137
750,174955.95184726137
751,174955.95184726137
752,174955.95184726137
753,174955.95184726137
754,174955.95184726137
755,174955.95184726137
756,174955.95184726137
757,174955.95184726137
758,174780.99589541412
759,173835.79079413446
760,172503.877129584
761,171043.06061060997
762,171257.88495167813
763,173878.74466263788
764,178003.34726179947
765,179678.98812184174
766,176542.57199173875
767,179163.40420342295
768,178433.0096935737
769,173878.74466263788
770,185522.21294882463
771,186424.47793123868
772,185565.16681732805
773,180839.05881310295
774,185092.578016326
775,184276.23452055658
776,186596.32090452788
777,181913.16676880626
778,181569.45332295223
779,180237.5534080396
780,182815.4317512203
781,184705.8694530552
782,178046.32862957846
783,172203.10380259558
784,172160.16368373
785,172460.9095114428
786,168894.83094956563
787,172847.59057543802
788,176881.08401835934
789,176881.08401835934
790,176881.08401835934
791,176881.08401835934
792,176881.08401835934
793,176881.08401835934
794,176881.08401835934
795,176881.08401835934
796,176881.08401835934
797,176881.08401835934
798,176881.08401835934
799,176881.08401835934
800,176881.08401835934
801,176881.08401835934
802,176881.08401835934
803,176881.08401835934
804,176881.08401835934
805,176881.08401835934
806,176881.08401835934
807,176881.08401835934
808,176881.08401835934
809,176881.08401835934
810,176881.08401835934
811,176881.08401835934
812,176881.08401835934
813,176881.08401835934
814,176704.20293434098
815,179833.68712375162
816,181058.28619457234
817,180786.16596961388
818,181103.6444036077
819,179833.68712375162
820,175615.69300525327
821,172304.7324358205
822,172223.03890492514
823,172223.03890492514
824,172223.03890492514
825,172223.03890492514
826,172223.03890492514
827,172223.03890492514
828,172223.03890492514
829,172223.03890492514
830,172223.03890492514
831,172223.03890492514
832,172050.81586602022
833,170566.89207293783
834,163971.75875866317
835,162900.0580044435
836,163147.35225434942
837,159643.68067334933
838,163600.7844059611
839,163930.53645477683
840,165002.23720899652
841,164136.634783071
842,167722.75097184358
843,165332.0156400867
844,161581.01023576895
845,166690.26504148
846,166690.26504148
847,166690.26504148
848,166690.26504148
849,166690.26504148
850,166690.26504148
851,166690.26504148
852,166690.26504148
853,166690.26504148
854,166690.26504148
855,166690.26504148
856,166690.26504148
857,166690.26504148
858,166690.26504148
859,166690.26504148
860,166690.26504148
861,166690.26504148
862,166690.26504148
863,166690.26504148
864,166690.26504148
865,166690.26504148
866,166690.26504148
867,166690.26504148
868,166690.26504148
869,166690.26504148
870,166690.26504148
871,166690.26504148
872,166690.26504148
873,166690.26504148
874,166523.5747764385
875,169227.92188720405
876,172711.4767921983
877,173490.684586427
878,177340.96321950064
879,180687.03314825598
880,183666.37934893195
881,183712.21253058375
882,181466.22637376838
883,181512.07412413642
884,179632.7679892514
885,185316.49043812568
886,183345.5179399371
887,181328.72682881315
888,174086.5742227651
889,179632.7679892514
890,174819.94883534205
891,175415.83847168018
892,173949.07467780987
893,167394.46350268708
894,166936.1025487369
895,167119.4644127766
896,170557.1861361191
897,167073.60209369214
898,171439.7961813857
899,171439.7961813857
900,171439.7961813857
901,171439.7961813857
902,171439.7961813857
903,171439.7961813857
904,171439.7961813857
905,171439.7961813857
906,171439.7961813857
907,171439.7961813857
908,171439.7961813857
909,171439.7961813857
910,171439.7961813857
911,171439.7961813857
912,171439.7961813857
913,171439.7961813857
914,171439.7961813857
915,171439.7961813857
916,171439.7961813857
917,171439.7961813857
918,171439.7961813857
919,171439.7961813857
920,171268.3563852043
921,170586.90717094002
922,175902.15039706242
923,174766.39689351563
924,173312.67514935954
925,171359.2085794695
926,172685.51248921698
927,172685.51248921698
928,172685.51248921698
929,172685.51248921698
930,172685.51248921698
931,172685.51248921698
932,172685.51248921698
933,172685.51248921698
934,172685.51248921698
935,172685.51248921698
936,172512.82697672778
937,173297.188786338
938,173515.06168071015
939,171336.3327369886
940,175563.06134784536
941,181489.25670441636
942,180094.8341706751
943,186238.90242161826
944,186195.3444626328
945,188504.81653284808
946,187807.59834102375
947,187502.56797895828
948,188461.23087404767
949,187371.86640218695
950,187764.0265321308
951,189942.7554758523
952,188374.05955644688
953,186761.8056780559
954,191860.05356621626
955,188635.5319595269
956,182404.3339407053
957,182012.14611094652
958,180748.48055360655
959,183667.99949804536
960,184321.63203106928
961,184060.15962798923
962,184713.7921610132
963,186195.3444626328
964,182709.3504528634
965,183057.95262382182
966,180480.67559888485
967,180480.67559888485
968,180480.67559888485
969,180480.67559888485
970,180480.67559888485
971,180480.67559888485
972,180480.67559888485
973,180480.67559888485
974,180480.67559888485
975,180480.67559888485
976,180480.67559888485
977,180480.67559888485
978,180480.67559888485
