,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,99900.0
31,100987.60306862142
32,101307.12275521802
33,104717.41297140816
34,104195.1162716313
35,102880.16352225625
36,104311.86644586192
37,105282.72684106698
38,104705.12663762148
39,106247.43656856443
40,106161.4097296148
41,106235.15023477774
42,107273.60046743814
43,106302.74007223306
44,108656.15055508279
45,108969.52707478605
46,109983.3971390588
47,113762.36737862084
48,114499.72742536465
49,115796.25067405966
50,115329.25747795144
51,111089.43720917452
52,110720.7571858026
53,113080.31083554565
54,115065.0337942092
55,117406.15044245796
56,117406.15044245796
57,114862.26428184319
58,115513.5974896374
59,114057.3068968298
60,115421.42748379441
61,116066.61752469525
62,116785.54056994476
63,118204.95715976376
64,122672.13461010858
65,125848.93197865174
66,118297.12716560674
67,114352.25391585303
68,117400.0072755646
69,118585.93101773661
70,114845.61687712495
71,114845.61687712495
72,114845.61687712495
73,114845.61687712495
74,114845.61687712495
75,114845.61687712495
76,114845.61687712495
77,114845.61687712495
78,114845.61687712495
79,114845.61687712495
80,114845.61687712495
81,114845.61687712495
82,114845.61687712495
83,114845.61687712495
84,114845.61687712495
85,114845.61687712495
86,114845.61687712495
87,114845.61687712495
88,114845.61687712495
89,114845.61687712495
90,114845.61687712495
91,114845.61687712495
92,114845.61687712495
93,114845.61687712495
94,114845.61687712495
95,114845.61687712495
96,114845.61687712495
97,114845.61687712495
98,114845.61687712495
99,114845.61687712495
100,114845.61687712495
101,114845.61687712495
102,114845.61687712495
103,114845.61687712495
104,114845.61687712495
105,114845.61687712495
106,114845.61687712495
107,114845.61687712495
108,114845.61687712495
109,114845.61687712495
110,114845.61687712495
111,114845.61687712495
112,114845.61687712495
113,114845.61687712495
114,114845.61687712495
115,114845.61687712495
116,114845.61687712495
117,114845.61687712495
118,114730.77126024783
119,116780.2368555728
120,116943.06562497877
121,117729.16201770616
122,119239.59831164939
123,120643.34187009114
124,119846.00456214968
125,116566.86509300303
