,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,99900.0
67,100274.91871714397
68,100748.61714107505
69,99678.26633589427
70,100047.1388338943
71,98672.42624498894
72,98829.62794273083
73,98535.32902285387
74,98234.99450987717
75,97354.13795073068
76,97253.33929554753
77,97456.92367617732
78,97104.1815132572
79,98162.40800201758
80,95874.55693171751
81,95066.25500229806
82,94687.29838836203
83,94433.30405409646
84,95199.29307555268
85,94124.89374753562
86,94066.46113053666
87,94046.30352470886
88,96225.30139832999
89,95832.22277166588
90,95050.13529326234
91,95606.47246285644
92,96130.57021437911
93,96021.71701770018
94,96370.43190987244
95,96348.5604825075
96,96348.5604825075
97,96348.5604825075
98,96348.5604825075
99,96348.5604825075
100,96348.5604825075
101,96348.5604825075
102,96348.5604825075
103,96348.5604825075
104,96348.5604825075
105,96348.5604825075
106,96348.5604825075
107,96348.5604825075
108,96348.5604825075
109,96348.5604825075
110,96348.5604825075
111,96348.5604825075
112,96348.5604825075
113,96348.5604825075
114,96348.5604825075
115,96348.5604825075
116,96348.5604825075
117,96348.5604825075
118,96348.5604825075
119,96348.5604825075
120,96348.5604825075
121,96348.5604825075
122,96348.5604825075
123,96348.5604825075
124,96348.5604825075
125,96348.5604825075
126,96348.5604825075
127,96348.5604825075
128,96348.5604825075
129,96348.5604825075
130,96348.5604825075
131,96348.5604825075
132,96348.5604825075
133,96348.5604825075
134,96348.5604825075
135,96348.5604825075
136,96348.5604825075
137,96348.5604825075
138,96348.5604825075
139,96348.5604825075
140,96348.5604825075
141,96348.5604825075
142,96252.21192202499
143,96580.82992107594
144,96649.71729897044
145,96491.32093389757
146,94897.55475762914
147,94622.34755646686
148,94760.94178264489
149,95313.32706312032
150,95780.5600344351
151,95481.60893807624
152,95936.95440222838
153,96295.30154222883
154,96265.60352040803
155,95038.10948891514
156,94089.77478792917
157,95228.17475395967
158,96012.19008237726
159,95295.48542933345
160,94587.06185650834
161,94587.06185650834
162,94587.06185650834
163,94587.06185650834
164,94587.06185650834
165,94587.06185650834
166,94587.06185650834
167,94492.47479465183
168,94011.76378921053
169,95119.21839883694
170,96678.92561633255
171,95070.51607020626
172,93563.53871408211
173,94176.09562642302
174,94946.81024267194
175,94912.32648609186
176,94630.4098209722
177,93476.32509613056
178,94042.18813284344
179,94149.70944226636
180,93685.21483514283
181,90470.42544936384
182,92046.3915721191
183,92198.53454375459
184,92393.22696418721
185,93326.22245770412
186,93176.1410727486
187,93356.64680133703
188,93668.99843682506
189,93577.74665939723
190,94338.33399674915
191,95739.85163013035
192,95786.52425228745
193,97407.08015704888
194,97997.29967144484
195,97007.50427687383
196,98011.50761675996
197,97642.35608021783
198,97504.43168063293
199,97889.79961549286
200,97932.4021979673
201,95883.86514913602
202,96932.4688977638
203,96119.1304455695
204,93701.4418601961
205,91750.27758841979
206,94330.21517085479
207,92675.15425604233
208,94405.26117670027
209,93111.22234580012
210,92632.56230030334
211,92235.02675333734
212,93529.0337040311
213,94431.60485391508
214,93224.80089443743
215,93567.5981270293
216,91579.90976546385
217,91853.7182314246
218,92393.22696418721
219,92616.32464851462
220,91596.12616378164
221,90401.48981641005
222,92898.26256710521
223,92752.22996836141
224,93606.1306698211
225,93808.97379635448
226,93088.92745479704
227,92080.87532869919
228,91693.46706063021
229,88083.18246109427
230,88054.79313730268
231,88111.57709825359
232,87178.58691810443
233,84821.74701999684
234,81921.32834944398
235,78856.63097535596
236,79061.50380836292
237,81045.12744361347
238,85265.92862228127
239,84959.66079284626
240,83535.83232835878
241,82679.90192042549
242,84057.08964296228
243,85269.98803522844
244,83207.24304108204
245,80866.64079476317
246,80260.19425531395
247,79747.03982650161
248,79223.74749205678
249,80120.23483588772
250,80604.99462754074
251,81775.30106406791
252,83103.80239807723
253,84300.47907865787
254,86340.90792833024
255,86801.31124230019
256,86892.5948999344
257,87815.45780118655
258,88555.76401390575
259,87744.4658949205
260,86495.0434128652
261,87302.30868574193
262,88336.72042915778
263,85716.19403061873
264,87821.53629387185
265,89160.18084688137
266,86280.05924106442
267,85217.2634872247
268,87148.16788783924
269,87016.32198093964
270,90940.99854917267
271,90657.0309241085
272,90480.58460846725
273,88089.25564041184
274,87888.47410055844
275,87182.64101768387
276,85862.23194273026
277,88448.25864458602
278,87762.72793981507
279,86760.75430640252
280,89004.00502913736
281,89943.10558217822
282,91068.76378965416
283,92950.99242847667
284,91861.82643058349
285,94352.51006185787
286,96536.9630572714
287,93691.31458129907
288,93247.13829238237
289,92496.66760719202
290,94541.14524307613
291,95285.51618211024
292,95459.95404474883
293,93642.64413287478
294,92683.28370867214
295,92973.30857295069
296,92508.85647276902
297,89713.90815169457
298,89123.66207045996
299,89150.03231451343
300,89239.28626567405
301,89117.58357777465
302,88066.96074940874
303,87843.93213886186
304,87850.06376522448
305,86366.58743457857
306,89863.47945334783
307,90235.89339767736
308,90147.90402803694
309,92183.8483953436
310,94283.19186642738
311,94968.66943752102
312,94845.88813597205
313,91400.14790835789
314,91283.53011337793
315,93401.32159722692
316,97201.0383831409
317,98277.31415091647
318,102242.78675659509
319,101201.28166725714
320,102077.18703294768
321,102077.18703294768
322,102077.18703294768
323,102077.18703294768
324,102077.18703294768
325,102077.18703294768
326,102077.18703294768
327,102077.18703294768
328,102077.18703294768
329,102077.18703294768
330,102077.18703294768
331,102077.18703294768
332,102077.18703294768
333,102077.18703294768
334,102077.18703294768
335,102077.18703294768
336,102077.18703294768
337,102077.18703294768
338,102077.18703294768
339,102077.18703294768
340,102077.18703294768
341,102077.18703294768
342,102077.18703294768
343,102077.18703294768
344,102077.18703294768
345,102077.18703294768
346,102077.18703294768
347,102077.18703294768
348,102077.18703294768
349,102077.18703294768
350,102077.18703294768
351,102077.18703294768
352,101975.10984591473
353,101870.14316509174
354,102038.48692554532
355,105368.0518493031
356,103234.83345759497
357,103139.76269474058
358,103020.91909776408
359,101931.53488903839
360,101594.80622086315
361,102091.96808720731
362,102549.50513440894
363,102220.70760215241
364,102363.86988262228
365,102363.86988262228
366,102363.86988262228
367,102363.86988262228
368,102363.86988262228
369,102363.86988262228
370,102363.86988262228
371,102363.86988262228
372,102363.86988262228
373,102363.86988262228
374,102363.86988262228
375,102363.86988262228
376,102363.86988262228
377,102363.86988262228
378,102363.86988262228
379,102363.86988262228
380,102363.86988262228
381,102363.86988262228
382,102363.86988262228
383,102363.86988262228
384,102363.86988262228
385,102363.86988262228
386,102363.86988262228
387,102363.86988262228
388,102363.86988262228
389,102363.86988262228
390,102363.86988262228
391,102363.86988262228
392,102363.86988262228
393,102363.86988262228
394,102363.86988262228
395,102363.86988262228
396,102363.86988262228
397,102363.86988262228
398,102363.86988262228
399,102363.86988262228
400,102363.86988262228
401,102363.86988262228
402,102363.86988262228
403,102363.86988262228
404,102363.86988262228
405,102363.86988262228
406,102363.86988262228
407,102363.86988262228
408,102261.50601273966
409,103246.68134361677
410,103982.48008085658
411,104576.92216702699
412,104125.60026417872
413,104125.60026417872
414,104125.60026417872
415,104125.60026417872
416,104125.60026417872
417,104125.60026417872
418,104125.60026417872
419,104125.60026417872
420,104125.60026417872
421,104125.60026417872
422,104125.60026417872
423,104125.60026417872
424,104125.60026417872
425,104125.60026417872
426,104125.60026417872
427,104125.60026417872
428,104125.60026417872
429,104125.60026417872
430,104125.60026417872
431,104125.60026417872
432,104125.60026417872
433,104125.60026417872
434,104125.60026417872
435,104125.60026417872
436,104125.60026417872
437,104125.60026417872
438,104021.47466391455
439,103737.93986705138
440,103630.59430553122
441,102968.32004404435
442,102727.32016843371
443,104655.40275950653
444,104361.7331373879
445,106289.82617673418
446,107091.83564746482
447,105042.22918778767
448,104912.6183555259
449,106181.50097464622
450,106181.50097464622
451,106181.50097464622
452,106181.50097464622
453,106181.50097464622
454,106181.50097464622
455,106181.50097464622
456,106181.50097464622
457,106181.50097464622
458,106181.50097464622
459,106181.50097464622
460,106181.50097464622
461,106181.50097464622
462,106181.50097464622
463,106181.50097464622
464,106181.50097464622
465,106181.50097464622
466,106181.50097464622
467,106181.50097464622
468,106181.50097464622
469,106181.50097464622
470,106181.50097464622
471,106075.31947367157
472,105186.6583910705
473,104703.8267184155
474,104535.24200995831
475,104730.89346469118
476,103811.02134225535
477,103669.4819070502
478,103401.02616572657
479,102732.94671828362
480,102420.77190086537
481,102653.8723087952
482,102200.17952919542
483,102851.57443728398
484,103428.07143897862
485,103438.48585543534
486,102451.98294070011
487,102620.58912218093
488,102189.77584925051
489,101663.24657352452
490,100150.22511957512
491,102366.68135436127
492,101869.26949866686
493,104524.83833001339
494,102399.4379902268
495,102399.4379902268
496,102399.4379902268
497,102399.4379902268
498,102399.4379902268
499,102399.4379902268
500,102399.4379902268
501,102399.4379902268
502,102399.4379902268
503,102399.4379902268
504,102399.4379902268
505,102399.4379902268
506,102399.4379902268
507,102399.4379902268
508,102399.4379902268
509,102399.4379902268
510,102399.4379902268
511,102399.4379902268
512,102399.4379902268
513,102399.4379902268
514,102297.03855223657
515,101916.45946554132
516,102749.22823759327
517,101036.61179165712
518,100559.86929785606
519,100330.70271517026
520,101734.35067307264
521,102583.5020584976
522,102337.95286243877
523,102974.32027855096
524,102953.85256764227
525,103236.22042056006
526,106088.54741152545
527,107249.79776806085
528,107249.79776806085
529,107249.79776806085
530,107249.79776806085
531,107249.79776806085
532,107249.79776806085
533,107249.79776806085
534,107249.79776806085
535,107249.79776806085
536,107249.79776806085
537,107249.79776806085
538,107249.79776806085
539,107249.79776806085
540,107249.79776806085
541,107249.79776806085
542,107249.79776806085
543,107249.79776806085
544,107249.79776806085
545,107249.79776806085
546,107249.79776806085
547,107249.79776806085
548,107249.79776806085
549,107249.79776806085
550,107249.79776806085
551,107249.79776806085
552,107249.79776806085
553,107249.79776806085
554,107249.79776806085
555,107249.79776806085
556,107249.79776806085
557,107249.79776806085
558,107249.79776806085
559,107249.79776806085
560,107249.79776806085
561,107249.79776806085
562,107249.79776806085
563,107249.79776806085
564,107249.79776806085
565,107249.79776806085
566,107249.79776806085
567,107249.79776806085
568,107249.79776806085
569,107249.79776806085
570,107249.79776806085
571,107249.79776806085
572,107249.79776806085
573,107249.79776806085
574,107249.79776806085
575,107249.79776806085
576,107249.79776806085
577,107249.79776806085
578,107249.79776806085
579,107249.79776806085
580,107249.79776806085
581,107142.54797029278
582,106155.94591540753
583,105753.84255052423
584,106493.7861370162
585,105762.12601560056
586,105542.4285820652
587,106504.16963549216
588,106365.2916691548
589,105799.43873024656
590,105156.90275356385
591,103710.14944088523
592,105007.6731074384
593,105816.02687285781
594,105428.4328296447
595,105799.23527095008
596,105799.23527095008
597,105799.23527095008
598,105799.23527095008
599,105799.23527095008
600,105799.23527095008
601,105799.23527095008
602,105799.23527095008
603,105799.23527095008
604,105799.23527095008
605,105799.23527095008
606,105799.23527095008
607,105799.23527095008
608,105693.43603567913
609,105021.19313565423
610,105287.1776574536
611,106227.46257205356
612,104661.02473882587
613,104983.51529919935
614,104742.68148336119
615,103440.09566639973
616,104233.79493683977
617,103320.73965319313
618,103592.97166607702
619,103974.11148666596
620,103697.70019158143
621,103827.51512639782
622,104782.48110924101
623,102945.43772188472
624,102945.43772188472
625,102945.43772188472
626,102945.43772188472
627,102945.43772188472
628,102945.43772188472
629,102945.43772188472
630,102945.43772188472
631,102945.43772188472
632,102945.43772188472
633,102945.43772188472
634,102945.43772188472
635,102945.43772188472
636,102945.43772188472
637,102945.43772188472
638,102945.43772188472
639,102945.43772188472
640,102945.43772188472
641,102842.49228416284
642,103077.15366149318
643,102946.33406096381
644,103158.11900879939
645,102670.15934873513
646,104031.84348504456
647,104971.00963767542
648,104475.2722040904
649,104435.53330659367
650,105393.52762135399
651,103609.33612673964
652,104021.38811736093
653,103669.98575960366
654,104015.10852152655
655,104111.70154091067
656,104111.70154091067
657,104111.70154091067
658,104111.70154091067
659,104111.70154091067
660,104111.70154091067
661,104111.70154091067
662,104111.70154091067
663,104111.70154091067
664,104111.70154091067
665,104111.70154091067
666,104111.70154091067
667,104111.70154091067
668,104111.70154091067
669,104111.70154091067
670,104111.70154091067
671,104111.70154091067
672,104111.70154091067
673,104111.70154091067
674,104007.58983936976
675,104278.31611261175
676,104799.10830134254
677,105840.6926788041
678,105708.43699436549
679,105530.69282916229
680,106456.55610727739
681,106727.91718260913
682,106727.91718260913
683,106727.91718260913
684,106727.91718260913
685,106727.91718260913
686,106727.91718260913
687,106727.91718260913
688,106727.91718260913
689,106727.91718260913
690,106727.91718260913
691,106727.91718260913
692,106727.91718260913
693,106727.91718260913
694,106727.91718260913
695,106727.91718260913
696,106727.91718260913
697,106727.91718260913
698,106727.91718260913
699,106621.18926542652
700,98730.8053880542
701,101477.99095765663
702,100923.16807469781
703,101592.28284589262
704,102184.54854104068
705,103136.29479054252
706,102805.8965445004
707,101933.10005320646
708,100557.42769862761
709,100842.11763432875
710,100804.69593452303
711,100455.59211667393
712,100750.67990126325
713,99150.57235357595
714,99497.60715783917
715,99246.14811381318
716,97704.25796370798
717,98718.33852558014
718,99212.90666594627
719,99917.39523574445
720,100042.07441667686
721,99252.40793552963
722,99501.77685358621
723,99923.61283269383
724,99967.2626856407
725,100541.98409563783
726,100541.98409563783
727,100541.98409563783
728,100541.98409563783
729,100541.98409563783
730,100541.98409563783
731,100541.98409563783
732,100541.98409563783
733,100541.98409563783
734,100541.98409563783
735,100441.4421115422
736,100144.57583871343
737,98950.68540163236
738,97530.92439145267
739,96455.35647810226
740,96472.56722568959
741,97083.47773655814
742,96371.4663770051
743,96358.5501207205
744,97419.07092332313
745,98346.20023652977
746,98380.63265916324
747,97455.64512787858
748,97444.87065351597
749,97530.92439145267
750,97616.9672019306
751,97410.46008580006
752,97270.64325063814
753,96040.18953646043
754,94394.5470257233
755,95545.42698502417
756,95287.28762613161
757,96010.07346004726
758,96435.99302113414
759,97350.22793297376
760,97145.42628719083
761,97145.42628719083
762,97145.42628719083
763,97145.42628719083
764,97145.42628719083
765,97145.42628719083
766,97145.42628719083
767,97145.42628719083
768,97145.42628719083
769,97145.42628719083
770,97145.42628719083
771,97145.42628719083
772,97145.42628719083
773,97145.42628719083
774,97145.42628719083
775,97145.42628719083
776,97145.42628719083
777,97145.42628719083
778,97145.42628719083
779,97048.28086090364
780,96500.40687031351
781,97129.74549695136
782,97596.15485149377
783,96677.60331704824
784,95781.46128243498
785,94871.06241921188
786,95964.76188655707
787,101683.7883269019
788,106019.90239209386
789,103854.9026112063
790,105003.59122518516
791,104391.9634387497
792,104391.9634387497
793,104391.9634387497
794,104391.9634387497
795,104391.9634387497
796,104391.9634387497
797,104391.9634387497
798,104391.9634387497
799,104391.9634387497
800,104391.9634387497
801,104391.9634387497
802,104391.9634387497
803,104391.9634387497
804,104391.9634387497
805,104391.9634387497
806,104391.9634387497
807,104391.9634387497
808,104391.9634387497
809,104391.9634387497
810,104391.9634387497
811,104391.9634387497
812,104391.9634387497
813,104391.9634387497
814,104391.9634387497
815,104391.9634387497
816,104391.9634387497
817,104391.9634387497
818,104391.9634387497
819,104391.9634387497
820,104391.9634387497
821,104391.9634387497
822,104391.9634387497
823,104391.9634387497
824,104391.9634387497
825,104391.9634387497
826,104391.9634387497
827,104391.9634387497
828,104391.9634387497
829,104391.9634387497
830,104391.9634387497
831,104391.9634387497
832,104391.9634387497
833,104391.9634387497
834,104391.9634387497
835,104391.9634387497
836,104391.9634387497
837,104391.9634387497
838,104391.9634387497
839,104391.9634387497
840,104391.9634387497
841,104391.9634387497
842,104391.9634387497
843,104391.9634387497
844,104391.9634387497
845,104391.9634387497
846,104391.9634387497
847,104391.9634387497
848,104391.9634387497
849,104391.9634387497
850,104391.9634387497
851,104391.9634387497
852,104391.9634387497
853,104391.9634387497
854,104391.9634387497
855,104391.9634387497
856,104391.9634387497
857,104391.9634387497
858,104391.9634387497
859,104391.9634387497
860,104391.9634387497
861,104391.9634387497
862,104391.9634387497
863,104391.9634387497
864,104391.9634387497
865,104391.9634387497
866,104391.9634387497
867,104391.9634387497
868,104391.9634387497
869,104391.9634387497
870,104391.9634387497
871,104391.9634387497
872,104391.9634387497
873,104391.9634387497
874,104391.9634387497
875,104391.9634387497
876,104391.9634387497
877,104391.9634387497
878,104391.9634387497
879,104391.9634387497
880,104391.9634387497
881,104391.9634387497
882,104391.9634387497
883,104391.9634387497
884,104391.9634387497
885,104391.9634387497
886,104391.9634387497
887,104287.57147531095
888,103147.84336420287
889,103443.4102811331
890,102362.39429448587
891,102736.90941416033
892,102222.70730418144
893,102083.0304981137
894,102425.02735006856
895,101392.8753310125
896,102711.74416532376
897,102029.78730875006
898,100819.46206897545
899,100960.76835291201
900,97858.15083255239
901,99238.46116675477
902,98724.43218879944
903,97596.02894887966
904,100153.88146498337
905,101226.99448396683
906,101544.42695704926
907,101859.8022143223
908,100747.27239048228
909,100747.27239048228
910,100747.27239048228
911,100747.27239048228
912,100747.27239048228
913,100747.27239048228
914,100747.27239048228
915,100747.27239048228
916,100747.27239048228
917,100747.27239048228
918,100747.27239048228
919,100747.27239048228
920,100747.27239048228
921,100646.5251180918
922,100474.04428747176
923,100501.72508875128
924,99396.5579787524
925,99609.50106709589
926,99466.82951558901
927,99347.58180969434
928,99709.58188304567
929,99805.40574332814
930,99096.32612034501
931,98894.02542116982
932,100933.98610949724
933,102477.81026318502
934,101198.03384473245
935,101718.01545180652
936,101718.01545180652
937,101718.01545180652
938,101718.01545180652
939,101718.01545180652
940,101718.01545180652
941,101718.01545180652
942,101718.01545180652
943,101718.01545180652
944,101718.01545180652
945,101718.01545180652
946,101718.01545180652
947,101616.29743635471
948,103647.13962202733
949,104730.40418619681
950,104555.33233452265
951,104340.86469102524
952,105426.31670109431
953,108054.59280492175
954,109575.26243572638
955,109575.26243572638
956,109575.26243572638
957,109575.26243572638
958,109575.26243572638
959,109575.26243572638
960,109575.26243572638
961,109575.26243572638
962,109465.68717329066
963,108949.45435756049
964,108801.6175271058
965,109320.195847842
966,107752.72169142411
967,105612.68759159396
968,105502.402179594
969,105202.0258394934
970,105192.64381946929
971,106030.36252035432
972,105356.91085414533
973,102789.79646717242
974,102160.9444036154
975,101245.78902999398
976,101860.5680635148
977,104136.71146876953
978,103460.91429755451
979,105488.30581119955
980,104042.84459181178
981,102914.16657838768
982,102064.73202165164
983,101898.11948196955
984,101898.11948196955
985,103249.72549357872
986,105237.23175294213
987,105415.57181765436
988,105778.98632371073
989,105778.98632371073
990,105778.98632371073
