,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,99684.80732308603
10,100458.67854183927
11,100334.52775476387
12,99635.14902893925
13,100466.95324029424
14,100355.21955260976
15,99486.16404308201
16,101042.19128246038
17,100495.91973659511
18,100614.53955963058
19,100614.53955963058
20,100614.53955963058
21,100614.53955963058
22,100614.53955963058
23,100614.53955963058
24,100614.53955963058
25,100614.53955963058
26,100614.53955963058
27,100614.53955963058
28,100614.53955963058
29,100614.53955963058
30,100614.53955963058
31,100614.53955963058
32,100614.53955963058
33,100614.53955963058
34,100513.92502007095
35,99970.49233882573
36,99729.45175124763
37,99286.80930149149
38,99922.27994147014
39,100338.6227745596
40,100912.74190844924
41,100018.6940365814
42,100158.93369307049
43,100505.16204771536
44,100369.2985276041
45,101495.61331509454
46,101704.97230163644
47,101704.97230163644
48,101704.97230163644
49,101704.97230163644
50,101704.97230163644
51,101704.97230163644
52,101704.97230163644
53,101704.97230163644
54,101704.97230163644
55,101704.97230163644
56,101704.97230163644
57,101704.97230163644
58,101704.97230163644
59,101704.97230163644
60,101704.97230163644
61,101704.97230163644
62,101704.97230163644
63,101704.97230163644
64,101704.97230163644
65,101603.2673293348
66,102484.29115203602
67,101806.2471710115
68,102294.26971384074
69,102397.91585397278
70,101680.99666250403
71,104695.49667368308
72,105161.92539199651
73,105965.21988152851
74,106260.48972585244
75,106260.48972585244
76,106260.48972585244
77,106260.48972585244
78,106260.48972585244
79,106260.48972585244
80,106154.22923612659
81,107793.6025550193
82,109232.70896773526
83,109847.48391142256
84,110606.61749025549
85,110997.83894263858
86,108892.73392119663
87,108077.70344173549
88,105315.91217153797
89,105022.49892485137
90,103657.90276230156
91,102209.48398961518
92,102004.55521825179
93,100663.24564082942
94,99522.20296958381
95,100598.04775063369
96,101329.24424955541
97,100514.21377009425
98,99447.69271941767
99,96746.44884463213
100,96997.93941584756
101,95577.45772307241
102,97105.05998151447
103,99424.40613429021
104,96611.37982865113
105,95717.17723383718
106,96159.62235125895
107,96187.57080157306
108,97095.74762154407
109,98297.33768820166
110,99927.39864712396
111,99349.88451372118
112,100278.77696839161
113,100278.77696839161
114,100278.77696839161
115,100278.77696839161
116,100278.77696839161
117,100278.77696839161
118,100278.77696839161
119,100278.77696839161
120,100278.77696839161
121,100278.77696839161
122,100278.77696839161
123,100278.77696839161
124,100278.77696839161
125,100278.77696839161
