,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,99900.0
11,98665.47462716937
12,98362.014217444
13,100058.63185275086
14,100279.32339118319
15,99934.48702970544
16,99189.62657532709
17,99637.92402592115
18,99458.60843924119
19,99989.66627723414
20,100633.77525406037
21,100633.77525406037
22,100633.77525406037
23,100633.77525406037
24,100633.77525406037
25,100633.77525406037
26,100633.77525406037
27,100633.77525406037
28,100633.77525406037
29,100633.77525406037
30,100633.77525406037
31,100633.77525406037
32,100633.77525406037
33,100633.77525406037
34,100633.77525406037
35,100633.77525406037
36,100633.77525406037
37,100633.77525406037
38,100633.77525406037
39,100633.77525406037
40,100633.77525406037
41,100633.77525406037
42,100633.77525406037
43,100633.77525406037
44,100633.77525406037
45,100633.77525406037
46,100633.77525406037
47,100633.77525406037
48,100633.77525406037
49,100533.14147880631
50,100038.4093229717
51,100477.3931473808
52,99673.865395233
53,99574.19152983777
54,99420.36926350206
55,99397.78311627325
56,99397.78311627325
57,99397.78311627325
58,99397.78311627325
59,99397.78311627325
60,99397.78311627325
61,99397.78311627325
62,99397.78311627325
63,99397.78311627325
64,99397.78311627325
65,99397.78311627325
66,99397.78311627325
67,99397.78311627325
68,99397.78311627325
69,99397.78311627325
70,99397.78311627325
71,99397.78311627325
72,99397.78311627325
73,99397.78311627325
74,99397.78311627325
75,99397.78311627325
76,99397.78311627325
77,99397.78311627325
78,99397.78311627325
79,99397.78311627325
80,99397.78311627325
81,99397.78311627325
82,99397.78311627325
83,99397.78311627325
84,99397.78311627325
85,99397.78311627325
86,99397.78311627325
87,99397.78311627325
88,99397.78311627325
89,99397.78311627325
90,99397.78311627325
91,99397.78311627325
92,99397.78311627325
93,99397.78311627325
94,99397.78311627325
95,99397.78311627325
96,99397.78311627325
97,99397.78311627325
98,99397.78311627325
99,99397.78311627325
100,99397.78311627325
101,99397.78311627325
102,99397.78311627325
103,99397.78311627325
104,99397.78311627325
105,99397.78311627325
106,99397.78311627325
107,99397.78311627325
108,99397.78311627325
109,99397.78311627325
110,99397.78311627325
111,99397.78311627325
112,99397.78311627325
113,99397.78311627325
114,99397.78311627325
115,99397.78311627325
116,99397.78311627325
117,99298.38533315697
118,99636.7190682967
119,100666.13166340036
120,101924.65440514805
121,101924.65440514805
122,101924.65440514805
123,101822.72975074292
124,100474.42227878085
125,101505.91158161037
126,101498.54559965048
127,100430.21739314846
128,100968.0689843159
129,100378.64652555618
130,99118.75781873184
131,99199.80160803672
132,98499.86243825954
133,97284.1786170676
134,98949.29526428923
135,99317.68430101407
136,100076.56931421641
137,100120.77419984879
138,102110.07499816288
139,101159.62948463822
140,101601.69632870801
141,101189.1024063508
142,101903.77354004778
143,101896.40755808787
144,100901.75715893084
145,100820.71336962597
146,100039.73041054393
147,101306.98509932814
148,102574.23978811238
149,102323.74243823787
150,102419.51819146254
151,101159.62948463822
152,102522.66892052008
153,102169.01184771507
154,102596.34672786505
155,102280.29660850226
156,102280.29660850226
157,102280.29660850226
158,102280.29660850226
159,102178.01631189376
160,102016.05377522443
161,102016.05377522443
162,102016.05377522443
163,102016.05377522443
164,102016.05377522443
165,102016.05377522443
166,102016.05377522443
167,102016.05377522443
168,102016.05377522443
169,102016.05377522443
170,102016.05377522443
171,102016.05377522443
172,102016.05377522443
173,102016.05377522443
174,102016.05377522443
175,102016.05377522443
176,102016.05377522443
177,102016.05377522443
178,102016.05377522443
179,102016.05377522443
180,102016.05377522443
181,102016.05377522443
182,102016.05377522443
183,102016.05377522443
184,102016.05377522443
185,102016.05377522443
186,101914.03772144919
187,101649.62027739799
188,101490.97165539699
189,102850.83279623174
190,103326.77866223476
191,104527.99118106852
192,102367.32476839412
193,102201.12320670708
194,104988.83116769946
195,106401.5813306336
196,105502.5601764298
197,106227.81760711195
198,105487.45429705773
199,106258.03858800467
200,106227.81760711195
201,108033.41285520559
202,106869.97425695059
203,106643.33073347813
204,106333.58642916215
205,106386.46622911296
206,104920.84548837658
207,105351.46449411483
208,105721.65076021623
209,104618.65412374664
210,105804.75154105974
211,106137.1638865824
212,104172.92001648775
213,103802.73375038635
214,103153.02416086169
215,102563.74731097386
216,99224.53642067239
217,96580.36198016036
218,99111.21465893617
219,97804.23331805221
220,95681.34082595656
221,94797.4347732734
222,96164.84885379419
223,97358.49921079334
224,97403.83529320669
225,94442.35438654407
226,94087.28322196331
227,92372.34169439923
228,94525.4551673876
229,95167.61181722622
230,93210.93010896619
231,91103.1434962426
232,91616.86328282436
233,91851.06896813144
234,93029.61344575851
235,94094.83616164935
236,98907.2299545218
237,96799.45256394679
238,99866.69307051103
239,102072.6863434502
240,101846.04281997774
241,101649.62027739799
242,101747.83615976216
243,102457.97848892366
244,104890.62450748388
245,103319.22572254873
246,101838.48988029172
247,100191.54325419907
248,99277.4162206232
249,97607.81077547246
250,96776.78452274011
251,95447.14436279808
