,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,99900.0
18,98924.83731019522
19,98845.38137307653
20,98079.69983942855
21,99322.12581344902
22,100564.55178746949
23,100218.64335000126
24,100218.64335000126
25,100218.64335000126
26,100218.64335000126
27,100218.64335000126
28,100218.64335000126
29,100218.64335000126
30,100218.64335000126
31,100218.64335000126
32,100218.64335000126
33,100218.64335000126
34,100218.64335000126
35,100218.64335000126
36,100218.64335000126
37,100218.64335000126
38,100218.64335000126
39,100218.64335000126
40,100218.64335000126
41,100218.64335000126
42,100218.64335000126
43,100218.64335000126
44,100218.64335000126
45,100218.64335000126
46,100218.64335000126
47,100218.64335000126
48,100218.64335000126
49,100218.64335000126
50,100218.64335000126
51,100218.64335000126
52,100218.64335000126
53,100218.64335000126
54,100218.64335000126
55,100218.64335000126
56,100218.64335000126
57,100218.64335000126
58,100218.64335000126
59,100218.64335000126
60,100218.64335000126
61,100218.64335000126
62,100218.64335000126
63,100218.64335000126
64,100218.64335000126
65,100218.64335000126
66,100218.64335000126
67,100218.64335000126
68,100118.42470665126
69,101465.63773154058
70,100608.32195103563
71,101299.93486508653
72,100593.91682975064
73,101328.75390199183
74,101299.93486508653
75,103021.76898673894
76,101912.3020233993
77,101696.17243811244
78,101400.79709708746
79,101451.22381592025
80,100053.59286653346
81,100464.23556084438
82,100817.24897567999
83,99765.42008615099
84,100896.4947314181
85,101213.48654870591
86,99241.02311274353
87,99241.02311274353
88,99241.02311274353
89,99241.02311274353
90,99241.02311274353
91,99141.78208963078
92,101739.75583538761
93,100398.11187551358
94,98218.91788062779
95,97311.56964268247
96,98715.24908659607
97,99940.55639709391
98,99987.09484353653
99,96947.07212368734
100,96582.58407142255
101,94822.16036067746
102,97032.37683094821
103,97691.56419927457
104,95682.98908564087
105,93519.3015950824
106,94046.64580970528
107,94287.06289389094
108,95496.86370006148
109,96590.3373235862
110,101530.3612265869
111,99366.68320275878
112,102515.2703863598
113,104779.76908850645
114,104547.11472321479
115,104345.4828333081
116,104446.30351162663
117,105175.2796161562
118,107672.44215032486
119,106059.36809761057
120,104539.36147105115
121,102848.73596323963
122,101910.36524990934
123,100196.47998560689
124,99343.41397953748
125,97978.51026317249
