,portfolio
0,100000.0
1,100000.0
2,99899.99999999999
3,103570.92755609675
4,102281.24222845754
5,103563.44240491865
6,105410.12872611148
7,105496.11465945102
8,106927.86235079312
9,107649.31895811154
10,107631.29806269496
11,107631.29806269496
12,107631.29806269496
13,107631.29806269496
14,107631.29806269496
15,107523.66676463226
16,106639.82125978309
17,106620.06984979371
18,105254.89178472119
19,106024.31042294487
20,106414.91780852998
21,107006.75978120918
22,107034.41175519433
23,106876.55367181101
24,106695.0704947063
25,104907.64996023742
26,105862.52394278249
27,107448.67706232906
28,106734.5076590286
29,105708.64896922528
30,105006.31946930905
31,104718.26621913696
32,103881.79127043409
33,104907.64996023742
34,105744.15773676852
35,105507.4143821312
36,105688.91944445472
37,106888.39357519522
38,106379.41998359615
39,107448.67706232906
40,110261.95628660129
41,110656.51395418428
42,110877.48900865835
43,111172.60024190143
44,110539.49521015075
45,110539.49521015075
46,110539.49521015075
47,110539.49521015075
48,110539.49521015075
49,110539.49521015075
50,110539.49521015075
51,110539.49521015075
52,110539.49521015075
53,110539.49521015075
54,110539.49521015075
55,110539.49521015075
56,110539.49521015075
57,110539.49521015075
58,110539.49521015075
59,110539.49521015075
60,110539.49521015075
61,110539.49521015075
62,110539.49521015075
63,110539.49521015075
64,110539.49521015075
65,110539.49521015075
66,110539.49521015075
67,110539.49521015075
68,110539.49521015075
69,110539.49521015075
70,110539.49521015075
71,110539.49521015075
72,110539.49521015075
73,110539.49521015075
74,110539.49521015075
75,110539.49521015075
76,110539.49521015075
77,110539.49521015075
78,110539.49521015075
79,110539.49521015075
80,110539.49521015075
81,110539.49521015075
82,110539.49521015075
83,110539.49521015075
84,110539.49521015075
85,110539.49521015075
86,110539.49521015075
87,110539.49521015075
88,110539.49521015075
89,110539.49521015075
90,110539.49521015075
91,110539.49521015075
92,110539.49521015075
93,110539.49521015075
94,110539.49521015075
95,110539.49521015075
96,110539.49521015075
97,110539.49521015075
98,110539.49521015075
99,110539.49521015075
100,110539.49521015075
101,110539.49521015075
102,110539.49521015075
103,110539.49521015075
104,110539.49521015075
105,110539.49521015075
106,110539.49521015075
107,110539.49521015075
108,110539.49521015075
109,110539.49521015075
110,110539.49521015075
111,110539.49521015075
112,110539.49521015075
113,110539.49521015075
114,110539.49521015075
115,110428.9557149406
116,110053.64953872688
117,111704.96089813726
118,111104.47997017781
119,110389.80890347916
120,110164.61624376844
121,112161.84680884898
122,112060.67576065527
123,113734.84663737148
124,115009.94375243357
125,115009.94375243357
126,115009.94375243357
127,115009.94375243357
128,115009.94375243357
129,114894.93380868113
130,115833.34095758117
131,116802.78633682147
132,115474.55075239131
133,116678.58608665537
134,118945.22881998557
135,116675.131083888
136,116274.92817429476
137,117934.3896678639
138,118386.3418928796
139,123657.90938924091
140,125727.90093766137
141,124361.70765159519
142,121001.42875461957
143,118665.79008931309
144,117820.5544259999
145,118596.69949972675
146,120354.37772949919
147,118610.62363416729
148,116094.1700021149
149,118342.62900855165
150,118192.94692975607
151,118513.17362460551
152,118944.75553193525
153,120949.55638430403
154,121297.61241651254
155,121134.04406632045
156,120657.19688985769
157,123921.96625827785
158,124405.75183755836
159,124639.50326814337
160,124639.50326814337
161,124639.50326814337
162,124639.50326814337
163,124639.50326814337
164,124639.50326814337
165,124639.50326814337
166,124639.50326814337
167,124514.86376487522
168,125711.31762570012
169,125876.47618811362
170,128324.42012860358
171,127392.22795258318
172,124437.80906602755
173,125637.9160382227
174,128698.7742134456
175,129440.13623567476
176,129131.82760967663
177,128060.1784061563
178,128482.07962192474
179,128482.07962192474
180,128482.07962192474
181,128482.07962192474
182,128482.07962192474
183,128482.07962192474
184,128482.07962192474
185,128482.07962192474
186,128482.07962192474
187,128482.07962192474
188,128482.07962192474
189,128482.07962192474
190,128482.07962192474
191,128482.07962192474
192,128482.07962192474
193,128482.07962192474
194,128482.07962192474
195,128482.07962192474
196,128482.07962192474
197,128482.07962192474
198,128482.07962192474
199,128482.07962192474
200,128482.07962192474
201,128482.07962192474
202,128482.07962192474
203,128482.07962192474
204,128482.07962192474
205,128482.07962192474
206,128482.07962192474
207,128482.07962192474
208,128482.07962192474
209,128353.59754230283
210,128934.71403683322
211,132757.94463746704
212,135499.21241558046
213,136650.00794567826
214,132937.65831084576
215,133132.64619078508
216,131136.91357864023
217,131312.7801067314
218,132842.07234698493
219,135311.8772354564
220,131622.4441093098
221,128628.86598647248
222,132914.72100677996
223,132536.21389893422
224,131886.27509451646
225,130521.35993494124
226,132337.41006677726
227,132616.4840654746
228,133266.44366527232
229,128319.1915862041
230,129577.02093681568
231,131182.78818677185
232,130204.0432325476
233,131584.2325986834
234,131771.56777880745
235,133037.04982923428
236,135969.46873968944
237,138657.209209856
238,139616.85360761205
239,139179.29804964038
240,139179.29804964038
241,139179.29804964038
242,139179.29804964038
243,139179.29804964038
244,139179.29804964038
245,139179.29804964038
246,139179.29804964038
247,139179.29804964038
248,139179.29804964038
249,139179.29804964038
250,139179.29804964038
251,139179.29804964038
252,139179.29804964038
253,139179.29804964038
254,139179.29804964038
255,139179.29804964038
256,139179.29804964038
257,139179.29804964038
258,139179.29804964038
259,139179.29804964038
260,139040.11875159072
261,139526.85727881262
262,129380.83618998522
263,124640.95692412835
264,126691.70836574146
265,129173.36088170108
266,126512.18433584967
267,124569.13646152009
268,126157.07506257867
269,123906.84524287365
270,126284.75467936542
271,125083.82626713431
272,122965.24740268326
273,122530.36413921797
274,126488.24779853076
275,123112.85966636703
276,125307.26288384822
277,123922.79570065188
278,121828.15337351974
279,120395.83481698869
280,120044.74028479113
281,118823.84667370834
282,121165.85130422175
283,120427.73573254516
284,113880.51769129233
285,116114.78620256757
286,117172.0845402337
287,114985.67825294472
288,112547.92747315568
289,113625.15845771883
290,116609.51080933012
291,121832.15726394163
292,121251.53889951069
293,119231.48395113202
294,121606.35520518984
295,122711.14684468955
296,123384.5057279168
297,121501.51620991547
298,120961.24056794678
299,122170.83865076619
300,119090.3712277266
301,114872.86402878123
302,116167.15144694701
303,114687.37214053703
304,112671.36448518645
305,111873.02779740836
306,114038.21021026588
307,116921.13067118943
308,115901.01751638454
309,117126.7613687101
310,116211.47635852803
311,118912.95222423547
312,119360.5198993625
313,117997.67806470495
314,117888.82432835714
315,119300.0383676238
316,119993.53606012752
317,119021.80596058328
318,120287.90338602262
319,120856.39072202085
320,122126.50288853362
321,118677.24041733236
322,118677.24041733236
323,118558.56317691502
324,117278.14054596315
325,117401.24939876443
326,122289.04745961099
327,121817.07681060568
328,124373.84679066823
329,125818.42928418744
330,123635.13845323949
331,123413.51601229905
332,119108.49429886589
333,120741.8650519872
334,124546.20139341486
335,127197.35445915424
336,127308.16015756235
337,126696.6580430245
338,128414.89097424985
339,128414.89097424985
340,128414.89097424985
341,128414.89097424985
342,128414.89097424985
343,128414.89097424985
344,128414.89097424985
345,128414.89097424985
346,128414.89097424985
347,128414.89097424985
348,128414.89097424985
349,128414.89097424985
350,128414.89097424985
351,128414.89097424985
352,128414.89097424985
353,128286.4760832756
354,123244.54537828399
355,125875.11249426212
356,123451.12218309195
357,122506.79538560665
358,123206.60848799469
359,122683.87580442413
360,122898.87042400322
361,124437.56074396058
362,127451.77373880032
363,129521.6485913909
364,130259.38723930439
365,124395.42629104956
366,120803.67405851619
367,116103.24343471132
368,117220.38501980931
369,117072.84636603769
370,116120.07906425359
371,115335.97436651582
372,115125.19999908614
373,116373.03326364965
374,117494.38375613322
375,117591.347452695
376,117924.40702958293
377,119172.2289493826
378,117511.253419967
379,120517.01456574407
380,122688.07336704586
381,122355.03647968562
382,123320.43050362643
383,120044.86818414718
384,120457.98775947158
385,119716.05154893636
386,124298.45124972393
387,125622.1696396299
388,126781.4683671666
389,125242.75535768154
390,126545.406521132
391,126511.67853822825
392,127974.50642237088
393,128558.2593006687
394,128558.2593006687
395,128558.2593006687
396,128558.2593006687
397,128558.2593006687
398,128558.2593006687
399,128558.2593006687
400,128558.2593006687
401,128558.2593006687
402,128558.2593006687
403,128558.2593006687
404,128558.2593006687
405,128558.2593006687
406,128558.2593006687
407,128558.2593006687
408,128558.2593006687
409,128558.2593006687
410,128558.2593006687
411,128558.2593006687
412,128558.2593006687
413,128558.2593006687
414,128558.2593006687
415,128558.2593006687
416,128558.2593006687
417,128558.2593006687
418,128558.2593006687
419,128558.2593006687
420,128558.2593006687
421,128558.2593006687
422,128558.2593006687
423,128558.2593006687
424,128558.2593006687
425,128558.2593006687
426,128558.2593006687
427,128429.70104136801
428,125266.52680698787
429,123778.45171807756
430,122570.92353715797
431,122566.864855375
432,122749.79776069729
433,123766.25402642578
434,121737.43264620603
435,122168.41053580097
436,123180.79729659508
437,122798.58852730437
438,123400.34492317552
439,122640.02935898278
440,123924.8240178988
441,123806.92742946692
442,121550.4085896465
443,119956.61295765323
444,117785.48878254661
445,120708.80033512859
446,119513.46984586077
447,119635.43593922706
448,120395.72985711695
449,122270.05075079811
450,124046.8009344165
451,125185.20164720845
452,125664.99194971331
453,125136.42170375279
454,124050.87043935091
455,125876.40056642497
456,126067.32538416509
457,126067.32538416509
458,126067.32538416509
459,126067.32538416509
460,126067.32538416509
461,126067.32538416509
462,126067.32538416509
463,126067.32538416509
464,126067.32538416509
465,126067.32538416509
466,126067.32538416509
467,126067.32538416509
468,126067.32538416509
469,126067.32538416509
470,126067.32538416509
471,126067.32538416509
472,126067.32538416509
473,126067.32538416509
474,126067.32538416509
475,126067.32538416509
476,126067.32538416509
477,126067.32538416509
478,126067.32538416509
479,125941.25805878092
480,124126.37423260153
481,124835.63930382553
482,122841.34287902489
483,123437.95585245172
484,125786.89036605856
485,124556.09150716235
486,123529.75015278629
487,122791.2641736155
488,119749.74638419936
489,118489.75993652163
490,118460.55013496325
491,117163.00188163137
492,118548.15732686152
493,117125.45118236564
494,116044.86622692074
495,115923.8621250278
496,114697.23926817946
497,115206.25615609645
498,115898.82832551732
499,114951.75326533217
500,115448.24214710548
501,119153.13341077254
502,117726.24015784035
503,118786.00063498794
504,118648.30363129187
505,119123.92360921417
506,117334.07358254527
507,119182.34321233092
508,115919.69722936832
509,104996.95293674366
510,105084.56012864193
511,102819.06791127387
512,102084.76904053941
513,102414.37332983513
514,102326.75503154844
515,102209.91582531497
516,102431.06623163827
517,103991.44716705335
518,104533.83875218818
519,106594.8845714245
520,105902.30129561521
521,106269.45628417665
522,105063.70233117933
523,105606.08280992573
524,106031.63518882707
525,105409.98841588976
526,104813.37544246294
527,103903.8399751551
528,105001.10672601471
529,105497.59560778803
530,104045.67966173378
531,103970.58936959077
532,105881.43239176419
533,107875.75102934167
534,108480.70490047584
535,108363.89901340764
536,108839.51899132995
537,109822.68822568355
538,109822.68822568355
539,109822.68822568355
540,109822.68822568355
541,109822.68822568355
542,109822.68822568355
543,109822.68822568355
544,109822.68822568355
545,109822.68822568355
546,109822.68822568355
547,109822.68822568355
548,109822.68822568355
549,109822.68822568355
550,109712.86553745787
551,108565.4601813196
552,108974.64391678787
553,109172.91985272994
554,109965.97927416989
555,109624.27628363777
556,108014.39139830686
557,107906.37700690856
558,108362.72441365644
559,109113.38867420393
560,110324.6575225904
561,113920.12703171377
562,113766.56602851514
563,114743.27540189103
564,114926.69268826793
565,114522.00757444886
566,114522.00757444886
567,114522.00757444886
568,114522.00757444886
569,114522.00757444886
570,114522.00757444886
571,114522.00757444886
572,114522.00757444886
573,114522.00757444886
574,114522.00757444886
575,114522.00757444886
576,114522.00757444886
577,114522.00757444886
578,114522.00757444886
579,114522.00757444886
580,114407.48556687441
581,113337.93231874832
582,114623.08628807808
583,115426.2922505227
584,114720.31537310379
585,115350.19461236816
586,116538.11949667218
587,117776.75763261081
588,117540.02546453598
589,117895.12926878876
590,117447.02711059692
591,115988.5464180869
592,117823.26236172087
593,119932.76484464748
594,119225.80335062633
595,119225.80335062633
596,119225.80335062633
597,119225.80335062633
598,119225.80335062633
599,119225.80335062633
600,119225.80335062633
601,119225.80335062633
602,119225.80335062633
603,119225.80335062633
604,119225.80335062633
605,119225.80335062633
606,119225.80335062633
607,119225.80335062633
608,119225.80335062633
609,119225.80335062633
610,119225.80335062633
611,119225.80335062633
612,119225.80335062633
613,119225.80335062633
614,119225.80335062633
615,119225.80335062633
616,119225.80335062633
617,119225.80335062633
618,119225.80335062633
619,119225.80335062633
620,119225.80335062633
621,119225.80335062633
622,119225.80335062633
623,119225.80335062633
624,119225.80335062633
625,119106.5775472757
626,119966.23983473738
627,121552.67597494947
628,122819.32682017208
629,122549.37196105203
630,124185.63853713353
631,124123.35049229677
632,121722.94814515211
633,118750.9912985577
634,118750.9912985577
635,118632.24030725914
636,118475.96425809697
637,117908.5076474573
638,117382.1291274289
639,115852.41041313557
640,114136.24707038024
641,113253.1923394461
642,114994.32874175791
643,114719.41985820618
644,113998.79802935255
645,112811.64877173452
646,114144.57502406451
647,115719.1091467055
648,116906.24760282718
649,116989.55954415892
650,115881.55285028234
651,114531.97069058381
652,114036.27922167994
653,114427.8334642932
654,117506.07629802165
655,120371.86450008223
656,119759.56007660586
657,119680.41751286441
658,119880.353210265
659,121446.53777622903
660,120613.53123854831
661,120613.53123854831
662,120613.53123854831
663,120613.53123854831
664,120613.53123854831
665,120613.53123854831
666,120613.53123854831
667,120613.53123854831
668,120613.53123854831
669,120613.53123854831
670,120613.53123854831
671,120613.53123854831
672,120613.53123854831
673,120613.53123854831
674,120613.53123854831
675,120613.53123854831
676,120613.53123854831
677,120613.53123854831
678,120613.53123854831
679,120613.53123854831
680,120613.53123854831
681,120613.53123854831
682,120613.53123854831
683,120613.53123854831
684,120613.53123854831
685,120613.53123854831
686,120613.53123854831
687,120613.53123854831
688,120613.53123854831
689,120613.53123854831
690,120613.53123854831
691,120613.53123854831
692,120613.53123854831
693,120492.91770730978
694,130052.85123797048
695,133226.04634379852
696,131568.8838541836
697,132134.15324531498
698,132134.15324531498
699,132134.15324531498
700,132134.15324531498
701,132134.15324531498
702,132134.15324531498
703,132134.15324531498
704,132134.15324531498
705,132134.15324531498
706,132134.15324531498
707,132134.15324531498
708,132134.15324531498
709,132134.15324531498
710,132134.15324531498
711,132134.15324531498
712,132134.15324531498
713,132134.15324531498
714,132134.15324531498
715,132134.15324531498
716,132134.15324531498
717,132134.15324531498
718,132134.15324531498
719,132134.15324531498
720,132134.15324531498
721,132134.15324531498
722,132134.15324531498
723,132134.15324531498
724,132134.15324531498
725,132002.01909206968
726,132211.31126601715
727,130694.8160370372
728,129312.59878353306
729,126887.7917001581
730,127760.57805905848
731,127673.68447898586
732,126421.78199347513
733,127397.23283560805
734,127274.81376004081
735,130584.2456205323
736,129059.85469912618
737,126583.71025371183
738,123329.5584810497
739,122816.16437896354
740,122796.42002747503
741,119175.02126895732
742,117895.46849868573
743,117200.40178487437
744,118321.98950239166
745,118116.61957254175
746,117121.43461976653
747,116947.65770046748
748,117425.51606621279
749,116825.22838405402
750,116635.67032074885
751,118069.23517713857
752,119013.09300872062
753,117271.48349840226
754,115960.3581992722
755,111718.917166261
756,112098.03329287133
757,111466.16284100791
758,113164.33068171307
759,113926.52614241613
760,113006.35538811256
761,113614.52852185129
762,112966.86668513554
763,113322.29573446738
764,112200.7284986425
765,111718.917166261
766,111865.04380079916
767,112623.29653571224
768,113812.00275927504
769,112733.86695221715
770,113701.41186107771
771,112544.308888912
772,112429.77526492468
773,112528.50726321345
774,112153.3236215469
775,114791.39632719793
776,114076.59550274427
777,113274.91133906419
778,114905.91971033903
779,116296.04289711553
780,115603.73308054838
781,115603.73308054838
782,115603.73308054838
783,115603.73308054838
784,115603.73308054838
785,115603.73308054838
786,115603.73308054838
787,115488.12934746782
788,118508.63924349246
789,122001.5179129341
790,127085.41264415553
791,124280.3675429807
792,123824.93678836856
793,123824.93678836856
794,123824.93678836856
795,123824.93678836856
796,123824.93678836856
797,123824.93678836856
798,123824.93678836856
799,123824.93678836856
800,123824.93678836856
801,123824.93678836856
802,123824.93678836856
803,123824.93678836856
804,123824.93678836856
805,123824.93678836856
806,123824.93678836856
807,123824.93678836856
808,123824.93678836856
809,123824.93678836856
810,123824.93678836856
811,123824.93678836856
812,123824.93678836856
813,123824.93678836856
814,123824.93678836856
815,123824.93678836856
816,123824.93678836856
817,123824.93678836856
818,123824.93678836856
819,123824.93678836856
820,123824.93678836856
821,123824.93678836856
822,123824.93678836856
823,123824.93678836856
824,123824.93678836856
825,123824.93678836856
826,123824.93678836856
827,123824.93678836856
828,123824.93678836856
829,123824.93678836856
830,123824.93678836856
831,123824.93678836856
832,123824.93678836856
833,123824.93678836856
834,123824.93678836856
835,123824.93678836856
836,123824.93678836856
837,123824.93678836856
838,123824.93678836856
839,123824.93678836856
840,123824.93678836856
841,123824.93678836856
842,123824.93678836856
843,123824.93678836856
844,123824.93678836856
845,123824.93678836856
846,123824.93678836856
847,123824.93678836856
848,123824.93678836856
849,123824.93678836856
850,123824.93678836856
851,123824.93678836856
852,123824.93678836856
853,123824.93678836856
854,123824.93678836856
855,123824.93678836856
856,123824.93678836856
857,123824.93678836856
858,123824.93678836856
859,123824.93678836856
860,123824.93678836856
861,123824.93678836856
862,123824.93678836856
863,123824.93678836856
864,123824.93678836856
865,123824.93678836856
866,123824.93678836856
867,123824.93678836856
868,123824.93678836856
869,123824.93678836856
870,123824.93678836856
871,123824.93678836856
872,123824.93678836856
873,123824.93678836856
874,123824.93678836856
875,123824.93678836856
876,123824.93678836856
877,123824.93678836856
878,123824.93678836856
879,123824.93678836856
880,123824.93678836856
881,123824.93678836856
882,123824.93678836856
883,123824.93678836856
884,123824.93678836856
885,123824.93678836856
886,123824.93678836856
887,123701.11185158018
888,123362.40250249892
889,120867.38721494713
890,117859.28808302786
891,118100.72839502571
892,118288.53122691593
893,117654.71036736989
894,122316.1049532427
895,120931.10648449505
896,122735.29159645997
897,124757.45747191738
898,125215.62956880053
899,125215.62956880053
900,125215.62956880053
901,125215.62956880053
902,125215.62956880053
903,125215.62956880053
904,125215.62956880053
905,125215.62956880053
906,125215.62956880053
907,125215.62956880053
908,125215.62956880053
909,125215.62956880053
910,125215.62956880053
911,125215.62956880053
912,125215.62956880053
913,125215.62956880053
914,125215.62956880053
915,125215.62956880053
916,125215.62956880053
917,125215.62956880053
918,125215.62956880053
919,125215.62956880053
920,125215.62956880053
921,125215.62956880053
922,125215.62956880053
923,125215.62956880053
924,125215.62956880053
925,125215.62956880053
926,125215.62956880053
927,125215.62956880053
928,125215.62956880053
929,125215.62956880053
930,125215.62956880053
931,125215.62956880053
932,125215.62956880053
933,125215.62956880053
934,125215.62956880053
935,125215.62956880053
936,125215.62956880053
937,125215.62956880053
938,125215.62956880053
939,125215.62956880053
940,125215.62956880053
941,125215.62956880053
942,125215.62956880053
943,125215.62956880053
944,125215.62956880053
945,125215.62956880053
946,125215.62956880053
947,125215.62956880053
948,125215.62956880053
949,125215.62956880053
950,125215.62956880053
951,125090.41393923173
952,123674.1005218191
953,124994.00684919916
954,122979.16615080975
955,122979.16615080975
956,122979.16615080975
957,122979.16615080975
958,122979.16615080975
959,122979.16615080975
960,122979.16615080975
961,122979.16615080975
962,122979.16615080975
963,122979.16615080975
964,122979.16615080975
965,122979.16615080975
966,122979.16615080975
967,122979.16615080975
968,122856.18698465894
969,122172.95907364874
970,118746.72663857408
971,118989.05728014934
972,118760.19509205082
