,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,99900.0
55,99949.98428888661
56,99949.98428888661
57,105572.87359470275
58,105035.56918203272
59,103642.3467410662
60,103257.84107349961
61,103257.84107349961
62,103257.84107349961
63,103257.84107349961
64,103257.84107349961
65,103257.84107349961
66,103257.84107349961
67,103257.84107349961
68,103257.84107349961
69,103257.84107349961
70,103257.84107349961
71,103257.84107349961
72,103154.5832324261
73,103195.92896155252
74,101411.46041274506
75,95493.09178659577
76,94328.70824938959
77,94087.56407821132
78,95851.35976245557
79,94645.63890656421
80,94425.16759994914
81,93233.22304680577
82,91462.53921118751
83,87879.82581082462
84,88885.73981422288
85,88816.84147960051
86,89574.7231604465
87,88803.06517685253
88,90077.68436736627
89,89967.44871405873
90,90146.58270198862
91,90601.31002840797
92,89264.68065464587
93,87934.947842699
94,87211.51532916419
95,86005.79447327282
96,86109.14197520637
97,84944.75843800018
98,87301.07811790852
99,84111.09027115782
100,86529.42013431454
101,86591.43031756292
102,88072.74451194373
103,88127.85813337688
104,87480.21210583841
105,86164.25559663952
106,87893.60211357259
107,89622.9570409469
108,89995.00131955468
109,92282.43107528189
110,92750.93470444922
111,91745.02070105096
112,89051.0974994048
113,87969.39701001019
114,89932.99954674754
115,90890.67966964541
116,90856.23050233422
117,90435.95234322606
118,90477.28966191123
119,87404.42561984206
120,85475.27225041589
121,79550.01547289263
122,80631.72437272848
123,79377.76963633671
124,80438.80567160936
125,81424.05522088565
