,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,99900.0
58,99747.06770164773
59,99464.72720356328
60,98841.2396261758
61,97876.59030815863
62,97629.54695399932
63,96453.14409508464
64,96323.73589535247
65,96441.37838044294
66,96100.22397047658
67,95900.23614422079
68,96923.70670478318
69,97982.46707860738
70,98076.57813441445
71,97343.87619421018
72,97343.87619421018
73,97343.87619421018
74,97343.87619421018
75,97343.87619421018
76,97343.87619421018
77,97343.87619421018
78,97343.87619421018
79,97246.53231801598
80,97916.71034679601
81,97186.6944613492
82,97067.02620537562
83,95331.75819147876
84,95583.07868095128
85,96443.929003427
86,96443.929003427
87,96443.929003427
88,96443.929003427
89,96443.929003427
90,96443.929003427
91,96443.929003427
92,96443.929003427
93,96443.929003427
94,96443.929003427
95,96443.929003427
96,96347.48507442357
97,96045.7097759293
98,95790.36089007607
99,95894.82212668216
100,95012.70582119237
101,95535.01200422284
102,95326.08953101067
103,94467.19728082394
104,93596.69661931318
105,93085.9916149517
106,92877.07637439454
107,94037.74392307553
108,94536.83328345798
109,93120.44877910925
110,93120.44877910925
111,93120.44877910925
112,93120.44877910925
113,93120.44877910925
114,93120.44877910925
115,93120.44877910925
116,93120.44877910925
117,93120.44877910925
118,93120.44877910925
119,93120.44877910925
120,93120.44877910925
121,93120.44877910925
122,93120.44877910925
123,93120.44877910925
124,93120.44877910925
125,93120.44877910925
126,93027.32833033014
127,92419.16363352363
128,93237.42497181037
129,92607.14193781742
130,92960.9870996663
131,91545.62023316624
132,90428.79579510124
133,90119.18730762524
134,89356.21492185682
135,89687.94174651927
136,89975.43878725657
137,90008.60940258851
138,89721.11925229893
139,90262.93582799388
140,90030.72773977493
141,89754.28986763085
142,89245.63701682011
143,89665.83029978056
144,90106.39800273268
145,90106.39800273268
146,90106.39800273268
147,90106.39800273268
148,90106.39800273268
149,90106.39800273268
150,90106.39800273268
151,90106.39800273268
152,90106.39800273268
153,90106.39800273268
154,90106.39800273268
155,90106.39800273268
156,90106.39800273268
157,90106.39800273268
158,90106.39800273268
159,90106.39800273268
160,90106.39800273268
161,90016.29160472994
162,89590.52498101925
163,89724.97649661913
164,89870.63405067453
165,90240.38444601852
166,91282.39241936195
167,91114.32977035095
168,90565.31068754043
169,90217.97236910749
170,89769.79366848576
171,90307.60671284074
172,81534.54931806082
173,78442.1225675308
174,78363.70124420848
175,76739.06305464343
176,76393.68288844674
177,76393.68288844674
178,76393.68288844674
179,76393.68288844674
180,76393.68288844674
181,76393.68288844674
182,76393.68288844674
183,76393.68288844674
184,76393.68288844674
185,76393.68288844674
186,76393.68288844674
187,76393.68288844674
188,76393.68288844674
189,76393.68288844674
190,76393.68288844674
191,76393.68288844674
192,76393.68288844674
193,76393.68288844674
194,76393.68288844674
195,76393.68288844674
196,76393.68288844674
197,76393.68288844674
198,76393.68288844674
199,76393.68288844674
200,76393.68288844674
201,76393.68288844674
202,76393.68288844674
203,76393.68288844674
204,76393.68288844674
205,76317.28920555829
206,74836.62315379457
207,75066.18334751787
208,74698.88563643636
209,74262.72266948633
210,73401.87194302397
211,73069.00685987674
212,71990.07815274993
213,72288.50360234175
214,71611.30523423072
215,71508.00034480677
216,71094.79479835331
217,70245.41927932865
218,70945.57506793624
219,70863.16576063803
220,70863.16576063803
221,70863.16576063803
222,70863.16576063803
223,70863.16576063803
224,70863.16576063803
225,70863.16576063803
226,70863.16576063803
227,70863.16576063803
228,70863.16576063803
229,70863.16576063803
230,70863.16576063803
231,70863.16576063803
232,70863.16576063803
233,70863.16576063803
234,70863.16576063803
235,70863.16576063803
236,70863.16576063803
237,70863.16576063803
238,70863.16576063803
239,70863.16576063803
240,70863.16576063803
241,70863.16576063803
242,70863.16576063803
243,70863.16576063803
244,70792.3025948774
245,69843.52936872636
246,69797.80249980364
247,68951.91124025841
248,69466.30711940615
249,69603.48074923367
250,72301.1985690989
251,71992.55964622213
