,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,99900.0
32,99838.0491115284
33,99144.2207786035
34,99689.37161161593
35,99540.69411170344
36,99069.87816829779
37,99218.55566821026
38,99379.62488995685
39,99788.49766558986
40,100940.75794078525
41,100754.9129960694
42,100147.80355388642
43,99763.71422192163
44,99268.11483484776
45,99862.83255519663
46,90161.51952629686
47,86741.89070411616
48,86655.17181337424
49,84858.6346511925
50,84561.27193066859
51,84390.06306093023
52,84390.06306093023
53,84390.06306093023
54,84390.06306093023
55,84390.06306093023
56,84390.06306093023
57,84390.06306093023
58,84390.06306093023
59,84390.06306093023
60,84390.06306093023
61,84390.06306093023
62,84390.06306093023
63,84390.06306093023
64,84390.06306093023
65,84390.06306093023
66,84390.06306093023
67,84390.06306093023
68,84390.06306093023
69,84390.06306093023
70,84390.06306093023
71,84390.06306093023
72,84390.06306093023
73,84390.06306093023
74,84390.06306093023
75,84390.06306093023
76,84390.06306093023
77,84390.06306093023
78,84390.06306093023
79,84305.6729978693
80,82670.02071935589
81,82923.60973996742
82,82517.86575920443
83,82036.04816782709
84,81085.08934053389
85,80717.38216507807
86,79525.51841155758
87,79855.18104278346
88,79107.09807533312
89,78992.97992048884
90,78536.5227789572
91,77598.24030712547
92,78371.68372442151
93,78359.00736896002
94,77039.30629303238
95,77039.30629303238
96,77039.30629303238
97,77039.30629303238
98,77039.30629303238
99,77039.30629303238
100,77039.30629303238
101,77039.30629303238
102,77039.30629303238
103,77039.30629303238
104,77039.30629303238
105,77039.30629303238
106,77039.30629303238
107,77039.30629303238
108,77039.30629303238
109,77039.30629303238
110,77039.30629303238
111,77039.30629303238
112,77039.30629303238
113,77039.30629303238
114,77039.30629303238
115,77039.30629303238
116,77039.30629303238
117,76962.26698673934
118,78135.62459902767
119,77088.43463753727
120,77037.9644969532
121,76104.32850144585
122,76672.08293003656
123,76823.48565112652
124,79801.03912969284
125,79460.38493240597
