,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,99900.0
7,99261.5108660829
8,99504.51597121978
9,99714.17085593172
10,99437.80825977464
11,99323.44906704215
12,98880.32082756984
13,99094.73795217244
14,100200.18106620549
15,99733.22708608951
16,100343.1282394723
17,100000.05793187006
18,99480.6902305761
19,99456.86448993243
20,98627.78397205645
21,100142.82723729461
22,100142.82723729461
23,100142.82723729461
24,100142.82723729461
25,100142.82723729461
26,100142.82723729461
27,100142.82723729461
28,100142.82723729461
29,100142.82723729461
30,100142.82723729461
31,100142.82723729461
32,100142.82723729461
33,100142.82723729461
34,100142.82723729461
35,100142.82723729461
36,100142.82723729461
37,100142.82723729461
38,100142.82723729461
39,100142.82723729461
40,100142.82723729461
41,100142.82723729461
42,100142.82723729461
43,100142.82723729461
44,100142.82723729461
45,100142.82723729461
46,100142.82723729461
47,100142.82723729461
48,100142.82723729461
49,100142.82723729461
50,100142.82723729461
51,100142.82723729461
52,100142.82723729461
53,100142.82723729461
54,100142.82723729461
55,100142.82723729461
56,100142.82723729461
57,100142.82723729461
58,100042.6844100573
59,99316.20763161429
60,98800.64877236719
61,99831.77364256079
62,99081.86074512941
63,95777.57536705208
64,96644.65455602648
65,96644.65455602648
66,95613.52968583288
67,95660.40192380964
68,97441.43253973522
69,96632.940072382
70,95789.28985069654
71,98976.40893723085
72,100487.94206403871
73,100504.51039177387
74,100504.51039177387
75,100504.51039177387
76,100504.51039177387
77,100504.51039177387
78,100504.51039177387
79,100504.51039177387
80,100504.51039177387
81,100504.51039177387
82,100504.51039177387
83,100504.51039177387
84,100504.51039177387
85,100504.51039177387
86,100504.51039177387
87,100504.51039177387
88,100504.51039177387
89,100504.51039177387
90,100504.51039177387
91,100404.0058813821
92,101833.33686008964
93,99585.39063429396
94,97532.34524746389
95,95336.37786596446
96,96116.01294525947
97,97246.4853964089
98,97558.334669612
99,95674.2165613157
100,95310.38844381632
101,92659.62600187
102,95336.37786596446
103,96440.86089496574
104,95154.45984178569
105,91841.01075478185
106,92529.68682198749
107,93036.45279587251
108,93699.13944093004
109,94322.85384905257
110,98792.75687849578
111,96648.76041043448
112,97337.43647764013
113,96648.76041043448
114,99377.48318796705
115,98532.87851873078
116,99689.34039202832
117,98545.87719523393
118,99312.5135980258
119,97837.22630215091
120,97837.22630215091
121,97739.38907584877
122,99307.53675218267
123,99610.63148537085
124,100678.0261897919
125,101020.64452766342
