,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,99900.0
5,99759.20950273736
6,99873.04215928259
7,99495.59548091363
8,99570.48247272035
9,103165.19094941365
10,107457.88014540476
11,106852.76815394533
12,107035.50865361681
13,108386.5157521333
14,107982.11123304693
15,107847.30726612979
16,106876.7364203225
17,107511.80320850463
18,106385.45708540831
19,107838.31639811397
20,109300.16657883544
21,109039.55689468204
22,109228.27654303401
23,109497.87709520324
24,110091.00864430661
25,110225.81261122374
26,110201.62289489544
27,109648.31542867007
28,110135.10671124139
29,110549.3288448278
30,111232.64219569585
31,111259.85839468958
32,111411.03489466017
33,108964.99469613697
34,108466.11224623403
35,109714.83161232412
36,109521.32864502778
37,108892.43292881711
38,109485.04776136784
39,110721.66857846126
40,108354.2431125888
41,108992.2108951307
42,109445.74039504248
43,110649.10681114139
44,111241.71426202709
45,110957.5053947484
46,110863.77301210062
47,108750.32849517776
48,108330.0533962605
49,108683.81231152371
50,108284.70044626931
51,109040.58294612227
52,108233.30191261233
53,108082.12541264173
54,107051.10611184132
55,105593.88271447543
56,105593.88271447543
57,105593.88271447543
58,105593.88271447543
59,105593.88271447543
60,105593.88271447543
61,105593.88271447543
62,105593.88271447543
63,105593.88271447543
64,105593.88271447543
65,105593.88271447543
66,105593.88271447543
67,105593.88271447543
68,105593.88271447543
69,105593.88271447543
70,105593.88271447543
71,105593.88271447543
72,105593.88271447543
73,105593.88271447543
74,105593.88271447543
75,105593.88271447543
76,105593.88271447543
77,105593.88271447543
78,105593.88271447543
79,105593.88271447543
80,105488.28883176096
81,104883.91506258796
82,105476.6129352921
83,104881.11800108202
84,104881.11800108202
85,104881.11800108202
86,104881.11800108202
87,104881.11800108202
88,104881.11800108202
89,104881.11800108202
90,104881.11800108202
91,104881.11800108202
92,104881.11800108202
93,104881.11800108202
94,104881.11800108202
95,104881.11800108202
96,104881.11800108202
97,104881.11800108202
98,104881.11800108202
99,104881.11800108202
100,104881.11800108202
101,104881.11800108202
102,104881.11800108202
103,104881.11800108202
104,104881.11800108202
105,104776.23688308094
106,103937.74903085644
107,106364.79129562226
108,105192.62255733651
109,104354.14166796672
110,104676.41739802003
111,106467.46555111252
112,106578.69019218137
113,106370.49387362623
114,106373.34864405557
115,107497.02806217082
116,107919.12327728506
117,107505.58541060414
118,106786.8865107365
119,109193.95930820637
120,110137.96922349575
121,109499.12034139308
122,110448.83283468643
123,110890.8905542419
124,111760.74606691557
125,111367.17070467588
126,111906.20010171765
127,113303.67289257044
128,112884.43244788554
129,113722.91333725533
130,114960.67216686878
131,113523.2743671335
132,111923.30783572955
133,110702.66370298271
134,110728.32878542792
135,111755.0434889116
136,112796.01811883257
137,112784.61296282463
138,114150.71113037354
139,114204.89606569329
140,114869.41003024117
141,114068.00634217923
142,114638.40339967018
143,115146.05121055334
144,114789.5530496215
145,114458.72693398959
146,113985.29459113022
147,115847.64237640907
148,116398.07692945877
149,116064.39604339752
150,116167.06333603305
151,114949.26701086084
152,113737.1732636926
153,113611.68869618648
154,115168.86848542391
155,113985.29459113022
156,114008.1118660008
157,113831.29017074955
158,114076.44550311676
159,114076.44550311676
160,114076.44550311676
161,114076.44550311676
162,114076.44550311676
163,114076.44550311676
164,113962.36905761364
165,113931.59214952453
166,113551.11552611049
167,113405.63896921082
168,113229.38550422204
169,112988.78466881439
170,113360.87379930048
171,114242.13429403838
172,115833.9957572127
173,116477.45580098957
174,116113.76099363742
175,115839.59652610596
176,116298.40878176014
177,112700.62510925572
178,112611.101599641
179,112437.64851909886
180,108755.93527566703
181,108151.6464631132
182,108151.6464631132
183,107780.77437970763
184,107780.77437970763
185,107780.77437970763
186,107780.77437970763
187,107780.77437970763
188,107780.77437970763
189,107780.77437970763
190,107780.77437970763
191,107780.77437970763
192,107780.77437970763
193,107780.77437970763
194,107780.77437970763
195,107780.77437970763
196,107780.77437970763
197,107780.77437970763
198,107780.77437970763
199,107780.77437970763
200,107780.77437970763
201,107780.77437970763
202,107780.77437970763
203,107780.77437970763
204,107780.77437970763
205,107780.77437970763
206,107780.77437970763
207,107780.77437970763
208,107780.77437970763
209,107780.77437970763
210,107780.77437970763
211,107780.77437970763
212,107780.77437970763
213,107780.77437970763
214,107780.77437970763
215,107780.77437970763
216,107780.77437970763
217,107780.77437970763
218,107780.77437970763
219,107780.77437970763
220,107780.77437970763
221,107780.77437970763
222,107780.77437970763
223,107780.77437970763
224,107780.77437970763
225,107780.77437970763
226,107780.77437970763
227,107780.77437970763
228,107780.77437970763
229,107780.77437970763
230,107780.77437970763
231,107780.77437970763
232,107780.77437970763
233,107780.77437970763
234,107780.77437970763
235,107780.77437970763
236,107780.77437970763
237,107780.77437970763
238,107780.77437970763
239,107780.77437970763
240,107780.77437970763
241,107780.77437970763
242,107780.77437970763
243,107780.77437970763
244,107780.77437970763
245,107780.77437970763
246,107780.77437970763
247,107780.77437970763
248,107780.77437970763
249,107780.77437970763
250,107780.77437970763
251,107780.77437970763
