,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,99900.0
37,99130.2947608685
38,100172.96666564501
39,100145.91375148066
40,99811.47465171918
41,99683.6007017
42,99528.67383751643
43,99317.18560974159
44,99644.2520999616
45,100418.88041712566
46,101818.12726154912
47,102383.72888995463
48,102064.04101302977
49,101823.05033958169
50,102226.34649050848
51,99063.89324496577
52,98985.20204524271
53,98832.73672007544
54,95596.50934908853
55,95065.33924814254
56,95065.33924814254
57,94834.1767194985
58,95163.7047487348
59,93611.72956670208
60,93611.72956670208
61,93611.72956670208
62,93611.72956670208
63,93611.72956670208
64,93611.72956670208
65,93611.72956670208
66,93611.72956670208
67,93611.72956670208
68,93611.72956670208
69,93611.72956670208
70,93611.72956670208
71,93611.72956670208
72,93611.72956670208
73,93611.72956670208
74,93611.72956670208
75,93611.72956670208
76,93611.72956670208
77,93611.72956670208
78,93611.72956670208
79,93611.72956670208
80,93611.72956670208
81,93611.72956670208
82,93611.72956670208
83,93518.11783713537
84,94381.01312197943
85,94117.53233624865
86,93937.4828442417
87,89291.44153884049
88,85163.96115703824
89,85163.96115703824
90,85163.96115703824
91,85163.96115703824
92,85163.96115703824
93,85163.96115703824
94,85163.96115703824
95,85163.96115703824
96,85163.96115703824
97,85163.96115703824
98,85163.96115703824
99,85163.96115703824
100,85163.96115703824
101,85163.96115703824
102,85163.96115703824
103,85163.96115703824
104,85163.96115703824
105,85163.96115703824
106,85163.96115703824
107,85163.96115703824
108,85163.96115703824
109,85163.96115703824
110,85163.96115703824
111,85163.96115703824
112,85163.96115703824
113,85163.96115703824
114,85163.96115703824
115,85163.96115703824
116,85163.96115703824
117,85163.96115703824
118,85163.96115703824
119,85163.96115703824
120,85163.96115703824
121,85163.96115703824
122,85163.96115703824
123,85163.96115703824
124,85163.96115703824
125,85163.96115703824
