,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,100000.0
86,100000.0
87,100000.0
88,100000.0
89,100000.0
90,100000.0
91,100000.0
92,100000.0
93,100000.0
94,100000.0
95,100000.0
96,100000.0
97,100000.0
98,99900.0
99,99242.74706689839
100,99399.44921058418
101,99036.724328188
102,98707.37439497898
103,97376.16636450385
104,95883.9227352328
105,96119.69207258054
106,98615.96052667276
107,99329.80544557697
108,98441.84376931559
109,98557.9216075537
110,99576.45983457423
111,99341.41029146513
112,99780.30115605121
113,98388.89482374114
114,98594.88720623124
115,98594.88720623124
116,98594.88720623124
117,98594.88720623124
118,98496.29231902501
119,99682.91376814256
120,98772.6874572535
121,96308.49027133953
122,97075.88604931896
123,97299.00210390038
124,98798.98168500532
125,105211.01796592059
126,105500.92351720459
127,104935.32784392184
128,104281.61233596549
129,101784.01320765706
130,101897.70786576645
131,103147.57214830843
132,102309.11361198904
133,106476.5220982936
134,105588.316753519
135,109436.68381373932
136,109337.20458491518
137,106329.43269183293
138,106539.03833335883
139,108814.23361735872
140,108795.04710424952
141,107872.74918893704
142,107652.48197544721
143,105288.4690345871
144,103180.95970261656
145,103703.21845990012
146,104540.25976971688
147,104731.39110840647
148,106332.97935511108
149,108225.19255741574
150,110729.17999605073
151,109912.04460365923
152,110098.91706879777
153,109206.46723855844
154,107685.16451352561
155,106748.65836297104
156,105921.57360888849
157,106296.74295971137
158,106627.14377994613
159,114404.16342205855
160,117593.12448618251
161,115353.46058135258
162,111761.61871215129
163,111613.8170954177
164,108991.17110889254
165,107613.41112704224
166,101900.54951281488
167,101602.11902038562
168,100441.06520066068
169,103360.73884119879
170,104095.44488705667
171,102443.41200971026
172,100086.49958944962
173,102129.34886149313
174,105657.94789727
175,105471.07543213145
176,105526.50553468351
177,106816.15287590335
178,106485.75205566859
179,107548.75106711518
180,105883.912792943
181,103692.56408197935
182,103446.90250043238
183,103446.90250043238
184,103446.90250043238
185,103343.45559793194
186,102363.49256967223
187,101977.3782841167
188,102088.59302229766
189,102824.4416831925
190,101875.95786476562
191,103893.25469268109
192,105256.54880526701
193,106742.2471164469
194,108774.2318816387
195,110267.62825830527
196,110601.98066654516
197,113674.09659649599
198,113929.42167008476
199,114305.73455487346
200,112994.91051330019
201,113094.94287300511
202,115631.25361566001
203,110729.97959534565
204,112136.64348993744
205,112425.52986282828
206,114569.44464183503
207,112648.66045095025
208,120347.16501771481
209,123391.30729663311
210,119624.5949886392
211,120273.00297376225
212,119742.82084442073
213,119125.16262962254
214,120221.95637208062
215,119619.0002584327
216,119074.79589389006
217,120303.08704201192
218,125199.4532800059
219,123184.93965331973
220,122229.47304504017
221,117042.80404676129
222,120628.34624318201
223,120072.25838840326
224,119645.57168594512
225,119878.48242902302
226,120488.4496602715
227,120629.73430282818
228,121693.6536938703
229,114856.92879120575
230,116898.70787522741
231,116311.85608624987
232,109317.73513442128
233,106258.8978362897
234,101387.00677246494
235,94696.47429467745
236,95217.59154469705
237,98303.00027034104
238,100890.38594242546
239,99362.01187906279
240,102358.59186928882
241,103804.41887532616
242,104723.53390113737
243,107622.18486693865
244,107689.955413202
245,107689.955413202
246,107689.955413202
247,107689.955413202
248,107689.955413202
249,107689.955413202
250,107689.955413202
251,107689.955413202
252,107582.2654577888
253,109556.40865335068
254,110619.95401814311
255,110435.70391840956
256,110184.58473904949
257,108709.12901290834
258,107534.6129555474
259,107640.60664100453
260,108393.9857869304
261,106276.1360126623
262,107755.85568700885
263,105786.71110640398
264,109081.90036319604
265,112105.363758507
266,112465.32165633288
267,112577.01981303777
268,112497.3372809494
269,110813.45947842384
270,112232.69879283675
271,109808.9539505227
272,108627.3217093325
273,105257.41252233302
274,105396.14209392788
275,103569.26356898685
276,104722.44548009036
277,106936.32052036244
278,105236.78423236638
279,103205.02731772515
280,101046.64122504494
281,103118.9488633287
282,107176.76542397859
283,107656.9709827658
284,105352.02607575548
285,107942.23776084509
286,112365.01803689307
287,111016.19869140613
288,110797.0951366626
289,111049.6404338346
290,112899.39109386445
291,112899.39109386445
292,112786.4917027706
293,112404.9366186185
294,112206.72320675626
295,109087.0336022587
296,109164.90418079079
297,110564.41729624233
298,111740.22361300801
299,112269.73637992276
300,112344.06640937111
301,111869.76900711455
302,110596.27507089259
303,111188.0771335296
304,110907.04067468009
305,108847.77418917665
306,108462.68572304424
307,110156.67361623602
308,110187.0979702046
309,117099.68320234913
310,118405.04924742816
311,119616.24672082445
312,120196.02238394218
313,120467.84194780851
314,119927.71470074596
315,118962.8505714958
316,119539.78806166381
317,118199.75473739844
318,122183.05880129592
319,121848.22606426309
320,120001.33518695686
321,120450.15353659663
322,119204.95532463098
323,119495.20151136027
324,121301.03205323986
325,124278.43315377079
326,123241.36762478459
327,123397.79682377595
328,123867.85846791815
329,124546.71216855338
330,125027.38112574
331,122063.4255112032
332,120707.810904128
333,122580.20233536125
334,123471.43164419368
335,124214.71760447026
336,127468.91223863294
337,129870.7806012639
338,127681.81821248237
339,127785.13917521763
340,125996.63152227609
341,127147.4103139397
342,126545.30195660144
343,125606.85577051458
344,123972.9712065055
345,128312.43730717918
346,127466.61876554227
347,127514.36600844891
348,125109.50179659325
349,122958.29570856708
350,124276.52670426416
351,124041.3740414351
352,124496.01207904248
353,124277.94579073902
354,125896.87977703821
355,129431.8528543277
356,128608.85436994309
357,127113.8969384021
358,127547.86504977969
359,126674.26681533188
360,125194.28862991442
361,125276.23729028588
362,127490.15553313539
363,127228.64226397031
364,127212.22959716512
365,127792.26327600556
366,131248.85691042096
367,130962.41645560153
368,132129.83688869004
369,132129.83688869004
370,132129.83688869004
371,132129.83688869004
372,132129.83688869004
373,132129.83688869004
374,132129.83688869004
375,131997.70705180135
376,130456.41983121664
377,133531.4786182722
378,129278.88114141882
379,131449.41422060685
380,131638.4770418076
381,132789.52837571016
382,134049.52626651447
383,131353.3690294714
384,131390.41481442543
385,130830.02695282499
386,130342.20927366018
387,131953.09997110927
388,133216.8404750958
389,131885.76336157884
390,131705.0377437271
391,131643.02599035023
392,132450.49301960363
393,132450.49301960363
394,132450.49301960363
395,132450.49301960363
396,132450.49301960363
397,132450.49301960363
398,132450.49301960363
399,132450.49301960363
400,132450.49301960363
401,132450.49301960363
402,132318.04252658403
403,130083.7837856402
404,129945.07748673158
405,130871.65109670573
406,131012.51479346133
407,130622.85997699176
408,128499.41957212125
409,126520.40976178001
410,126765.64836637262
411,126887.90091103493
412,127756.59872810071
413,128222.72610691964
414,128972.00476182881
415,128484.41846575856
416,127409.11384821347
417,128323.56288228759
418,128094.76364928899
419,126059.97791327712
420,125719.65559424186
421,124651.48477224413
422,123819.29012674929
423,124156.03116535855
424,123164.37605366712
425,123827.86218752796
426,123269.47009411977
427,123568.32722653603
428,122746.84765701453
429,121340.51191382852
430,123028.53190256881
431,121891.75582903705
432,119404.39836401145
433,119174.88718972335
434,116418.7179529638
435,118065.97750504845
436,118761.6448234601
437,120414.63586249156
438,120625.54307601253
439,120036.42244593715
440,120160.81081446797
441,119747.10625448132
442,119747.10625448132
443,119747.10625448132
444,119747.10625448132
445,119747.10625448132
446,119747.10625448132
447,119747.10625448132
448,119747.10625448132
449,119627.35914822684
450,118590.05386683455
451,119994.58049085419
452,120202.60948122198
453,120310.16110976931
454,119434.90208502034
455,119113.64924218039
456,123100.1124142524
457,124307.22144799453
458,123647.76314325692
459,124772.81352975508
460,125880.84012751018
461,124091.40649404608
462,125524.94899879543
463,126545.97777314116
464,126060.5720509706
465,124000.8359524306
466,125023.28812048394
467,124549.212612226
468,124692.84727126133
469,124665.9593641245
470,124170.66105568603
471,125173.9970462461
472,124604.39758627019
473,124641.88977652874
474,123027.23465642257
475,122690.41700338986
476,122536.1780612328
477,123064.0293837644
478,122558.11255826712
479,122157.62650469283
480,122046.51639187647
481,124024.90554002635
482,120976.69368123375
483,121719.63402692291
484,122147.00798763403
485,123030.77890675452
486,120880.45803266196
487,121723.88997410868
488,120547.21309783535
489,120458.74917890714
490,119932.32125008316
491,119401.6373740734
492,117694.98120167559
493,116318.75164456332
494,116443.29859397955
495,116782.93456655335
496,118209.38145367024
497,116648.49503086919
498,117150.1559091807
499,116165.9218621768
500,117390.01909981928
501,117345.44552586535
502,120329.97475017929
503,119537.48606952808
504,120522.43181338579
505,120784.23661802725
506,122422.11682624245
507,122422.11682624245
508,122422.11682624245
509,122422.11682624245
510,122422.11682624245
511,122422.11682624245
512,122422.11682624245
513,122422.11682624245
514,122299.6947094162
515,122339.43423639433
516,122888.36278838938
517,123409.11768670597
518,124082.29219672292
519,126787.9800492655
520,127083.38930812919
521,127131.06221051136
522,129269.76073152185
523,131113.03546367705
524,131622.9509882731
525,132440.6117345864
526,133780.43678839976
527,134278.81549967933
528,133006.13353696864
529,131042.23081469558
530,131736.37210256606
531,130781.49011574771
532,131542.06252513337
533,132274.47581083217
534,132910.8022621959
535,133922.72899596713
536,134083.08198307155
537,135789.1209447301
538,134829.2115808242
539,135549.30343366103
540,135323.2458246206
541,134754.06246435954
542,137022.7753500502
543,138420.40071037874
544,140646.49713075793
545,140231.88382095145
546,139525.49375017692
547,139080.57087792936
548,137963.19999524398
549,137487.21200099305
550,137703.89776546278
551,138604.58288367843
552,138732.4468096044
553,137696.67635964628
554,137120.2861235603
555,136379.9394624575
556,135833.88784879577
557,134739.63418271812
558,136803.93914682625
559,136671.0333138212
560,137821.63428725573
561,141409.93194848535
562,139733.5196396635
563,139363.7168238974
564,144346.0364075431
565,142426.20314973974
566,142151.72979249744
567,142151.72979249744
568,142151.72979249744
569,142151.72979249744
570,142151.72979249744
571,142151.72979249744
572,142151.72979249744
573,142151.72979249744
574,142151.72979249744
575,142009.57806270494
576,141973.98733082344
577,140880.48219119984
578,141807.5951781585
579,141774.8984770419
580,141734.93746637902
581,140524.45794184878
582,142710.7374052462
583,141199.46869328697
584,140284.70649418863
585,139989.8661477764
586,138914.68986966385
587,139697.96368108
588,139972.99891796478
589,138807.59611504545
590,137846.80713373158
591,137249.0874665601
592,136732.7660687308
593,138168.78998080254
594,137519.72319202955
595,138704.17105599266
596,138451.16260881853
597,139230.05152513634
598,140829.63202437613
599,140429.9196035286
600,139432.47289919262
601,140641.17164474184
602,140641.17164474184
603,140641.17164474184
604,140641.17164474184
605,140641.17164474184
606,140641.17164474184
607,140641.17164474184
608,140641.17164474184
609,140641.17164474184
610,140641.17164474184
611,140641.17164474184
612,140641.17164474184
613,140641.17164474184
614,140500.5304730971
615,140997.52725295743
616,140955.31883498584
617,138606.31759029417
618,137769.73126166812
619,141130.1460488296
620,141840.8146017675
621,141418.1697789286
622,143080.62347361553
623,141534.70345663006
624,142140.8788103644
625,138608.3332358077
626,135700.69116502142
627,136776.4184828825
628,138007.4973403873
629,137240.57759411217
630,138984.75169829375
631,139481.74847815407
632,141743.02242274792
633,143707.56932019105
634,143398.77509725088
635,144019.01992364242
636,144378.86177081996
637,144378.86177081996
638,144378.86177081996
639,144378.86177081996
640,144378.86177081996
641,144378.86177081996
642,144378.86177081996
643,144378.86177081996
644,144378.86177081996
645,144378.86177081996
646,144378.86177081996
647,144234.48290904914
648,144354.48194940732
649,143911.67430176397
650,144880.11410952164
651,145975.61583821801
652,145813.49126061524
653,145948.24542773073
654,146757.39979601998
655,147156.711288009
656,147704.10551185263
657,148304.12868544777
658,147867.61469376725
659,147150.46135197626
660,147150.46135197626
661,147150.46135197626
662,147150.46135197626
663,147150.46135197626
664,147150.46135197626
665,147150.46135197626
666,147150.46135197626
667,147150.46135197626
668,147150.46135197626
669,147150.46135197626
670,147150.46135197626
671,147150.46135197626
672,147150.46135197626
673,147150.46135197626
674,147003.3108906243
675,146054.82320161982
676,146526.223195985
677,145305.1220520484
678,143141.9424932969
679,142170.73230021202
680,145071.5726281038
681,145831.19188188468
682,146084.64825678885
683,145844.6754101466
684,146281.29837149207
685,146010.80719278165
686,144651.30507335198
687,144651.30507335198
688,144651.30507335198
689,144651.30507335198
690,144651.30507335198
691,144651.30507335198
692,144651.30507335198
693,144651.30507335198
694,144506.65376827863
695,146264.83283720628
696,147666.2929043696
697,145754.41892205214
698,143909.94991961282
699,145551.40928276227
700,142981.2061057597
701,144688.80291728565
702,144688.80291728565
703,144688.80291728565
704,144688.80291728565
705,144688.80291728565
706,144688.80291728565
707,144688.80291728565
708,144688.80291728565
709,144688.80291728565
710,144688.80291728565
711,144688.80291728565
712,144688.80291728565
713,144688.80291728565
714,144688.80291728565
715,144688.80291728565
716,144688.80291728565
717,144688.80291728565
718,144688.80291728565
719,144688.80291728565
720,144688.80291728565
721,144688.80291728565
722,144688.80291728565
723,144544.11411436836
724,144968.28397694245
725,140583.5583383166
726,142292.1828741713
727,146484.69437578288
728,146146.8783125928
729,147110.53647150737
730,145805.26896250612
731,145086.76766997357
732,143499.82877578892
733,143499.82877578892
734,143499.82877578892
735,143499.82877578892
736,143499.82877578892
737,143499.82877578892
738,143499.82877578892
739,143499.82877578892
740,143499.82877578892
741,143499.82877578892
742,143499.82877578892
743,143499.82877578892
744,143499.82877578892
745,143499.82877578892
746,143499.82877578892
747,143499.82877578892
748,143499.82877578892
749,143499.82877578892
750,143499.82877578892
751,143499.82877578892
752,143499.82877578892
753,143499.82877578892
754,143499.82877578892
755,143499.82877578892
756,143499.82877578892
757,143499.82877578892
758,143499.82877578892
759,143499.82877578892
760,143499.82877578892
761,143499.82877578892
762,143499.82877578892
763,143499.82877578892
764,143499.82877578892
765,143499.82877578892
766,143499.82877578892
767,143499.82877578892
768,143499.82877578892
769,143499.82877578892
770,143499.82877578892
771,143499.82877578892
772,143499.82877578892
773,143499.82877578892
774,143499.82877578892
775,143499.82877578892
776,143499.82877578892
777,143499.82877578892
778,143499.82877578892
779,143499.82877578892
780,143499.82877578892
781,143499.82877578892
782,143499.82877578892
783,143499.82877578892
784,143499.82877578892
785,143499.82877578892
786,143499.82877578892
787,143499.82877578892
788,143499.82877578892
789,143499.82877578892
790,143499.82877578892
791,143499.82877578892
792,143499.82877578892
793,143499.82877578892
794,143499.82877578892
795,143499.82877578892
796,143499.82877578892
797,143499.82877578892
798,143499.82877578892
799,143499.82877578892
800,143499.82877578892
801,143499.82877578892
802,143499.82877578892
803,143499.82877578892
804,143499.82877578892
805,143499.82877578892
806,143499.82877578892
807,143499.82877578892
808,143499.82877578892
809,143499.82877578892
810,143499.82877578892
811,143356.32894701313
812,142600.04136951707
813,142600.04136951707
814,142600.04136951707
815,142600.04136951707
816,142600.04136951707
817,142600.04136951707
818,142600.04136951707
819,142600.04136951707
820,142600.04136951707
821,142600.04136951707
822,142600.04136951707
823,142600.04136951707
824,142600.04136951707
825,142600.04136951707
826,142600.04136951707
827,142600.04136951707
828,142600.04136951707
829,142600.04136951707
830,142600.04136951707
831,142600.04136951707
832,142600.04136951707
833,142600.04136951707
834,142600.04136951707
835,142600.04136951707
836,142600.04136951707
837,142600.04136951707
838,142600.04136951707
839,142600.04136951707
840,142600.04136951707
841,142600.04136951707
842,142600.04136951707
843,142600.04136951707
844,142600.04136951707
845,142600.04136951707
846,142600.04136951707
847,142600.04136951707
848,142600.04136951707
849,142600.04136951707
850,142600.04136951707
851,142600.04136951707
852,142600.04136951707
853,142600.04136951707
854,142600.04136951707
855,142600.04136951707
856,142600.04136951707
857,142600.04136951707
858,142600.04136951707
859,142600.04136951707
860,142600.04136951707
861,142600.04136951707
862,142600.04136951707
863,142600.04136951707
864,142600.04136951707
865,142600.04136951707
866,142600.04136951707
867,142600.04136951707
868,142600.04136951707
869,142600.04136951707
870,142600.04136951707
871,142600.04136951707
872,142600.04136951707
873,142600.04136951707
874,142600.04136951707
875,142600.04136951707
876,142600.04136951707
877,142600.04136951707
878,142600.04136951707
879,142600.04136951707
880,142600.04136951707
881,142600.04136951707
882,142600.04136951707
883,142457.44132814754
884,142850.5379609768
885,140550.5747336131
886,137433.97772425925
887,137199.80629777187
888,131975.61927371792
889,134490.0460225748
890,132339.44300397646
891,132607.5480579634
892,132607.5480579634
893,132607.5480579634
894,132607.5480579634
895,132607.5480579634
896,132607.5480579634
897,132607.5480579634
898,132607.5480579634
899,132607.5480579634
900,132607.5480579634
901,132607.5480579634
902,132607.5480579634
903,132607.5480579634
904,132607.5480579634
905,132607.5480579634
906,132607.5480579634
907,132607.5480579634
908,132607.5480579634
909,132607.5480579634
910,132607.5480579634
911,132607.5480579634
912,132607.5480579634
913,132607.5480579634
914,132607.5480579634
915,132607.5480579634
916,132607.5480579634
917,132607.5480579634
918,132607.5480579634
919,132607.5480579634
920,132607.5480579634
921,132607.5480579634
922,132607.5480579634
923,132607.5480579634
924,132607.5480579634
925,132607.5480579634
926,132607.5480579634
927,132607.5480579634
928,132607.5480579634
929,132474.94050990543
930,133204.2373559133
931,137496.59583383426
932,145116.58648528284
933,145116.58648528284
934,145116.58648528284
935,145116.58648528284
936,145116.58648528284
937,145116.58648528284
938,145116.58648528284
939,145116.58648528284
940,145116.58648528284
941,145116.58648528284
942,145116.58648528284
943,145116.58648528284
944,145116.58648528284
945,145116.58648528284
946,145116.58648528284
947,145116.58648528284
948,145116.58648528284
949,145116.58648528284
950,145116.58648528284
951,145116.58648528284
952,145116.58648528284
953,145116.58648528284
954,145116.58648528284
955,145116.58648528284
956,145116.58648528284
957,145116.58648528284
958,145116.58648528284
959,145116.58648528284
960,145116.58648528284
961,145116.58648528284
962,145116.58648528284
963,145116.58648528284
964,145116.58648528284
965,145116.58648528284
966,145116.58648528284
967,145116.58648528284
968,145116.58648528284
969,145116.58648528284
970,145116.58648528284
971,145116.58648528284
972,145116.58648528284
973,145116.58648528284
974,145116.58648528284
975,144971.46989879754
976,144985.19378488304
977,145597.34809331063
978,145569.2720283296
979,144594.56812958777
980,145354.60531824004
981,145269.1082182101
982,143692.88171094356
983,144190.84688101703
984,144046.65603413602
985,144046.65603413602
986,144046.65603413602
987,144046.65603413602
988,144046.65603413602
989,144046.65603413602
990,144046.65603413602
991,144046.65603413602
992,144046.65603413602
993,144046.65603413602
994,144046.65603413602
995,144046.65603413602
996,144046.65603413602
997,144046.65603413602
998,144046.65603413602
999,144046.65603413602
1000,144046.65603413602
1001,144046.65603413602
