,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,99900.0
35,99429.23151995128
36,99429.23151995128
37,99429.23151995128
38,99429.23151995128
39,99429.23151995128
40,99429.23151995128
41,99429.23151995128
42,99429.23151995128
43,99429.23151995128
44,99429.23151995128
45,99429.23151995128
46,99429.23151995128
47,99429.23151995128
48,99429.23151995128
49,99429.23151995128
50,99429.23151995128
51,99429.23151995128
52,99329.80228843132
53,99817.39176696977
54,98878.33054904388
55,97228.95379448171
56,97228.95379448171
57,95465.20419927474
58,97373.4247510857
59,95585.59666311138
60,94929.45773520162
61,94899.35961924246
62,93117.55115445999
63,91769.15555948946
64,89553.93422489503
65,87296.57552795777
66,87880.47897756554
67,86586.25999132151
68,88982.07002167092
69,90721.74112411057
70,90649.50564580857
71,90276.28900791495
72,90161.91616727013
73,91173.21286349802
74,92681.658199893
75,92681.658199893
76,92681.658199893
77,92681.658199893
78,92681.658199893
79,92681.658199893
80,92681.658199893
81,92681.658199893
82,92681.658199893
83,92681.658199893
84,92681.658199893
85,92681.658199893
86,92681.658199893
87,92681.658199893
88,92588.97654169312
89,94269.6776980157
90,92595.51623490838
91,88338.17595177218
92,90685.92581605159
93,88266.23932640429
94,85087.9484237865
95,82341.27727337604
96,83426.8663471097
97,84832.90038839124
98,85329.91707275122
99,82393.59481909814
100,82406.67420552867
101,80797.90967457398
102,81510.73623503765
103,83126.0404592076
104,81020.25924389293
105,80396.98724231907
106,80396.98724231907
107,80396.98724231907
108,80396.98724231907
109,80396.98724231907
110,80396.98724231907
111,80396.98724231907
112,80396.98724231907
113,80396.98724231907
114,80396.98724231907
115,80396.98724231907
116,80396.98724231907
117,80396.98724231907
118,80396.98724231907
119,80396.98724231907
120,80396.98724231907
121,80396.98724231907
122,80396.98724231907
123,80396.98724231907
124,80396.98724231907
125,80316.59025507675
