,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,99900.0
28,98469.01929879728
29,100480.14966831471
30,99667.97281255967
31,100518.83448284041
32,101306.99299118273
33,101306.99299118273
34,101306.99299118273
35,101306.99299118273
36,101306.99299118273
37,101306.99299118273
38,101306.99299118273
39,101306.99299118273
40,101306.99299118273
41,101306.99299118273
42,101306.99299118273
43,101306.99299118273
44,101306.99299118273
45,101306.99299118273
46,101306.99299118273
47,101306.99299118273
48,101306.99299118273
49,101306.99299118273
50,101306.99299118273
51,101306.99299118273
52,101306.99299118273
53,101306.99299118273
54,101306.99299118273
55,101306.99299118273
56,101306.99299118273
57,101306.99299118273
58,101306.99299118273
59,101306.99299118273
60,101306.99299118273
61,101306.99299118273
62,101306.99299118273
63,101306.99299118273
64,101306.99299118273
65,101306.99299118273
66,101306.99299118273
67,101306.99299118273
68,101306.99299118273
69,101306.99299118273
70,101306.99299118273
71,101306.99299118273
72,101306.99299118273
73,101306.99299118273
74,101306.99299118273
75,101306.99299118273
76,101306.99299118273
77,101306.99299118273
78,101306.99299118273
79,101306.99299118273
80,101306.99299118273
81,101306.99299118273
82,101306.99299118273
83,101306.99299118273
84,101306.99299118273
85,101306.99299118273
86,101306.99299118273
87,101306.99299118273
88,101306.99299118273
89,101306.99299118273
90,101306.99299118273
91,101306.99299118273
92,101306.99299118273
93,101306.99299118273
94,101306.99299118273
95,101306.99299118273
96,101306.99299118273
97,101306.99299118273
98,101306.99299118273
99,101306.99299118273
100,101306.99299118273
101,101306.99299118273
102,101306.99299118273
103,101306.99299118273
104,101306.99299118273
105,101205.68599819155
106,99629.87077659313
107,100723.27781301191
108,101302.15235006608
109,101688.07719985854
110,102299.10152636668
111,102009.66850371775
112,101848.86860590997
113,102524.2094948387
114,102492.05121362838
115,101302.15235006608
116,102299.10152636668
117,103842.76695851113
118,102813.63402573127
119,102813.63402573127
120,101559.42709150472
121,102620.7013219822
122,103160.60307924179
123,103160.60307924179
124,103160.60307924179
125,103160.60307924179
126,103160.60307924179
127,103160.60307924179
128,103160.60307924179
129,103160.60307924179
130,103160.60307924179
131,103160.60307924179
132,103160.60307924179
133,103160.60307924179
134,103160.60307924179
135,103160.60307924179
136,103160.60307924179
137,103160.60307924179
138,103160.60307924179
139,103160.60307924179
140,103160.60307924179
141,103160.60307924179
142,103160.60307924179
143,103160.60307924179
144,103160.60307924179
145,103160.60307924179
146,103160.60307924179
147,103160.60307924179
148,103160.60307924179
149,103160.60307924179
150,103160.60307924179
151,103160.60307924179
152,103160.60307924179
153,103160.60307924179
154,103160.60307924179
155,103160.60307924179
156,103160.60307924179
157,103160.60307924179
158,103160.60307924179
159,103160.60307924179
160,103160.60307924179
161,103160.60307924179
162,103160.60307924179
163,103160.60307924179
164,103160.60307924179
165,103160.60307924179
166,103160.60307924179
167,103160.60307924179
168,103160.60307924179
169,103160.60307924179
170,103160.60307924179
171,103160.60307924179
172,103160.60307924179
173,103160.60307924179
174,103160.60307924179
175,103160.60307924179
176,103160.60307924179
177,103160.60307924179
178,103160.60307924179
179,103160.60307924179
180,103160.60307924179
181,103160.60307924179
182,103160.60307924179
183,103160.60307924179
184,103160.60307924179
185,103160.60307924179
186,103160.60307924179
187,103160.60307924179
188,103160.60307924179
189,103160.60307924179
190,103160.60307924179
191,103160.60307924179
192,103160.60307924179
193,103160.60307924179
194,103160.60307924179
195,103160.60307924179
196,103160.60307924179
197,103160.60307924179
198,103160.60307924179
199,103160.60307924179
200,103160.60307924179
201,103160.60307924179
202,103160.60307924179
203,103160.60307924179
204,103160.60307924179
205,103160.60307924179
206,103160.60307924179
207,103160.60307924179
208,103160.60307924179
209,103160.60307924179
210,103160.60307924179
211,103160.60307924179
212,103160.60307924179
213,103160.60307924179
214,103160.60307924179
215,103160.60307924179
216,103160.60307924179
217,103160.60307924179
218,103160.60307924179
219,103160.60307924179
220,103160.60307924179
221,103160.60307924179
222,103160.60307924179
223,103160.60307924179
224,103160.60307924179
225,103160.60307924179
226,103160.60307924179
227,103160.60307924179
228,103160.60307924179
229,103160.60307924179
230,103160.60307924179
231,103160.60307924179
232,103160.60307924179
233,103160.60307924179
234,103160.60307924179
235,103160.60307924179
236,103160.60307924179
237,103160.60307924179
238,103160.60307924179
239,103160.60307924179
240,103160.60307924179
241,103160.60307924179
242,103160.60307924179
243,103160.60307924179
244,103160.60307924179
245,103160.60307924179
246,103160.60307924179
247,103160.60307924179
248,103160.60307924179
249,103160.60307924179
250,103160.60307924179
251,103160.60307924179
252,103160.60307924179
253,103160.60307924179
254,103160.60307924179
255,103160.60307924179
256,103160.60307924179
257,103160.60307924179
258,103160.60307924179
259,103160.60307924179
260,103160.60307924179
261,103160.60307924179
262,103160.60307924179
263,103160.60307924179
264,103160.60307924179
265,103160.60307924179
266,103160.60307924179
267,103160.60307924179
268,103160.60307924179
269,103160.60307924179
270,103160.60307924179
271,103160.60307924179
272,103160.60307924179
273,103160.60307924179
274,103160.60307924179
275,103160.60307924179
276,103160.60307924179
277,103160.60307924179
278,103160.60307924179
279,103160.60307924179
280,103160.60307924179
281,103160.60307924179
282,103160.60307924179
283,103160.60307924179
284,103160.60307924179
285,103160.60307924179
286,103160.60307924179
287,103160.60307924179
288,103160.60307924179
289,103160.60307924179
290,103160.60307924179
291,103160.60307924179
292,103160.60307924179
293,103160.60307924179
294,103160.60307924179
295,103160.60307924179
296,103160.60307924179
297,103160.60307924179
298,103160.60307924179
299,103160.60307924179
300,103160.60307924179
301,103160.60307924179
302,103160.60307924179
303,103160.60307924179
304,103160.60307924179
305,103160.60307924179
306,103160.60307924179
307,103160.60307924179
308,103160.60307924179
309,103160.60307924179
310,103160.60307924179
311,103160.60307924179
312,103160.60307924179
313,103160.60307924179
314,103160.60307924179
315,103160.60307924179
316,103160.60307924179
317,103160.60307924179
318,103160.60307924179
319,103160.60307924179
320,103160.60307924179
321,103160.60307924179
322,103160.60307924179
323,103160.60307924179
324,103160.60307924179
325,103160.60307924179
326,103160.60307924179
327,103160.60307924179
328,103160.60307924179
329,103160.60307924179
330,103160.60307924179
331,103160.60307924179
332,103160.60307924179
333,103160.60307924179
334,103160.60307924179
335,103160.60307924179
336,103160.60307924179
337,103160.60307924179
338,103160.60307924179
339,103160.60307924179
340,103160.60307924179
341,103160.60307924179
342,103160.60307924179
343,103160.60307924179
344,103160.60307924179
345,103160.60307924179
346,103160.60307924179
347,103160.60307924179
348,103160.60307924179
349,103160.60307924179
350,103160.60307924179
351,103160.60307924179
352,103160.60307924179
353,103160.60307924179
354,103160.60307924179
355,103160.60307924179
356,103160.60307924179
357,103160.60307924179
358,103160.60307924179
359,103160.60307924179
360,103160.60307924179
361,103160.60307924179
362,103160.60307924179
363,103160.60307924179
364,103160.60307924179
365,103160.60307924179
366,103160.60307924179
367,103160.60307924179
368,103160.60307924179
369,103160.60307924179
370,103160.60307924179
371,103160.60307924179
372,103160.60307924179
373,103160.60307924179
374,103160.60307924179
375,103160.60307924179
376,103160.60307924179
377,103160.60307924179
378,103160.60307924179
379,103160.60307924179
380,103160.60307924179
381,103160.60307924179
382,103057.44247616253
383,103823.1229610257
384,104098.77738793571
385,105538.19053296364
386,104080.12473232998
387,105817.38959459601
388,105693.29587144872
389,104824.67919424779
390,104533.90794000636
391,104533.90794000636
392,104429.37403206635
393,105050.98247514492
394,104305.04918679595
395,104553.70676897351
396,103186.18871245622
397,103341.57503995237
398,103776.68832348856
399,102564.58816101441
400,103217.25808631869
401,104087.49254502784
402,104678.02372260718
403,104460.45129756558
404,106356.33021739028
405,109323.83822088123
406,109323.83822088123
407,109323.83822088123
408,109323.83822088123
409,109323.83822088123
410,109323.83822088123
411,109323.83822088123
412,109323.83822088123
413,109323.83822088123
414,109323.83822088123
415,109323.83822088123
416,109323.83822088123
417,109323.83822088123
418,109323.83822088123
419,109323.83822088123
420,109323.83822088123
421,109323.83822088123
422,109323.83822088123
423,109323.83822088123
424,109323.83822088123
425,109323.83822088123
426,109323.83822088123
427,109323.83822088123
428,109323.83822088123
429,109323.83822088123
430,109323.83822088123
431,109323.83822088123
432,109323.83822088123
433,109323.83822088123
434,109323.83822088123
435,109323.83822088123
436,109323.83822088123
437,109323.83822088123
438,109323.83822088123
439,109323.83822088123
440,109323.83822088123
441,109323.83822088123
442,109323.83822088123
443,109323.83822088123
444,109323.83822088123
445,109323.83822088123
446,109323.83822088123
447,109323.83822088123
448,109323.83822088123
449,109323.83822088123
450,109323.83822088123
451,109323.83822088123
452,109323.83822088123
453,109323.83822088123
454,109323.83822088123
455,109323.83822088123
456,109323.83822088123
457,109323.83822088123
458,109323.83822088123
459,109323.83822088123
460,109323.83822088123
461,109323.83822088123
462,109323.83822088123
463,109323.83822088123
464,109323.83822088123
465,109323.83822088123
466,109323.83822088123
467,109323.83822088123
468,109323.83822088123
469,109323.83822088123
470,109323.83822088123
471,109323.83822088123
472,109323.83822088123
473,109323.83822088123
474,109323.83822088123
475,109323.83822088123
476,109323.83822088123
477,109323.83822088123
478,109323.83822088123
479,109323.83822088123
480,109323.83822088123
481,109323.83822088123
482,109323.83822088123
483,109323.83822088123
484,109323.83822088123
485,109323.83822088123
486,109323.83822088123
487,109323.83822088123
488,109323.83822088123
489,109323.83822088123
490,109323.83822088123
491,109323.83822088123
492,109323.83822088123
493,109323.83822088123
494,109323.83822088123
495,109323.83822088123
496,109323.83822088123
497,109323.83822088123
498,109323.83822088123
499,109323.83822088123
500,109323.83822088123
501,109323.83822088123
502,109323.83822088123
503,109323.83822088123
504,109323.83822088123
505,109323.83822088123
506,109323.83822088123
507,109323.83822088123
508,109214.51438266033
509,110416.87463158742
510,109815.67782644174
511,114210.2500571624
512,114210.2500571624
513,114210.2500571624
514,114210.2500571624
515,114210.2500571624
516,114210.2500571624
517,114210.2500571624
518,114210.2500571624
519,114210.2500571624
520,114210.2500571624
521,114210.2500571624
522,114210.2500571624
523,114210.2500571624
524,114210.2500571624
525,114210.2500571624
526,114210.2500571624
527,114210.2500571624
528,114210.2500571624
529,114210.2500571624
530,114210.2500571624
531,114210.2500571624
532,114210.2500571624
533,114210.2500571624
534,114210.2500571624
535,114210.2500571624
536,114210.2500571624
537,114210.2500571624
538,114210.2500571624
539,114210.2500571624
540,114210.2500571624
541,114210.2500571624
542,114210.2500571624
543,114210.2500571624
544,114210.2500571624
545,114210.2500571624
546,114210.2500571624
547,114210.2500571624
548,114210.2500571624
549,114210.2500571624
550,114210.2500571624
551,114210.2500571624
552,114210.2500571624
553,114210.2500571624
554,114210.2500571624
555,114210.2500571624
556,114210.2500571624
557,114210.2500571624
558,114210.2500571624
559,114210.2500571624
560,114210.2500571624
561,114210.2500571624
562,114210.2500571624
563,114210.2500571624
564,114210.2500571624
565,114210.2500571624
566,114210.2500571624
567,114210.2500571624
568,114210.2500571624
569,114210.2500571624
570,114210.2500571624
571,114210.2500571624
572,114210.2500571624
573,114210.2500571624
574,114210.2500571624
575,114210.2500571624
576,114210.2500571624
577,114210.2500571624
578,114210.2500571624
579,114210.2500571624
580,114210.2500571624
581,114210.2500571624
582,114210.2500571624
583,114210.2500571624
584,114210.2500571624
585,114210.2500571624
586,114210.2500571624
587,114210.2500571624
588,114210.2500571624
589,114210.2500571624
590,114210.2500571624
591,114210.2500571624
592,114210.2500571624
593,114210.2500571624
594,114210.2500571624
595,114210.2500571624
596,114210.2500571624
597,114210.2500571624
598,114210.2500571624
599,114210.2500571624
600,114210.2500571624
601,114210.2500571624
602,114210.2500571624
603,114210.2500571624
604,114210.2500571624
605,114210.2500571624
606,114210.2500571624
607,114210.2500571624
608,114210.2500571624
609,114210.2500571624
610,114210.2500571624
611,114210.2500571624
612,114210.2500571624
613,114210.2500571624
614,114210.2500571624
615,114210.2500571624
616,114210.2500571624
617,114210.2500571624
618,114210.2500571624
619,114210.2500571624
620,114210.2500571624
621,114210.2500571624
622,114210.2500571624
623,114210.2500571624
624,114210.2500571624
625,114210.2500571624
626,114210.2500571624
627,114210.2500571624
628,114210.2500571624
629,114210.2500571624
630,114210.2500571624
631,114210.2500571624
632,114210.2500571624
633,114210.2500571624
634,114210.2500571624
635,114210.2500571624
636,114210.2500571624
637,114210.2500571624
638,114210.2500571624
639,114210.2500571624
640,114210.2500571624
641,114210.2500571624
642,114210.2500571624
643,114210.2500571624
644,114210.2500571624
645,114210.2500571624
646,114210.2500571624
647,114210.2500571624
648,114210.2500571624
649,114210.2500571624
650,114210.2500571624
651,114210.2500571624
652,114210.2500571624
653,114210.2500571624
654,114210.2500571624
655,114210.2500571624
656,114210.2500571624
657,114210.2500571624
658,114210.2500571624
659,114210.2500571624
660,114210.2500571624
661,114210.2500571624
662,114210.2500571624
663,114210.2500571624
664,114210.2500571624
665,114210.2500571624
666,114210.2500571624
667,114210.2500571624
668,114210.2500571624
669,114210.2500571624
670,114096.03980710523
671,114822.77278415301
672,111552.47885980619
673,112024.86826475461
674,112533.59118789781
675,112242.90515286762
676,111043.80960507985
677,113950.68784485402
678,114350.40126867684
679,111770.53363739145
680,111952.1833388929
681,111152.80121492794
682,108391.22126898811
683,107446.49612750809
684,106102.04861746907
685,105157.31453125288
686,105920.37208175924
687,104248.88712902302
688,103273.43432332571
689,103273.43432332571
690,103273.43432332571
691,103273.43432332571
692,103273.43432332571
693,103273.43432332571
694,103273.43432332571
695,103273.43432332571
696,103273.43432332571
697,103273.43432332571
698,103273.43432332571
699,103273.43432332571
700,103273.43432332571
701,103273.43432332571
702,103273.43432332571
703,103273.43432332571
704,103273.43432332571
705,103273.43432332571
706,103273.43432332571
707,103273.43432332571
708,103170.16088900239
709,102619.36934955166
710,102378.38269172286
711,101207.95596670696
712,98729.4152244464
713,100347.35107152721
714,102309.53904560846
715,101173.55109186396
716,100898.13413687082
717,101863.3131660564
718,101863.3131660564
719,101863.3131660564
720,101863.3131660564
721,101863.3131660564
722,101863.3131660564
723,101863.3131660564
724,101863.3131660564
725,101863.3131660564
726,101863.3131660564
727,101863.3131660564
728,101863.3131660564
729,101863.3131660564
730,101863.3131660564
731,101863.3131660564
732,101863.3131660564
733,101863.3131660564
734,101863.3131660564
735,101863.3131660564
736,101863.3131660564
737,101863.3131660564
738,101863.3131660564
739,101863.3131660564
740,101863.3131660564
741,101863.3131660564
742,101863.3131660564
743,101863.3131660564
744,101863.3131660564
745,101863.3131660564
746,101863.3131660564
747,101863.3131660564
748,101863.3131660564
749,101863.3131660564
750,101863.3131660564
751,101863.3131660564
752,101761.44985289034
753,104607.94879398828
754,105995.58716700655
755,104038.6575374164
756,108308.35475917708
757,107739.0549709575
758,107632.31552649019
759,105461.88141302223
760,109340.21489114895
761,112358.82417770186
762,112358.82417770186
763,112358.82417770186
764,112358.82417770186
765,112358.82417770186
766,112358.82417770186
767,112358.82417770186
768,112358.82417770186
769,112358.82417770186
770,112358.82417770186
771,112358.82417770186
772,112358.82417770186
773,112358.82417770186
774,112358.82417770186
775,112358.82417770186
776,112358.82417770186
777,112358.82417770186
778,112358.82417770186
779,112358.82417770186
780,112358.82417770186
781,112358.82417770186
782,112358.82417770186
783,112358.82417770186
784,112358.82417770186
785,112358.82417770186
786,112358.82417770186
787,112358.82417770186
788,112358.82417770186
789,112358.82417770186
790,112358.82417770186
791,112358.82417770186
792,112358.82417770186
793,112358.82417770186
794,112358.82417770186
795,112358.82417770186
796,112358.82417770186
797,112358.82417770186
798,112358.82417770186
799,112358.82417770186
800,112358.82417770186
801,112358.82417770186
802,112358.82417770186
803,112358.82417770186
804,112358.82417770186
805,112358.82417770186
806,112358.82417770186
807,112358.82417770186
808,112358.82417770186
809,112358.82417770186
810,112358.82417770186
811,112358.82417770186
812,112358.82417770186
813,112358.82417770186
814,112358.82417770186
815,112358.82417770186
816,112358.82417770186
817,112358.82417770186
818,112358.82417770186
819,112358.82417770186
820,112358.82417770186
821,112358.82417770186
822,112358.82417770186
823,112358.82417770186
824,112358.82417770186
825,112358.82417770186
826,112358.82417770186
827,112358.82417770186
828,112358.82417770186
829,112358.82417770186
830,112358.82417770186
831,112358.82417770186
832,112358.82417770186
833,112358.82417770186
834,112358.82417770186
835,112358.82417770186
836,112358.82417770186
837,112358.82417770186
838,112358.82417770186
839,112358.82417770186
840,112358.82417770186
841,112358.82417770186
842,112358.82417770186
843,112358.82417770186
844,112358.82417770186
845,112358.82417770186
846,112358.82417770186
847,112358.82417770186
848,112358.82417770186
849,112358.82417770186
850,112358.82417770186
851,112358.82417770186
852,112358.82417770186
853,112358.82417770186
854,112358.82417770186
855,112358.82417770186
856,112358.82417770186
857,112358.82417770186
858,112358.82417770186
859,112358.82417770186
860,112358.82417770186
861,112358.82417770186
862,112358.82417770186
863,112358.82417770186
864,112358.82417770186
865,112358.82417770186
866,112358.82417770186
867,112358.82417770186
868,112358.82417770186
869,112358.82417770186
870,112358.82417770186
871,112358.82417770186
872,112358.82417770186
873,112358.82417770186
874,112358.82417770186
875,112358.82417770186
876,112358.82417770186
877,112358.82417770186
878,112358.82417770186
879,112358.82417770186
880,112358.82417770186
881,112246.46535352414
882,110106.25980864865
883,111563.43506759632
884,110834.85635345391
885,109040.86917222459
886,109040.86917222459
887,109040.86917222459
888,108931.82830305236
889,108605.6879176252
890,109071.61448229005
891,109490.93653183324
892,108962.54286780776
893,108962.54286780776
894,108962.54286780776
895,108962.54286780776
896,108962.54286780776
897,108962.54286780776
898,108962.54286780776
899,108962.54286780776
900,108962.54286780776
901,108962.54286780776
902,108962.54286780776
903,108962.54286780776
904,108962.54286780776
905,108962.54286780776
906,108962.54286780776
907,108962.54286780776
908,108962.54286780776
909,108962.54286780776
910,108962.54286780776
911,108962.54286780776
912,108962.54286780776
913,108962.54286780776
914,108962.54286780776
915,108962.54286780776
916,108962.54286780776
917,108962.54286780776
918,108962.54286780776
919,108962.54286780776
920,108962.54286780776
921,108962.54286780776
922,108962.54286780776
923,108962.54286780776
924,108962.54286780776
925,108962.54286780776
926,108962.54286780776
927,108962.54286780776
928,108962.54286780776
929,108962.54286780776
930,108962.54286780776
931,108962.54286780776
932,108962.54286780776
933,108962.54286780776
934,108962.54286780776
935,108962.54286780776
936,108962.54286780776
937,108962.54286780776
938,108962.54286780776
939,108962.54286780776
940,108962.54286780776
941,108962.54286780776
942,108962.54286780776
943,108962.54286780776
944,108962.54286780776
945,108962.54286780776
946,108962.54286780776
947,108962.54286780776
948,108962.54286780776
949,108962.54286780776
950,108962.54286780776
951,108962.54286780776
952,108962.54286780776
953,108962.54286780776
954,108962.54286780776
955,108962.54286780776
956,108962.54286780776
957,108962.54286780776
958,108962.54286780776
959,108962.54286780776
960,108962.54286780776
961,108962.54286780776
962,108962.54286780776
963,108962.54286780776
964,108962.54286780776
965,108962.54286780776
966,108962.54286780776
967,108962.54286780776
968,108962.54286780776
969,108962.54286780776
970,108962.54286780776
971,108962.54286780776
972,108962.54286780776
973,108962.54286780776
974,108962.54286780776
975,108962.54286780776
976,108962.54286780776
977,108962.54286780776
978,108962.54286780776
