,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,99700.87962227412
10,100068.48792262559
11,100221.6690372752
12,100160.40412707467
13,100619.91921230107
14,101156.03427442642
15,100619.91921230107
16,100053.1811146496
17,100053.1811146496
18,100068.48792262559
19,99088.18342239811
20,99164.77397972292
21,99900.0
22,100282.93394747573
23,99907.21578941263
24,99907.21578941263
25,99907.21578941263
26,99907.21578941263
27,99907.21578941263
28,99907.21578941263
29,99807.30857362323
30,99916.64497772785
31,100463.31739301467
32,100775.70849120447
33,101541.04410946429
34,101197.42638826263
35,100275.8904182898
36,100353.98098891006
37,99494.91747543344
38,99932.2630918519
39,100182.17212830923
40,100978.75358005341
41,100760.08077184418
42,101244.2807306348
43,101681.62634705323
44,101494.18976709213
45,102843.83325818952
46,102843.83325818952
47,102843.83325818952
48,102843.83325818952
49,102843.83325818952
50,102843.83325818952
51,102843.83325818952
52,102843.83325818952
53,102843.83325818952
54,102843.83325818952
55,102740.98942493135
56,102638.24843550642
57,102638.24843550642
58,102638.24843550642
59,102638.24843550642
60,102638.24843550642
61,102535.61018707091
62,100813.95967413565
63,103209.29511511543
64,104212.34223380966
65,107236.46254961804
66,106592.71712804433
67,104796.1051154583
68,104796.1051154583
69,104796.1051154583
70,104796.1051154583
71,104796.1051154583
72,104796.1051154583
73,104796.1051154583
74,104796.1051154583
75,104796.1051154583
76,104796.1051154583
77,104796.1051154583
78,104796.1051154583
79,104796.1051154583
80,104796.1051154583
81,104796.1051154583
82,104796.1051154583
83,104796.1051154583
84,104796.1051154583
85,104796.1051154583
86,104796.1051154583
87,104796.1051154583
88,104796.1051154583
89,104796.1051154583
90,104796.1051154583
91,104796.1051154583
92,104691.30901034284
93,105412.745668754
94,108367.85258115314
95,106675.2619379397
96,106106.43313494461
97,106370.03775924288
98,105024.28238126016
99,103789.51530429504
100,105704.09948527282
101,103331.68327018213
102,104205.72778400942
103,104996.53318903962
104,104233.47697622994
105,102846.10204384869
106,101181.2521249912
107,99793.87719260996
108,101583.59424252759
109,102346.65045533728
110,103817.26449651556
111,105065.90193565868
112,105482.11441537306
113,107174.71352645109
114,108936.68138414818
115,108437.2213277722
116,109214.15637062443
117,110324.60957292946
118,110324.60957292946
119,110324.60957292946
120,110324.60957292946
121,110324.60957292946
122,110324.60957292946
123,110324.60957292946
124,110324.60957292946
125,110324.60957292946
