,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,99900.0
12,99063.1692857179
13,100301.66355230189
14,100485.77517060017
15,101774.48265571965
16,99715.88838170172
17,99130.11321110155
18,97372.78769930104
19,99782.84285608084
20,99314.21428040434
21,98594.55125903686
22,97456.46233153285
23,98109.19197651217
24,96987.85485384731
25,98092.45072066851
26,96485.74376648346
27,96586.17020355443
28,98494.13537096139
29,99012.94551818693
30,100586.18050968015
31,100770.28157898293
32,98895.80947225878
33,96736.80985916087
34,95565.24896896504
35,96619.64216624625
36,96586.17020355443
37,96167.75484641339
38,95883.23788903512
39,98109.19197651217
40,97155.21466730641
41,95715.878075576
42,97222.15859269009
43,98243.09037627497
44,100167.78625053009
45,100385.3487335292
46,99598.73123778259
47,98596.27217996524
48,98596.27217996524
49,98596.27217996524
50,98596.27217996524
51,98596.27217996524
52,98596.27217996524
53,98596.27217996524
54,98596.27217996524
55,98596.27217996524
56,98596.27217996524
57,98596.27217996524
58,98596.27217996524
59,98596.27217996524
60,98596.27217996524
61,98596.27217996524
62,98596.27217996524
63,98596.27217996524
64,98596.27217996524
65,98596.27217996524
66,98596.27217996524
67,98497.67590778526
68,99196.46757595874
69,99281.68004558765
70,98156.78305777711
71,97492.05704028357
72,97083.00066029617
73,97338.65955492914
74,97100.04959994582
75,97100.04959994582
76,97031.86458422031
77,98242.00627027915
78,98412.45269528322
79,98974.89581775194
80,98598.29365747569
81,98735.23306120232
82,97228.87813446297
83,97006.35026054802
84,97280.22906800131
85,95825.21433192717
86,93959.3921275462
87,94233.2709349995
88,95808.11167791189
89,98153.2379096458
90,97930.69929285774
91,96475.69529965671
92,97691.05802205438
93,96818.0491804099
94,97177.52720092461
95,96869.41085682136
96,98089.28797084946
97,98089.28797084946
98,98089.28797084946
99,98089.28797084946
100,98089.28797084946
101,98089.28797084946
102,98089.28797084946
103,98089.28797084946
104,98089.28797084946
105,98089.28797084946
106,98089.28797084946
107,98089.28797084946
108,98089.28797084946
109,98089.28797084946
110,98089.28797084946
111,97991.1986828786
112,97044.09436992077
113,97754.41995112099
114,96502.88280759694
115,96790.3968064247
116,97805.15521819115
117,96790.3968064247
118,97149.78840276327
119,97149.78840276327
120,97149.78840276327
121,97149.78840276327
122,97149.78840276327
123,97149.78840276327
124,97149.78840276327
125,97149.78840276327
126,97149.78840276327
127,97149.78840276327
128,97149.78840276327
129,97149.78840276327
130,97149.78840276327
131,97149.78840276327
132,97149.78840276327
133,97149.78840276327
134,97052.6386143605
135,97306.60861731264
136,97107.05356010608
137,96907.50969939044
138,97905.25139595049
139,98431.3185206124
140,99247.65467170531
141,99483.48635940893
142,99828.15913509463
143,100571.9308287025
144,100717.04854718166
145,100063.97962630734
146,99211.37804120826
147,99791.87130810667
148,99202.77873312787
149,99202.77873312787
150,99202.77873312787
151,99202.77873312787
152,99202.77873312787
153,99103.57595439475
154,99361.35958269991
155,97667.28631528348
156,97427.90281457844
157,97777.76663671697
158,97519.97164329283
159,97078.0389924399
160,96562.46037071061
161,95881.14421915264
162,96157.35070529586
163,94997.27323488728
164,97022.80451428264
165,97593.62897928816
166,98330.1796090034
167,98716.8664165801
168,97759.35514399788
169,95973.21304786704
170,95785.2630749335
171,95785.2630749335
172,95785.2630749335
173,95785.2630749335
174,95785.2630749335
175,95785.2630749335
176,95785.2630749335
177,95785.2630749335
178,95785.2630749335
179,95785.2630749335
180,95785.2630749335
181,95689.47781185855
182,95689.47781185855
183,95300.56500830229
184,95430.20641955681
185,94096.81558637958
186,94744.99406713393
187,96022.82837770469
188,94133.84945804812
189,94207.9286315925
190,96226.5375322963
191,96485.80892459804
192,95004.25974433201
193,100152.64228849091
194,104788.701498166
195,104788.701498166
196,104788.701498166
197,104788.701498166
198,104788.701498166
199,104788.701498166
200,104788.701498166
201,104788.701498166
202,104788.701498166
203,104788.701498166
204,104788.701498166
205,104788.701498166
206,104788.701498166
207,104788.701498166
208,104788.701498166
209,104788.701498166
210,104788.701498166
211,104788.701498166
212,104788.701498166
213,104788.701498166
214,104788.701498166
215,104788.701498166
216,104788.701498166
217,104788.701498166
218,104788.701498166
219,104788.701498166
220,104788.701498166
221,104788.701498166
222,104788.701498166
223,104788.701498166
224,104788.701498166
225,104788.701498166
226,104788.701498166
227,104788.701498166
228,104788.701498166
229,104788.701498166
230,104788.701498166
231,104788.701498166
232,104683.91279666784
233,103664.96946282499
234,105524.10352162788
235,105613.48528149897
236,105416.84977412633
237,106578.8126524504
238,108241.31120388066
239,107383.24849129014
240,111709.32785122239
241,111637.81807898179
242,113615.62408869485
243,113615.62408869485
244,113615.62408869485
245,113615.62408869485
246,113615.62408869485
247,113615.62408869485
248,113615.62408869485
249,113615.62408869485
250,113615.62408869485
251,113615.62408869485
