,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,99900.0
9,100161.42105621396
10,99956.01138884624
11,99750.61324645569
12,100777.62700836282
13,101319.12805876238
14,102159.41414122768
15,102402.16473449291
16,102756.94963042779
17,103522.54233612094
18,103671.9175646881
19,102999.68869871587
20,102122.07321533018
21,102719.59717955314
22,102215.43705505108
23,100714.15296632606
24,100714.15296632606
25,100714.15296632606
26,100613.43881335974
27,100857.05782852942
28,101119.4025326114
29,99395.35530371817
30,99151.73628854848
31,99507.79040063999
32,99245.43413035113
33,98795.68217645696
34,98270.98120208613
35,97577.61023302226
36,97858.70375843026
37,96678.10054213046
38,98739.47041109948
39,99320.39471703465
40,100069.97745145601
41,100463.50607378586
42,99489.05314552084
43,97671.30807482493
44,97577.61023302226
45,99170.48510987448
46,99995.01686477251
47,101550.4287975933
48,101710.9607281736
49,101710.9607281736
50,101710.9607281736
51,101710.9607281736
52,101710.9607281736
53,101710.9607281736
54,101710.9607281736
55,101609.24976744542
56,101609.24976744542
57,101196.27710735836
58,101333.93870649744
59,99918.05845190652
60,100606.33610427646
61,101963.2228654257
62,99957.38340175756
63,100036.04543878985
64,102179.5343642669
65,102454.84542521488
66,100881.64109655934
67,106348.52522833759
68,111382.77422510326
69,113707.41544976733
70,113707.41544976733
71,113707.41544976733
72,113707.41544976733
73,113707.41544976733
74,113707.41544976733
75,113707.41544976733
76,113707.41544976733
77,113707.41544976733
78,113707.41544976733
79,113707.41544976733
80,113707.41544976733
81,113707.41544976733
82,113707.41544976733
83,113707.41544976733
84,113707.41544976733
85,113707.41544976733
86,113707.41544976733
87,113707.41544976733
88,113707.41544976733
89,113707.41544976733
90,113707.41544976733
91,113707.41544976733
92,113707.41544976733
93,113707.41544976733
94,113707.41544976733
95,113707.41544976733
96,113707.41544976733
97,113707.41544976733
98,113707.41544976733
99,113707.41544976733
100,113707.41544976733
101,113707.41544976733
102,113707.41544976733
103,113707.41544976733
104,113593.70803431756
105,113824.35750349375
106,112555.7912886844
107,111460.22683990633
108,113459.16153302151
109,113555.26450090166
110,113343.84266409308
111,114593.18124653482
112,116380.69410284143
113,115458.10795745601
114,120109.49394911833
115,120032.6068822865
116,122159.13725826854
117,122159.13725826854
118,122159.13725826854
119,122159.13725826854
120,122159.13725826854
121,122159.13725826854
122,122159.13725826854
123,122159.13725826854
124,122159.13725826854
125,122159.13725826854
