,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,99900.0
49,100525.28471403761
50,101459.90850069233
51,101203.21224615959
52,99978.98036038369
53,99860.50578649386
54,98412.48949077367
55,97655.56546501085
56,97767.46573661157
57,97682.84178541055
58,97682.84178541055
59,97682.84178541055
60,97682.84178541055
61,97682.84178541055
62,97682.84178541055
63,97682.84178541055
64,97682.84178541055
65,97585.15894362514
66,99659.79597888458
67,99167.50893258321
68,97768.00398529887
69,98014.14750844956
70,99265.96461802862
71,97873.49283535284
72,97950.86626512116
73,97711.74728750475
74,96192.69578002363
75,97486.70325817971
76,97078.81418718093
77,97233.52657042048
78,97000.52713553945
79,97558.31914633221
80,100269.64719829944
81,99768.33598123195
82,100601.50741511682
83,99500.0241990455
84,99740.09127483219
85,97686.48391027769
86,97686.48391027769
87,97686.48391027769
88,97686.48391027769
89,97686.48391027769
90,97686.48391027769
91,97686.48391027769
92,97686.48391027769
93,97588.79742636741
94,97425.9689902712
95,97482.60722242141
96,97928.60953570696
97,98756.88966977334
98,98962.24373941975
99,98962.24373941975
100,98962.24373941975
101,98962.24373941975
102,98962.24373941975
103,98962.24373941975
104,98962.24373941975
105,98962.24373941975
106,98962.24373941975
107,98962.24373941975
108,98962.24373941975
109,98962.24373941975
110,98962.24373941975
111,98962.24373941975
112,98962.24373941975
113,98962.24373941975
114,98962.24373941975
115,98962.24373941975
116,98962.24373941975
117,98962.24373941975
118,98962.24373941975
119,98962.24373941975
120,98962.24373941975
121,98962.24373941975
122,98962.24373941975
123,98962.24373941975
124,98962.24373941975
125,98962.24373941975
126,98962.24373941975
127,98962.24373941975
128,98863.28149568033
129,97831.40492171535
130,97693.38438972102
131,97581.64737006834
132,96819.24098200662
133,98330.91200195924
134,97141.29423869352
135,97883.987992499
136,98153.45817840224
137,99343.07594166796
138,99303.64265010532
139,99829.44126574101
140,99790.00797417837
141,99862.30367921824
142,99829.44126574101
143,101814.32783054566
144,101650.01576315952
145,100946.76332396685
146,101196.5128525637
147,103181.40744041852
148,102754.19606521454
149,103023.66625111779
150,102931.64988877151
151,101630.30312890328
152,101137.36692674481
153,100927.04266666045
154,101154.41113463131
155,101154.41113463131
156,101154.41113463131
157,101154.41113463131
158,101154.41113463131
159,101154.41113463131
160,101154.41113463131
161,101154.41113463131
162,101154.41113463131
163,101154.41113463131
164,101154.41113463131
165,101154.41113463131
166,101154.41113463131
167,101154.41113463131
168,101154.41113463131
169,101154.41113463131
170,101154.41113463131
171,101154.41113463131
172,101154.41113463131
173,101154.41113463131
174,101154.41113463131
175,101154.41113463131
176,101154.41113463131
177,101154.41113463131
178,101154.41113463131
179,101154.41113463131
180,101053.25672349668
181,101470.60220805257
182,101470.60220805257
183,101407.99868718606
184,98326.59446318223
185,96963.26757848282
186,97700.57623634841
187,97554.50701493697
188,96413.76099230112
189,96024.24023823209
190,97151.06965016671
191,96754.59483620488
192,97060.64988972897
193,96712.86198593241
194,99961.1976110261
195,101331.48704653395
196,100399.41376617602
197,100914.14156197806
198,101665.35833962927
199,101449.73153745853
200,102159.21546483727
201,100781.98046035224
202,98743.93994773811
203,99961.1976110261
204,98881.4569830824
205,98881.4569830824
206,98881.4569830824
207,98881.4569830824
208,98881.4569830824
209,98881.4569830824
210,98881.4569830824
211,98881.4569830824
212,98881.4569830824
213,98881.4569830824
214,98782.57552609932
215,102043.50397594525
216,103174.54789771915
217,104584.67475774381
218,103468.32507400496
219,102102.25403198165
220,102249.14262012455
221,101303.12870506458
222,101303.12870506458
223,101303.12870506458
224,101303.12870506458
225,101303.12870506458
226,101303.12870506458
227,101303.12870506458
228,101303.12870506458
229,101303.12870506458
230,101303.12870506458
231,101303.12870506458
232,101303.12870506458
233,101303.12870506458
234,101303.12870506458
235,101303.12870506458
236,101303.12870506458
237,101201.82557635951
238,102738.87214413927
239,100068.05890580654
240,102274.71525296025
241,102213.84754753318
242,103865.0315125795
243,103735.67951108745
244,102974.76352931031
245,103644.36402015909
246,102221.45484964592
247,100933.39334800282
248,100933.39334800282
249,100933.39334800282
250,100933.39334800282
251,100933.39334800282
