,portfolio
0,100000.0
1,100000.0
2,100000.0
3,99900.00000000001
4,99759.06109436671
5,99644.96145251617
6,98866.43437086676
7,100410.06890227422
8,99195.29727914008
9,99953.69491295243
10,100228.86290827334
11,101443.63453140747
12,101403.36744303988
13,101940.2838017903
14,101900.01671342271
15,101973.84107421219
16,101940.2838017903
17,103967.13977899574
18,103799.35341688624
19,103081.23106413493
20,103336.2614189253
21,105363.12558882423
22,104926.88104733951
23,105202.04904266041
24,105108.08704134039
25,103779.22396904918
26,103275.86488272066
27,102958.03233018081
28,102958.03233018081
29,102958.03233018081
30,102958.03233018081
31,102958.03233018081
32,102958.03233018081
33,102958.03233018081
34,102958.03233018081
35,102958.03233018081
36,102958.03233018081
37,102958.03233018081
38,102958.03233018081
39,102958.03233018081
40,102958.03233018081
41,102958.03233018081
42,102958.03233018081
43,102958.03233018081
44,102958.03233018081
45,102958.03233018081
46,102958.03233018081
47,102958.03233018081
48,102958.03233018081
49,102958.03233018081
50,102958.03233018081
51,102958.03233018081
52,102958.03233018081
53,102958.03233018081
54,102958.03233018081
55,102855.07429785062
56,102855.07429785062
57,102791.61661010743
58,99668.16948842994
59,98286.24127506916
60,99033.60982453063
61,98885.5476243074
62,97729.23718207097
63,97334.40177922022
64,98476.60573153244
65,98074.72138710273
66,98384.95227747342
67,98032.4191308627
68,101325.07527750032
69,102714.06103920634
70,101769.27048493635
71,102291.02126327346
72,103052.48769589287
73,102833.91886634746
74,103553.08304272684
75,102157.05694620813
76,100091.2092643628
77,101223.75020222281
78,101223.75020222281
79,101223.75020222281
80,101223.75020222281
81,101223.75020222281
82,101223.75020222281
83,101223.75020222281
84,101223.75020222281
85,101223.75020222281
86,101223.75020222281
87,101223.75020222281
88,101122.5264520206
89,104460.69942100305
90,105618.53538841776
91,107062.06518042924
92,105919.27152656505
93,104520.84114198935
94,104671.20921106299
95,103702.78622107567
96,103702.78622107567
97,103702.78622107567
98,103702.78622107567
99,103702.78622107567
100,103702.78622107567
101,103702.78622107567
102,103702.78622107567
103,103702.78622107567
104,103702.78622107567
105,103702.78622107567
106,103702.78622107567
107,103702.78622107567
108,103702.78622107567
109,103702.78622107567
110,103702.78622107567
111,103599.08343485458
112,105172.53939488095
113,102438.46022248328
114,104697.38760564929
115,104635.07807262342
116,106325.37510419286
117,106192.95902653101
118,105414.01854957722
119,106099.48046416612
120,104642.86557568281
121,103324.2926130117
122,103324.2926130117
123,103324.2926130117
124,103324.2926130117
125,103324.2926130117
