,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,99900.0
55,99074.27868003522
56,97748.48099091742
57,96038.8945448741
58,97632.17813385348
59,97376.32404418194
60,97422.8436625239
61,97039.05490559837
62,99737.16990217591
63,99260.35715340296
64,98039.23051115905
65,97406.75445272449
66,97406.75445272449
67,97406.75445272449
68,97406.75445272449
69,97406.75445272449
70,97406.75445272449
71,97406.75445272449
72,97406.75445272449
73,97406.75445272449
74,97406.75445272449
75,97406.75445272449
76,97406.75445272449
77,97406.75445272449
78,97406.75445272449
79,97406.75445272449
80,97406.75445272449
81,97406.75445272449
82,97406.75445272449
83,97406.75445272449
84,97406.75445272449
85,97406.75445272449
86,97406.75445272449
87,97406.75445272449
88,97406.75445272449
89,97406.75445272449
90,97406.75445272449
91,97406.75445272449
92,97406.75445272449
93,97406.75445272449
94,97406.75445272449
95,97406.75445272449
96,97406.75445272449
97,97406.75445272449
98,97309.34769827177
99,96893.78809797893
100,93892.55458076937
101,94538.96549432774
102,96408.96478146856
103,96097.30453833741
104,94827.55044150437
105,95220.0196145011
106,97586.37986612953
107,98359.77299847493
108,99248.60313595932
109,99213.97506068595
110,99495.29656290944
111,99495.29656290944
112,99495.29656290944
113,99495.29656290944
114,99495.29656290944
115,99495.29656290944
116,99495.29656290944
117,99495.29656290944
118,99495.29656290944
119,99495.29656290944
120,99495.29656290944
121,99495.29656290944
122,99495.29656290944
123,99495.29656290944
124,99495.29656290944
125,99495.29656290944
126,99495.29656290944
127,99495.29656290944
128,99495.29656290944
129,99495.29656290944
130,99495.29656290944
131,99495.29656290944
132,99495.29656290944
133,99495.29656290944
134,99495.29656290944
135,99495.29656290944
136,99495.29656290944
137,99495.29656290944
138,99495.29656290944
139,99495.29656290944
140,99495.29656290944
141,99495.29656290944
142,99495.29656290944
143,99495.29656290944
144,99495.29656290944
145,99495.29656290944
146,99495.29656290944
147,99495.29656290944
148,99495.29656290944
149,99495.29656290944
150,99495.29656290944
151,99495.29656290944
152,99495.29656290944
153,99495.29656290944
154,99495.29656290944
155,99495.29656290944
156,99495.29656290944
157,99495.29656290944
158,99495.29656290944
159,99395.80126634653
160,100008.11027964292
161,101142.4040259324
162,97649.19192767405
163,98984.2465023891
164,99004.31929568836
165,98482.34772086849
166,94457.130940684
167,93373.02904627257
168,92459.57550079454
169,95420.76317986683
170,95762.05987773361
171,94989.14220169678
172,93413.17463287107
173,95701.83491874926
174,98683.10854929406
175,98100.90543640323
176,99315.50351406293
177,97930.25050838322
178,97982.74523795335
179,97982.74523795335
180,97982.74523795335
181,97982.74523795335
182,97982.74523795335
183,97982.74523795335
184,97982.74523795335
185,97982.74523795335
186,97982.74523795335
187,97982.74523795335
188,97884.7624927154
189,96441.53638389867
190,95868.48867736658
191,97725.5833470461
192,99922.26390365027
193,102617.70253754186
194,104506.62468998737
195,104358.06629741765
196,104158.28652351431
197,104158.28652351431
198,104158.28652351431
199,104158.28652351431
200,104158.28652351431
201,104158.28652351431
202,104158.28652351431
203,104158.28652351431
204,104158.28652351431
205,104158.28652351431
206,104158.28652351431
207,104158.28652351431
208,104158.28652351431
209,104158.28652351431
210,104158.28652351431
211,104158.28652351431
212,104158.28652351431
213,104158.28652351431
214,104158.28652351431
215,104158.28652351431
216,104158.28652351431
217,104158.28652351431
218,104158.28652351431
219,104158.28652351431
220,104158.28652351431
221,104158.28652351431
222,104158.28652351431
223,104158.28652351431
224,104158.28652351431
225,104054.1282369908
226,103357.47777586836
227,100641.53028401134
228,100702.11290069693
229,95441.84770904815
230,97521.72073903342
231,97572.20515003227
232,95764.93735154487
233,94381.72140011692
234,93281.20888587361
235,88909.44682852569
236,88909.44682852569
237,91211.43406157508
238,94644.22842592804
239,94977.4162741115
240,97965.9689974664
241,98107.31740734125
242,99500.63156445594
243,101348.27895082052
244,99066.48151170972
245,99592.77853176178
246,99592.77853176178
247,99592.77853176178
248,99592.77853176178
249,99592.77853176178
250,99592.77853176178
251,99592.77853176178
252,99592.77853176178
253,99592.77853176178
254,99592.77853176178
255,99592.77853176178
256,99592.77853176178
257,99592.77853176178
258,99592.77853176178
259,99592.77853176178
260,99592.77853176178
261,99592.77853176178
262,99592.77853176178
263,99592.77853176178
264,99592.77853176178
265,99592.77853176178
266,99592.77853176178
267,99592.77853176178
268,99592.77853176178
269,99592.77853176178
270,99493.18575323002
271,97297.46113863868
272,96162.16747895171
273,96066.00531147276
274,96136.09697620792
275,96927.22899314313
276,95314.94348961275
277,95174.75359663794
278,95445.12403819941
279,92661.18734337104
280,89056.07747143395
281,91129.02253947753
282,93592.50268977655
283,91729.87199696552
284,89626.89889575749
285,92611.12093091672
286,92310.68307516367
287,92541.01613917253
288,92368.12030319039
289,95378.57010239884
290,95388.75009790443
291,96538.01973880007
292,95120.63185071935
293,95120.63185071935
294,95120.63185071935
295,95120.63185071935
296,95120.63185071935
297,95120.63185071935
298,95120.63185071935
299,95120.63185071935
300,95120.63185071935
301,95120.63185071935
302,95120.63185071935
303,95120.63185071935
304,95120.63185071935
305,95120.63185071935
306,95120.63185071935
307,95025.51121886863
308,94371.98655023355
309,95162.54113346289
310,95763.37350074537
311,97228.54735969663
312,97871.53492856472
313,96785.83271157763
314,98121.16228452648
315,98121.16228452648
316,98121.16228452648
317,98121.16228452648
318,98121.16228452648
319,98121.16228452648
320,98121.16228452648
321,98121.16228452648
322,98121.16228452648
323,98121.16228452648
324,98121.16228452648
325,98121.16228452648
326,98121.16228452648
327,98121.16228452648
328,98121.16228452648
329,98121.16228452648
330,98121.16228452648
331,98121.16228452648
332,98121.16228452648
333,98121.16228452648
334,98121.16228452648
335,98121.16228452648
336,98121.16228452648
337,98121.16228452648
338,98121.16228452648
339,98121.16228452648
340,98121.16228452648
341,98121.16228452648
342,98121.16228452648
343,98121.16228452648
344,98023.04112224195
345,97145.69736411712
346,97552.04235063393
347,98327.81029208198
348,96111.33812219545
349,94439.76838681618
350,96397.64329625628
351,95917.40060681304
352,96120.58204003067
353,96748.57245554429
354,95095.4667159442
355,98124.63481883718
356,98503.27785171238
357,99131.27422719882
358,99537.63113366126
359,99235.10929673034
360,99235.10929673034
361,99235.10929673034
362,99235.10929673034
363,99235.10929673034
364,99235.10929673034
365,99235.10929673034
366,99235.10929673034
367,99235.10929673034
368,99235.10929673034
369,99235.10929673034
370,99235.10929673034
371,99235.10929673034
372,99235.10929673034
373,99235.10929673034
374,99235.10929673034
375,99235.10929673034
376,99235.10929673034
377,99135.87418743361
378,97108.6998202818
379,99528.24471334391
380,100387.69429976006
381,99061.14153775269
382,99163.90797422099
383,98538.00696121479
384,99733.75949996649
385,97426.32563896847
386,98500.64063637433
387,101574.11430045865
388,105086.64529580413
389,103395.76785221652
390,103769.4552157066
391,104787.7146970804
392,106484.10042407422
393,106484.10042407422
394,106484.10042407422
395,106484.10042407422
396,106484.10042407422
397,106484.10042407422
398,106484.10042407422
399,106484.10042407422
400,106484.10042407422
401,106484.10042407422
402,106484.10042407422
403,106484.10042407422
404,106484.10042407422
405,106484.10042407422
406,106484.10042407422
407,106484.10042407422
408,106484.10042407422
409,106484.10042407422
410,106484.10042407422
411,106484.10042407422
412,106484.10042407422
413,106484.10042407422
414,106484.10042407422
415,106484.10042407422
416,106484.10042407422
417,106484.10042407422
418,106484.10042407422
419,106484.10042407422
420,106484.10042407422
421,106484.10042407422
422,106484.10042407422
423,106484.10042407422
424,106484.10042407422
425,106484.10042407422
426,106484.10042407422
427,106484.10042407422
428,106484.10042407422
429,106484.10042407422
430,106484.10042407422
431,106484.10042407422
432,106484.10042407422
433,106484.10042407422
434,106377.61632365015
435,110658.673839787
436,111548.25153305008
437,111390.71355357119
438,113382.9733827298
439,113735.1016238335
440,113457.11382721734
441,113494.16610936323
442,112159.80554950124
443,112141.29136849355
444,111205.28043218494
445,111205.28043218494
446,111205.28043218494
447,111205.28043218494
448,111205.28043218494
449,111205.28043218494
450,111205.28043218494
451,111205.28043218494
452,111205.28043218494
453,111205.28043218494
454,111094.07515175275
455,112641.74253477546
456,111497.4023225893
457,106685.57539797519
458,101292.20795663532
459,100963.91670970227
460,103834.12554432667
461,98928.50371483319
462,99069.19909877067
463,102089.49794091257
464,102314.60571262304
465,102633.50233597604
466,103130.63046492879
467,103327.61489826757
468,103749.70710331682
469,100832.59173639747
470,101461.04483865503
471,101723.67662555409
472,101320.34945471755
473,99613.22165354466
474,98515.80008012714
475,98196.87924382677
476,96864.94316864503
477,97737.27513006261
478,97746.65159393213
479,98994.16922810402
480,98074.94284086519
481,100682.5198885905
482,100129.10876347328
483,105278.62155860048
484,105372.41041024301
485,105953.9569802056
486,104847.13472997119
487,102577.72241221911
488,102577.72241221911
489,102577.72241221911
490,102577.72241221911
491,102577.72241221911
492,102577.72241221911
493,102577.72241221911
494,102577.72241221911
495,102475.1446898069
496,100746.0994298212
497,99292.13949434488
498,100235.24932708395
499,99832.47049682558
500,101482.91270411896
501,102907.41709976559
502,103496.85123525986
503,102760.0379609621
504,103673.69225387149
505,103408.43389594328
506,104548.03234047783
507,103781.7508463935
508,104610.32501247733
509,104610.32501247733
510,104610.32501247733
511,104610.32501247733
512,104610.32501247733
513,104610.32501247733
514,104610.32501247733
515,104610.32501247733
516,104610.32501247733
517,104610.32501247733
518,104610.32501247733
519,104610.32501247733
520,104610.32501247733
521,104610.32501247733
522,104610.32501247733
523,104610.32501247733
524,104610.32501247733
525,104610.32501247733
526,104610.32501247733
527,104610.32501247733
528,104610.32501247733
529,104610.32501247733
530,104610.32501247733
531,104610.32501247733
532,104610.32501247733
533,104610.32501247733
534,104610.32501247733
535,104610.32501247733
536,104610.32501247733
537,104610.32501247733
538,104610.32501247733
539,104610.32501247733
540,104610.32501247733
541,104610.32501247733
542,104610.32501247733
543,104610.32501247733
544,104610.32501247733
545,104610.32501247733
546,104610.32501247733
547,104610.32501247733
548,104610.32501247733
549,104610.32501247733
550,104610.32501247733
551,104610.32501247733
552,104610.32501247733
553,104610.32501247733
554,104505.71468746486
555,104312.3152463723
556,103686.09608786268
557,102148.15836078783
558,102599.4120636373
559,104266.25943204085
560,104947.7455677482
561,105509.49824589364
562,107830.22158080536
563,108530.11838254545
564,108778.76148143607
565,109128.71571215603
566,109331.30299671523
567,109037.9792518106
568,109037.9792518106
569,109037.9792518106
570,109037.9792518106
571,109037.9792518106
572,109037.9792518106
573,109037.9792518106
574,109037.9792518106
575,109037.9792518106
576,109037.9792518106
577,109037.9792518106
578,109037.9792518106
579,109037.9792518106
580,109037.9792518106
581,109037.9792518106
582,109037.9792518106
583,109037.9792518106
584,109037.9792518106
585,109037.9792518106
586,109037.9792518106
587,109037.9792518106
588,109037.9792518106
589,108928.94127255879
590,108909.95173672333
591,109004.887397207
592,106470.32520438552
593,107334.15678580123
594,108625.16879265949
595,108777.06104195592
596,108539.73991878712
597,107932.19495898853
598,109526.9794457461
599,109536.47421366381
600,108207.49515382822
601,108758.05948742692
602,109137.76607328086
603,107723.37015826647
604,106574.73159539977
605,108131.54902918001
606,109270.6808054354
607,108786.54379118008
608,108203.60164997251
609,108203.60164997251
610,108203.60164997251
611,108203.60164997251
612,108203.60164997251
613,108203.60164997251
614,108203.60164997251
615,108203.60164997251
616,108203.60164997251
617,108203.60164997251
618,108203.60164997251
619,108203.60164997251
620,108203.60164997251
621,108203.60164997251
622,108203.60164997251
623,108203.60164997251
624,108203.60164997251
625,108203.60164997251
626,108203.60164997251
627,108203.60164997251
628,108203.60164997251
629,108203.60164997251
630,108095.39804832253
631,107492.47983164013
632,107072.25639426896
633,105263.52487599933
634,105172.16592045492
635,105318.32405708167
636,104624.07001663244
637,104359.15333392011
638,102879.26316569967
639,101024.84638671344
640,101618.62755125253
641,99937.76849943421
642,102522.99909333173
643,103262.94996038635
644,103326.88619361201
645,103482.19294827087
646,104523.5740089447
647,105628.92600051058
648,104934.66039417256
649,105921.24227376407
650,106021.726715563
651,105665.46264319507
652,105769.69301035732
653,105769.69301035732
654,105769.69301035732
655,105769.69301035732
656,105769.69301035732
657,105769.69301035732
658,105769.69301035732
659,105769.69301035732
660,105769.69301035732
661,105769.69301035732
662,105663.92331734697
663,106440.79700930462
664,105720.09485465674
665,107030.46779516891
666,111326.67790814831
667,113863.20203481389
668,113900.63787581844
669,114509.04435798796
670,114852.71609129362
671,114852.71609129362
672,114852.71609129362
673,114852.71609129362
674,114852.71609129362
675,114852.71609129362
676,114852.71609129362
677,114852.71609129362
678,114852.71609129362
679,114852.71609129362
680,114852.71609129362
681,114852.71609129362
682,114852.71609129362
683,114852.71609129362
684,114852.71609129362
685,114852.71609129362
686,114852.71609129362
687,114852.71609129362
688,114852.71609129362
689,114852.71609129362
690,114852.71609129362
691,114852.71609129362
692,114852.71609129362
693,114737.86337520233
694,117216.86676389955
695,118419.37775937207
696,117827.38603963518
697,115810.8571508329
698,116236.35851906668
699,116134.62092174623
700,111944.33657063793
701,114386.34340472076
702,113359.58653875072
703,115246.60991918766
704,115949.61472572098
705,118493.3825800775
706,119816.14701739258
707,120186.14769796644
708,118946.64014787952
709,120297.13736180965
710,124797.26467229193
711,124797.26467229193
712,124797.26467229193
713,124797.26467229193
714,124797.26467229193
715,124797.26467229193
716,124797.26467229193
717,124797.26467229193
718,124797.26467229193
719,124797.26467229193
720,124797.26467229193
721,124797.26467229193
722,124797.26467229193
723,124797.26467229193
724,124797.26467229193
725,124797.26467229193
726,124797.26467229193
727,124797.26467229193
728,124797.26467229193
729,124797.26467229193
730,124797.26467229193
731,124797.26467229193
732,124797.26467229193
733,124797.26467229193
734,124797.26467229193
735,124797.26467229193
736,124797.26467229193
737,124672.46740761964
738,123452.94324255575
739,125576.4480899588
740,126949.4574249834
741,127358.81959513611
742,126224.57336692412
743,125073.2780297872
744,128322.48835482616
745,129337.33683351823
746,130718.89771652798
747,131511.99980510515
748,129507.9035046311
749,130437.4632490622
750,131042.96035501064
751,130343.66615645237
752,132876.5007817809
753,130701.82701278491
754,129071.68908509829
755,129071.68908509829
756,129071.68908509829
757,129071.68908509829
758,129071.68908509829
759,129071.68908509829
760,128942.61739601319
761,135547.37335040804
762,133512.35213481815
763,133512.35213481815
764,133512.35213481815
765,133512.35213481815
766,133512.35213481815
767,133512.35213481815
768,133512.35213481815
769,133512.35213481815
770,133512.35213481815
771,133512.35213481815
772,133512.35213481815
773,133512.35213481815
774,133512.35213481815
775,133512.35213481815
776,133512.35213481815
777,133512.35213481815
778,133512.35213481815
779,133378.83978268332
780,132685.00271815903
781,132685.00271815903
782,132685.00271815903
783,132685.00271815903
784,132685.00271815903
785,132685.00271815903
786,132685.00271815903
787,132685.00271815903
788,132685.00271815903
789,132685.00271815903
790,132552.31771544088
791,132847.77587659264
792,133446.69690457135
793,134013.66871598555
794,134780.2908137931
795,134029.6383524009
796,134939.9971216805
797,136169.76850673486
798,134756.32641543628
799,133566.47912142033
800,132991.52249179842
801,134516.76198173832
802,135011.86048554964
803,134796.2505064747
804,135586.8270589053
805,134468.85307249223
806,131945.4118692545
807,134149.43051298367
808,134045.60798881628
809,137311.70689150476
810,136752.7198982982
811,137559.2561434104
812,135594.81187711298
813,136824.59320590112
814,137303.72207329707
815,140761.46655670367
816,140657.65397627003
817,142709.94118658573
818,142039.15679473788
819,139894.74371517464
820,139894.74371517464
821,139894.74371517464
822,139894.74371517464
823,139754.84897145946
824,141237.5449838531
825,141431.99989697945
826,141367.18831858764
827,139787.26484963082
828,137389.00440269825
829,131523.02184254004
830,129262.50617764097
831,131036.88455972415
832,130939.65710316096
833,133572.86961073932
834,131676.94934122058
835,129238.19174676859
836,130121.33021416068
837,131595.92477925535
838,131855.20135974896
839,132924.69329296844
840,132154.98517673748
841,132924.69329296844
842,132122.56929856612
843,132073.96061477225
844,132211.70539680577
845,131158.41635818424
846,131984.83460550805
847,132163.08662403646
848,133224.47710995693
849,133653.89417270455
850,132308.92276439347
851,132673.52824874927
852,126799.4341523166
853,127083.00498573168
854,126823.73849421352
855,124547.01993471652
856,127650.15674153731
857,128152.49691895115
858,127293.66279345598
859,126864.25581968387
860,128460.38218323863
861,128006.66077859412
862,126669.80090655752
863,129934.9767483333
864,129351.6220979297
865,128517.09231433147
866,129934.9767483333
867,130064.62008306784
868,127674.47117240971
869,129140.9642902054
870,128679.14143826191
871,129092.35560641155
872,124879.20954090092
873,126629.28358108716
874,129213.88740487165
875,129165.26863210234
876,129594.68569484992
877,130469.73280391851
878,130388.70824195328
879,130518.34148771236
880,131425.78429700137
881,132940.90627654185
882,131763.82296653412
883,131763.82296653412
884,131763.82296653412
885,131763.82296653412
886,131763.82296653412
887,131632.05914356757
888,138387.75128964896
889,136684.2800785883
890,136310.3526735108
891,136476.5495294617
892,137914.09749323447
893,141129.90628796665
894,142060.57557022604
895,142858.2935760495
896,139984.33327528363
897,139984.33327528363
898,139984.33327528363
899,139984.33327528363
900,139984.33327528363
901,139984.33327528363
902,139844.34894200834
903,135969.46093820574
904,142117.04305636956
905,147062.96620388847
906,146183.50255300637
907,145260.48316934667
908,146087.70596373818
909,146105.13042541945
910,145661.03977384532
911,148717.4117926715
912,149718.79246106706
913,150720.17312946264
914,150406.695461966
915,149431.43522181571
916,150926.09682718248
917,150926.09682718248
918,150926.09682718248
919,150926.09682718248
920,150926.09682718248
921,150926.09682718248
922,150926.09682718248
923,150926.09682718248
924,150775.1707303553
925,152474.18061754422
926,150784.45405295634
927,150858.73219456468
928,148481.9819535006
929,146374.4596286661
930,147609.25714260337
931,147284.31772996738
932,148769.7880757325
933,147321.45102037146
934,144164.83231602077
935,144601.1831606691
936,143189.9909565124
937,141203.17494709158
938,138009.4113915366
939,135456.26646025298
940,138919.26949283786
941,139949.81078795233
942,142289.41617781212
943,141880.9153009668
944,144694.0279474795
945,140943.20723186247
946,139903.382614147
947,138501.4737325913
948,138176.53431995533
949,139114.2308282594
950,139708.42127872547
951,140831.8073606503
952,141602.3925013359
953,143514.9419299486
954,142233.71624220605
955,141296.01973390198
956,144684.74462487848
957,142242.99956480705
958,139680.5597501222
959,136886.02530961175
960,136811.7471680034
961,135753.35590508592
962,136134.0068141282
963,135112.74884161475
964,134091.4908691013
965,135122.03216421578
966,134769.23122297652
967,135047.7540226074
968,135493.39975065703
969,134063.62934049804
970,133023.80472278257
971,132002.54675026913
972,130702.7659781248
973,127898.9366542131
974,129105.87263954704
975,132958.80990377523
976,135614.08294447022
977,135929.7505953054
978,136059.72867251985
979,135344.8550282406
980,135521.24971846008
981,134258.6022367198
982,135149.8821320188
983,134277.16888192183
984,134277.16888192183
985,138352.91744937457
986,139040.03487238003
987,139040.03487238003
