,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,99900.0
28,102365.6286247873
29,100774.5648130802
30,101085.39714053407
31,101127.54716689615
32,101496.33738839564
33,101485.80309740065
34,101917.8119272522
35,101275.06582797237
36,102823.9796133174
37,103003.10757856963
38,103292.87132403352
39,102660.65951574867
40,102407.77865114938
41,102096.93989250447
42,101817.71043803556
43,101685.99964464288
44,102571.0987487181
45,103493.07430246682
46,103761.76303474966
47,105257.99893392867
48,105953.42935056557
49,107360.10448271397
50,106122.02302482282
51,105052.7395472673
52,105052.7395472673
53,105052.7395472673
54,105052.7395472673
55,105052.7395472673
56,105052.7395472673
57,105052.7395472673
58,105052.7395472673
59,105052.7395472673
60,105052.7395472673
61,105052.7395472673
62,105052.7395472673
63,105052.7395472673
64,105052.7395472673
65,105052.7395472673
66,105052.7395472673
67,105052.7395472673
68,105052.7395472673
69,105052.7395472673
70,105052.7395472673
71,105052.7395472673
72,105052.7395472673
73,104947.68680772
74,108506.79480477498
75,109268.84656508124
76,109268.84656508124
77,109268.84656508124
78,109268.84656508124
79,109268.84656508124
80,109268.84656508124
81,109268.84656508124
82,109268.84656508124
83,109268.84656508124
84,109268.84656508124
85,109268.84656508124
86,109268.84656508124
87,109268.84656508124
88,109268.84656508124
89,109159.57771851616
90,106686.10289205983
91,102532.53195706713
92,103811.26721545632
93,101841.8235003371
94,101291.12305265176
95,97725.59031319917
96,99564.35760776715
97,99377.68026237423
98,99853.71660823096
99,97902.93607009864
100,98752.31571286028
101,96316.17863425873
102,96213.5083730688
103,98994.9939830949
104,95158.77681404637
105,91415.89831769429
106,95000.09993107428
107,95056.10655285644
108,96395.51422727453
109,96176.17062521403
110,99074.32957611071
111,97160.88678583317
112,99564.35760776715
113,99270.34990387804
114,100012.38779426257
115,99606.36684680913
116,100829.10118035664
117,103405.24626800288
118,103778.60095878875
119,102980.56214356254
120,102135.84259810715
121,102775.21022730175
122,103778.60095878875
123,101860.49807120496
124,101449.80563256431
125,99727.70028498597
