,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,99900.0
13,101765.6000471653
14,101461.49484717604
15,101186.61500468622
16,99876.6067377687
17,101280.19526262906
18,100514.06412229958
19,98461.33239531914
20,98022.70692622785
21,98449.63215969468
22,97455.42932839088
23,99408.74870216033
24,98110.43346184965
25,97934.98759962371
26,97519.75539276373
27,97367.71000178673
28,98432.08541076678
29,98204.00651077484
30,99092.9432665466
31,98765.44480432603
32,98870.71087985807
33,98683.56478200767
34,98706.95804423897
35,98560.75195754776
36,96508.00581253205
37,96379.34647476872
38,96355.95321253742
39,97379.40302839357
40,97227.3432193813
41,97180.5566949187
42,97642.56821722364
43,97654.26845284812
44,98695.25780861451
45,97999.32087301419
46,97502.21585285348
47,98104.57973952859
48,98233.24628630956
49,98034.40716185233
50,98568.35026213691
51,98036.02418055334
52,98036.02418055334
53,98036.02418055334
54,98036.02418055334
55,98036.02418055334
56,98036.02418055334
57,98036.02418055334
58,98036.02418055334
59,98036.02418055334
60,98036.02418055334
61,98036.02418055334
62,98036.02418055334
63,98036.02418055334
64,98036.02418055334
65,98036.02418055334
66,98036.02418055334
67,98036.02418055334
68,98036.02418055334
69,98036.02418055334
70,98036.02418055334
71,98036.02418055334
72,98036.02418055334
73,97937.9881563728
74,97233.3541737026
75,98550.71859566226
76,99396.27184672565
77,100474.67802212636
78,100572.70947215127
79,100039.63429109508
80,99665.8696265054
81,100064.14591767172
82,100499.17459242132
83,100597.22109872791
84,101510.17379473626
85,98054.41085447103
86,97062.66699529138
87,97062.66699529138
88,97062.66699529138
89,96965.60432829609
90,97801.94003545644
91,98024.97202449167
92,98725.00871357633
93,97944.42719792793
94,98607.30457466292
95,98712.62481329101
96,99722.41885087671
97,100149.88033829117
98,99245.39892783984
99,99771.98489799286
100,100372.90471583267
101,102030.1767920118
102,102030.1767920118
103,102030.1767920118
104,102030.1767920118
105,102030.1767920118
106,102030.1767920118
107,102030.1767920118
108,102030.1767920118
109,102030.1767920118
110,102030.1767920118
111,102030.1767920118
112,102030.1767920118
113,102030.1767920118
114,102030.1767920118
115,102030.1767920118
116,102030.1767920118
117,102030.1767920118
118,102030.1767920118
119,102030.1767920118
120,102030.1767920118
121,102030.1767920118
122,102030.1767920118
123,102030.1767920118
124,102030.1767920118
125,102030.1767920118
126,102030.1767920118
127,102030.1767920118
128,102030.1767920118
129,102030.1767920118
130,102030.1767920118
131,102030.1767920118
132,102030.1767920118
133,102030.1767920118
134,102030.1767920118
135,102030.1767920118
136,102030.1767920118
137,102030.1767920118
138,102030.1767920118
139,102030.1767920118
140,102030.1767920118
141,102030.1767920118
142,102030.1767920118
143,102030.1767920118
144,102030.1767920118
145,102030.1767920118
146,102030.1767920118
147,102030.1767920118
148,102030.1767920118
149,102030.1767920118
150,102030.1767920118
151,102030.1767920118
152,102030.1767920118
153,102030.1767920118
154,102030.1767920118
155,102030.1767920118
156,102030.1767920118
157,102030.1767920118
158,102030.1767920118
159,101928.14661521978
160,102132.7426549997
161,101234.79918810034
162,101894.0507665373
163,99222.94860410696
164,99166.11753459505
165,100581.23141487074
166,99791.26628178784
167,98717.14580114537
168,97722.58462828255
169,97591.86409107495
170,97762.36428217239
171,97733.9452561356
172,97813.51154647696
173,98205.65221041472
174,98256.80645728097
175,100035.64197545762
176,101308.68167323434
177,100064.06100149441
178,98313.63752679288
179,98660.30774907177
180,98245.43186430456
181,96654.14097028575
182,96654.14097028575
183,94846.8864260723
184,95216.29186918063
185,91715.44491977755
186,91664.297655473
187,92874.81549596877
188,92744.10194132285
189,93141.92641046798
190,91533.5771182654
191,90323.06626033131
192,90664.05267740283
193,92516.77766327516
194,96733.70726062711
195,96864.42081527303
196,97390.6685588331
197,96961.65996922598
198,97407.5657785456
199,97407.5657785456
200,97407.5657785456
201,97407.5657785456
202,97407.5657785456
203,97407.5657785456
204,97407.5657785456
205,97407.5657785456
206,97407.5657785456
207,97407.5657785456
208,97407.5657785456
209,97407.5657785456
210,97407.5657785456
211,97407.5657785456
212,97407.5657785456
213,97407.5657785456
214,97407.5657785456
215,97407.5657785456
216,97407.5657785456
217,97407.5657785456
218,97407.5657785456
219,97407.5657785456
220,97407.5657785456
221,97407.5657785456
222,97407.5657785456
223,97407.5657785456
224,97407.5657785456
225,97407.5657785456
226,97407.5657785456
227,97407.5657785456
228,97407.5657785456
229,97310.15821276706
230,97212.59609074764
231,95239.7253730718
232,93684.19638161748
233,91792.62522689937
234,91846.82493553785
235,93115.09944091341
236,92930.8191083075
237,93066.3183799037
238,89695.09914906023
239,89548.75596603111
240,91955.22435281481
241,91765.52537258013
242,90811.6118237779
243,90437.6325109373
244,90253.35217833138
245,90502.6761310087
246,91060.92916027985
247,87825.20920103257
248,93955.1949248099
249,94703.15355049112
250,96405.01910879917
251,98009.33577743857
