,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,99900.0
34,100100.52502721522
35,99220.4486663462
36,99866.5825839428
37,97248.6294974992
38,97192.92924165452
39,98579.88545869647
40,97805.63889956992
41,96752.89106122001
42,95778.11947487824
43,95649.99998972428
44,95817.10760088231
45,95789.25405114797
46,95867.23714678011
47,96251.57507136995
48,96301.71146089178
49,98045.15205278921
50,99292.86105203147
51,98073.00560252355
52,96357.41171673645
53,96697.18396175133
54,96290.56319737402
55,94730.9355028512
56,94730.9355028512
57,92959.64136121942
58,93321.69644602179
59,89890.50867444757
60,89840.37912854977
61,91026.81031837649
62,90898.69767684654
63,91288.60631138325
64,89712.25964339581
65,88525.8352971931
66,88860.03683226113
67,90675.89665346786
68,94808.91859848335
69,94937.0312400133
70,95452.80780740357
71,95032.33554802323
72,95469.36880949508
73,95469.36880949508
74,95469.36880949508
75,95469.36880949508
76,95469.36880949508
77,95469.36880949508
78,95469.36880949508
79,95469.36880949508
80,95469.36880949508
81,95469.36880949508
82,95469.36880949508
83,95469.36880949508
84,95469.36880949508
85,95469.36880949508
86,95469.36880949508
87,95469.36880949508
88,95469.36880949508
89,95469.36880949508
90,95469.36880949508
91,95469.36880949508
92,95469.36880949508
93,95469.36880949508
94,95469.36880949508
95,95469.36880949508
96,95469.36880949508
97,95469.36880949508
98,95469.36880949508
99,95469.36880949508
100,95469.36880949508
101,95469.36880949508
102,95373.89944068558
103,97664.00308875895
104,97566.08620565805
105,95586.04162034839
106,94024.85632359983
107,92126.40692746309
108,92180.80372024505
109,93453.68999938936
110,93268.73957588404
111,93404.73155783891
112,90021.25370289505
113,89874.37837824368
114,92289.59730580894
115,92099.20853107212
116,91141.82630615651
117,90766.48710791436
118,90581.53668440903
119,90831.7672433928
120,91392.05022490678
121,88144.56435191778
122,94296.84028750958
123,95047.51868399388
124,96755.5726651603
125,98365.72304369281
