,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,99900.0
34,99403.41126603437
35,100736.36522049992
36,99710.51521093387
37,99390.34025532847
38,98665.053700179
39,99298.86312090691
40,99599.42657532351
41,101141.47682004399
42,102186.93833079885
43,104898.58979207068
44,105493.19615094074
45,104388.93004739915
46,104584.95532694817
47,108279.42403946427
48,108279.42403946427
49,108279.42403946427
50,108279.42403946427
51,108279.42403946427
52,108279.42403946427
53,108279.42403946427
54,108279.42403946427
55,108279.42403946427
56,108279.42403946427
57,108279.42403946427
58,108171.14461542481
59,109842.08188524061
60,110281.80819556149
61,110295.3306131422
62,110112.6850736972
63,110592.98895921635
64,109206.17729543785
65,108022.31544238774
66,109382.07194854866
67,109158.82818899305
68,106845.22512058415
69,103510.1117897429
70,107941.13964707885
71,107981.7275447333
72,107332.30053734983
73,108015.55423359739
74,106851.9863293745
75,107237.59200200406
76,108347.03926853563
77,108360.56168611634
78,105059.28536659537
79,106858.75786062102
80,107717.89588752322
81,109537.6623303761
82,109260.29793312916
83,107257.88595083129
84,107880.51057690383
85,107880.51057690383
86,107880.51057690383
87,107772.63006632694
88,108951.6565614474
89,110500.43554204507
90,117100.18846925742
91,116374.6287898322
92,116981.57897443429
93,117776.90769254834
94,117889.11497854725
95,117889.11497854725
96,117889.11497854725
97,117889.11497854725
98,117889.11497854725
99,117889.11497854725
100,117889.11497854725
101,117889.11497854725
102,117889.11497854725
103,117889.11497854725
104,117889.11497854725
105,117889.11497854725
106,117889.11497854725
107,117889.11497854725
108,117889.11497854725
109,117889.11497854725
110,117889.11497854725
111,117889.11497854725
112,117889.11497854725
113,117771.2258635687
114,118121.59906467852
115,121199.32531584674
116,119440.62460089347
117,118870.41905175606
118,117139.19344930007
119,119014.69221974537
120,119536.80321865864
121,118313.95630020884
122,118128.46522213206
123,118698.67077126948
124,119646.724634014
125,119839.08186954432
126,121364.20743887978
127,124902.21782383
128,127097.03367253671
129,127097.03367253671
130,127097.03367253671
131,127097.03367253671
132,127097.03367253671
133,127097.03367253671
134,127097.03367253671
135,127097.03367253671
136,127097.03367253671
137,127097.03367253671
138,127097.03367253671
139,126969.93663886415
140,126175.73963254475
141,125651.12978373062
142,126204.89080076393
143,125658.42313474198
144,122408.75718891635
145,120485.19144923563
146,121191.95718672372
147,123625.55719110898
148,122503.48180875902
149,122379.6171386103
150,122867.793586107
151,122248.4591174502
152,121621.84241569518
153,121512.55332965603
154,121760.2826699535
155,119108.09337557683
156,117067.94519884561
157,118204.59616530516
158,121228.39058804115
159,125243.102371967
160,125957.15034255334
161,123742.13962815948
162,124113.73363860568
163,122496.18845774767
164,122911.50922052265
165,123297.67881507844
166,124521.7610503693
167,123793.0962704515
168,123793.0962704515
169,123793.0962704515
170,123793.0962704515
171,123793.0962704515
172,123793.0962704515
173,123793.0962704515
174,123793.0962704515
175,123793.0962704515
176,123793.0962704515
177,123793.0962704515
178,123793.0962704515
179,123793.0962704515
180,123793.0962704515
181,123793.0962704515
182,123793.0962704515
183,123793.0962704515
184,123793.0962704515
185,123793.0962704515
186,123793.0962704515
187,123793.0962704515
188,123793.0962704515
189,123793.0962704515
190,123793.0962704515
191,123793.0962704515
192,123793.0962704515
193,123793.0962704515
194,123793.0962704515
195,123793.0962704515
196,123793.0962704515
197,123669.30317418104
198,126769.50954369456
199,130541.2127911792
200,130277.63377193935
201,130603.97380451608
202,127382.52966623585
203,127382.52966623585
204,127382.52966623585
205,127382.52966623585
206,127382.52966623585
207,127382.52966623585
208,127382.52966623585
209,127382.52966623585
210,127255.14713656959
211,127649.1050252627
212,127649.1050252627
213,127649.1050252627
214,127649.1050252627
215,127521.45592023744
216,126179.92757602358
217,121443.24527771544
218,123980.07177738013
219,123814.76850753788
220,123007.30583647486
221,116674.78097858543
222,118855.56369614956
223,124253.45907382685
224,124240.75015408425
225,121125.34765777344
226,125105.43206838513
227,119001.79388491255
228,121303.3695488237
229,125029.13004260257
230,122848.35702650384
231,121983.67511220301
232,123725.7575620127
233,123433.28748302128
234,124679.4504218387
235,125970.113982686
236,129816.66742281185
237,130465.18128390385
238,131361.65490049202
239,131221.7791716003
240,132703.18324470587
241,133955.70064339458
242,134730.01829654558
243,134730.01829654558
244,134730.01829654558
245,134730.01829654558
246,134730.01829654558
247,134730.01829654558
248,134730.01829654558
249,134730.01829654558
250,134730.01829654558
251,134730.01829654558
