,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,99900.0
14,99275.12545858022
15,98862.36220702725
16,99298.06161009913
17,98868.10061869636
18,96311.26207421992
19,94797.79973438533
20,95353.88331640587
21,97268.64083203397
22,96385.79144528827
23,96288.33467027977
24,96672.43210622345
25,96185.13948360215
26,95692.11719689048
27,95606.12849764145
28,95801.04204765845
29,93714.29838595352
30,92109.10893520075
31,93003.42639770592
32,95382.54913201515
33,98541.32606639246
34,99103.13931250335
35,97360.36794295213
36,97652.73826797765
37,96380.05303361916
38,96706.82758592308
39,97010.66598670806
40,97973.77440861246
41,97400.46065072005
42,97400.46065072005
43,97400.46065072005
44,97400.46065072005
45,97400.46065072005
46,97400.46065072005
47,97400.46065072005
48,97400.46065072005
49,97400.46065072005
50,97400.46065072005
51,97400.46065072005
52,97400.46065072005
53,97400.46065072005
54,97400.46065072005
55,97400.46065072005
56,97400.46065072005
57,97400.46065072005
58,97400.46065072005
59,97400.46065072005
60,97400.46065072005
61,97400.46065072005
62,97400.46065072005
63,97400.46065072005
64,97400.46065072005
65,97400.46065072005
66,97400.46065072005
67,97400.46065072005
68,97400.46065072005
69,97400.46065072005
70,97400.46065072005
71,97303.06019006933
72,99742.3038765122
73,102709.88159134885
74,102502.49750721754
75,102759.26198326152
76,100224.62836893169
77,100224.62836893169
78,100224.62836893169
79,100224.62836893169
80,100224.62836893169
81,100224.62836893169
82,100224.62836893169
83,100224.62836893169
84,100124.40374056276
85,100434.36997447828
86,100434.36997447828
87,100434.36997447828
88,100434.36997447828
89,100333.9356045038
90,99278.42053428564
91,95551.59689297856
92,97547.5730588746
93,97417.51237605161
94,96782.2004039851
95,91799.76715994492
96,93515.60792707319
97,97762.6742996723
98,97752.67491622851
99,95301.47491077632
100,98433.00701314332
101,93630.66190161342
102,95441.54261016018
103,98372.97254689515
104,96657.13941288397
105,95976.80731596921
106,97347.47852635964
107,97117.36294416206
108,98097.84447296636
109,99113.33911005812
110,102139.80898821155
111,102650.05996917692
112,103355.40579093537
113,103245.35150811699
114,104410.9208611535
115,105396.40208167971
116,106005.63553959502
117,106005.63553959502
118,106005.63553959502
119,106005.63553959502
120,106005.63553959502
121,106005.63553959502
122,106005.63553959502
123,106005.63553959502
124,106005.63553959502
125,106005.63553959502
