,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,99900.0
32,98731.96948887607
33,99322.46351906392
34,99938.83670448416
35,99718.81895591992
36,99006.98942812691
37,99670.25959658805
38,99702.64448389968
39,101247.01901566348
40,102693.87945278078
41,103392.89520440667
42,102209.41807250341
43,102715.00511040278
44,102515.05269296144
45,101749.34420170543
46,102133.00267802556
47,102214.30635738063
48,103496.95996022134
49,104048.05117940433
50,104051.29505962617
51,104589.401772104
52,106442.69074781882
53,106525.58491692255
54,106083.40180934253
55,106354.0939990298
56,106354.0939990298
57,106354.0939990298
58,106354.0939990298
59,106354.0939990298
60,106354.0939990298
61,106354.0939990298
62,106354.0939990298
63,106354.0939990298
64,106354.0939990298
65,106354.0939990298
66,106354.0939990298
67,106354.0939990298
68,106354.0939990298
69,106354.0939990298
70,106354.0939990298
71,106354.0939990298
72,106354.0939990298
73,106354.0939990298
74,106354.0939990298
75,106354.0939990298
76,106354.0939990298
77,106354.0939990298
78,106354.0939990298
79,106354.0939990298
80,106354.0939990298
81,106354.0939990298
82,106354.0939990298
83,106354.0939990298
84,106247.73990503077
85,106181.27488119292
86,105239.3480297208
87,106965.39540435524
88,109141.6530645282
89,108777.8546400063
90,109110.08813385252
91,109968.9749369317
92,110397.5708040482
93,110769.67964718341
94,111111.9369535577
95,111362.76133011699
96,115072.36910598673
97,115389.66766891818
98,118050.99905765466
99,118300.20166564223
100,118265.30157248006
101,120853.54342507724
102,120049.50355233904
103,121571.2355745389
104,121876.1840032953
105,121876.1840032953
106,121876.1840032953
107,121876.1840032953
108,121876.1840032953
109,121876.1840032953
110,121876.1840032953
111,121876.1840032953
112,121876.1840032953
113,121876.1840032953
114,121876.1840032953
115,121876.1840032953
116,121876.1840032953
117,121876.1840032953
118,121876.1840032953
119,121876.1840032953
120,121876.1840032953
121,121876.1840032953
122,121876.1840032953
123,121876.1840032953
124,121876.1840032953
125,121876.1840032953
126,121876.1840032953
127,121876.1840032953
128,121876.1840032953
129,121876.1840032953
130,121876.1840032953
131,121876.1840032953
132,121876.1840032953
133,121876.1840032953
134,121876.1840032953
135,121876.1840032953
136,121876.1840032953
137,121876.1840032953
138,121876.1840032953
139,121876.1840032953
140,121876.1840032953
141,121876.1840032953
142,121876.1840032953
143,121876.1840032953
144,121754.307819292
145,121393.52929877726
146,121642.77579341752
147,119268.99051669812
148,118435.89185564141
149,121177.411413629
150,121449.30010879088
151,121729.88110635639
152,122301.54869876333
153,122095.88844012718
154,122198.72816359802
155,121452.79238039676
156,121588.71274259579
157,122908.0718481597
158,123857.92175419418
159,123965.99029092107
160,122763.40161864045
161,121152.99429484617
162,120549.97301120845
163,120753.8775398889
164,120023.63779060855
165,120114.27375176435
166,120147.38317295082
167,122069.75396799968
168,123016.13079073382
169,124711.91647996956
170,126981.13508572071
171,126895.72793782096
172,123268.8311803689
173,124945.4669406889
174,126423.40779727898
175,125546.7420885237
176,126768.49987802557
177,125696.29134767754
178,125696.29134767754
179,125696.29134767754
180,125696.29134767754
181,125696.29134767754
182,125696.29134767754
183,125696.29134767754
184,125696.29134767754
185,125696.29134767754
186,125696.29134767754
187,125696.29134767754
188,125696.29134767754
189,125696.29134767754
190,125696.29134767754
191,125696.29134767754
192,125696.29134767754
193,125696.29134767754
194,125696.29134767754
195,125696.29134767754
196,125696.29134767754
197,125696.29134767754
198,125696.29134767754
199,125696.29134767754
200,125696.29134767754
201,125696.29134767754
202,125696.29134767754
203,125696.29134767754
204,125696.29134767754
205,125696.29134767754
206,125696.29134767754
207,125696.29134767754
208,125696.29134767754
209,125696.29134767754
210,125696.29134767754
211,125696.29134767754
212,125696.29134767754
213,125696.29134767754
214,125696.29134767754
215,125696.29134767754
216,125696.29134767754
217,125696.29134767754
218,125696.29134767754
219,125696.29134767754
220,125696.29134767754
221,125696.29134767754
222,125696.29134767754
223,125570.59505632987
224,124618.87870674174
225,124938.3071532541
226,122484.91608205654
227,118105.04655768824
228,117360.80533141905
229,112020.98559953763
230,115943.11596064462
231,117044.66137988116
232,116779.56734747828
233,116721.93034200328
234,116061.66541837357
235,114762.48931254598
236,118551.2764162456
237,119626.48253831766
238,119242.84809638136
239,118524.9280708856
240,119968.97483521556
241,118352.03515085166
242,120393.76951858134
243,120948.66820535764
244,119432.19063587426
245,121877.35689734234
246,122254.40425293865
247,123487.67330258415
248,122091.38291421918
249,122099.6258203397
250,122022.24565223575
251,122885.04538442942
252,123161.66681792731
253,123780.76245193204
254,124162.77726686992
255,125626.57624202434
256,123668.8091287386
257,121202.75375972691
258,121202.75375972691
259,121202.75375972691
260,121202.75375972691
261,121202.75375972691
262,121202.75375972691
263,121202.75375972691
264,121202.75375972691
265,121202.75375972691
266,121202.75375972691
267,121202.75375972691
268,121202.75375972691
269,121202.75375972691
270,121202.75375972691
271,121202.75375972691
272,121202.75375972691
273,121202.75375972691
274,121202.75375972691
275,121202.75375972691
276,121081.55100596718
277,120858.36552600388
278,119918.22855874419
279,119800.49416225265
280,120020.13563602234
281,118681.1000097836
282,121310.00904010405
283,121211.62665563425
284,114644.56386550464
285,115735.85704243314
286,116746.30438869997
287,115560.11489333952
288,112080.21948207908
289,114178.42565577342
290,115393.81698963373
291,119425.66963798927
292,119040.01996129258
293,118716.25037094085
294,121115.21423646007
295,121722.01183097606
296,121396.4943792591
297,118981.63559767809
298,120448.22647680862
299,121260.29638646737
300,118882.55793133925
301,113918.36126667289
302,113598.14533920739
303,113447.79063502651
304,111172.64488235296
305,109293.82910842003
306,110125.30897025627
307,113647.65520229893
308,114036.89716865236
309,117074.49674427423
310,116518.99550098553
311,117283.25512545485
312,117405.31572024267
313,116426.99619034128
314,115599.04102131339
315,117297.42149353663
316,114465.01697951651
317,113801.60219613655
318,115374.36841068574
319,116333.23936163913
320,115540.62768762102
321,110174.87677350358
322,109145.22226560439
323,107519.37321169217
324,106384.15174000974
325,106236.91614754693
326,108681.24715502131
327,109062.61891688485
328,112274.97565895255
329,112718.43029770619
330,112494.92614688625
331,112344.14654822985
332,110540.18945553071
333,113128.15410911855
334,115670.05633888218
335,117138.74272031247
336,117028.77230469193
337,116780.4311404389
338,118472.64098607437
339,119020.75485950448
340,119379.05678268541
341,119712.54100581852
342,118995.91784607139
343,121417.16935817053
344,120673.95166693245
345,120359.99327628835
346,120657.99881071493
347,119953.77484429909
348,119993.30586749902
349,119993.30586749902
350,119993.30586749902
351,119993.30586749902
352,119993.30586749902
353,119993.30586749902
354,119993.30586749902
355,119993.30586749902
356,119993.30586749902
357,119993.30586749902
358,119993.30586749902
359,119993.30586749902
360,119993.30586749902
361,119993.30586749902
362,119993.30586749902
363,119993.30586749902
364,119993.30586749902
365,119993.30586749902
366,119873.31256163151
367,116179.79331036752
368,116955.96673177909
369,117400.04547725897
370,115890.20507119698
371,116129.6138521337
372,115150.73602099456
373,115627.63007200568
374,116517.67954086284
375,117220.48626380936
376,115739.63516353053
377,116019.57431542444
378,115262.72009054279
379,119363.6032050892
380,119780.61615564824
381,118349.95502459156
382,120421.63928925701
383,118529.50372705287
384,119734.2942301274
385,119832.75065770936
386,119672.51064078965
387,120470.02136848833
388,121745.67695480805
389,120861.0721779
390,122233.50243367068
391,121463.06801188116
392,122403.81197739978
393,122419.31568516998
394,122237.33894440703
395,122463.82972069999
396,123621.39435325826
397,126071.64996214624
398,126071.64996214624
399,126071.64996214624
400,126071.64996214624
401,126071.64996214624
402,126071.64996214624
403,126071.64996214624
404,126071.64996214624
405,126071.64996214624
406,126071.64996214624
407,126071.64996214624
408,126071.64996214624
409,126071.64996214624
410,126071.64996214624
411,126071.64996214624
412,126071.64996214624
413,126071.64996214624
414,126071.64996214624
415,126071.64996214624
416,126071.64996214624
417,126071.64996214624
418,126071.64996214624
419,126071.64996214624
420,126071.64996214624
421,126071.64996214624
422,126071.64996214624
423,126071.64996214624
424,126071.64996214624
425,126071.64996214624
426,126071.64996214624
427,126071.64996214624
428,126071.64996214624
429,126071.64996214624
430,126071.64996214624
431,126071.64996214624
432,126071.64996214624
433,126071.64996214624
434,126071.64996214624
435,126071.64996214624
436,126071.64996214624
437,126071.64996214624
438,126071.64996214624
439,126071.64996214624
440,126071.64996214624
441,125945.5783121841
442,126071.07449787675
443,125936.06773973096
444,122149.71367803925
445,126272.66558954894
446,124996.60699047065
447,126605.45301457297
448,126820.35477713775
449,128349.34710223888
450,129691.37045357624
451,131416.53253426062
452,131867.77357123897
453,131210.37719391932
454,130821.37309524178
455,132836.34431370816
456,133668.80337810487
457,133414.0109082801
458,132553.9049298791
459,132553.9049298791
460,132553.9049298791
461,132553.9049298791
462,132553.9049298791
463,132553.9049298791
464,132553.9049298791
465,132553.9049298791
466,132553.9049298791
467,132553.9049298791
468,132553.9049298791
469,132553.9049298791
470,132553.9049298791
471,132553.9049298791
472,132553.9049298791
473,132553.9049298791
474,132553.9049298791
475,132553.9049298791
476,132553.9049298791
477,132553.9049298791
478,132553.9049298791
479,132553.9049298791
480,132553.9049298791
481,132553.9049298791
482,132553.9049298791
483,132553.9049298791
484,132553.9049298791
485,132553.9049298791
486,132553.9049298791
487,132553.9049298791
488,132553.9049298791
489,132553.9049298791
490,132553.9049298791
491,132553.9049298791
492,132553.9049298791
493,132421.35102494922
494,130854.20909976763
495,131894.77281810285
496,131635.66077659445
497,131460.85045587202
498,131536.68621716808
499,131267.07280715104
500,132235.99460145403
501,135058.5812828034
502,134810.03771119984
503,136486.7338492787
504,135682.09864005743
505,137480.9528699571
506,135391.4153916269
507,136564.68330455574
508,134340.29438695288
509,132261.2806442634
510,131892.65912412188
511,130159.09455274552
512,130799.45436045108
513,133160.71894277926
514,133748.40415445116
515,133798.95387293783
516,134732.11062305488
517,134302.3932816539
518,135620.9804516659
519,135627.32153360883
520,133963.22927445354
521,135682.09864005743
522,136103.3500219685
523,136804.79549625557
524,136804.79549625557
525,136804.79549625557
526,136804.79549625557
527,136804.79549625557
528,136804.79549625557
529,136804.79549625557
530,136804.79549625557
531,136804.79549625557
532,136804.79549625557
533,136804.79549625557
534,136804.79549625557
535,136804.79549625557
536,136804.79549625557
537,136804.79549625557
538,136804.79549625557
539,136804.79549625557
540,136804.79549625557
541,136804.79549625557
542,136804.79549625557
543,136804.79549625557
544,136804.79549625557
545,136804.79549625557
546,136804.79549625557
547,136804.79549625557
548,136804.79549625557
549,136804.79549625557
550,136804.79549625557
551,136804.79549625557
552,136804.79549625557
553,136804.79549625557
554,136804.79549625557
555,136804.79549625557
556,136804.79549625557
557,136804.79549625557
558,136804.79549625557
559,136667.9907007593
560,137441.6462180958
561,141151.84298737452
562,139871.66431795707
563,141433.96684304427
564,141908.4232984991
565,142034.51626257697
566,142305.9399560427
567,139856.72914418599
568,139875.91059285277
569,139341.62333568453
570,142788.95654126076
571,150230.70535091174
572,149249.72574337592
573,149469.8675015628
574,148324.30813600056
575,148420.75601910902
576,144205.163737159
577,144205.163737159
578,144205.163737159
579,144205.163737159
580,144205.163737159
581,144205.163737159
582,144205.163737159
583,144205.163737159
584,144205.163737159
585,144205.163737159
586,144205.163737159
587,144205.163737159
588,144205.163737159
589,144205.163737159
590,144205.163737159
591,144205.163737159
592,144205.163737159
593,144205.163737159
594,144205.163737159
595,144205.163737159
596,144205.163737159
597,144205.163737159
598,144205.163737159
599,144205.163737159
600,144205.163737159
601,144205.163737159
602,144205.163737159
603,144205.163737159
604,144205.163737159
605,144205.163737159
606,144205.163737159
607,144205.163737159
608,144205.163737159
609,144205.163737159
610,144205.163737159
611,144205.163737159
612,144060.95857342184
613,143539.9588730466
614,143226.15153215532
615,144765.0107936943
616,145080.82714445045
617,145076.7985509846
618,144241.99150971806
619,144980.2391926377
620,143914.08937856436
621,144258.0741623731
622,144402.91319989343
623,142146.47990800673
624,142146.47990800673
625,142146.47990800673
626,142146.47990800673
627,142146.47990800673
628,142146.47990800673
629,142146.47990800673
630,142146.47990800673
631,142146.47990800673
632,142146.47990800673
633,142146.47990800673
634,142146.47990800673
635,142146.47990800673
636,142146.47990800673
637,142146.47990800673
638,142146.47990800673
639,142146.47990800673
640,142146.47990800673
641,142146.47990800673
642,142146.47990800673
643,142146.47990800673
644,142146.47990800673
645,142146.47990800673
646,142146.47990800673
647,142146.47990800673
648,142146.47990800673
649,142004.33342809873
650,142471.98785064515
651,141035.27199892155
652,140445.4411741691
653,140365.38923390608
654,143430.50159729595
655,147371.98831995585
656,147565.7785164038
657,148288.3665599699
658,147892.29279758417
659,148732.82712565202
660,147810.14236550964
661,145655.079632618
662,146204.89553193268
663,148041.86004027756
664,146940.11870514293
665,147953.40308807467
666,147987.10044869035
667,148793.9263714488
668,151848.5241863935
669,152303.54347929574
670,152800.69827883475
671,153483.2272181881
672,154713.4956544321
673,151252.59335519638
674,151252.59335519638
675,151252.59335519638
676,151252.59335519638
677,151252.59335519638
678,151252.59335519638
679,151252.59335519638
680,151252.59335519638
681,151252.59335519638
682,151252.59335519638
683,151252.59335519638
684,151252.59335519638
685,151252.59335519638
686,151252.59335519638
687,151252.59335519638
688,151252.59335519638
689,151252.59335519638
690,151252.59335519638
691,151252.59335519638
692,151252.59335519638
693,151252.59335519638
694,151252.59335519638
695,151252.59335519638
696,151252.59335519638
697,151252.59335519638
698,151252.59335519638
699,151252.59335519638
700,151252.59335519638
701,151252.59335519638
702,151252.59335519638
703,151252.59335519638
704,151252.59335519638
705,151252.59335519638
706,151252.59335519638
707,151252.59335519638
708,151252.59335519638
709,151252.59335519638
710,151252.59335519638
711,151252.59335519638
712,151252.59335519638
713,151252.59335519638
714,151252.59335519638
715,151252.59335519638
716,151252.59335519638
717,151252.59335519638
718,151252.59335519638
719,151252.59335519638
720,151252.59335519638
721,151252.59335519638
722,151252.59335519638
723,151252.59335519638
724,151252.59335519638
725,151252.59335519638
726,151252.59335519638
727,151252.59335519638
728,151252.59335519638
729,151252.59335519638
730,151252.59335519638
731,151252.59335519638
732,151252.59335519638
733,151252.59335519638
734,151252.59335519638
735,151252.59335519638
736,151252.59335519638
737,151252.59335519638
738,151252.59335519638
739,151252.59335519638
740,151252.59335519638
741,151252.59335519638
742,151252.59335519638
743,151252.59335519638
744,151252.59335519638
745,151252.59335519638
746,151252.59335519638
747,151252.59335519638
748,151252.59335519638
749,151252.59335519638
750,151252.59335519638
751,151252.59335519638
752,151252.59335519638
753,151101.3407618412
754,148828.05722761466
755,146245.13840839808
756,145837.3246431973
757,144485.42653364554
758,145935.50312340798
759,146316.8921609822
760,144668.57113025364
761,145467.24082763592
762,144302.29176766527
763,146146.95992818737
764,144275.83754815522
765,145886.4089679887
766,145134.9361148531
767,148067.16663301096
768,150253.5965702953
769,150178.06785662167
770,149545.55543094472
771,147041.9206252356
772,149077.3127964283
773,147317.59109104794
774,146532.13375747896
775,148378.81719670768
776,145836.0663228341
777,145307.37515774643
778,145756.19247165642
779,148093.53237687048
780,146421.82428251707
781,146328.64959187555
782,146056.67544213
783,144677.84141230417
784,142108.48885950298
785,139630.39402491506
786,140843.75892698418
787,141305.92623349716
788,142359.66401569193
789,142359.66401569193
790,142359.66401569193
791,142359.66401569193
792,142359.66401569193
793,142217.30435167623
794,143943.21617758946
795,142232.1732263805
796,141603.04715558744
797,141105.6785003189
798,140569.34380050283
799,141441.58076912162
800,141666.13914844545
801,142469.71069439774
802,143115.54746179387
803,146021.75056173094
804,144908.26370282998
805,147656.73202421085
806,149111.7041745454
807,147176.0836583678
808,149243.4615900699
809,148903.8468990023
810,148213.4994357173
811,147927.69088543433
812,145093.84644478388
813,145633.89356686483
814,155138.15976885112
815,155138.15976885112
816,155138.15976885112
817,155138.15976885112
818,155138.15976885112
819,155138.15976885112
820,155138.15976885112
821,155138.15976885112
822,155138.15976885112
823,155138.15976885112
824,155138.15976885112
825,155138.15976885112
826,155138.15976885112
827,155138.15976885112
828,155138.15976885112
829,155138.15976885112
830,155138.15976885112
831,155138.15976885112
832,155138.15976885112
833,155138.15976885112
834,155138.15976885112
835,155138.15976885112
836,155138.15976885112
837,155138.15976885112
838,155138.15976885112
839,155138.15976885112
840,155138.15976885112
841,155138.15976885112
842,155138.15976885112
843,155138.15976885112
844,155138.15976885112
845,155138.15976885112
846,155138.15976885112
847,155138.15976885112
848,155138.15976885112
849,155138.15976885112
850,155138.15976885112
851,155138.15976885112
852,155138.15976885112
853,155138.15976885112
854,155138.15976885112
855,155138.15976885112
856,155138.15976885112
857,155138.15976885112
858,155138.15976885112
859,155138.15976885112
860,155138.15976885112
861,155138.15976885112
862,155138.15976885112
863,155138.15976885112
864,155138.15976885112
865,155138.15976885112
866,155138.15976885112
867,155138.15976885112
868,155138.15976885112
869,155138.15976885112
870,155138.15976885112
871,155138.15976885112
872,155138.15976885112
873,155138.15976885112
874,155138.15976885112
875,155138.15976885112
876,155138.15976885112
877,154983.02160908227
878,154239.31367721283
879,153420.68719174524
880,153947.0878451315
881,154850.3322043536
882,153227.87939126656
883,150811.0580537803
884,152717.08073195652
885,152027.907324273
886,152390.34696003603
887,153640.99894091432
888,153055.10783581206
889,153408.13797174214
890,149043.9945599955
891,149635.50817937165
892,148882.48735444373
893,149152.90903752815
894,155473.7840233681
895,155896.28409081645
896,155749.8378814039
897,157691.55676274523
898,157642.7027168979
899,155875.6488837906
900,155708.5191639649
901,150961.29124875192
902,151714.32173435728
903,152964.95439388067
904,159415.43702834382
905,162063.22584222272
906,163475.35604662044
907,162718.5578968109
908,159426.68205689162
909,160401.2801797341
910,160619.11879547685
911,161599.36841462558
912,163375.65460938422
913,163375.65460938422
914,163375.65460938422
915,163375.65460938422
916,163375.65460938422
917,163375.65460938422
918,163375.65460938422
919,163375.65460938422
920,163375.65460938422
921,163375.65460938422
922,163375.65460938422
923,163375.65460938422
924,163375.65460938422
925,163375.65460938422
926,163375.65460938422
927,163375.65460938422
928,163375.65460938422
929,163375.65460938422
930,163375.65460938422
931,163375.65460938422
932,163375.65460938422
933,163375.65460938422
934,163375.65460938422
935,163375.65460938422
936,163375.65460938422
937,163375.65460938422
938,163375.65460938422
939,163375.65460938422
940,163375.65460938422
941,163375.65460938422
942,163212.27895477484
943,162975.17438943658
944,161137.69385469443
945,159480.01794802805
946,164251.55269930145
947,163810.9589995081
948,164083.59531482967
949,160637.81403273786
950,159655.86018713098
951,162007.03401067716
952,162016.90505020905
953,162504.92764773298
954,160953.93681847444
955,160776.12835612803
956,162293.52371616077
957,161663.25434875974
958,161333.28815368976
959,159225.1175652122
960,159523.46449512846
961,156623.01572865166
962,156093.48286478483
963,154512.85895527335
964,155488.9041503212
965,154289.58781843985
966,153052.7535516744
967,149382.36458002334
968,149382.36458002334
969,149382.36458002334
970,149382.36458002334
971,149232.9822154433
972,148534.00798276693
973,143217.67680702647
974,143620.62601218018
975,145224.15635596964
976,145840.89160625864
977,148083.78616139558
978,148478.48965976617
979,147592.43965632
980,147002.42506541763
981,144161.29098263744
982,144360.70415851852
983,143811.80386629925
984,143811.80386629925
