,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,99900.0
49,100122.6791042516
50,99557.82854598145
51,93734.33041032116
52,93483.74160647739
53,93148.7121627905
54,91563.45851573731
55,92737.41482665119
56,93017.96815428871
57,93080.61701772879
58,93516.4259461237
59,92688.38499222347
60,93508.25319873299
61,94581.43002493886
62,94554.19196691418
63,94813.3784345138
64,94813.3784345138
65,94813.3784345138
66,94813.3784345138
67,94813.3784345138
68,94813.3784345138
69,94813.3784345138
70,94813.3784345138
71,94813.3784345138
72,94813.3784345138
73,94813.3784345138
74,94813.3784345138
75,94813.3784345138
76,94813.3784345138
77,94813.3784345138
78,94813.3784345138
79,94813.3784345138
80,94813.3784345138
81,94813.3784345138
82,94813.3784345138
83,94813.3784345138
84,94718.56505607929
85,93229.59191433458
86,94363.18362675258
87,94132.31710933876
88,93867.72687970602
89,93919.60756524545
90,95735.43155912509
91,95748.40173050994
92,95079.13962043314
93,94889.77385159596
94,94166.04082155769
95,93919.60756524545
96,92975.37528857314
97,92656.30780588741
98,91675.76791566561
99,92264.61242991971
100,91387.82757768524
101,91084.32683389794
102,89940.35518451718
103,89688.7351262693
104,89214.02558696532
105,88671.87495631499
106,87639.44804746227
107,86224.99246050719
108,86224.99246050719
109,86224.99246050719
110,86224.99246050719
111,86224.99246050719
112,86224.99246050719
113,86224.99246050719
114,86224.99246050719
115,86224.99246050719
116,86224.99246050719
117,86224.99246050719
118,86224.99246050719
119,86224.99246050719
120,86224.99246050719
121,86224.99246050719
122,86224.99246050719
123,86224.99246050719
124,86224.99246050719
125,86224.99246050719
126,86224.99246050719
127,86224.99246050719
128,86138.76746804667
129,86193.91903735578
130,86101.99601481657
131,85591.82436183111
132,87637.11161332874
133,86738.56182379345
134,86621.36333637757
135,87395.81367916329
136,87611.83053791604
137,88501.19026941183
138,88227.71591103602
139,87997.90835468797
140,88903.35349302091
141,89146.94613642822
142,90385.61223146584
143,89680.09854504849
144,89721.46502729834
145,89034.3426780321
146,88593.11329195106
147,89572.09011567211
148,89700.78459144144
149,89801.89767202016
150,89507.74287778746
151,89298.62136783235
152,87735.92998466562
153,87336.06147029839
154,87632.51658430899
155,86568.50647631031
156,88452.92843836432
157,88377.09082266226
158,88356.41038680535
159,89169.92689206303
160,88759.34811686259
161,88759.34811686259
162,88759.34811686259
163,88759.34811686259
164,88759.34811686259
165,88759.34811686259
166,88759.34811686259
167,88759.34811686259
168,88759.34811686259
169,88759.34811686259
170,88759.34811686259
171,88759.34811686259
172,88759.34811686259
173,88759.34811686259
174,88759.34811686259
175,88759.34811686259
176,88670.58876874573
177,88168.42517504565
178,87189.00251355878
179,87807.3703414735
180,87965.07536419135
181,87597.78933312667
182,87597.78933312667
183,87087.32760813163
184,85991.71084445856
185,84568.23177239316
186,84645.00721792123
187,83387.53636588284
188,83453.93661428512
189,82939.32582364262
190,82486.9662157549
191,81668.5768926033
192,81668.5768926033
193,81668.5768926033
194,81668.5768926033
195,81668.5768926033
196,81668.5768926033
197,81668.5768926033
198,81668.5768926033
199,81668.5768926033
200,81668.5768926033
201,81668.5768926033
202,81668.5768926033
203,81668.5768926033
204,81668.5768926033
205,81668.5768926033
206,81668.5768926033
207,81668.5768926033
208,81668.5768926033
209,81668.5768926033
210,81668.5768926033
211,81668.5768926033
212,81668.5768926033
213,81668.5768926033
214,81668.5768926033
215,81668.5768926033
216,81668.5768926033
217,81668.5768926033
218,81668.5768926033
219,81668.5768926033
220,81668.5768926033
221,81668.5768926033
222,81668.5768926033
223,81668.5768926033
224,81668.5768926033
225,81668.5768926033
226,81668.5768926033
227,81668.5768926033
228,81668.5768926033
229,81668.5768926033
230,81668.5768926033
231,81668.5768926033
232,81668.5768926033
233,81668.5768926033
234,81668.5768926033
235,81668.5768926033
236,81668.5768926033
237,81668.5768926033
238,81668.5768926033
239,81668.5768926033
240,81668.5768926033
241,81668.5768926033
242,81668.5768926033
243,81668.5768926033
244,81668.5768926033
245,81668.5768926033
246,81668.5768926033
247,81668.5768926033
248,81668.5768926033
249,81668.5768926033
250,81668.5768926033
251,81668.5768926033
