,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,99900.0
43,99692.29086224205
44,99452.05404705896
45,101388.99048096192
46,101333.93659266776
47,101393.99426905568
48,102094.6956718613
49,102897.9961142989
50,106937.04897588145
51,106331.4378757515
52,105150.25062331694
53,105896.00444786056
54,106086.19727247463
55,105643.24899799598
56,105643.24899799598
57,105027.6303216785
58,103706.31256409302
59,101989.59168336673
60,102082.18314681119
61,100565.66877651788
62,100645.74771491224
63,100025.12525050099
64,99479.57793639036
65,98591.18865783323
66,99534.63182468452
67,98830.09780735176
68,98830.09780735176
69,98830.09780735176
70,98830.09780735176
71,98830.09780735176
72,98830.09780735176
73,98830.09780735176
74,98830.09780735176
75,98830.09780735176
76,98830.09780735176
77,98830.09780735176
78,98830.09780735176
79,98830.09780735176
80,98830.09780735176
81,98830.09780735176
82,98830.09780735176
83,98830.09780735176
84,98830.09780735176
85,98830.09780735176
86,98830.09780735176
87,98830.09780735176
88,98830.09780735176
89,98830.09780735176
90,98830.09780735176
91,98830.09780735176
92,98830.09780735176
93,98830.09780735176
94,98830.09780735176
95,98830.09780735176
96,98830.09780735176
97,98830.09780735176
98,98830.09780735176
99,98830.09780735176
100,98830.09780735176
101,98830.09780735176
102,98830.09780735176
103,98830.09780735176
104,98830.09780735176
105,98830.09780735176
106,98830.09780735176
107,98830.09780735176
108,98830.09780735176
109,98830.09780735176
110,98830.09780735176
111,98830.09780735176
112,98830.09780735176
113,98830.09780735176
114,98830.09780735176
115,98830.09780735176
116,98830.09780735176
117,98830.09780735176
118,98830.09780735176
119,98830.09780735176
120,98830.09780735176
121,98830.09780735176
122,98830.09780735176
123,98830.09780735176
124,98731.26770954441
125,97517.09389829547
