,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,99900.0
30,98465.95768252056
31,96414.57598301602
32,94676.61341466584
33,94838.093689344
34,94838.093689344
35,94838.093689344
36,94838.093689344
37,94838.093689344
38,94838.093689344
39,94838.093689344
40,94743.25559565466
41,97196.07654584567
42,96800.75454939426
43,96863.62334789304
44,97537.49828180172
45,97573.43178879865
46,96863.62334789304
47,97249.97680634109
48,98516.82583167945
49,98939.09499062938
50,97789.06844377035
51,99594.95568705285
52,99603.96577354465
53,100915.71090838495
54,100250.87573845978
55,99774.67070602432
56,100394.60976644751
57,98795.33722064825
58,97420.68767431911
59,99908.24805169145
60,99908.24805169145
61,99908.24805169145
62,99908.24805169145
63,99908.24805169145
64,99908.24805169145
65,99908.24805169145
66,99908.24805169145
67,99908.24805169145
68,99908.24805169145
69,99908.24805169145
70,99908.24805169145
71,99908.24805169145
72,99908.24805169145
73,99908.24805169145
74,99908.24805169145
75,99908.24805169145
76,99808.33980363976
77,100128.94028935056
78,99444.35830084594
79,98456.49846554488
80,101246.7943363065
81,103837.74819375794
82,102329.96875783504
83,102503.27529137566
84,102589.9228335462
85,102329.96875783504
86,101758.05834207094
87,102539.27173503973
88,102539.27173503973
89,102539.27173503973
90,102539.27173503973
91,102539.27173503973
92,102539.27173503973
93,102539.27173503973
94,102539.27173503973
95,102539.27173503973
96,102539.27173503973
97,102539.27173503973
98,102539.27173503973
99,102539.27173503973
100,102436.7324633047
101,103890.55539529368
102,104667.02193739303
103,104353.13492301687
104,103907.07921100182
105,104898.32261526764
106,104485.3036206558
107,105889.56601953346
108,106071.29525028371
109,107624.25016250841
110,108227.24938171155
111,113406.50517306119
112,111390.97073311331
113,109400.23293074063
114,109424.99682627678
115,110701.91177093786
116,110701.91177093786
117,110701.91177093786
118,110701.91177093786
119,110701.91177093786
120,110701.91177093786
121,110701.91177093786
122,110701.91177093786
123,110701.91177093786
124,110701.91177093786
125,110701.91177093786
126,110701.91177093786
127,110701.91177093786
128,110701.91177093786
129,110701.91177093786
130,110701.91177093786
131,110701.91177093786
132,110701.91177093786
133,110701.91177093786
134,110701.91177093786
135,110701.91177093786
136,110701.91177093786
137,110701.91177093786
138,110701.91177093786
139,110591.20985916692
140,110871.65084725649
141,109375.81460348814
142,108495.4580088114
143,106329.58561775458
144,104039.08765619414
145,104005.08870531332
146,104005.08870531332
147,104005.08870531332
148,104005.08870531332
149,104005.08870531332
150,104005.08870531332
151,104005.08870531332
152,104005.08870531332
153,104005.08870531332
154,104005.08870531332
155,104005.08870531332
156,104005.08870531332
157,103901.08361660801
158,103720.07564201509
159,104121.4732526845
160,104176.55766273961
161,102547.34030300593
162,101382.4563382825
163,101185.6936192619
164,100093.79306613495
165,100093.79306613495
166,100093.79306613495
167,100093.79306613495
168,100093.79306613495
169,100093.79306613495
170,100093.79306613495
171,100093.79306613495
172,100093.79306613495
173,100093.79306613495
174,100093.79306613495
175,100093.79306613495
176,100093.79306613495
177,100093.79306613495
178,100093.79306613495
179,100093.79306613495
180,100093.79306613495
181,100093.79306613495
182,99993.69927306882
183,103724.97008904337
184,102951.70136563644
185,104288.03629153802
186,104873.61958725483
187,104941.26053851722
188,104941.26053851722
189,104941.26053851722
190,104941.26053851722
191,104941.26053851722
192,104941.26053851722
193,104941.26053851722
194,104941.26053851722
195,104941.26053851722
196,104941.26053851722
197,104941.26053851722
198,104941.26053851722
199,104941.26053851722
200,104941.26053851722
201,104941.26053851722
202,104941.26053851722
203,104941.26053851722
204,104941.26053851722
205,104941.26053851722
206,104941.26053851722
207,104941.26053851722
208,104941.26053851722
209,104941.26053851722
210,104836.3192779787
211,108719.14591790385
212,109488.12489497352
213,111643.13444205376
214,109791.90452604793
215,108557.76377157455
216,105757.20059344942
217,106267.89044454493
218,106267.89044454493
219,106267.89044454493
220,106267.89044454493
221,106267.89044454493
222,106267.89044454493
223,106267.89044454493
224,106267.89044454493
225,106267.89044454493
226,106267.89044454493
227,106267.89044454493
228,106267.89044454493
229,106267.89044454493
230,106267.89044454493
231,106267.89044454493
232,106267.89044454493
233,106267.89044454493
234,106267.89044454493
235,106267.89044454493
236,106267.89044454493
237,106267.89044454493
238,106267.89044454493
239,106267.89044454493
240,106267.89044454493
241,106267.89044454493
242,106267.89044454493
243,106267.89044454493
244,106267.89044454493
245,106267.89044454493
246,106267.89044454493
247,106267.89044454493
248,106267.89044454493
249,106267.89044454493
250,106267.89044454493
251,106267.89044454493
252,106267.89044454493
253,106267.89044454493
254,106267.89044454493
255,106267.89044454493
256,106267.89044454493
257,106267.89044454493
258,106267.89044454493
259,106267.89044454493
260,106267.89044454493
261,106267.89044454493
262,106267.89044454493
263,106267.89044454493
264,106267.89044454493
265,106267.89044454493
266,106267.89044454493
267,106267.89044454493
268,106161.62255410038
269,104095.54794697509
270,104817.6621299973
271,102059.57209133025
272,99291.44476195594
273,98639.53257099826
274,100525.07371212743
275,97305.62255824392
276,96914.47655573348
277,95811.23397994596
278,94657.84431254628
279,95038.96614499087
280,94005.92556126787
281,93875.55230752537
282,97616.53583830324
283,96533.34816296816
284,90495.62258809818
285,92190.61265348615
286,93474.37557462834
287,92260.8146455507
288,89142.682652841
289,89142.682652841
290,89142.682652841
291,89142.682652841
292,89142.682652841
293,89053.53997018815
294,89696.72069730723
295,89952.11338115488
296,89517.01343949969
297,88467.10011139356
298,88898.33949618287
299,88898.33949618287
300,88898.33949618287
301,88898.33949618287
302,88898.33949618287
303,88898.33949618287
304,88898.33949618287
305,88898.33949618287
306,88898.33949618287
307,88898.33949618287
308,88898.33949618287
309,88898.33949618287
310,88898.33949618287
311,88898.33949618287
312,88898.33949618287
313,88898.33949618287
314,88898.33949618287
315,88898.33949618287
316,88898.33949618287
317,88898.33949618287
318,88898.33949618287
319,88898.33949618287
320,88898.33949618287
321,88809.44115668669
322,88278.3226502101
323,88278.3226502101
324,88278.3226502101
325,88278.3226502101
326,88278.3226502101
327,88278.3226502101
328,88278.3226502101
329,88190.0443275599
330,87519.03037183572
331,88360.45393517047
332,86315.48290889415
333,86624.34509753677
334,88616.0822803237
335,90256.32700509058
336,91385.33594015703
337,91513.1361789963
338,92098.95229778388
339,92769.95928663937
340,93728.55164722657
341,92844.5187151205
342,91630.30497624876
343,93398.37084046088
344,92804.87568575676
345,92804.87568575676
346,92804.87568575676
347,92804.87568575676
348,92804.87568575676
349,92804.87568575676
350,92804.87568575676
351,92804.87568575676
352,92804.87568575676
353,92804.87568575676
354,92804.87568575676
355,92804.87568575676
356,92804.87568575676
357,92804.87568575676
358,92804.87568575676
359,92804.87568575676
360,92804.87568575676
361,92804.87568575676
362,92712.070810071
363,93789.98232001864
364,93934.45690190532
365,92523.15481171952
366,92245.34144284707
367,89267.17049846162
368,89333.85442954574
369,89989.49979512118
370,89067.15504918735
371,88356.399535978
372,88356.399535978
373,88356.399535978
374,88356.399535978
375,88356.399535978
376,88356.399535978
377,88268.04313644202
378,88324.00782429155
379,90786.78359522515
380,91827.87470060859
381,91368.89543019331
382,92085.34301856815
383,90540.51114377377
384,91335.3224753601
385,84876.13492520664
386,84473.13498733222
387,83980.5754397381
388,84920.91106889366
389,84556.40996689984
390,84556.40996689984
391,84471.85355693294
392,84946.60396082116
393,84935.55468842655
394,84493.93043648216
395,84626.42782251081
396,85355.10206082174
397,86646.85588645772
398,86989.11612606398
399,85785.6987056115
400,86238.35056471052
401,86448.12786178141
402,86326.68696989406
403,85874.00622380836
404,88258.79307215077
405,87563.23054229036
406,87695.71348482567
407,87938.61693384039
408,87607.39874488213
409,86967.0320247681
410,85818.810414062
411,85851.92934425917
412,85840.89451535788
413,87938.61693384039
414,88943.3063296166
415,89572.623777336
416,89462.2177143499
417,89848.64615654791
418,91350.16283576151
419,91063.11284939498
420,91052.06357700039
421,90831.26589452151
422,89716.14877051927
423,89142.03435429289
424,87011.19300561321
425,87519.07678319191
426,87828.19642736096
427,88247.73691020985
428,88247.73691020985
429,88247.73691020985
430,88247.73691020985
431,88247.73691020985
432,88247.73691020985
433,88159.48917329963
434,85642.2687875171
435,86288.57691800107
436,87671.92300029549
437,87944.04571299623
438,88613.04186141837
439,89066.59454953713
440,89134.62893611666
441,90041.74172916291
442,88374.92521679429
443,87739.9499700663
444,86628.74885089888
445,88851.15850604244
446,89134.62893611666
447,89316.04407791719
448,89463.44573483229
449,89327.3843784819
450,90393.23912900795
451,89882.9997716831
452,91436.4206952133
453,91481.76706385468
454,91425.07297783984
455,92298.17228600067
456,92434.56739874437
457,91286.51957375255
458,90490.8517488459
459,91445.65462209562
460,90582.05400605552
461,90582.05400605552
462,90582.05400605552
463,90582.05400605552
464,90582.05400605552
465,90491.47195204947
466,91811.72426983365
467,91811.72426983365
468,91811.72426983365
469,91811.72426983365
470,91811.72426983365
471,91811.72426983365
472,91811.72426983365
473,91719.91254556381
474,91889.22422465096
475,90918.52307995738
476,89202.85496622029
477,88843.04198148476
478,88843.04198148476
479,88843.04198148476
480,88843.04198148476
481,88843.04198148476
482,88843.04198148476
483,88843.04198148476
484,88843.04198148476
485,88754.19893950327
486,88189.03279763904
487,87962.96044053166
488,87137.8169883556
489,85781.41972297177
490,84944.96232730741
491,84289.3657675098
492,85114.50921968586
493,83000.77840853485
494,82831.2315161564
495,82831.2315161564
496,81723.49024214403
497,81780.00833142089
498,81666.9721528672
499,80525.34067655455
500,81169.6232928639
501,82571.2542058446
502,83181.62449349742
503,83588.55031101944
504,82887.73485452909
505,84391.0880025752
506,83701.57911412105
507,84131.11069226338
508,83260.75571884666
509,81689.57791348752
510,83170.3253009133
511,81565.24254234972
512,82028.68644914858
513,83204.23025411775
514,85442.31118731071
515,84922.34919123501
516,84673.67107350733
517,84639.76612030288
518,87036.0873778381
519,87793.41354815323
520,87058.68576300635
521,86742.19773886977
522,85770.09840403142
523,85984.87156855466
524,86425.68758837697
525,86753.50430690598
526,86956.96352794094
527,86640.46075290021
528,87205.63427021656
529,87476.91814856458
530,86425.68758837697
531,86493.52699659417
532,87307.36388073403
533,89466.31358857779
534,89895.83779126803
535,90359.28907351894
536,89093.30747516433
537,90811.41903682955
538,90381.88008323513
539,90992.26512179211
540,91252.24243210393
541,92043.48830652761
542,91546.13207107226
543,91376.58517869383
544,90415.79978734374
545,91060.08240365308
546,90325.36936941037
547,89816.71394137085
548,89432.40125992124
549,89421.09469188505
550,89534.9293590071
551,89534.9293590071
552,89534.9293590071
553,89534.9293590071
554,89445.39442964809
555,90146.9336067517
556,89398.61243591204
557,88849.09185097816
558,89071.2452879645
559,89468.78542651613
560,89258.32748796379
561,91000.45323023754
562,91573.37244119696
563,92590.598526129
564,92111.21278601179
565,92649.06075998413
566,92567.2151584185
567,91187.53543023684
568,91678.59378131563
569,91631.8423042095
570,92204.75388601143
571,94718.57653767789
572,97103.79448151513
573,97559.78922476436
574,97735.17592632963
575,97665.02582319801
576,94636.73856526976
577,94484.73523141502
578,93631.2003496142
579,94086.56307819852
580,94086.56307819852
581,94086.56307819852
582,94086.56307819852
583,94086.56307819852
584,94086.56307819852
585,94086.56307819852
586,94086.56307819852
587,93992.47651512033
588,95181.2481990796
589,95512.72716061927
590,95707.03958490588
591,94426.82851501202
592,94906.90766622218
593,95707.03958490588
594,95455.56635688336
595,94118.21685830719
596,94781.17478138652
597,95352.70077688256
598,94929.77497105706
599,94346.81532314364
600,93660.99009522941
601,93190.50019838885
602,93190.50019838885
603,93190.50019838885
604,93190.50019838885
605,93190.50019838885
606,93190.50019838885
607,93190.50019838885
608,93097.30969819047
609,93867.16140090805
610,93249.11084450119
611,94300.87289751226
612,94333.4037360067
613,94485.21195731491
614,94647.85199979211
615,95645.39127198078
616,94571.95142663676
617,93270.80278682915
618,93021.4162000326
619,90755.23790153828
620,89801.06836401051
621,89451.29497024397
622,89451.29497024397
623,89451.29497024397
624,89451.29497024397
625,89451.29497024397
626,89451.29497024397
627,89361.84367527372
628,89592.49781117731
629,89098.23690088875
630,89570.53177443407
631,92514.10969922307
632,91624.45296082315
633,90295.43965389322
634,90108.73192494214
635,90372.32436586104
636,89504.63366420435
637,86835.63478207237
638,86077.78143086488
639,84166.64306667342
640,83881.07742227825
641,83007.16684202422
642,83007.16684202422
643,83007.16684202422
644,83007.16684202422
645,82924.15967518219
646,83511.88323529465
647,83490.1093833975
648,83729.56494056263
649,83435.6889570805
650,83196.26180676716
651,82902.38582328503
652,82564.99054286038
653,83076.52692647165
654,85253.30136887374
655,86439.64251676018
656,86069.59356020273
657,87114.44017932244
658,87212.39410600785
659,87125.32710527102
660,87615.09673869805
661,86200.20116302095
662,86385.22209044319
663,88431.38893002708
664,89911.59185796979
665,88736.1376360319
666,88692.60413566348
667,88017.80647310121
668,91152.35343217321
669,91043.51257953922
670,91990.41237368646
671,91555.05606486344
672,91903.34537294961
673,91348.26128554402
674,94559.00962454313
675,97203.77984847511
676,96920.7978926545
677,95495.02249274177
678,94025.69938903468
679,94471.93552209336
680,100607.67448295165
681,100607.67448295165
682,100507.0668084687
683,100186.94705932293
684,100581.76164868963
685,101830.2265815763
686,100133.59956997052
687,97295.18867897033
688,96548.24723936764
689,97347.13378105269
690,97347.13378105269
691,97347.13378105269
692,97347.13378105269
693,97347.13378105269
694,97347.13378105269
695,97347.13378105269
696,97249.78664727164
697,96728.44480895334
698,96778.57458669107
699,97259.81521953731
700,94222.00825642791
701,96060.6387146294
702,94443.04897937992
703,95045.88196232558
704,94945.40652760363
705,96080.7285681375
706,94714.3241487952
707,97085.43712278959
708,96924.69212754331
709,100400.98909091172
710,99506.80416863332
711,98230.81390277056
712,98552.33006044452
713,100762.6980391926
714,102802.26628324731
715,103384.99632909418
716,104188.76709789307
717,109111.86060361295
718,107695.21519601204
719,106891.43788541779
720,104771.50368553527
721,106710.59649486802
722,107735.40798661896
723,107082.34709900529
724,106790.96899249118
725,104028.01556085143
726,104104.64155919624
727,104104.64155919624
728,104104.64155919624
729,104104.64155919624
730,104104.64155919624
731,104104.64155919624
732,104104.64155919624
733,104104.64155919624
734,104104.64155919624
735,104104.64155919624
736,104104.64155919624
737,104104.64155919624
738,104104.64155919624
739,104104.64155919624
740,104104.64155919624
741,104104.64155919624
742,104104.64155919624
743,104104.64155919624
744,104104.64155919624
745,104104.64155919624
746,104104.64155919624
747,104104.64155919624
748,104104.64155919624
749,104104.64155919624
750,104104.64155919624
751,104104.64155919624
752,104104.64155919624
753,104104.64155919624
754,104104.64155919624
755,104104.64155919624
756,104104.64155919624
757,104104.64155919624
758,104104.64155919624
759,104104.64155919624
760,104104.64155919624
761,104000.53691763704
762,104812.69391474915
763,104440.45498505388
764,104316.37044551989
765,103188.38726497833
766,103177.09884016245
767,103470.38489622704
768,104654.7661341277
769,104496.85304241293
770,102849.98423191713
771,101936.31954490271
772,101958.88170562767
773,102951.51395517951
774,103391.42467814298
775,104674.07182298803
776,104569.39775116504
777,104546.71218021608
778,104637.43969476
779,105658.18700270003
780,105170.49891967898
781,102629.98820455537
782,103446.57275858066
783,102255.71320702725
784,99114.09393876373
785,99298.24378032616
786,99298.24378032616
787,99298.24378032616
788,99298.24378032616
789,99198.94553654583
790,104266.48160474272
791,102265.29316697849
792,102437.43607381405
793,102620.34623120129
794,103846.88108015357
795,102749.44815730199
796,105837.31627810207
797,106676.52433264838
798,105525.29718924618
799,105557.57792479733
800,105557.57792479733
801,106913.22170521828
802,106558.17564636344
803,109915.01486991659
804,110786.4966546461
805,113476.27073048854
806,115811.01275821205
807,115983.14865967963
808,114197.13710411784
809,115143.93359976538
810,116456.55041018738
811,116413.50942945252
812,115240.76880105086
813,114928.74971219496
814,120534.26301273782
815,120437.4208060844
816,120437.4208060844
817,123342.36475876134
818,119899.46458984232
819,108839.10243743246
820,107709.40278976563
821,107504.94802252909
822,107504.94802252909
823,107504.94802252909
824,107504.94802252909
825,107504.94802252909
826,107504.94802252909
827,107504.94802252909
828,107504.94802252909
829,107504.94802252909
830,107504.94802252909
831,107504.94802252909
832,107504.94802252909
833,107504.94802252909
834,107504.94802252909
835,107504.94802252909
836,107504.94802252909
837,107504.94802252909
838,107504.94802252909
839,107397.44307450656
840,107745.42845290664
841,106240.86834939152
842,104889.83179495428
843,106445.57307904497
844,105862.17426264612
845,109434.24080649368
846,110273.51886890532
847,110212.11478064711
848,108994.12930305763
849,109731.06499696687
850,106271.57705773684
851,107438.37469053455
852,106461.81953185781
853,106461.81953185781
854,106461.81953185781
855,106461.81953185781
856,106461.81953185781
857,106461.81953185781
858,106461.81953185781
859,106461.81953185781
860,106355.35771232595
861,105406.7164058131
862,106543.10172911928
863,105607.34522113141
864,105607.34522113141
865,105607.34522113141
866,105607.34522113141
867,105607.34522113141
868,105607.34522113141
869,105607.34522113141
870,105607.34522113141
871,105607.34522113141
872,105607.34522113141
873,105607.34522113141
874,105607.34522113141
875,105607.34522113141
876,105607.34522113141
877,105607.34522113141
878,105607.34522113141
879,105607.34522113141
880,105607.34522113141
881,105607.34522113141
882,105607.34522113141
883,105607.34522113141
884,105501.73787591029
885,105443.89088546061
886,104778.72581689135
887,107699.68499459159
888,108393.77355838568
889,108981.82185995571
890,106388.6246340026
891,106301.85414832807
892,104267.78800552036
893,104722.09844010044
894,104722.09844010044
895,104722.09844010044
896,104722.09844010044
897,104722.09844010044
898,104617.37634166033
899,104314.87336237147
900,103893.21701163356
901,101354.08755316726
902,103031.55741255033
903,102142.41924593798
904,104695.90137377744
905,104695.90137377744
906,104591.20547240366
907,103508.01518429081
908,101607.95477774426
909,102611.26288940868
910,103800.99743225772
911,103579.02927138681
912,104413.63556852537
913,106295.92511022877
914,105603.38167342049
915,107876.32962847456
916,109421.22710317235
917,109740.85986738092
918,109776.378472975
919,110078.25193438653
920,109811.8970785691
921,109687.59352103586
922,111019.40248626127
923,111072.66883260632
924,108391.29159935843
925,109240.85125257622
926,109240.85125257622
927,109240.85125257622
928,109240.85125257622
929,109240.85125257622
930,109240.85125257622
931,109240.85125257622
932,109240.85125257622
933,109240.85125257622
934,109240.85125257622
935,109240.85125257622
936,109240.85125257622
937,109240.85125257622
938,109240.85125257622
939,109240.85125257622
940,109240.85125257622
941,109240.85125257622
942,109240.85125257622
943,109240.85125257622
944,109240.85125257622
945,109240.85125257622
946,109240.85125257622
947,109240.85125257622
948,109131.61040132365
949,104989.31901916716
950,105563.03405620728
951,108640.20665688733
952,107440.62167936248
953,108340.51934289606
954,108340.51934289606
955,108340.51934289606
956,108340.51934289606
957,108340.51934289606
958,108340.51934289606
959,108232.17882355317
960,108480.96547664452
961,108480.96547664452
962,108480.96547664452
963,108480.96547664452
964,108480.96547664452
965,108480.96547664452
966,108480.96547664452
967,108480.96547664452
968,108480.96547664452
969,108480.96547664452
970,108480.96547664452
971,108480.96547664452
972,108480.96547664452
973,108480.96547664452
974,108480.96547664452
975,108480.96547664452
976,108480.96547664452
977,108480.96547664452
978,108480.96547664452
979,108480.96547664452
980,108480.96547664452
981,108480.96547664452
