,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,99900.0
12,99944.81584101083
13,99553.71664339055
14,99423.3566209398
15,98140.07911773273
16,100246.28335660945
17,100323.68442066599
18,99602.61360822707
19,100735.15097687882
20,100071.10749314788
21,101924.72842775051
22,101668.0703764067
23,101655.85251195356
24,101961.3947746219
25,101916.57893361109
26,103757.98200376058
27,104670.52766793994
28,105884.55360122987
29,106483.41388535743
30,104866.07726675006
31,105098.29321243158
32,105615.67130867696
33,106165.65375823595
34,106630.06651933109
35,105603.4534442238
36,106385.64546270834
37,107489.6723553841
38,107734.10616551877
39,111082.84681366144
40,110565.44958714815
41,109204.77739664055
42,108487.76220100341
43,107648.54285381087
44,107408.19016750189
45,107150.19895329287
46,107150.19895329287
47,107150.19895329287
48,107150.19895329287
49,107150.19895329287
50,107150.19895329287
51,107150.19895329287
52,107150.19895329287
53,107150.19895329287
54,107150.19895329287
55,107150.19895329287
56,107150.19895329287
57,107150.19895329287
58,107150.19895329287
59,107150.19895329287
60,107150.19895329287
61,107150.19895329287
62,107150.19895329287
63,107150.19895329287
64,107150.19895329287
65,107150.19895329287
66,107150.19895329287
67,107150.19895329287
68,107150.19895329287
69,107150.19895329287
70,107150.19895329287
71,107150.19895329287
72,107150.19895329287
73,107150.19895329287
74,107150.19895329287
75,107150.19895329287
76,107150.19895329287
77,107150.19895329287
78,107150.19895329287
79,107150.19895329287
80,107150.19895329287
81,107150.19895329287
82,107150.19895329287
83,107043.04875433959
84,107995.06482656904
85,107545.80046549928
86,107481.62217421041
87,106203.35285288947
88,104588.13118025429
89,104657.65494214265
90,104507.9001551194
91,106299.62028982278
92,107465.56944036437
93,108160.8641864145
94,108310.6189734378
95,105673.8574666848
96,104352.79989749668
97,102325.75664105946
98,103919.58010924912
99,100668.59842132455
100,100668.59842132455
101,100668.59842132455
102,100668.59842132455
103,100668.59842132455
104,100668.59842132455
105,100668.59842132455
106,100668.59842132455
107,100668.59842132455
108,100668.59842132455
109,100567.92982290323
110,99929.30821827655
111,99659.12128987804
112,100646.531019496
113,99708.2489117042
114,103038.89778514091
115,103289.43066647992
116,100371.43432724394
117,99467.53555807228
118,100710.38793288283
119,100214.23193405838
120,99605.08390419836
121,97934.84970362645
122,100629.3119379624
123,100629.3119379624
124,100629.3119379624
125,100629.3119379624
