stock,final_portfolio,cumulative_return,bh_return,alpha,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,action_0,action_1,action_2,action_3,action_4
ASIANPAINT_NS,76200.3389689972,-0.23799661031002806,-0.2627531803067833,0.02475656999675524,-0.40819654785538484,-0.6034811501376472,0.38675450236062314,0.46601941747572817,79,199,134,0,0
AXISBANK_NS,111446.7332851264,0.11446733285126398,0.10781548451744687,0.006651848333817115,0.3675341169893228,0.5409228753003487,0.329819737981214,0.49514563106796117,0,412,0,0,0
BAJAJ-AUTO_NS,84697.90755532985,-0.15302092444670157,-0.06862666076917529,-0.08439426367752628,-0.17599003463594337,-0.22710442310633683,0.4730005114090816,0.5121359223300971,0,412,0,0,0
BAJFINANCE_NS,100000.0,0.0,0.32678324648158286,-0.32678324648158286,0.0,0.0,0.0,0.0,0,0,0,412,0
BRITANNIA_NS,100000.0,0.0,-0.010960729231020193,0.010960729231020193,0.0,0.0,0.0,0.0,0,0,0,412,0
DRREDDY_NS,100000.0,0.0,-0.07172771067232149,0.07172771067232149,0.0,0.0,0.0,0.0,0,0,0,402,10
HCLTECH_NS,100000.0,0.0,-0.3181781091420485,0.3181781091420485,0.0,0.0,0.0,0.0,412,0,0,0,0
HDFCBANK_NS,93081.93349691285,-0.0691806650308715,-0.06065154584390293,-0.008529119186968574,-0.04833075803565676,-0.06896513549157171,0.3533668587824439,0.4854368932038835,0,412,0,0,0
HINDALCO_NS,162169.14373794862,0.6216914373794862,0.5347474349263732,0.08694400245311296,1.123576139587307,1.423917616523778,0.2804401020993658,0.5606796116504854,0,412,0,0,0
HINDUNILVR_NS,100000.0,0.0,-0.21799569168295985,0.21799569168295985,0.0,0.0,0.0,0.0,0,0,0,0,412
ICICIBANK_NS,105014.66914892587,0.050146691489258766,0.040972116668266494,0.009174574820992272,0.24680273579969297,0.3929824011815034,0.205243268445235,0.49029126213592233,37,0,375,0,0
INFY_NS,54632.297869311005,-0.4536770213068899,-0.45036113671041195,-0.0033158845964779693,-0.9434733974767521,-1.2709117818361428,0.495004233665201,0.49029126213592233,0,412,0,0,0
ITC_NS,58721.96242146984,-0.4127803757853016,-0.40725452529401557,-0.005525850491286011,-1.1127027459399468,-1.444508450294447,0.5113620275359652,0.4563106796116505,0,21,391,0,0
KOTAKBANK_NS,108576.60099320656,0.08576600993206562,0.11654187554886003,-0.030775865616794407,0.31635134931977693,0.48091705909303883,0.2990163204431416,0.48058252427184467,0,412,0,0,0
LT_NS,100000.0,0.0,0.11193041438408613,-0.11193041438408613,0.0,0.0,0.0,0.0,0,0,0,0,412
MARUTI_NS,111015.79476295647,0.11015794762956466,0.11205412438444419,-0.0018961767548795333,0.3629857646584143,0.5823836044588366,0.3477700986238218,0.4854368932038835,0,0,412,0,0
NTPC_NS,103978.13039513753,0.039781303951375246,-0.0021962331718572217,0.04197753712323247,0.26330599627744566,0.29282492570746754,0.09816768610549725,0.19902912621359223,0,173,0,0,239
POWERGRID_NS,101203.04096830585,0.012030409683058574,-9.039760949088969e-05,0.012120807292549463,0.16019820679561966,0.26747594642800004,0.3304236317517257,0.49271844660194175,0,412,0,0,0
RELIANCE_NS,94762.25474495473,-0.052377452550452674,-0.05474634203077364,0.0023688894803209626,-0.016837755823157035,-0.026088201180927695,0.2692923006816759,0.4975728155339806,0,0,412,0,0
SBIN_NS,146435.86318116178,0.46435863181161774,0.4058739044323462,0.05848472737927152,1.0332321700381768,1.6494231348990263,0.24552645312704047,0.5194174757281553,0,412,0,0,0
SUNPHARMA_NS,100000.0,0.0,0.010185795108171922,-0.010185795108171922,0.0,0.0,0.0,0.0,412,0,0,0,0
TATASTEEL_NS,139079.72007808264,0.39079720078082647,0.46168729465147945,-0.07089009387065298,0.8188337766155692,1.1240181344069586,0.3142263702735418,0.5097087378640777,0,411,0,0,1
TCS_NS,47897.119090727305,-0.521028809092727,-0.5299789595346017,0.008950150441874749,-1.3626031358225565,-1.8271240033694847,0.558024001140974,0.4368932038834951,166,0,246,0,0
TITAN_NS,124564.4243670984,0.24564424367098403,0.25475311090638675,-0.009108867235402718,0.6832027888267169,1.0747211001392232,0.23705864598777562,0.4975728155339806,0,0,412,0,0
WIPRO_NS,100000.0,0.0,-0.2906387515479456,0.2906387515479456,0.0,0.0,0.0,0.0,0,0,0,0,412
