Stock,Period,Return(%),BuyHold(%),Alpha(%),StartDate,EndDate,Days,FinalValue
ASIANPAINT_NS,6M,-10.3,-2.8,-7.5,2025-10-27,2026-04-30,126,89697.14
ASIANPAINT_NS,1Y,-14.81,1.62,-16.43,2025-04-25,2026-04-30,252,85187.48
ASIANPAINT_NS,5Y,-34.2,4.52,-38.72,2021-03-24,2026-04-30,1260,65797.07
ASIANPAINT_NS,10Y,-11.92,208.77,-220.69,2016-02-15,2026-04-30,2520,88080.8
AXISBANK_NS,6M,1.61,1.13,0.48,2025-10-27,2026-04-30,126,101614.39
AXISBANK_NS,1Y,-6.13,8.84,-14.97,2025-04-25,2026-04-30,252,93868.49
AXISBANK_NS,5Y,57.47,80.29,-22.83,2021-03-24,2026-04-30,1260,157467.06
AXISBANK_NS,10Y,233.23,211.2,22.03,2016-02-15,2026-04-30,2520,333232.95
BAJAJ-AUTO_NS,6M,-10.38,9.88,-20.25,2025-10-27,2026-04-30,126,89624.91
BAJAJ-AUTO_NS,1Y,-13.5,27.55,-41.05,2025-04-25,2026-04-30,252,86495.85
BAJAJ-AUTO_NS,5Y,113.03,217.15,-104.12,2021-03-24,2026-04-30,1260,213029.51
BAJAJ-AUTO_NS,10Y,213.79,456.0,-242.2,2016-02-15,2026-04-30,2520,313792.4
BAJFINANCE_NS,6M,-7.92,-13.59,5.67,2025-10-27,2026-04-30,126,92076.41
BAJFINANCE_NS,1Y,-13.95,3.47,-17.42,2025-04-25,2026-04-30,252,86048.08
BAJFINANCE_NS,5Y,9.16,81.5,-72.34,2021-03-24,2026-04-30,1260,109160.0
BAJFINANCE_NS,10Y,46.39,1458.85,-1412.46,2016-02-15,2026-04-30,2520,146390.7
BRITANNIA_NS,6M,-8.67,-3.15,-5.53,2025-10-27,2026-04-30,126,91325.63
BRITANNIA_NS,1Y,-11.07,7.02,-18.09,2025-04-25,2026-04-30,252,88926.75
BRITANNIA_NS,5Y,15.58,75.37,-59.79,2021-03-24,2026-04-30,1260,115578.63
BRITANNIA_NS,10Y,50.08,391.7,-341.62,2016-02-15,2026-04-30,2520,150077.08
DRREDDY_NS,6M,-5.1,3.01,-8.1,2025-10-27,2026-04-30,126,94904.89
DRREDDY_NS,1Y,7.01,13.32,-6.31,2025-04-25,2026-04-30,252,107008.48
DRREDDY_NS,5Y,37.33,56.89,-19.57,2021-03-24,2026-04-30,1260,137328.16
DRREDDY_NS,10Y,200.96,147.43,53.53,2016-02-15,2026-04-30,2520,300955.89
HCLTECH_NS,6M,-19.83,-19.73,-0.1,2025-10-27,2026-04-30,126,80169.28
HCLTECH_NS,1Y,-25.36,-19.85,-5.51,2025-04-25,2026-04-30,252,74636.87
HCLTECH_NS,5Y,-6.51,53.21,-59.73,2021-03-24,2026-04-30,1260,93485.08
HCLTECH_NS,10Y,26.0,289.86,-263.86,2016-02-15,2026-04-30,2520,126000.38
HDFCBANK_NS,6M,-11.0,-23.06,12.06,2025-10-27,2026-04-30,126,89004.6
HDFCBANK_NS,1Y,-5.8,-18.15,12.35,2025-04-25,2026-04-30,252,94200.5
HDFCBANK_NS,5Y,8.93,10.19,-1.26,2021-03-24,2026-04-30,1260,108931.06
HDFCBANK_NS,10Y,225.02,244.78,-19.76,2016-02-15,2026-04-30,2520,325018.36
HINDALCO_NS,6M,16.57,23.45,-6.88,2025-10-27,2026-04-30,126,116566.87
HINDALCO_NS,1Y,29.64,68.08,-38.44,2025-04-25,2026-04-30,252,129635.69
HINDALCO_NS,5Y,150.79,238.5,-87.7,2021-03-24,2026-04-30,1260,250792.43
HINDALCO_NS,10Y,995.98,1551.02,-555.04,2016-02-15,2026-04-30,2520,1095980.57
HINDUNILVR_NS,6M,0.28,-9.68,9.96,2025-10-27,2026-04-30,126,100278.78
HINDUNILVR_NS,1Y,-4.17,-1.7,-2.46,2025-04-25,2026-04-30,252,95831.92
HINDUNILVR_NS,5Y,9.64,5.57,4.07,2021-03-24,2026-04-30,1260,109637.88
HINDUNILVR_NS,10Y,208.11,228.82,-20.72,2016-02-15,2026-04-30,2520,308106.61
ICICIBANK_NS,6M,-2.02,-8.29,6.27,2025-10-27,2026-04-30,126,97978.51
ICICIBANK_NS,1Y,-4.55,-9.37,4.82,2025-04-25,2026-04-30,252,95447.14
ICICIBANK_NS,5Y,69.67,130.18,-60.51,2021-03-24,2026-04-30,1260,169668.14
ICICIBANK_NS,10Y,150.2,631.31,-481.11,2016-02-15,2026-04-30,2520,250197.2
INFY_NS,6M,-18.58,-21.45,2.87,2025-10-27,2026-04-30,126,81424.06
INFY_NS,1Y,-13.07,-17.8,4.73,2025-04-25,2026-04-30,252,86934.24
INFY_NS,5Y,-11.68,-0.83,-10.85,2021-03-24,2026-04-30,1260,88319.37
INFY_NS,10Y,24.51,183.62,-159.11,2016-02-15,2026-04-30,2520,124514.81
ITC_NS,6M,-20.54,-23.57,3.03,2025-10-27,2026-04-30,126,79460.38
ITC_NS,1Y,-28.01,-23.46,-4.54,2025-04-25,2026-04-30,252,71992.56
ITC_NS,5Y,60.42,85.5,-25.08,2021-03-24,2026-04-30,1260,160416.76
