Date,Close,High,Low,Open,Volume,SMA_10,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_K,Stoch_D,ROC,Williams_R,BB_Upper,BB_Middle,BB_Lower,ATR,OBV,CMF,Target
2015-03-16,1524.284912109375,1549.495252546632,1512.6204262354202,1512.6204262354202,371543,1572.165771484375,1715.9647900390623,1580.4326008673404,1632.2170900053056,-51.78448913796524,-49.036316938323935,24.620485856037078,8.018302879351292,14.97841217235623,-5.8125973501891375,-92.22473849599689,1720.7044125584357,1614.6452392578126,1508.5860659571895,42.10093379523683,-3809527.0,-0.40529275666263437,1
2015-03-17,1540.6151123046875,1547.9901141052153,1525.9404369400536,1535.1968073770731,256565,1570.1301147460938,1709.8699023437498,1574.3068333961628,1625.4317583237785,-51.124924927615666,-49.45403853618229,29.94091188810887,10.718048210952915,10.708318738017322,-1.3040958812838808,-81.339425735253,1709.308159385802,1606.6080200195313,1503.9078806532607,40.786952952422794,-3552962.0,-0.3886991696545349,0
2015-03-18,1528.612060546875,1546.1841176015414,1524.661186298077,1542.7976539597146,634025,1563.6393920898438,1703.5409814453124,1567.276868342426,1618.2599288588226,-50.98306051639656,-49.75984293222515,28.35662969464764,12.365156259047913,10.367169116450707,-4.073199934733199,-89.34036699160637,1695.8560992152582,1597.9311401367188,1500.0061810581794,39.41095140606863,-4186987.0,-0.4061534436864705,0
2015-03-19,1524.171875,1540.4645447621388,1520.7854116627116,1535.2719492722235,500745,1556.3584594726562,1696.9885522460938,1560.6453309051296,1611.2904433877989,-50.64511248266922,-49.93689684231396,27.771224369862466,12.340040333249885,11.807748267750238,-4.559184924559353,-92.30008627339097,1683.8051576584744,1589.8431274414065,1495.8810972243386,38.001535812737096,-4687732.0,-0.41947662178662404,0
2015-03-20,1518.5279541015625,1531.4341620958987,1510.5509689764092,1531.4341620958987,579513,1548.7727905273437,1690.6122192382813,1554.1657344738117,1604.4191478851146,-50.25341341130297,-50.00020015611177,27.007988488522507,7.868153112346901,10.857783234881566,-4.7577408475286225,-94.75508739796194,1674.6194999259926,1582.5170654296878,1490.414630933383,36.778797048933704,-5267245.0,-0.40881505184445,1
2015-03-23,1528.98828125,1536.551419866559,1512.6580383335518,1513.974996370804,420806,1542.8953857421875,1684.359304199219,1550.2922801316868,1598.8316762825136,-48.53939615082686,-49.708039355054794,30.803720385446336,9.805105367390306,10.004432937662363,-3.7016905348056643,-83.52951022647616,1663.1991093066583,1575.9303771972657,1488.661645087873,35.858410226367525,-4846439.0,-0.35781892908217544,0
2015-03-24,1526.166259765625,1535.8741404416087,1520.1458800426835,1530.6815445578309,1002496,1535.275830078125,1678.001784667969,1546.5805846907542,1593.4490528368183,-46.86846814606406,-49.140125113256644,30.345250664644755,11.888304402176374,9.853854293971192,-4.755202967299552,-86.05048916903277,1654.396421113208,1570.1677368164062,1485.9390525196045,34.42054238155021,-5848935.0,-0.33419630311753856,0
2015-03-25,1517.7752685546875,1531.4340228065128,1511.228142647383,1529.176380512449,722561,1529.1463012695312,1672.5984887695315,1542.1489975928978,1587.8435873344383,-45.69458974154054,-48.45101803891343,28.964815887305065,12.29121310713911,11.328207625568595,-3.881732062457009,-93.54636128307374,1642.1896674560644,1563.5979919433594,1485.0063164306544,33.40520936566304,-6571496.0,-0.3496321882437162,0
2015-03-26,1508.330810546875,1529.5526107625292,1497.5693458388355,1519.393220727944,1046160,1523.9951171875,1667.6361865234378,1536.9461995858173,1581.953752016841,-45.00755243102367,-47.762324917335484,27.451136327556195,9.672539925149351,11.28401914482161,-3.302374170571811,-91.38552977244544,1630.4067952423006,1556.9887268066407,1483.5706583709807,33.303641905522376,-7617656.0,-0.3404292118081988,1
2015-03-27,1517.8128662109375,1521.6508395700516,1490.0438488371424,1511.867723390818,439910,1523.5285400390626,1663.0125317382815,1534.0026098358358,1577.2025752904779,-43.1999654546421,-46.84985302479681,31.331148616081695,12.011329631249513,11.325027554512658,-0.3064589130418224,-79.03412005073228,1624.0538665128386,1552.5505737304688,1481.0472809480991,33.18245253605001,-7177746.0,-0.26510089060688125,1
2015-03-30,1526.166259765625,1537.9812182264156,1503.815636789687,1527.67135469636,235638,1523.7166748046877,1657.9636889648443,1532.7970175173418,1573.422107473822,-40.625089956480224,-45.60490041113349,34.647131403443986,19.32758401459273,13.670484523663864,0.12342493462370531,-71.59759813304409,1613.1964127492433,1547.9412231445312,1482.6860335398192,33.25267602895563,-6942108.0,-0.2864887715707695,0
2015-03-31,1517.58740234375,1531.434295922872,1508.782632572137,1531.434295922872,263684,1521.413903808594,1651.922993164063,1530.4570767214045,1569.286203390113,-38.82912666870857,-44.249745662648515,32.89052492622151,25.62912949004364,18.98934771196196,-1.4947088196797662,-72.48089334609271,1612.0792538963838,1545.7720092773438,1479.464764658304,32.495460837654164,-7205792.0,-0.24933734783714198,1
2015-04-01,1519.99560546875,1531.4342916882074,1507.315105533086,1525.4515753040027,208545,1520.5522583007814,1645.8973486328132,1528.8476196056115,1565.6350479885307,-36.78742838291919,-42.757282206702655,33.90358098072079,31.2876339134873,25.414782472707888,-0.563678339358541,-62.05860678040129,1605.3387563791525,1542.0958251953125,1478.8528940114725,31.897155503187545,-6997247.0,-0.2783417674795383,1
2015-04-06,1532.4876708984375,1540.615128374635,1500.316266878857,1527.6713487660402,281023,1521.383837890625,1640.3661230468756,1529.4076274968154,1563.1796867225978,-33.772059225782414,-40.96023761051861,39.04392786119418,45.617654664031825,34.178139355854256,0.5455943673306201,-28.607535881410506,1596.6736545424294,1538.8711486816405,1481.0686428208517,32.49727735980115,-6716224.0,-0.25755494621517133,1
2015-04-07,1576.24853515625,1578.8447875036557,1525.338674135927,1535.159364716898,374689,1527.155895996094,1635.7048535156255,1536.6139209828823,1564.1477495695349,-27.53382858665259,-38.27495580574541,52.87121701504941,68.80339354822806,48.569560708582394,3.8010878165781214,-2.9236766935040293,1592.5811731013944,1537.9643432617186,1483.3475134220428,33.997908503224544,-6341535.0,-0.21342048407588568,1
2015-04-08,1579.9735107421875,1601.4211149604073,1566.8039292046842,1573.8403219742615,243842,1532.2544189453129,1630.4799194335942,1543.2846270996986,1565.3200281749166,-22.035401075218033,-35.02704485963993,53.83125921542921,83.07069035762018,65.83057952329335,3.334572940644472,-19.2567163522249,1590.7897369540776,1537.57490234375,1484.3600677334223,34.04214259268873,-6097693.0,-0.20850118051982358,0
