,portfolio
0,128129.08187287461
1,126848.78994032374
2,129900.73000647943
3,127752.37869372565
4,126608.57841912624
5,127621.3466839264
6,127140.8821121733
7,128718.7397956057
8,127812.43503576065
9,128347.46856744237
10,127675.92949725236
11,129728.75052234056
12,129084.53750178314
13,128118.19025662824
14,127506.67981111135
15,127203.68213596274
16,127645.90132591463
17,126644.06624304641
18,126955.25341913618
19,126553.96787640016
20,136223.01085903266
21,133367.60488810053
22,132111.9091349776
23,130880.75417040572
24,129103.64633796964
25,127763.29802839475
26,127400.23015634785
27,125270.97378632106
28,126122.66802012072
29,129013.56182840583
30,128554.94977949806
31,126906.13027032737
32,125707.73330919008
33,127132.70646115862
34,126291.91770482394
35,126043.48898797411
36,126201.83319521659
37,126922.50927207574
38,125977.98683801001
39,128374.76690326924
40,127624.09037058744
41,133706.1042578092
42,131767.92238443648
43,130048.1549150681
44,129616.82734537852
45,129704.16816433804
46,129548.59536179027
47,133476.81209037782
48,138532.43624884763
49,144068.48341117715
50,144005.7249518613
51,146036.7211684664
52,144767.32081904126
53,145897.4996536184
54,145916.6223460132
55,146448.91218873774
56,147579.07716629148
57,147330.6623064648
58,146773.76239004958
59,146216.89018768136
60,144084.87626994742
61,142365.10880057878
62,144420.64580575714
63,144873.81204444251
64,145045.77770576059
65,152031.40809375382
66,151051.3839655459
67,148269.6835022118
68,145176.82357675856
69,140896.45831061428
70,137249.4283023704
71,138546.08541696979
72,141447.89855978056
73,139127.52612195828
74,143418.82457962385
75,144295.0734590315
76,144248.69400146249
77,145187.74291125644
78,145201.3782223553
79,143798.27145342508
80,140724.4926492962
81,137571.53481303426
82,136798.9918973095
83,127648.64501618259
84,126578.55023539066
85,123065.26821772227
86,125890.6460190479
87,132706.98515125364
88,134089.91609400505
89,133204.41072291642
90,134390.54421828352
91,133382.05776385905
92,137060.73721371865
93,136437.60072509552
94,135276.0634463956
95,135666.9007934928
96,133652.61614719793
97,131203.8306728378
98,134450.68370016266
99,136954.14898915307
100,136024.91085197902
101,140318.53728958833
102,140132.67303372538
103,142013.00183409263
104,137875.18376843017
105,136314.61964175964
106,135617.68064611152
107,135554.83904465486
108,135620.41047973602
109,135584.89492857095
110,135284.26680429245
111,137604.61152806782
112,133770.16527733178
113,129826.38711138225
114,129391.8169981996
115,133663.56319574275
116,137500.73928010327
117,143210.08237800456
118,143029.70550343744
119,143994.4869058235
120,144237.70538184725
121,144054.59867365568
122,141053.7078130025
123,140821.40867147662
124,142565.0933633622
125,143043.3685285833
126,142376.5131308982
127,143300.26388677635
128,142622.47529756994
129,147859.00289749907
130,147818.01382206162
131,147722.33107497045
132,148665.2322372903
133,150821.62065931578
134,152838.5935681647
135,156528.2339235926
136,155864.08064548508
137,159233.91475614582
138,157987.66949294653
139,157181.3985820849
140,157457.44434671968
141,152671.86586172
142,147651.28611561688
143,148430.20326213993
144,148159.64487880102
145,143059.7475303301
146,144480.96542894145
147,142756.41728647408
148,136213.47722741953
149,135773.46130401143
150,134125.44550219356
151,133792.03166037452
152,136054.96673589517
153,138460.04715821685
154,138539.2954754673
155,138829.01812227137
156,140668.3439901777
157,137282.1031637232
158,139558.77054950703
159,140214.67889864725
160,140783.13557264014
161,139555.9991448121
162,135573.9617370496
163,142196.12239930764
164,141553.8632182898
165,142264.45138206024
166,141859.96486684066
167,141488.27792618514
168,140149.06589249568
169,140698.41373111727
170,131507.17477371724
171,134248.42658552944
172,137279.3733300987
173,129315.29851457365
174,120730.80318702644
175,113419.90688701713
176,111796.47344484295
177,112613.64983317898
178,120897.50317942424
179,122966.42606927892
180,124015.9293131878
181,125699.48838021769
182,127030.46934196334
183,130028.61651196858
184,135199.53110574614
185,130233.60346022631
186,130528.7303461854
187,128651.1590934896
188,129118.5149242128
189,130299.18875233093
190,129233.30650667525
191,130061.40222950914
192,132190.464601243
193,132102.9990690722
194,133972.36696387117
195,134182.82743640128
196,135429.114270671
197,136150.63562596287
198,136205.3015835696
199,139006.665163214
200,136339.20200140335
201,134764.9609925635
202,132141.24445386173
203,128910.7981423306
204,127251.84914899137
205,132269.71291849346
206,136382.9209104653
207,136719.09229995575
208,134871.54921712907
209,134600.9908337902
210,135841.8041437875
211,141272.3716434295
212,140698.41373111727
213,138665.0341064746
214,133245.41365537734
215,131917.12095618577
216,128621.08935255
217,128019.81924696958
218,132452.80576966156
219,130665.40216871403
220,129916.55476313058
221,131231.15672312942
222,127727.36676654103
223,130465.9026017522
224,133204.41072291642
225,130296.44506168297
226,133742.8115129932
227,137254.77711343154
228,132480.15953400012
229,118880.5302705753
230,118995.30799601428
231,118705.61306325716
232,119205.75461152094
233,120061.17638464649
234,119670.39446564316
235,122734.12692775302
236,121550.70940898695
237,117754.50854304044
238,113777.94465955033
239,111618.84026092381
240,111459.40134882665
241,112666.1125240533
242,110027.26411571742
243,108633.62169382026
244,110049.2552119714
245,109845.84796438974
246,105598.97512398328
247,110024.506568046
248,110994.87235089221
249,110335.13946327304
250,115384.68038843777
251,115533.10296687274
252,118834.40023942881
253,113641.93797414846
254,112064.13571027569
255,111921.18665611313
256,116206.56816475512
257,117149.38618493412
258,115846.46569572426
259,121058.17536661064
260,122707.46601458818
261,122069.75193726992
262,124997.2144305319
263,122806.4190192193
264,125445.26742755517
265,125332.55439861391
266,127476.62392677063
267,129659.1744091159
268,129727.91910257272
269,129032.43509438942
270,132311.75512771498
271,132383.22965479628
272,134447.55201285743
273,134642.72818849524
274,138906.1047438598
275,143653.2715597883
276,147026.04335942562
277,146520.26200260772
278,150456.5435188576
279,152847.98863008042
280,153994.241611888
281,154730.92255086088
282,153881.5285829467
283,151308.66732039623
284,150954.07994670817
285,152199.28593314692
286,156220.74657269428
287,157468.72396382788
288,158109.20944584106
289,155206.454025434
290,147905.6456385141
291,148282.25182250308
292,149505.45285566436
293,148606.6170279933
294,146465.29119048454
295,147548.32843120163
296,150206.41038812007
297,153227.32464769384
298,152375.20084615523
299,152031.6159491059
300,150407.07394505374
301,150687.45695803605
302,153425.2445139796
303,152968.96044501246
304,152438.4165872457
305,151888.66689494334
306,152809.50767589183
307,150415.3050169976
308,146410.32037836136
309,146063.96407661715
310,150294.3609161125
311,148252.0157972818
312,152647.3250731467
313,150407.07394505374
314,152760.05195911144
315,154552.2223761342
316,160049.84401236917
317,149832.58946584948
318,147504.33238167022
319,145330.0406853157
320,147245.96817898884
321,146762.16406140145
322,147573.06321810355
323,143958.40321669597
324,145099.1549601842
325,142322.84487898162
326,140167.8144452566
327,138875.86871863852
328,139541.10284457708
329,141094.15646452445
330,140373.96538348618
331,136423.93769994966
332,133757.61081406393
333,135365.64910315798
334,133345.2950805813
335,131066.5352842528
336,131613.54128590724
337,134845.27630062148
338,137691.64749251094
339,136177.64296471459
340,136695.14736339188
341,138900.11850971886
342,134616.81555459803
343,133678.11307039091
344,131401.57039781837
345,131965.91153583935
346,131844.80115067255
347,133281.73291390392
348,133488.18870664996
349,132857.8049947497
350,134173.6125157908
351,134162.62389617553
352,134633.3331265796
353,134465.4275731395
354,135263.70298145636
355,134870.06651561728
356,137240.1856677129
357,136351.06361349748
358,138558.7784504724
359,138790.01060119076
360,136813.51405791074
361,137554.01953536255
362,137818.28683004403
363,141385.86066568538
364,141107.8194896703
365,141410.63702365773
366,138074.29533873472
367,138743.2154329175
368,136951.15587208257
369,136106.0575814455
370,131993.4315844596
371,133372.56570277901
372,133438.64984772875
373,132750.44077686954
374,133790.99238361392
375,132103.5533500112
376,132001.7042274739
377,135115.07254766926
378,135726.1672828931
379,135255.44419546556
380,133755.19969197936
381,131517.20725871276
382,130471.1682706725
383,129843.52824942017
384,129155.3468926079
385,127726.64620132034
386,128043.20990259448
387,126732.91747689621
388,125634.56822523984
389,124288.45539386009
390,123914.0801906505
391,124293.95663217944
392,125662.10213088359
