,portfolio
0,107056.54029537713
1,106294.45272138293
2,108538.66668273424
3,108533.40577315414
4,104281.48773805519
5,98447.57582929671
6,93412.53936595363
7,94059.00244441083
8,92676.73064993424
9,93938.1170193788
10,95341.40679055286
11,94258.72452028382
12,92629.43378910408
13,93486.1151022447
14,92235.25054706946
15,92177.43187232729
16,93123.47165281208
17,90805.66905767124
18,92424.45080431651
19,94537.27041513548
20,94258.72452262399
21,92613.6638928783
22,94048.49346024447
23,94132.57818632455
24,93260.1269761015
25,93433.55733742479
26,92303.56537679855
27,91320.73772617136
28,87689.00382132783
29,86537.98105554529
30,86674.63637872961
31,86238.40435785457
32,83153.26608273435
33,86285.70121431556
34,83741.91049128814
35,83174.28405638065
36,81891.87970803976
37,82990.33187673878
38,84067.76607178769
39,85323.90436880963
40,81324.25327312943
41,81818.29113728958
42,77923.7684043184
43,82969.31390308823
44,85749.61457137877
45,82448.98432463597
46,80231.04918209853
47,83416.05491079185
48,80430.77125772194
49,81234.9076378857
50,81334.76225995457
51,86390.81674555091
52,85718.08761090337
53,90506.09235928324
54,90069.86033840483
55,93785.70463237591
56,94689.69563460861
57,95935.31211332059
58,98710.36470394187
59,100118.91538864597
60,101133.26999977283
61,98952.12272686655
62,97044.28610033229
63,97049.53417800207
64,95861.73637405781
65,95057.59999389402
