,portfolio
0,192264.60725102198
1,210597.13085336887
2,208156.19078297546
3,196655.79136133665
4,196764.2628793789
5,192315.37306330222
6,194974.03354652855
7,209298.87733870794
8,227585.66196908083
9,220422.61361487134
10,221833.56836104978
11,223461.64328315982
12,219933.98996150782
13,233393.43890548236
14,253257.46758509355
15,242619.61412461684
16,244302.29030625097
17,249295.5417748733
18,253203.5710583915
19,251520.88856094814
20,240773.87765113902
21,239145.61703751597
22,238222.83633821044
23,232414.95041601275
24,236160.27442176003
25,231329.29156733074
26,225847.01879055853
27,224544.28616734486
28,235617.59370524104
29,218356.1164099565
30,222644.32440841745
31,222155.78221453834
32,226335.50903100002
33,243325.85249428917
34,253530.8879713384
35,254562.16992775621
36,250056.75941577394
37,258330.06975705686
38,262932.46432852396
39,260686.13144567842
40,278876.42265586293
41,274328.8786592311
42,278054.62468236365
43,283314.5819561718
44,289834.6143144924
45,283752.91331139527
46,275862.99478200043
47,253727.5739195178
48,253344.0375490945
49,253782.37449057636
50,270986.72110915754
51,265562.3378931479
52,260083.22001837575
53,262603.6448132977
54,267425.2930520988
55,266439.01563142095
56,266110.2790174423
57,264083.0584519452
58,285725.3543965314
59,289999.135682755
60,293231.7027055734
61,286437.6951277469
62,288464.9170609192
63,311751.1148013739
64,303313.2168838572
65,310107.3627671065
66,314107.07510558236
67,309066.2827960811
68,299971.04447439394
69,302436.60610073764
70,303422.95302193135
71,306874.59021262487
72,306710.32352996996
73,309723.8259462642
74,311915.45178340125
75,318161.5923901414
76,317942.4569508562
77,320736.89214066096
78,360953.4404884628
79,349118.4967124166
80,353775.7531081281
81,335968.6719569459
82,312956.4615008795
83,323585.92317211285
84,309285.55201312853
85,324024.33003163006
86,315422.0917817512
87,313888.00772590993
88,320408.0856931075
89,312627.7241062219
90,274986.33536712674
91,263973.4029850358
92,256960.11727554296
93,265836.224279969
94,255097.29596500655
95,257343.72315576283
96,267808.71523072344
97,263096.6574372323
98,251152.3141071055
99,245782.71405107857
100,249125.02237022232
101,246604.65882012955
102,232632.88781141446
103,234660.24747849582
104,232852.19305125068
105,247590.87039166925
106,250987.84377781808
107,255919.03713833462
108,240632.38523939272
109,235646.45892951463
110,243919.82485746918
111,198388.53830711896
112,196306.5135867641
113,197676.2970724619
114,185512.7161376198
115,186608.52934626464
116,185567.44907639947
117,188690.554073518
118,196032.54332782835
119,202004.7830481782
120,198388.53833457112
121,219647.49798958554
122,210661.78890729437
123,189348.02839465596
124,182115.67477343275
125,183649.79289920052
126,182937.51770606666
127,174444.94832705858
128,179978.84919410897
129,190663.07895642024
130,177184.4813582593
131,180471.95495319378
132,182334.8442075985
133,173294.36821477438
134,178992.60371915685
135,174828.48634218646
136,168144.00536258772
137,169020.64914343055
138,163760.7185510919
139,154062.70030000625
140,156528.2291027437
141,164253.82431255162
142,151871.03991653924
143,160473.2449546947
144,176088.7021027453
145,188033.113679318
146,182225.24252432812
147,176527.00701619402
148,170006.82671316058
149,165678.40865362057
150,154555.8400102651
151,144200.34740788495
152,137515.8324709086
153,143707.2756006997
154,146337.1390378316
155,150939.66319200455
156,157185.80530849766
157,154775.00944466816
158,162993.6425111531
159,160637.64749407122
160,166061.94667616344
161,162938.84166436255
162,160254.04156652334
163,154336.70453045052
164,161185.55410160965
165,162938.84166441832
166,182225.24252944137
167,187101.60115070146
168,198005.06826890417
169,199429.58470444445
170,194279.25580265204
171,158062.44908937335
172,151761.4721722056
173,158610.3217435147
174,172088.88540587595
175,182280.04337627804
176,181239.03100792706
177,174773.7194572271
178,185348.31358799245
179,192909.4723072813
180,201840.44847565822
181,210168.68323624396
182,204799.08304035562
183,198443.40713664383
184,195868.20873227363
185,199867.9235722091
186,201402.10960822387
187,197676.29714191708
188,199100.8475309195
189,204525.1806667359
190,200087.09300592478
191,191265.75248452584
192,216798.3294205089
193,239755.77585899315
194,242878.88087094316
195,221839.1245356797
196,219318.7269780912
197,226715.51711049242
198,218935.18895744518
199,226167.64445635577
200,232468.62137361092
201,224962.19559419405
202,223154.07323110683
203,230003.0246628104
204,229455.1180552364
205,223975.9501191857
206,224852.6278540536
207,226989.45343756155
208,230824.7657371437
209,215154.64355121087
210,199210.41527102562
211,196087.37816594593
212,199155.64837767393
213,200361.09723983583
214,197950.19951551204
215,215099.84270442417
216,216633.99478700658
217,211209.6616511795
218,201950.01621576954
219,212689.01288697362
220,221126.81538774082
221,221565.1882086116
222,216633.99478700678
