,portfolio
0,105184.15092239004
1,104273.45713581498
2,105321.96343659925
3,101423.81641548862
4,107547.28966000902
5,107971.09982334348
6,112623.03277713203
7,113333.07717717624
8,107090.49225649131
9,111828.43244495225
10,109973.39387406224
11,109114.7212303884
12,110280.87618174839
13,110259.67227971026
14,111881.84084064073
15,110885.17240552857
16,110111.12153616638
17,109294.64071613195
18,112051.67611975216
19,111935.01601702254
20,114034.71621869504
21,111871.34078309
22,113112.1274985645
23,115063.46283955623
24,115158.91164626564
25,116792.15345612272
26,115996.73300297704
27,114766.47245546486
28,113536.19958902751
29,111308.95725234941
30,111075.61661720998
31,107543.79842284916
32,104627.1046335029
33,107427.13736916656
34,101180.04410626207
35,98920.8869008242
36,94975.31130089248
37,96820.82265024219
38,98242.09496766762
39,100904.33171402314
40,96004.10266206105
41,95675.3004003717
42,92143.28754122356
43,94487.35581041122
44,97605.72229402006
45,95813.18696123667
46,91156.8467029406
47,94529.78182582777
48,95038.91111400002
49,100066.52213500597
50,100575.6397606553
51,109368.672853052
52,107830.68662381526
53,111256.69109852129
54,111553.67411990975
55,111755.20628104515
56,111129.40075433567
57,112137.04990954699
58,111670.3463868941
59,114109.92014157886
60,114311.45277471514
61,113250.76778111396
62,112858.3193837007
63,108435.25290236823
64,104701.64407035804
65,105486.55430106893
