,portfolio
0,128773.75558764504
1,127611.42339151434
2,129041.74447150227
3,127487.36423339545
4,126845.33974802699
5,123872.4297611456
6,124337.61968843674
7,127912.79088331222
8,126436.07010372508
9,127758.6151998411
10,127450.07015161015
11,127088.42620767042
12,128608.68985266016
13,124348.54965483167
14,122268.12618476067
15,122788.91357300615
16,122147.73283044806
17,121422.77283519268
18,121001.38649865806
19,118431.20952722523
20,119611.6365585145
21,116879.05392229823
22,116287.53579187617
23,115996.9907489186
24,115214.34544338348
25,115062.52024951138
26,112196.23942430248
27,115643.66806545664
28,116269.27788371529
29,115570.35188096498
30,115769.31290543372
31,115075.60361959938
32,116599.13832090261
33,116981.31650775587
34,113986.5843056319
35,110279.81730912668
36,112489.24144059648
37,115442.10810271697
38,111394.9577016842
39,114484.00024428594
40,115824.32682697393
41,111554.64548636258
42,107195.94412944576
43,109630.52515053484
44,108316.38031282583
45,108407.990226283
46,108829.46214157884
47,109926.35626824111
48,110316.42126297922
49,111910.70537712549
50,109955.14780087306
51,111868.82941606283
52,113104.45956301075
53,112559.9368862504
54,110185.52564168835
55,108889.66185985207
56,108834.68667978444
57,111531.11121164478
58,112999.74385061454
59,114800.85622022598
60,115256.36916875765
61,112840.05850303936
62,110366.14393801916
63,111850.4901981615
64,114052.14338325104
65,114607.13805182358
66,120031.40996242876
67,119785.32797610082
68,119290.55011650131
69,115803.50957986238
70,116848.05496088654
71,115452.7043537376
72,117444.92818742487
73,112525.89927037926
74,115588.83584839862
75,114908.2067660898
76,116821.87479640079
77,123452.99686439456
78,122871.83478722094
79,122780.20917275231
80,120164.91604785607
81,119934.55921241708
82,116641.23632327703
83,114303.44777399077
84,117575.81775592253
85,112196.0441367763
86,113662.08245942373
87,112863.6042901347
88,108894.87921272649
89,109237.81481577392
90,110227.38580928544
91,111049.40270257014
92,108774.45890784045
93,111965.68737553679
94,112905.49658070346
95,113803.42786063228
96,112612.29451872362
97,111473.50858618748
98,105457.5822199487
99,103682.63031750549
100,104077.9416342497
101,102774.24364409284
102,100876.24348916193
103,95465.0603550826
104,94975.52367480024
105,93522.58253314249
106,92716.27684577333
107,89726.63867185974
108,87820.81108939653
109,84789.28083402556
110,85273.58984489157
111,89402.01404443456
112,87278.89872934204
113,85284.0451886617
114,87205.59821389407
115,89593.10686975016
116,90061.71872358113
117,90258.06747198224
118,88200.39701331299
119,87477.83305228657
120,87627.07618641599
121,85462.08291213574
122,81587.56837848178
123,77715.72419665058
124,79056.07250732093
125,79320.49409824691
126,81323.18917858528
127,80168.67774484339
128,80276.01468465717
129,81425.28431259166
130,85951.63375892145
131,82721.14084953106
132,85257.87853705809
133,86716.0615340767
134,87346.95746432664
135,90980.60323227779
136,94103.74507583906
137,92758.15495339231
138,94988.6213718238
139,95074.97695662058
140,95250.40086712367
141,95821.09373067493
142,94868.18697951344
143,97849.96959309425
144,93200.57190688077
145,95077.60492420224
146,88373.19298607278
147,94187.54333693603
148,92224.11234792181
149,96768.78693391339
150,98444.22939455346
151,98240.02499860605
152,101771.57563728846
153,100190.35853572602
154,100219.16727877822
155,104727.19160574577
156,101808.2400258326
157,97130.04772356467
158,96221.63274819808
159,101713.97228016795
160,102017.67209968521
161,101876.29873871073
162,97755.71597689031
163,103056.96269402756
164,102936.52830176562
165,103481.06864810143
166,105305.72598671814
167,102549.08673621205
168,103659.09226875758
169,102590.99293135657
170,97281.86231083174
171,98826.44328183284
172,99975.6987840929
173,91700.52509693391
174,87763.20776216274
175,84883.53440930205
176,84493.45074716069
177,88810.38225974231
178,89956.99566542615
179,94321.06105092292
180,94355.0692140138
181,95902.24989506394
182,95980.79222103952
183,102041.23903636057
184,106263.88867432019
185,103049.12117765794
186,106578.04384936717
187,103700.97020647892
188,102779.4577789185
189,106468.10719917796
190,108216.83605078097
191,108287.53686013231
192,107502.1701158059
193,106397.40638982476
194,110947.3086549423
195,112190.81777417574
196,114601.89339668298
197,114188.28518466129
198,114211.8238633942
199,114635.92981749201
200,113421.21531245779
201,109489.13978421026
202,108716.85636311569
203,109622.65749971237
204,106614.66585132598
205,109944.65419138387
206,108981.27795524498
207,105847.65249455682
208,107965.5119107377
209,118916.182812743
210,119625.6351988287
211,115895.1360988395
212,110405.39627630658
213,104850.225708748
214,98224.3137071557
215,99637.97667271872
216,98373.55684248361
217,101986.23538907962
218,103258.55325137466
219,104295.23000688179
220,102837.07526500997
221,105826.69939698021
222,109688.11650245656
223,111104.39330689472
224,113633.26122508281
225,108782.31536585896
226,113455.26586213081
227,113368.86789067088
228,113219.6671419192
229,113664.6838070169
230,117096.75315178654
231,115824.4494183501
232,117062.71673097757
233,117450.18655425085
234,109910.64602829324
235,108266.5696336918
236,107428.85546757097
237,114984.10728449564
238,115879.43893673479
239,113787.71790930188
240,118211.97223327031
241,118335.0345932729
242,118348.11791650623
243,107902.69500458652
244,108758.76255826686
245,106669.66949856764
246,105138.1718507515
247,104457.54233658341
248,105991.61143669815
249,105488.99141434093
250,113298.18121017805
251,114793.00034059276
252,117298.32958004811
253,118753.87048304526
254,117630.82401379556
255,116492.70205222417
256,112038.09893958914
257,115034.09518687103
258,115197.05744407767
259,120102.56895592301
260,121322.1437883802
261,122924.72372473519
262,124204.06362984575
263,124166.02874200107
264,124866.82013765295
265,124999.8998585329
266,127724.28292456457
267,131565.02950964143
268,132540.13269857108
269,132542.84543945748
270,135530.70346408023
271,135392.1700037099
272,133580.45469964447
273,128389.7663021169
274,126121.71711706833
275,124731.01354702777
276,127784.03386835908
277,130981.0272606923
278,132225.05914770337
279,132618.91521514673
280,133067.0826157531
281,133143.15239144242
282,133661.92169938897
283,134324.69233605496
284,134251.3635589696
285,134495.8210736383
286,137383.15226801785
287,136120.1170659432
288,135726.26099849984
289,136481.3778561735
290,134691.378608058
291,135932.71188304145
292,136003.32791924043
293,135851.2024967206
294,135386.74452193704
295,134063.94424720906
296,137040.92305056864
297,136576.46507578512
298,134110.1173577129
299,130076.52597910275
300,128596.17480008211
301,124046.51272555302
302,124098.12544668843
303,124206.77637073206
304,125385.61770331695
305,125179.1809476341
306,124296.4098508533
307,119828.22890492751
308,115566.4705858258
309,116582.34966120412
310,119860.82418214061
311,117796.4990118885
312,117704.13866202204
313,116074.41718794433
314,109316.4427433025
315,107545.4750679681
316,107762.76278719654
317,104003.5114595818
318,106776.78037700371
319,106103.17290565094
320,109593.4955351843
321,110411.07607753894
322,110894.56562510358
323,111622.5268161957
324,106831.1058390255
325,112032.65932895745
326,110962.48304927492
327,109099.15502407406
328,112277.13097248493
329,111315.59148798724
330,113735.73783783807
331,115691.42621290535
332,114428.39101083073
333,116123.30303933457
334,113640.67887594398
335,111913.15744136827
336,114542.46741664711
337,114604.9311013281
338,117910.5754177049
339,118133.3027475649
340,120127.01188161805
341,119996.6449016245
342,119928.72747745317
343,118282.68717148075
344,117470.56036861648
345,117636.22123785071
346,117546.6018865882
347,119619.0794083583
348,118711.8512570236
349,115816.35358226733
350,112491.70595082697
351,111761.04614770722
352,111739.33009175726
353,111128.15804736792
354,111796.35416580668
355,112888.27475915673
356,114868.40605991914
357,113966.617519216
358,118888.40547637975
359,116547.02751424584
360,113925.88401934375
361,113955.73829795286
362,115851.67572922556
363,112584.05217183466
364,112665.54742929671
365,111622.5268161957
366,110525.16661221409
367,112698.14270650981
368,113529.31521101399
369,111750.19518416162
370,107963.77406110658
371,112317.86447235719
372,111440.532986208
373,111302.01365469648
374,110747.8939420741
375,107540.04958619534
376,108105.0061335045
377,110210.07893248765
378,109987.36573148642
379,109006.80880306641
380,111573.6268359467
381,109286.57433583461
382,110794.06705257793
383,108140.32828046277
384,111850.6796278285
385,112996.92568320034
386,111828.94944301978
387,109300.15216912533
388,107336.32557139889
389,109088.27580281092
390,110989.6387158564
391,109786.35445757638
392,111079.2721959777
393,111239.53584115671
394,109395.22525987819
395,109221.36965254963
396,111981.0748655396
397,115400.78145887401
