,portfolio
0,103130.98020273712
1,103117.61542047115
2,105667.2849521547
3,106248.04690372586
4,107296.24539009694
5,106514.98689536235
6,107563.43193270697
7,108705.4835435885
8,107356.25495266209
9,108678.85584506343
10,109260.03645125794
11,109366.92206366234
12,107649.8673064691
13,108605.3131268441
14,111064.20612492198
15,112340.47576138716
16,111946.2160149973
17,110877.00843246358
18,110041.66454425092
19,111765.8523683407
20,113817.55247745285
21,110462.57757965641
22,111505.17737898759
23,112821.81770364034
24,111799.23033681726
25,115381.67188706313
26,115555.44797330537
27,113717.39636879833
28,111090.62734952627
29,109439.69056409576
30,111471.62820282935
31,111625.36079530173
32,105836.9256540267
33,108871.52809752991
34,105094.962702183
35,102882.48510300853
36,99045.72326768364
37,101692.69917345273
38,102187.33776368872
39,104339.69298615535
40,98958.78692040294
41,101398.58349697656
42,97722.16743638516
43,99353.16295343736
44,101365.17414279927
45,99393.26536159946
46,97795.68221301002
47,99319.73858112936
48,97488.19425909233
49,99948.08152150316
50,101378.56103880434
51,105609.84373965529
52,107628.56170229908
53,111592.47132080747
54,111625.89378580113
55,112280.97575804111
56,111746.21457097224
57,111057.70922719983
58,111452.09588546219
59,111318.40538486504
60,108764.91663545635
61,108076.41025716598
62,108417.32123904639
63,109567.06061652182
64,107341.1111004275
65,107982.82638886021
