,portfolio
0,130691.15861751446
1,141079.0050166102
2,136032.60241730418
3,139641.89193070313
4,129969.10214718212
5,93172.50865958352
6,88954.06609374745
7,103397.61822800816
8,102352.0721203438
9,98629.29348531681
10,102597.11315403505
11,96685.73230296272
12,105423.52352767588
13,110526.95419416315
14,105163.61642855254
15,106721.49353216073
16,109881.77937907453
17,106209.49877690384
18,104851.69253321773
19,100103.32725201527
20,92527.90077839798
21,92965.60768602458
22,93180.79528068981
23,93818.82804582863
24,86799.31896710065
25,84216.93381333022
26,75705.5841456887
27,82955.59818784599
28,84699.44411833645
29,85812.68043291909
30,93285.56504875745
31,102910.62847228665
32,106361.4633895854
33,104513.63624611337
34,111838.29053574661
35,116676.92637985472
36,115986.78539384653
37,111964.38531170198
38,111355.90862878019
39,119400.55562396903
40,119096.27386247527
41,120639.99983066534
42,119474.84001782996
43,113663.83797784947
44,113025.57124813824
45,104676.4929351423
46,112008.86774251246
47,112795.50541261495
48,118161.24046952225
49,118087.03532932901
50,114138.77651568827
51,112506.13836906145
52,120298.68244895026
53,133527.04844163777
54,125814.21642331655
55,125590.06557654006
56,118078.89514726594
57,125612.46745624556
58,126172.92808393818
59,166164.6232751148
60,162622.0467979738
61,158870.3335903885
62,178832.53440952
63,186037.19179368377
64,184086.56871464377
65,193750.0495403877
66,192681.306765894
67,195805.32434267603
68,198615.4720581739
69,197434.61178113433
70,208136.9752701776
71,212822.9200775363
72,208846.92645594137
73,204160.89819574825
74,209669.03690391462
75,212262.41739890474
76,204609.3252564291
77,196477.94051643155
78,211746.7118425179
79,216507.36147107746
80,213988.89135391815
81,211440.26607598198
82,207389.52634804748
83,224123.12421837432
84,222882.5752849926
85,214497.00694766486
86,204945.63440718738
87,204781.25378489046
88,202927.68909714118
89,203353.71821050878
90,206365.6623641463
91,205760.23727653516
92,207882.83374996655
93,203839.51827040743
94,186104.4121592144
95,197830.64520702153
96,215999.24681610335
97,214474.65068124133
98,212254.91070902598
99,213226.46951464217
100,201216.2721391612
101,199743.98080058568
102,192068.44633357052
103,192860.69213365272
104,189220.96559484626
105,182972.9667658088
106,190790.3589176507
107,190229.97981585123
108,189863.76315432464
109,189445.20019867682
110,187569.27826376358
111,183152.36269869594
112,175125.58531637603
113,190050.58386247815
114,192830.7444786309
115,188652.99588175144
116,188488.57376641117
117,188563.27715424023
118,188645.52969070134
119,178630.71302854558
120,161986.83136204391
121,173937.2580282099
122,155282.93852818076
123,132861.88422112685
124,142076.86445880783
125,133713.81808230001
126,128863.3656641278
127,127622.73360381683
128,129379.07206387346
129,138601.55998335782
130,134834.86665449315
131,137742.1599278553
132,139012.65675306105
133,144236.79203438383
134,148339.75430963474
135,143922.8387047473
136,139954.39230220657
137,153347.16266248768
138,144087.26082055914
139,142637.40949642015
140,149214.2526650569
141,147211.322506912
142,139991.68177584346
143,134251.8815691863
144,134700.35077214515
145,131494.1195057668
146,127772.2233177392
147,128414.8964431017
148,124304.42649476981
149,120657.23369474681
150,115119.22803660954
151,118190.86047224353
152,114618.49549682252
153,117540.72115589849
154,119446.50787481149
155,125956.03089148384
156,126426.9401462694
157,126449.25576144276
158,124326.86654718417
159,121359.84374217837
160,123362.7324224211
161,127719.95998253342
162,128160.79707934831
163,125604.82956494785
164,141030.56077355193
165,135619.64627594885
166,134453.63464357785
167,138302.6634730829
168,145447.51786147628
169,157106.55573549226
170,159557.87214012624
171,155125.94119148282
172,157338.21504917138
173,165596.61033918228
174,163586.21398904047
175,158810.5064259014
176,165200.48743038895
177,162920.97637528472
178,178511.1711795134
179,177950.62615442544
180,177928.26906040995
181,186022.28371304448
182,177890.89662681014
183,178249.56414434346
184,177195.75277040334
185,179198.7658872885
186,184034.24445691382
187,176971.51816882868
188,172472.39150155743
189,177913.25372082443
190,180454.4132899494
191,181822.05355687943
192,179153.84430506482
193,179101.58096840535
194,177352.70869573136
195,182150.8977894489
196,177711.4591709427
197,170476.92753328514
198,160484.55087355498
199,157883.78621333156
200,156276.89600524766
201,152263.52801702925
202,156187.17727731596
203,155170.86277348324
204,161732.69060642907
205,169841.6376410102
206,171859.54166096635
207,177061.31985444782
208,180424.42408964416
209,181052.16483329807
210,187419.78874383323
211,192113.28524888295
212,187629.04948466396
213,187987.84143871485
214,188877.18921753648
215,194176.0693722252
216,201926.30741043517
217,202486.72799901117
218,199325.41831369387
219,201971.1045561433
220,199609.465400554
221,196806.74027509443
222,196851.62037847977
223,205730.3731789868
224,203630.25810088785
