,portfolio
0,103445.73741004505
1,106368.2678810652
2,106815.86357641986
3,107982.53215704506
4,107297.33142556524
5,106984.44535626442
6,107249.73002583339
7,108140.92144693746
8,108426.67215330522
9,107909.53754981166
10,107501.24852254732
11,106126.60697274974
12,105146.6014464052
13,105670.65627639205
14,106358.07975884565
15,104894.67236186398
16,106371.73952949203
17,104622.33278480779
18,105330.28509788163
19,106065.48095205681
20,106916.43016737222
21,106065.45703424102
22,105868.02408250606
23,106072.26333412017
24,104261.29616106904
25,104227.25347045624
26,103049.41348339905
27,100925.17712875115
28,100080.91937913647
29,99944.74685004695
30,99114.09482838551
31,100469.02733378326
32,101395.01540873795
33,101687.7964778049
34,102041.85229766385
35,101926.1042066902
36,102028.23741822789
37,102286.97177477503
38,102218.88173371737
39,102184.83644621294
40,102157.5984337431
41,102109.93825906451
42,103526.22397209945
43,102164.41039685458
44,101796.71816006534
45,100843.44481672355
46,100005.92131924335
47,99842.50071997741
48,99188.82614915569
49,99903.78519075796
50,99999.11474669394
51,101939.72229114536
52,101926.10722100831
53,103056.42626714283
54,104288.88363722285
55,103771.38826549544
56,103553.48963369062
57,104070.99378316411
58,103539.87425747873
59,103560.30509562361
60,103710.10384946642
61,105902.65947181139
62,107019.36850317166
63,107073.84534820568
64,107720.7188459057
65,107870.51782175025
66,105957.13488803258
67,107073.84517046726
68,107155.55223138777
69,107741.14184779668
70,106420.1633054911
71,104942.56130910234
72,105671.15105909963
73,104663.38551280957
74,104581.67837264406
75,104261.64073062607
76,104561.24743921535
77,105541.77478537933
78,105242.1680287541
79,104854.04655470018
80,105255.78312711387
81,106202.26462933021
82,105643.91291425459
83,105936.70386734093
84,107877.32819922401
85,106406.54085057945
86,106556.3484232935
87,105283.02140985648
88,107203.22328244122
89,107965.85135713087
90,107707.0980870655
91,106958.08508010667
92,105283.02127099741
93,106740.19372428858
94,106290.78756667777
95,107121.50779300647
96,107094.26929179372
97,106277.16414491061
98,105283.02120537285
99,106712.95522921815
100,106876.37792335796
101,106140.97994923108
102,105895.8500604916
103,104493.15450995817
104,103907.56412965902
105,104697.43080578455
106,104997.03770077783
107,106209.07206771756
108,106290.78757317315
109,105596.2431772713
110,105541.77448509811
111,105432.8287887407
112,105473.68238572401
113,105466.87483806131
114,106889.99306605823
115,103607.95719531747
116,101524.34061102157
117,99733.51506590676
118,99413.4855221015
119,98364.8655235858
120,98085.68957677745
121,98140.15826937475
122,96519.57127945729
123,96519.57127941029
124,97289.00702155734
125,96853.22423128679
126,97302.63042887117
127,95825.0268710292
128,95600.3279280528
129,95246.24402045393
130,96648.94793184243
131,97506.90673071278
132,97888.22082894458
133,97037.06957730846
134,96880.45442215969
135,99685.85393559943
136,100285.05942978537
137,99822.0381358426
138,98650.84902559283
139,98126.54317898775
140,97466.05313195981
141,96744.27022027619
142,95859.0729176821
143,93584.80342049651
144,96567.232422375
145,96553.61732713769
146,96417.43312670433
147,95178.15191552699
148,94667.46116387197
149,96267.62551910109
150,94483.6158180184
151,94088.67831189118
152,92863.02050777529
153,91385.42525758843
154,90248.2905085278
155,88784.31035351682
156,90023.58325296878
157,87204.56864082011
158,84977.96028789993
159,86169.57204205146
160,84058.71693466861
161,83895.29423168962
162,81750.39307414168
163,84964.33688067045
164,85611.21183295736
165,85297.98983425164
166,79190.13176737697
167,76772.86220877944
168,71829.37739357285
169,74655.19955365549
170,77024.79965490762
171,73470.39534700131
172,70113.45148016865
173,71570.6240877976
174,72748.62074683444
175,75485.9198518562
176,75622.10405234549
177,81627.82396913608
178,79122.03966733305
179,80837.95726870131
180,78713.4870658585
181,80783.48857572231
182,78815.62521622381
183,79421.64657081378
184,78815.62521622302
185,81035.42602182708
186,79421.64657081281
187,77303.97560354974
188,77372.06770379553
189,78046.18115863444
190,77058.84570506866
191,76575.39345572717
