,portfolio
0,91735.40866162111
1,90345.05787968241
2,90133.57191672124
3,89800.26030605368
4,91120.81812051644
5,91928.64495223937
6,92287.71892000458
7,91486.08562433119
8,91338.55973064598
9,93981.23301989419
10,94545.72294908833
11,94109.4834962139
12,93005.97447632503
13,92511.93446185757
14,91889.53925015253
15,91209.35342731915
16,90375.13471694374
17,88231.7590880907
18,91042.63528423732
19,91029.80021220213
20,90901.43889933753
21,89733.33498699286
22,89251.96264500837
23,90760.28792190862
24,89078.63250481342
25,88706.34608213037
26,87550.96865668078
27,86158.08000451632
28,85086.1195758618
29,83706.03019624471
30,84874.30024088648
31,82216.76898033709
32,80117.68929121394
33,81241.06027881164
34,79251.07206656269
35,79097.00536044168
36,77074.89375720095
37,80104.86491435161
38,80714.71423118781
39,80419.41850370761
40,74661.10703257748
41,72382.16623968372
42,67721.55661478851
43,70385.68913571845
44,72619.71080243925
45,69268.66499293734
46,66103.77435319316
47,67477.58409159642
48,68588.1914670134
49,71168.90372109263
50,71297.29763038049
51,76959.47850505404
52,74597.02705272066
53,76214.79448010636
54,74211.84145565315
55,76163.44297901896
56,74308.13591494967
57,74879.49489237934
58,74308.1354462488
59,76400.97389497106
60,74879.49431945579
61,72882.94228700658
62,72947.13989828397
63,73582.69833178802
64,72651.83182223556
65,72196.02963112756
