,portfolio
0,100000.0
1,100000.0
2,100000.0
3,100000.0
4,100000.0
5,100000.0
6,100000.0
7,100000.0
8,100000.0
9,100000.0
10,100000.0
11,100000.0
12,100000.0
13,100000.0
14,100000.0
15,100000.0
16,100000.0
17,100000.0
18,100000.0
19,100000.0
20,100000.0
21,100000.0
22,100000.0
23,100000.0
24,100000.0
25,100000.0
26,100000.0
27,100000.0
28,100000.0
29,100000.0
30,100000.0
31,100000.0
32,100000.0
33,100000.0
34,100000.0
35,100000.0
36,100000.0
37,100000.0
38,100000.0
39,100000.0
40,100000.0
41,100000.0
42,100000.0
43,100000.0
44,100000.0
45,100000.0
46,100000.0
47,100000.0
48,100000.0
49,100000.0
50,100000.0
51,100000.0
52,100000.0
53,100000.0
54,100000.0
55,100000.0
56,100000.0
57,100000.0
58,100000.0
59,100000.0
60,100000.0
61,100000.0
62,100000.0
63,100000.0
64,100000.0
65,100000.0
66,100000.0
67,100000.0
68,100000.0
69,100000.0
70,100000.0
71,100000.0
72,100000.0
73,100000.0
74,100000.0
75,100000.0
76,100000.0
77,100000.0
78,100000.0
79,100000.0
80,100000.0
81,100000.0
82,100000.0
83,100000.0
84,100000.0
85,99990.0
86,100276.0389123954
87,99783.52934494587
88,98480.73575003736
89,97142.90764952374
90,100278.07184197649
91,98437.76568438075
92,100425.88175685001
93,99221.53912405872
94,98608.85493591063
95,97445.036421131
96,94063.23771287275
97,95031.99774448159
98,98437.24297590234
99,95463.66032290581
100,93028.68012432598
101,92980.89441370685
102,91765.93856072621
103,92207.50424865623
104,94133.04076623096
105,94588.06332540631
106,93377.1139125303
107,86166.21523082092
108,86922.5247970459
109,85144.85540012966
110,88064.56216538361
111,89795.19878257811
112,88004.09945244796
113,87210.6198144348
114,92296.639267018
115,95892.00076219635
116,95459.07693411349
117,95326.7988440115
118,96084.44882594112
119,96914.27119522948
120,96108.483117509
121,94220.25815221413
122,94136.06676259356
123,90034.84257430048
124,93005.54789147057
125,97311.28440598107
126,96818.15595752528
127,96240.85644156263
128,94773.52226624724
129,96060.44591617413
130,95122.31923293415
131,94015.79822032648
132,100245.95099617705
133,100847.32180103098
134,100378.24996929722
135,100197.84465061293
136,101099.89396217698
137,104563.76590930982
138,104419.4400941205
139,102843.85995055984
140,105634.20204663237
141,107931.41903327985
142,107654.78633005582
143,107558.5741392312
144,105165.12970001275
145,107281.94145150219
146,106945.17611340311
147,107738.98714248085
148,100931.50606164805
149,102699.52599892243
150,103517.38253204677
151,103806.04177893563
152,103493.3294825688
153,108773.33628893862
154,109482.9465533185
155,109170.24181050944
156,112177.08443043187
157,111563.67125135675
158,112573.9597357552
159,116302.43914846607
160,117493.17082539047
161,116398.6815609586
162,111238.93242731554
163,114269.80543675298
164,113175.3463895123
165,113957.1158021625
166,113247.49042724047
167,109013.8743242974
168,110024.17791817289
169,110625.5494647413
170,110372.977343441
171,114281.86217880255
172,123867.63669867998
173,130206.03810617697
174,131697.43289387922
175,126285.13430070461
176,134932.77948190583
177,127764.4874552958
178,127307.44931032491
179,128690.60537834691
180,127560.02143162952
181,127968.9534789616
182,120499.98323339048
183,123615.06457732286
184,124601.30001372522
185,127764.48745529773
186,128606.40459878222
187,132214.58855221808
188,135461.99188205798
189,135642.40485690456
190,137446.48927927314
191,137711.10303368757
192,130133.89406842281
193,122845.30658029509
194,123085.85217719084
195,127175.15754181676
196,127018.81272448887
197,125671.736229694
198,124108.18229552206
199,125792.01658249139
200,124493.06129403488
201,116314.46567348191
202,117372.87536504268
203,117036.1024641692
204,115941.61319937892
205,116951.91679330033
206,115809.32143087071
207,109531.05264536316
208,105044.84931216402
209,104551.73914831215
210,104275.10642383738
211,103385.09073706284
212,101953.8361257486
213,102374.78714314142
214,96902.34837353954
215,96890.3294034792
216,92596.57312388596
217,92680.75879475485
218,87605.21799372611
219,87496.97171968807
220,83479.8557189191
221,79186.08433062687
222,79895.70215125382
223,88904.17328218264
224,90756.37891088972
225,86161.93685800201
226,89072.55217826986
227,85235.84159799798
228,82265.08610133144
229,81314.93023815822
230,83960.94691271063
231,84273.64410171592
232,86101.80423595285
233,87496.97171968807
234,84634.4700514091
235,84454.06463091199
236,83696.34071264572
237,84273.64410171592
238,83082.95019599644
239,82914.5637455597
240,82012.50642567634
241,78644.86051478617
242,74002.3123642591
243,72041.83779846547
244,71849.41340790807
245,66701.7134604203
246,66124.41007135007
247,63189.73414791306
248,67459.4373786866
249,61974.9796390244
250,62251.604809149685
251,63382.15853847046
252,65222.35275146672
253,68493.7789127287
254,68638.11231434575
255,67315.09642272005
256,67916.47552365849
257,67760.11559763156
258,68902.71851441069
259,67868.36942601913
260,72847.68292307013
261,71861.43237796839
262,71536.70866455325
263,69299.62403733337
264,69780.71523112488
265,69828.81377441475
266,70177.61319969804
267,74158.6647359365
268,74363.13075960275
269,74699.8885517772
270,76287.49553476885
271,77562.39777440572
272,78957.55770379146
273,77718.75770043262
274,79342.43670230427
275,80244.49402218762
276,85692.87974296985
277,87845.77114497138
278,86498.70220452598
279,85500.43268936391
280,87292.52080472081
281,84670.54207028908
282,87220.33899521327
283,91718.57640717177
284,91087.4105061404
285,91754.98081742995
286,89970.74922555686
287,92410.41884341658
288,92191.93950142106
289,89594.47463112873
290,87446.11583882937
291,89727.99020425652
292,89958.60938590446
293,90905.34312875253
294,92677.44243532272
295,90286.32462172303
296,92422.55112871951
297,88283.61368785442
298,86572.19847084717
299,90067.84527972748
300,90468.39199911093
301,90929.6228080573
302,87943.75861238343
303,89266.75939531012
304,90516.93624902148
305,91852.0768716006
306,93150.8130839215
307,88878.3525155791
308,85989.59948277487
309,85904.62815955764
310,88162.237954379
311,85710.42849686687
312,85892.49587425473
313,82069.14138390533
314,76497.95215759151
315,76546.50396185157
316,73427.1317473994
317,75963.88986508029
318,80661.16172341189
319,78330.74310807418
320,81510.79941208931
321,86026.00389303303
322,85649.7519616534
323,84775.8345936712
324,81996.30234599097
325,83003.735287101
326,83331.45052291958
327,82263.3334922466
328,80114.96714559775
329,81365.1515536586
330,80600.47007949941
331,81789.97039799731
332,81437.97548287395
333,81874.92661251556
334,82566.77660310989
335,85965.31224912057
336,84156.8160866417
337,84326.7360700277
338,86450.82273737175
339,88125.81843542181
340,85467.67702991601
341,90371.28083624128
342,92058.42392829324
343,87106.2607633584
344,86620.75027510725
345,90201.3608528553
346,96440.11283610917
347,96767.83562627723
348,94461.67402719581
349,92774.54604384286
350,92325.45507454885
351,90371.28083624128
352,90395.5680698956
353,91050.99854153272
354,92264.76343063639
355,92823.09029375341
356,90516.93624902148
357,91682.1568882146
358,95262.76746596265
359,98345.72771580717
360,97787.39329834066
361,102666.73253406014
362,99947.89948464188
363,98564.20705780272
364,100348.43864967581
365,98212.21969702885
366,97993.7403550333
367,97059.13889748814
368,99777.97194690639
369,97763.11361903585
370,96731.42366166957
371,97556.7816710422
372,96804.24003653541
373,96828.51971584022
374,96427.98055080629
375,90128.53692363997
376,93381.42471121995
377,100190.64339724321
378,98964.74622283665
379,99923.6198053371
380,100761.11765436211
381,104086.83692550696
382,102351.15713789394
383,97884.49690686079
384,98904.0621332737
385,98163.6603384193
386,100129.96686202976
387,101780.67532642551
388,105033.57822270451
389,103746.98185003601
390,104438.82428628083
391,103115.81594900462
392,104293.16887350063
393,107946.61848916305
394,106963.45767300832
395,104790.81920140419
396,105822.52426746949
397,103504.22282873564
398,104584.48725341054
399,102132.67779589839
400,100518.3661874113
401,99559.49260491083
402,99425.97703178306
403,98831.23820405835
404,97435.40593756679
405,94449.54174189293
406,90128.53692363997
407,91815.6649069929
408,93769.83159095097
409,91002.44673727266
410,89679.44595434597
411,91402.99345665608
412,91196.64639996341
413,91378.71377735131
414,90116.39708398754
415,91269.47032917877
416,90601.90001788925
417,90164.95644259712
418,91803.54017603953
419,86657.16223971493
420,85819.67194503937
421,82760.98382015016
422,86123.10750155317
423,85576.90536938955
424,87057.70895909832
425,86475.10241667653
426,84836.51868323416
427,85103.54982948977
428,84326.7360700277
429,83501.37806065507
430,83610.61395447809
431,84448.11180350311
432,79301.7489758775
433,82154.10515277309
434,79495.95619291777
435,80175.65878951023
436,81195.22401592313
437,82663.87265728053
438,80139.24682490253
439,80515.51386498117
440,81231.6359805308
441,82724.56430119298
442,84253.91969516184
443,83574.20198987042
444,83756.26936725828
445,84229.63246150754
446,85734.70817617164
447,87215.49665718144
448,87239.7687821367
449,88307.88581280968
450,89922.19742129679
451,90614.03985754162
452,90978.16705796788
453,90201.3608528553
454,88380.71729637455
455,89703.71807930124
456,90189.2210132029
457,88975.44856974973
458,90431.97248015375
459,91718.56129847276
460,94158.23847068204
461,93223.62945878734
462,94000.4432182494
463,91269.47032917877
464,93891.20732442642
465,92750.27391888757
466,91803.54017603953
467,88016.5825415988
468,84108.25672803215
469,85552.64835313326
470,85977.46719747197
471,84824.37884358176
472,84533.07557237087
473,84593.7672162833
474,84824.37884358176
475,85455.53719026364
476,84630.17162654149
477,83986.88854890622
478,86244.4832350286
479,87785.97091430036
480,86135.23978685607
481,84387.42015959063
482,84496.66360776317
483,87992.31041664351
484,87737.41911004028
485,86729.99372327975
486,88441.40894028699
487,87385.43174926644
488,86608.61798980435
489,87033.42927979355
490,88150.09056037708
491,89036.14021366219
492,88550.63727976053
493,89497.37857695809
494,89303.17135991782
495,89982.88151085975
496,88040.86977525309
497,87822.38287890801
498,85018.57850627253
499,86523.65422093659
500,87264.056015791
501,87858.79484351569
502,88040.86977525309
503,89181.8031807919
504,89218.21514539958
505,88174.3777940314
506,89363.85544948078
507,88465.68106524229
508,89715.85036460412
509,88939.04415949155
510,88987.5959637516
511,91500.08951082673
512,94352.4381333728
513,94388.85009798045
514,93757.69930564807
515,92471.10293297957
516,93041.56963574897
517,91330.15441874172
518,90953.90248736211
519,94971.46419475177
520,94850.08090692683
521,95432.68744934865
522,95456.96712865343
523,98151.5204987669
524,98515.65525354266
525,96185.22152950594
526,95893.91825829503
527,96792.10019688301
528,98697.72263093051
529,96245.91317341839
530,99680.86833838625
531,99680.86833838625
532,98115.11608850874
533,96001.59040177081
534,94633.29373922013
535,95219.70767379177
536,93240.56631037455
537,95659.51434754576
538,95891.63684474492
539,98554.92276226271
540,97394.31783061635
541,95806.11405401392
542,94902.06238586156
543,97284.35671924097
544,97455.3947463535
545,98212.84670803767
546,101486.96977207245
547,104761.10794480628
548,104626.72362148552
549,102684.22840751064
550,101939.00693767291
551,102195.56020116691
552,104321.30127105229
553,102586.49778798167
554,103918.14074674058
555,107375.52477538484
556,107180.05598197746
557,104235.77848032126
558,102720.88211130242
559,103026.30446173566
560,102855.27398897265
561,100534.0641256799
562,101059.3860358154
563,101902.3532338811
564,99923.21942481339
565,106227.13522688588
566,103124.04263561413
567,101523.62347586425
568,100827.26353861623
569,101328.16223680637
570,100644.01012835628
571,103295.07310837712
572,104089.1712195036
573,104211.3477140264
574,103282.86527957921
575,103967.00983367978
576,104199.13233087897
577,104370.17035799149
578,103124.04263561413
579,101120.47050590206
580,97443.18691755555
581,98542.70737911528
582,97430.96398005863
583,97308.79503988531
584,97430.96398005863
585,98127.33147165614
586,98909.21419963519
587,101719.09982362115
588,101963.43770396773
589,103612.72595065682
590,104247.99386346868
591,105103.1764446818
592,104223.57065152335
593,103453.89575234223
594,104968.79212136108
595,109342.4507556546
596,109073.67455466362
597,107473.2629492633
598,107363.30939223741
599,109696.74219302708
600,108084.10765012981
601,108499.48355758892
602,109928.84958152726
603,111834.6910917104
604,112286.72070296129
605,111846.91402920731
606,112225.63623287463
607,112726.52737671528
608,113068.60343094033
609,113642.80953671403
610,111944.65220308574
611,112995.29602335673
612,113496.20983024589
613,114730.10706077682
614,116049.51952768928
615,118553.99790994098
616,122011.38193858524
617,124247.07656549646
618,123868.34680747963
619,119800.11807796886
620,121767.04405823865
621,125236.65102437983
622,127533.41501267868
623,133825.11543160377
624,135950.87916453762
625,136085.24082480985
626,134997.9584094461
627,136610.57028929485
628,130758.68409847327
629,130135.61646010986
630,129280.43387889673
631,126995.87771939578
632,126580.50936628616
633,127582.29165396743
634,126824.84724663275
635,128070.95230596162
636,126262.86407835595
637,127460.12271379412
638,122744.39557962507
639,121437.19094151052
640,121974.71312609443
641,118138.61444813236
642,123941.65421506323
643,124442.55291325336
644,124613.58338601637
645,124943.4365027445
646,127411.2460725054
647,125432.11226343771
648,128425.25129768362
649,127545.63795017563
650,128767.32735190865
651,130563.22285941541
652,132774.47161133276
653,130331.07769916771
654,128168.70558853909
655,110490.84030415353
656,109928.84958152726
657,111248.2922658377
658,111859.12941235474
659,111028.37759743647
660,110857.34712467344
661,110906.20865726315
662,113190.78747981261
663,112506.62026266353
664,109256.92796492357
665,110380.88674712768
666,109098.10532095848
667,108963.72099763776
668,112689.87367292348
669,114119.26235991031
670,113422.88731396329
671,114607.93812060353
672,116990.23245398291
673,116257.23392164211
674,115096.61388129673
675,109733.38834246936
676,114192.56976749391
677,115976.22722880471
678,115634.16628327867
679,116244.99587544617
680,114827.83012595626
681,117723.24609502274
682,119690.15696659348
683,122353.4731015093
684,122109.1201124637
685,122744.39557962507
686,124784.5987500804
687,125419.90443463977
688,126739.31690155223
689,127020.30848569064
690,125138.9128505014
691,126788.19354284098
692,129671.38657441048
693,133202.06290193932
694,132126.98831537348
695,135559.92646902386
696,134619.21354273023
697,135584.35723531872
698,136060.825167214
699,136989.3151560107
700,135340.01935497212
701,141277.43589087419
702,143891.84516710328
703,144502.70497666879
704,144685.95838692872
705,143305.4614499296
706,142584.65563768774
707,143965.15257468683
708,141937.15723302946
709,137392.47568032242
710,140642.16042371283
711,137196.99933256552
712,138711.87303853585
713,140642.16042371283
714,143855.20657201047
715,145577.79467193366
716,145492.26432685312
717,146005.3859625402
718,155326.87911950296
719,153115.6152588866
720,151221.9966862004
721,150354.59116749035
722,151478.55750404394
723,152321.53225645912
724,158185.62627607863
725,155705.60887751981
726,154288.4431280299
727,155901.08522527668
728,144441.6053978831
729,155730.03964381467
730,151393.02715896344
731,152089.38709621143
732,151124.27362102096
733,150281.29886860578
734,150513.42892015446
735,152174.93254999098
736,152883.50031603692
737,151698.46461809566
738,147703.5432961685
739,151148.7043873158
740,153103.40743008867
741,153286.66084034863
742,153347.73020173624
743,150708.89015921234
744,153286.66084034863
745,155314.671290705
746,154410.6120682032
747,155607.87070364135
748,154850.4262963067
749,154899.2727201974
750,156682.9755076052
751,156206.50757570993
752,158601.02484658625
753,155253.57171191936
754,155986.60046165818
755,154948.16447018512
756,156915.07534175587
757,154642.72701105283
758,154435.05794319705
759,147850.14300263664
760,150122.4762246407
761,145528.93313934392
762,145064.67303624656
763,143830.77580571562
764,148974.07912179225
765,148790.8257115323
766,147239.28319307114
767,149462.75488248543
768,150415.69074627603
769,144197.28262623554
770,135950.87916453762
771,134973.51253445222
772,138247.65826153551
773,135889.77958575197
774,138924.66395535515
775,140509.67224211752
776,138556.05702567322
777,138568.34039796618
778,141689.2234823191
779,147758.96200412742
780,151211.60190128334
781,154332.46987693725
782,154320.18650464428
783,154209.60593660962
784,160783.11380941948
785,158731.20139723347
786,159112.10680790734
787,157993.9875378696
788,158202.865301646
789,153914.7294580835
790,152686.04472871008
791,149712.59232927073
792,150486.67141421247
793,149786.30767172753
794,147685.24666167062
795,147918.70627873193
796,145018.98433044838
797,152022.54621180298
798,151297.6157247321
799,154221.9044176016
800,153693.56832201412
801,154246.4711621875
802,153988.44480054025
803,156494.99307455597
804,155548.88634271672
805,162257.5566368462
806,162405.00243045876
807,166385.97842320218
808,169457.7129096842
809,171681.63786006873
810,172996.3364128909
811,169445.41442869225
812,169642.00882017566
813,165562.73563169056
814,163228.23011327136
815,164641.22586183524
816,165280.15763415638
817,169506.84639885605
818,168437.89083538819
819,164493.78006822267
820,166005.07301252827
821,166422.82854008104
822,171018.1544518607
823,167602.3646715836
824,162847.32470259749
825,162073.24561765572
826,155585.7515682946
827,152649.17950313215
828,156126.38614487404
829,156298.38357437353
830,155020.55024712926
831,154443.06555367092
832,155634.9001661655
833,151555.62697768034
834,157269.0570507987
835,159886.18589284908
836,145117.26641749108
837,145694.76621964845
838,146898.88420443592
839,145989.65780687358
840,139833.8903529175
841,140018.18626340895
842,145842.19690456198
843,143126.7859754689
844,145104.98304519814
845,146100.2232662092
846,148004.7049934817
847,149540.56468237322
848,148311.8799529998
849,145645.61762177755
850,147107.7619682123
851,148680.48688268173
852,149896.8882397622
853,148791.0674507164
854,150707.83255028183
855,150535.82001208334
856,150720.1310312738
857,150228.6450525652
858,150621.83383553207
859,150179.49645469437
860,148557.60783365509
861,146444.26345130522
862,142991.63866284827
863,141406.61526738692
864,140509.67224211752
865,138863.23198519132
866,141689.2234823191
867,140042.7681166939
868,140362.22644850495
869,137573.10017695508
870,133567.54233092672
871,133899.2991437298
872,131564.77851661158
873,133051.50471633123
874,131122.45624447288
875,126932.60248795306
876,129488.28425114062
877,130016.63545542708
878,130655.55211904923
879,127018.61631140183
880,124389.20409705846
881,131061.02427430905
882,131220.73833151557
883,133936.14926060865
884,137474.80298121338
885,137757.41119614555
886,136971.0336302118
887,136602.4267005299
888,135324.59337328564
889,134992.8516691816
890,130078.06742559091
891,126871.17051778923
892,129389.98705539889
893,130311.51193395322
894,131896.5202207156
895,129967.48685755623
896,126920.31911566008
897,129353.13693852001
898,133444.6783905991
899,132179.12843564778
900,135115.71560950924
901,132314.2908569674
902,132277.42563138952
903,133026.93797174533
904,133911.58251602273
905,134820.8240222841
906,135963.49492820876
907,136110.9558305203
908,139760.1750104607
909,142831.90949694277
910,146456.54682359818
911,143593.70520959154
912,138076.8695279566
913,141148.60401443866
914,141738.35697149095
915,142278.99154807036
916,143532.2732394277
917,147390.35507444548
918,153435.54196036689
919,155745.48073420016
920,155204.86126631973
921,156765.30280849617
922,155376.87380451823
923,152305.12420933717
924,153140.65037314175
925,153140.65037314175
926,157514.800040153
927,159333.2679439767
928,156728.4375829183
929,158239.73052722387
930,156261.53345749466
931,155733.1973619072
932,156236.95160420972
933,153558.40590069452
934,148963.0950976139
935,148336.46180628473
936,146235.40079622783
937,133284.96433339256
938,123910.01659934185
939,125519.60673938919
940,124450.65117592129
941,133370.96304814232
942,137622.23366612694
943,135730.06552854544
944,135631.7532241047
945,138703.48771058678
946,138236.5835851631
947,140448.2402719537
948,140263.92925276322
949,138728.06956387172
950,140337.65970391902
951,138838.65013190638
952,139354.70285520089
953,140792.2804570497
954,141504.92757182763
955,140681.68478031602
956,142217.55957790656
957,138261.16543844808
958,139969.05277423712
959,146063.37314933035
960,141836.66927593164
961,145719.33296423435
962,148373.31192316362
963,147439.50367231632
964,147636.09806379976
965,148717.3521082596
966,148778.78407842343
967,145473.58997488004
968,145608.75239619968
969,148397.89377644856
970,147906.42290643897
971,145571.90227932078
972,145584.18565161372
973,141529.49431641356
974,140939.7111419633
975,141160.88738673163
976,142106.97900987187
977,142451.01919496787
978,145621.05087719165
979,145780.76493439818
980,147636.09806379976
981,146862.01897885802
982,145842.19690456198
983,143569.1233563066
984,145485.87334717304
985,143544.55661172068
986,144441.48452829107
987,143458.52767957293
988,145375.30788783735
989,148385.6104041556
990,150351.52410159187
991,151150.16993111954
992,155561.1697150097
993,157219.90845292786
994,156114.08766388206
995,156470.41122127103
996,157465.65144228213
997,156114.08766388206
