,portfolio
0,111130.04808725746
1,112546.36624183276
2,113216.24424544178
3,113962.67662503297
4,115436.40669286536
5,120074.51913885631
6,123372.87556509387
7,115532.10352546266
8,111436.28104485995
9,114600.65565191308
10,115831.95836435228
11,112067.88187256976
12,112973.80903211275
13,115742.63974012065
14,116335.9633876293
15,115959.55418038611
16,115761.78222707199
17,108692.97104530942
18,108495.19909196167
19,106281.40705509191
20,107448.91186377319
21,108265.52818535268
22,112099.7808238033
23,109611.66246027795
24,110460.16994745994
25,112316.69526440285
26,112814.31426442639
27,110696.22687513601
28,112648.44126442581
29,110326.19590078673
30,114556.00023413415
31,115060.00525510834
32,113331.07575163065
33,114766.52865374649
34,115085.51818755022
35,116444.41671668738
36,108826.94509187805
37,110243.26329466722
38,112220.99840425425
39,111761.64880287762
40,107168.19951609318
41,104259.0165253621
42,99920.75886562032
43,101758.14169546677
44,103544.48308477241
45,103295.66969083875
46,105560.49538085144
47,108131.54635061837
48,109618.04069328003
49,111047.1153622908
50,114498.58056049074
51,114154.07030641566
52,118473.19326682854
53,119296.18003378017
54,117528.98113163467
55,121765.16369812624
56,125395.266150389
57,125280.42680308718
58,122250.02623194318
59,123066.64255361517
60,125395.26615038898
61,125580.27384973135
62,126473.44454438431
63,128189.61758164973
64,129784.56525067288
65,128878.62251413906
