,portfolio
0,103863.58663049756
1,103486.0888479298
2,104060.01299633403
3,104977.68425335202
4,105057.48040662328
5,104431.37887061885
6,103866.6622686382
7,103863.58663049756
8,104440.58641704243
9,104907.09564650436
10,105057.48040662328
11,105284.59730267178
12,104541.87330130149
13,104336.23551544176
14,104808.88440038596
15,105956.74044439377
16,105919.89863790043
17,106110.19309545399
18,105671.31037886247
19,105401.22751523703
20,104541.87330130149
21,105404.29540617832
22,106674.91357103431
23,106681.05322651658
24,106724.02306769318
25,107190.52842355543
26,107464.48101325457
27,107156.66928881058
28,107088.95101932087
29,107643.01522219979
30,109135.90053631325
31,108384.83667484618
32,108089.33912376381
33,108409.46502156943
34,108289.4144204926
35,107836.93149544793
36,108317.11453175682
37,108529.5078754469
38,108397.14697460814
39,108307.88761733487
40,107513.72995950168
41,107045.8610965544
42,107168.97958857252
43,107892.3394651757
44,107683.02950682561
45,108160.13303139417
46,108218.62051286227
47,109074.33354310485
48,109406.77361427205
49,109459.1020722595
50,109782.30748180542
51,109729.97515021829
52,109536.05112977081
53,109274.41658703296
54,109523.7369564092
55,109480.64703364273
56,108689.57276114952
57,108692.64839929019
58,109117.42733947099
59,109908.50548556386
60,109474.49188376174
61,108849.63377325248
62,108963.52147724899
63,108440.24464457395
64,109280.57173691395
65,109646.86706922634
66,110080.88067102843
67,109289.80639853523
68,108818.8502766483
69,108286.3349087523
70,107763.06194967692
71,108246.32449772613
72,108055.47998901898
73,107587.60725247202
74,108369.44298974425
75,108443.32415631428
76,109052.7885817216
77,108763.44230692054
78,108846.55426151217
79,109914.66063544483
80,111032.01982922427
81,111155.14606844173
82,111056.64042874816
83,111650.72278985256
84,111884.65334772653
85,116957.39165117129
86,116200.17651342295
87,116544.93075795178
88,114310.21624399256
89,114516.44669060232
90,114630.3382681985
91,114448.73229471229
92,113525.29324778066
93,113288.27543096704
94,113168.23645068923
95,113562.23576786552
96,113214.40975879572
97,112632.63769745325
98,112949.68020991885
99,112746.53314864909
100,112177.07526066824
101,112007.77958694397
102,112106.28522663756
103,111435.24993442216
104,111426.01527280087
105,111940.06519105395
106,111376.76632655374
107,109600.69763471955
108,109366.75932964623
109,109117.42733947099
110,109939.28510856838
111,109613.01180808115
112,109237.48181414747
113,108821.9336619883
114,110367.14743408919
115,111521.43752715446
116,111619.93929324835
117,111804.62865207455
118,111558.37617363961
119,111844.64293670037
120,111450.6436195241
121,110767.3057747461
122,109976.22762865323
123,108846.55426151217
124,109486.8021835237
125,110253.25198289333
126,110160.90924028007
127,109902.34646208321
128,110450.25551508114
129,110437.94134171953
130,110431.79006543822
131,110431.79006543822
132,110705.73878153769
133,112217.0972924934
134,112718.82916378521
135,113654.57076327942
136,113469.88527805291
137,113974.69666108504
138,115052.04157023865
139,115045.882546758
140,115852.35050435313
141,115910.83798582121
142,115621.49171102015
143,115578.39404105433
144,115812.33234612763
145,114919.67679580022
146,115021.25807363444
147,114667.26916748431
148,114294.8264324903
149,114491.82609107843
150,114060.888127417
151,113229.7956966983
152,113700.7440713859
153,115024.33758537477
154,115236.72705546516
155,114941.22950438279
156,114701.13992302818
157,113552.99723264456
158,113928.52722657824
159,114562.61999870879
160,114728.8400342924
161,113823.87031060335
162,111539.90685039703
163,112915.82494877368
164,112177.07526066824
165,111333.66865658792
166,111244.41317291433
167,111586.0801585035
168,111392.15613805602
169,110979.69137123683
170,108689.57276114952
171,110083.95630916908
172,110862.72415550001
173,109148.20696247551
174,108129.34953478997
175,107498.33627439974
176,105386.75187325767
177,106079.32825325664
178,106230.15847733799
179,106793.44959463883
180,106873.48591108983
181,107996.99638115057
182,108070.8736741209
183,108726.50753403503
184,109471.41237202144
185,108895.80708135897
186,109354.44515628461
187,109360.6003061656
188,108492.57697616107
189,108187.83701625807
190,108871.1826082354
191,109175.9109473394
192,110136.29251435585
193,110099.34612067134
194,110465.64532658341
195,111102.81373685462
196,110807.32005937192
197,110795.0058860103
198,111222.86046433175
199,111576.84937048188
200,111903.12267096911
201,112164.76108730663
202,112066.26706841207
203,111792.31447871294
204,112315.59518498764
205,111653.7984279932
206,112072.42221829304
207,111167.46024180335
208,111447.56410778378
209,111542.99023573703
210,110493.3493114473
211,111136.67287159947
212,110899.6589283855
213,110758.06336592545
214,109726.89951207765
215,110007.00725165775
216,109419.08778763367
217,108871.1826082354
218,108929.66621610381
219,109108.19267784969
220,107975.44367256798
221,106839.6229027453
222,107187.45278541479
223,108849.63377325248
224,108686.4932494092
225,107636.86007231881
226,108821.9336619883
227,108914.27253100189
228,108735.74219565632
229,109055.86809346193
230,109988.53792841517
231,110684.18994655478
232,111219.78482619111
233,111487.57451880992
234,111475.26421904798
235,111296.7377573021
236,110961.22204799423
237,111112.0483984759
238,110404.08608057436
239,110050.1010480239
240,110250.18021835235
241,109465.25722214047
242,107495.26450985877
243,107341.35864763678
244,107449.09120175231
245,106910.42068397533
246,107424.46285502907
247,107369.06263250066
248,107993.91299581058
249,107409.0730435268
250,108181.68573997676
251,109062.02711694257
252,109302.11669829718
253,108868.10697009476
254,108403.3021244891
255,108677.25858778792
256,108474.1076529185
257,109471.41237202144
258,109431.40196099528
259,109831.55255445285
260,110819.63035913385
261,111663.0330896145
262,112512.59484357579
263,111921.59586781135
264,111509.12335379283
265,111459.87440754572
266,111386.00486177471
267,112666.50070579778
268,113199.01607369377
269,113349.83855057578
270,113528.37275952098
271,114393.32432498454
272,114445.65278297197
273,114162.46165805188
274,114421.02830984842
275,115289.05163985293
276,115535.30411828785
277,115830.80166937022
278,115482.97566030042
279,115916.98926210252
280,115636.88152252241
281,116741.93041653991
282,116974.17208495628
283,117704.96152573297
284,118383.11649414801
285,119293.5170045791
286,119593.88754405055
287,119841.61199036136
288,119956.18532150003
289,119045.78868466862
290,117921.72816345427
291,118643.23645941356
292,119225.39200712368
293,119166.555901685
294,119073.65536071878
295,118144.68093985392
296,120092.43531641085
297,119290.41425124073
298,119169.65478142368
299,119792.06865053906
300,119866.3836602725
301,119404.99532957876
302,120804.65084675376
303,120956.383619559
304,121324.87915648585
305,121498.28859306322
306,121999.93137156253
307,121968.96968937336
308,121442.54749376356
309,120829.4225166649
310,121916.3235962127
311,121823.43080244583
312,121089.5386083308
313,119779.68475238333
314,118466.72426949783
315,117940.30594748771
316,117751.41760661558
317,117404.60260706053
318,118525.56424853619
319,117680.18985582181
320,118875.47812782993
321,119977.86585887184
322,119798.2586628171
323,119748.71919659447
324,119058.17645642403
325,118918.82758177453
326,118005.33206520442
327,119036.4997926519
328,119962.38308097742
329,120686.98250947606
330,120389.70310254394
331,120176.04309176069
332,121321.78415034684
333,122507.77965673857
334,122430.3580200671
335,122390.10744586118
336,121365.13360429142
337,121417.77969745209
338,121411.5819379747
339,121170.04750394193
340,121414.6808177134
341,121207.20694560849
342,121962.77580349565
343,121529.25414885208
344,121541.64192060748
345,121284.62470868029
346,120566.21529245967
347,121603.57303218517
348,121721.24136946288
349,122105.21968428415
350,122139.2841198117
351,122204.31023752842
352,122346.75411831694
353,122578.99578673331
354,123285.0213047982
355,122755.5002294497
356,123195.21964357066
357,123774.28018514175
358,124155.16349382403
359,123368.62908014802
360,122774.08188708281
361,122959.8790954156
362,122281.72800060023
363,122250.76244481138
364,122854.5985298933
365,122730.73243313821
366,122755.5002294497
367,122919.62077401034
368,122225.98302770089
369,121423.96970973011
370,121002.83582684194
371,121278.43082280258
372,121479.7069354301
373,120398.99974176001
374,120299.90918851575
375,119572.21088027842
376,120457.8358471987
377,120919.2280514921
378,120813.93973877048
379,121377.51750244715
380,120312.29308667149
381,121030.7025028921
382,120962.5775054367
383,120823.2286307872
384,119587.69365817285
385,119027.21090063517
386,119228.4870132627
387,118485.30205353128
388,118791.86647888043
389,118441.95259958669
390,119234.6808991404
391,118726.84036116372
392,118720.64647528602
393,118990.05145896862
394,118782.58146046339
395,119042.6936785296
396,119126.30145387944
397,119067.46534844075
398,118110.61650432638
399,115751.02101049767
400,116141.18546399732
401,116661.4176473291
402,117655.42205951034
403,118271.64204274802
404,118637.03869993618
405,118011.5298246818
406,117952.6937192431
407,118345.95705248145
408,118451.24536520308
409,118020.81484309884
410,117822.63761021
411,118729.93536730274
412,119070.56422817944
413,118986.9564528296
414,118565.81869634177
415,117912.43927143753
416,118042.49150687098
417,117116.6159657448
418,117147.58152153366
419,117144.48264179497
420,118178.74924898113
421,118082.74982827622
422,118172.55148950376
423,118030.10760871523
424,118931.21922712961
425,118881.66814010797
426,119151.07312379059
427,118150.87869933131
428,117327.18097038905
429,116444.65488320746
430,116565.42210022386
431,116289.82710426321
432,116165.96488110782
433,116930.81875741202
434,116943.20652916745
435,117931.01705547099
436,118414.08592353654
437,118119.90926994277
438,117931.01705547099
439,117701.87039319362
440,118076.55594239851
441,117844.31040038247
442,119470.02144729548
443,119875.6764258889
444,119925.21589211152
445,119330.67644624565
446,118925.0253412519
447,119758.0080886112
448,120268.9436327269
449,120817.0347449095
450,120959.48249929768
451,120683.88362973736
452,120377.32307798788
