,portfolio
0,157356.70883225807
1,156973.6952497302
2,154727.6536361737
3,152634.87458999568
4,150516.30007886462
5,143574.1788118425
6,143446.5484313182
7,154115.2156101354
8,167131.80017814366
9,173946.4951742654
10,184206.6390356626
11,174533.46431259825
12,179408.27548460785
13,181118.3674888071
14,183849.25764666207
15,183772.81002803385
16,178999.87459086863
17,169148.09079468643
18,149344.116825628
19,146813.753709214
20,146968.73054207294
21,143922.05008663854
22,151642.15754772892
23,149602.43875766342
24,146245.80463636603
25,161350.51532770926
26,159982.04989378797
27,156573.82485414585
28,162822.40749183958
29,154017.66627828844
30,139377.43711374095
31,135737.0121261578
32,144877.38001784228
33,141753.0274755739
34,142579.25766464704
35,148543.68209578373
36,144154.2908497544
37,134755.80510418848
38,135246.44943076352
39,143947.72309858887
40,144722.4848161707
41,153630.2446039664
42,144567.54879889375
43,91016.58376753308
44,95870.7830653956
45,98452.69628480352
46,96464.69085975512
47,94812.1488504062
48,90964.99284924028
49,95302.79317698171
50,99356.51692931633
51,97626.67017372882
52,93572.90560579413
53,91687.95957053053
54,97574.87517743697
55,96826.23544380031
56,97394.26614781414
57,90629.32535554114
58,88667.1562052387
59,94192.56804370016
60,96619.58606143187
61,96077.35081656423
62,93495.31515035617
63,85852.63488191616
64,80301.34595310889
65,70747.96500585899
66,65635.48459173518
67,64551.0957331997
68,61530.12910550831
69,74027.0086718114
70,83193.17202266993
71,72219.6122763858
72,64008.860488331986
73,65325.73500398199
74,74414.38953060246
75,72064.7170747092
76,72942.66062887578
77,69999.03956302289
78,76789.8574456418
79,81618.13883755903
80,72994.3331783679
81,71883.98559828658
82,81437.48899233626
83,77099.6478489949
84,75343.76074066163
85,84613.31000610422
86,85155.50443537204
87,79449.2386736883
88,82341.22800564904
89,83916.13874396017
90,75524.6554794838
91,72090.55334945521
92,74078.6404057036
93,73665.5865345661
94,68630.6149446806
95,72168.0213580934
96,73226.61475748286
97,78958.67597831268
98,74982.42023461618
99,67701.2029190214
100,60032.56392903568
101,69017.95498787162
102,80585.30008171585
103,67572.06236089105
104,65119.126437213454
105,73717.25908405821
106,75137.3562518927
107,72477.85257704642
108,79080.38809725856
109,73234.73706186588
110,68067.40048145666
111,66501.71406872627
112,60916.91553238882
113,57785.33862892843
114,53583.65832690267
115,49199.246584058514
116,41787.745873535816
117,43953.829761012494
118,47581.31620343721
119,50008.29340556904
120,37325.21307245475
121,27460.61317585476
122,18143.96270811052
123,19187.862491530534
124,28243.538013419828
125,22449.967683518375
126,17334.915886599993
127,12689.692460300526
128,14307.622840921833
129,17465.403359527525
130,22710.86099817359
131,47346.463241527665
132,48520.809682275285
133,44788.876119668595
134,46328.64462645313
135,46354.76661039859
136,40561.31872729691
137,39073.75337280342
138,41605.177695117054
139,41552.89291162621
140,51078.31517293451
141,53531.373543411886
142,47268.13810529121
143,53975.07993008528
144,58959.603438476326
145,55097.30484974175
146,61778.12469059042
147,61517.10892913555
148,65431.65148576081
149,59899.05610171442
150,51104.437156879976
151,53061.70843519266
152,50086.57772620558
153,58542.182298147905
154,58307.12525823881
155,55097.30484974175
156,64622.60466425034
157,59664.20313980482
158,55880.14805610698
159,57915.74447065612
160,57080.65729639998
161,44606.26712564997
162,43614.61131012082
163,43719.01761470275
164,42962.2147610832
165,59116.253710949124
166,46459.17291498058
167,35942.09483814313
168,35811.64818081552
169,33410.670515829435
170,37220.80676787282
171,32314.608395718293
172,34402.36714695851
173,30670.556031151526
174,25999.128989706755
175,28895.93456245744
176,32653.826846609907
177,21823.57067162645
178,15638.660369742289
179,25633.829370469663
