,portfolio
0,113931.63052502161
1,113541.1060706899
2,114330.83118582555
3,114964.35287864007
4,115997.06464445843
5,114591.18081735611
6,113983.69831862288
7,112378.20885492009
8,111371.52568675735
9,113679.95707298655
10,103248.61892160695
11,101894.79229872703
12,100757.93430543703
13,99898.77836124724
14,99950.85676497748
15,97703.16938457295
16,90248.4891187266
17,88781.85067048832
18,88478.10941877721
19,90699.75759839872
20,89181.05133966148
21,88903.3492897963
22,87401.99543643693
23,85171.67105369359
24,80658.94388431903
25,81925.97670162366
26,81839.19348682492
27,82793.80884961112
28,81821.84108131954
29,83427.33055511533
30,83288.47953016576
31,83514.11376991564
32,84086.8808688681
33,82403.28438300453
34,80728.37469354244
35,79817.15093813367
36,78298.44467911808
37,78428.61950131947
38,76961.98105245228
39,79929.96276118454
40,75911.90627209023
41,78957.99499287538
42,79036.10200492713
43,80901.94112314958
44,80971.36133879791
45,80155.59700093718
46,78498.0397169678
47,80676.29628974356
48,82854.56345617354
49,83323.18434117598
50,86204.3934287638
51,86794.51293321855
52,85527.48011585383
53,82134.25853586299
54,80771.7663009479
55,83245.08792277829
56,84451.3661335898
57,84407.97452618925
58,83878.59903463357
59,83930.66684478338
60,80060.13758338662
61,77630.20756895674
62,70166.851096065
63,71529.35392463426
64,69949.89305906233
65,71286.3566857296
